,open,high,low,close,volume
2024-04-22,855.0,953.2,775.05,926.2,212645
2024-04-23,950.0,968.3,891.0,908.2,35784
2024-04-24,916.25,916.25,870.3,885.95,13788
2024-04-25,894.2,894.2,828.0,854.1,15124
2024-04-28,854.1,854.1,834.0,840.8,6264
2024-04-29,869.0,869.0,821.6,833.05,7376
2024-05-01,848.95,848.95,821.6,825.9,5691
2024-05-02,844.6,862.1,822.3,830.4,3538
2024-05-05,831.0,842.55,806.0,814.2,10524
2024-05-06,826.4,826.4,769.15,784.15,13783
2024-05-07,780.2,798.05,767.2,785.15,5224
2024-05-08,783.85,800.95,753.25,778.2,11761
2024-05-09,778.55,835.35,732.2,764.45,33011
2024-05-12,736.0,786.25,736.0,762.45,19741
2024-05-13,768.4,832.2,768.4,823.0,16864
2024-05-14,832.8,848.0,804.15,829.95,15961
2024-05-15,834.0,864.4,822.5,855.45,16161
2024-05-16,862.0,920.0,851.1,891.3,34119
2024-05-17,881.0,913.3,870.0,877.25,4040
2024-05-20,877.25,888.0,831.15,841.65,13616
2024-05-21,854.25,864.95,830.85,851.15,12935
2024-05-22,838.4,854.95,836.15,838.15,6763
2024-05-23,839.95,900.0,838.15,867.45,159652
2024-05-26,880.45,897.95,832.5,840.25,16184
2024-05-27,840.25,844.35,810.25,815.65,12829
2024-05-28,816.0,849.95,800.0,813.55,21694
2024-05-29,840.0,841.4,807.0,812.85,14460
2024-05-30,893.3,893.3,817.65,825.55,90501
2024-06-02,889.8,947.0,815.05,924.1,193245
2024-06-03,900.2,920.35,783.3,823.15,93025
2024-06-04,823.15,870.05,795.0,854.65,52379
2024-06-05,878.0,990.0,840.45,970.3,639912
2024-06-06,976.95,1084.45,975.0,1057.25,222656
2024-06-09,1068.0,1068.0,1000.0,1037.0,214117
2024-06-10,1041.0,1128.0,1032.0,1046.35,156421
2024-06-11,1051.6,1095.0,1032.0,1085.4,74805
2024-06-12,1101.7,1143.05,1091.95,1108.0,114108
2024-06-13,1115.0,1150.0,1111.1,1120.65,54532
2024-06-17,1137.45,1139.0,1039.35,1067.55,66395
2024-06-18,1067.55,1087.0,989.45,1009.95,64080
2024-06-19,1030.2,1120.0,1030.2,1096.05,143692
2024-06-20,1143.0,1143.05,1096.2,1131.1,65520
2024-06-23,1143.05,1169.8,1118.65,1145.0,79968
2024-06-24,1147.0,1157.35,1120.65,1149.8,51539
2024-06-25,1168.9,1174.0,1137.45,1146.25,47125
2024-06-26,1165.0,1165.0,1105.05,1138.0,49780
2024-06-27,1149.0,1180.0,1135.8,1157.25,47153
2024-06-30,1175.0,1176.8,1121.05,1140.45,41907
2024-07-01,1151.0,1165.0,1124.5,1155.25,55372
2024-07-02,1154.15,1166.0,1129.05,1135.85,34733
2024-07-03,1149.95,1153.95,1125.6,1141.4,19761
2024-07-04,1148.0,1149.95,1121.4,1127.95,17956
2024-07-07,1144.0,1165.0,1110.85,1147.2,31646
2024-07-08,1156.0,1177.0,1135.05,1144.25,28126
2024-07-09,1165.0,1165.0,1110.05,1150.6,25991
2024-07-10,1156.0,1156.0,1132.2,1135.05,20149
2024-07-11,1150.0,1150.0,1115.0,1121.35,19363
2024-07-14,1121.35,1134.3,1092.0,1098.6,30116
2024-07-15,1107.0,1107.0,1049.0,1066.25,53053
2024-07-17,1066.25,1076.2,1030.0,1056.2,31385
2024-07-18,1074.0,1074.0,1005.0,1014.45,21388
2024-07-21,1014.45,1033.75,995.55,1001.15,22766
2024-07-22,1002.3,1019.0,959.4,996.85,34143
2024-07-23,1003.55,1048.7,984.85,1023.0,60212
2024-07-24,1025.0,1042.55,1003.15,1031.65,25893
2024-07-25,1032.0,1062.0,1011.5,1049.0,25646
2024-07-28,1049.0,1090.55,1025.4,1033.7,32962
2024-07-29,1033.6,1036.8,1019.45,1026.2,32302
2024-07-30,1029.9,1071.0,1029.9,1033.05,21370
2024-07-31,1048.55,1074.0,1032.65,1057.7,25382
2024-08-01,1057.7,1081.0,1027.6,1049.9,34079
2024-08-04,991.0,1048.9,986.75,993.3,52840
2024-08-05,1006.4,1025.9,991.35,1004.25,30761
2024-08-06,1010.0,1095.0,1010.0,1078.75,51130
2024-08-07,1180.4,1280.0,1123.1,1233.1,887417
2024-08-08,1349.95,1443.0,1310.25,1412.0,1084980
2024-08-11,1400.0,1460.0,1305.05,1454.85,533784
2024-08-12,1465.0,1469.9,1370.0,1405.15,150106
2024-08-13,1433.0,1433.0,1337.35,1391.7,105611
2024-08-15,1371.0,1420.0,1371.0,1387.95,48998
2024-08-18,1399.0,1429.0,1378.0,1389.6,105291
2024-08-19,1391.0,1528.55,1390.0,1506.25,148565
2024-08-20,1534.0,1605.1,1530.0,1599.95,158169
2024-08-21,1639.45,1674.9,1624.95,1645.7,97163
2024-08-22,1658.15,1723.0,1571.0,1720.3,145903
2024-08-25,1738.0,1808.9,1665.0,1772.4,173484
2024-08-26,1805.0,1830.0,1702.7,1738.3,254186
2024-08-27,1750.0,1772.0,1690.0,1710.75,86060
2024-08-28,1686.6,1730.0,1625.25,1685.45,85293
2024-08-29,1695.05,1709.65,1640.0,1690.4,64673
2024-09-01,1708.0,1743.0,1649.05,1682.05,61907
2024-09-02,1698.75,1724.95,1655.0,1665.6,37739
2024-09-03,1650.0,1679.9,1640.0,1661.6,35743
2024-09-04,1670.0,1690.0,1654.65,1663.95,16635
2024-09-05,1678.95,1678.95,1601.25,1644.2,40315
2024-09-08,1640.05,1644.15,1566.0,1615.75,39171
2024-09-09,1615.75,1645.45,1604.0,1626.55,23423
2024-09-10,1626.55,1634.9,1556.0,1589.5,42271
2024-09-11,1589.5,1630.4,1563.5,1605.95,29749
2024-09-12,1635.0,1686.2,1550.05,1681.65,77171
2024-09-15,1722.7,1748.0,1611.55,1643.75,64587
2024-09-16,1648.95,1660.05,1596.8,1632.5,43235
2024-09-17,1665.0,1699.7,1650.05,1667.0,70683
2024-09-18,1699.8,1699.8,1630.05,1645.8,48140
2024-09-19,1672.85,1718.3,1647.0,1690.2,55102
2024-09-22,1720.0,1774.0,1696.05,1703.5,116695
2024-09-23,1750.0,1755.0,1683.05,1697.85,64835
2024-09-24,1701.0,1724.0,1685.55,1690.5,23901
2024-09-25,1690.0,1710.0,1679.65,1705.5,47353
2024-09-26,1753.0,1790.75,1690.0,1704.1,181586
2024-09-29,1709.0,1789.3,1709.0,1789.3,86304
2024-09-30,1790.0,1825.0,1770.0,1824.45,128322
2024-10-02,1771.1,1823.8,1760.0,1773.4,83656
2024-10-03,1757.5,1818.0,1705.55,1801.8,96551
2024-10-06,1813.0,1820.0,1711.75,1713.95,82460
2024-10-07,1705.0,1724.0,1660.55,1703.25,63549
2024-10-08,1728.8,1829.9,1708.55,1828.6,159082
2024-10-09,1829.9,1829.9,1806.05,1828.9,84908
2024-10-10,1829.9,1829.9,1782.0,1801.65,32155
2024-10-13,1801.65,1850.0,1732.95,1780.0,273319
2024-10-14,1848.0,1848.0,1800.05,1839.65,85884
2024-10-15,1848.0,1850.0,1828.55,1843.05,107811
2024-10-16,1844.95,1850.0,1811.5,1849.45,67114
2024-10-17,1848.95,1848.95,1756.05,1827.5,74643
2024-10-20,1840.0,1900.0,1839.9,1867.85,148841
2024-10-21,1776.05,1811.7,1620.6,1646.4,371003
2024-10-22,1659.95,1719.0,1605.45,1646.0,111019
2024-10-23,1649.6,1682.8,1641.75,1665.75,50125
2024-10-24,1651.0,1665.75,1560.0,1615.4,114598
2024-10-27,1615.35,1645.0,1564.45,1627.0,49937
2024-10-28,1652.9,1658.95,1589.6,1642.5,32991
2024-10-29,1639.6,1704.5,1555.0,1658.35,215376
2024-10-30,1655.0,1680.95,1615.0,1657.35,55243
2024-10-31,1645.0,1700.0,1645.0,1678.85,14021
2024-11-03,1694.0,1701.9,1632.0,1686.6,54015
2024-11-04,1686.6,1698.0,1659.0,1676.25,36127
2024-11-05,1689.95,1750.0,1672.2,1733.95,67586
2024-11-06,1759.95,1765.95,1677.0,1685.2,44811
2024-11-07,1690.0,1711.45,1635.0,1645.85,60448
2024-11-10,1650.2,1693.25,1635.15,1654.5,71578
2024-11-11,1669.9,1673.45,1617.1,1623.4,47022
2024-11-12,1634.8,1634.8,1550.25,1559.1,76663
2024-11-13,1541.0,1595.6,1541.0,1572.85,32567
2024-11-17,1551.0,1619.0,1551.0,1599.4,64376
2024-11-18,1604.05,1638.75,1586.2,1601.95,45924
2024-11-20,1600.0,1606.6,1555.5,1565.8,38374
2024-11-21,1584.95,1589.95,1550.0,1554.1,31333
2024-11-24,1560.15,1595.75,1550.0,1556.85,51586
2024-11-25,1559.9,1589.9,1555.0,1569.1,24491
2024-11-26,1573.75,1587.85,1558.1,1582.35,24591
2024-11-27,1586.9,1633.0,1582.4,1594.1,25265
2024-11-28,1613.7,1613.7,1570.0,1580.75,16206
2024-12-01,1575.05,1620.0,1559.0,1603.1,29874
2024-12-02,1614.0,1668.35,1596.05,1659.35,41164
2024-12-03,1670.0,1689.0,1581.55,1594.95,84640
2024-12-04,1590.0,1628.0,1575.05,1611.15,53233
2024-12-05,1613.55,1686.0,1603.0,1654.95,60573
2024-12-08,1667.95,1727.75,1643.1,1707.25,51347
2024-12-09,1724.3,1809.0,1720.05,1796.45,186149
2024-12-10,1799.95,1854.9,1753.8,1847.75,106893
2024-12-11,1835.0,1910.45,1820.05,1881.0,167562
2024-12-12,1895.0,1901.1,1815.0,1830.15,68207
2024-12-15,1830.9,1888.0,1803.4,1825.2,56415
