,open,high,low,close,volume
2016-12-18,896.25,905.65,896.25,900.9,89547
2016-12-19,901.0,911.0,876.0,879.0,125756
2016-12-20,875.2,892.1,872.0,887.1,187410
2016-12-21,895.8,895.8,862.0,869.55,159068
2016-12-22,860.0,900.0,840.0,887.05,509575
2016-12-25,887.0,887.0,867.7,873.0,140523
2016-12-26,875.9,885.5,856.5,869.6,326374
2016-12-27,870.2,886.0,869.25,870.6,175291
2016-12-28,874.6,879.9,865.0,873.75,172292
2016-12-29,876.0,878.2,868.2,870.3,165990
2017-01-01,874.8,900.0,866.0,896.6,249086
2017-01-02,898.0,898.0,882.3,889.7,163103
2017-01-03,895.0,909.9,889.7,900.3,372046
2017-01-04,904.0,936.0,901.0,920.5,593196
2017-01-05,920.0,933.45,916.55,930.4,197453
2017-01-08,933.0,936.0,900.35,904.3,244319
2017-01-09,902.4,912.0,895.05,902.0,195785
2017-01-10,905.0,911.95,901.85,906.8,178613
2017-01-11,914.9,914.9,891.1,895.5,185336
2017-01-12,897.15,910.7,895.95,900.2,238063
2017-01-15,900.0,903.7,891.0,893.6,227407
2017-01-16,899.25,907.85,876.0,905.7,126649
2017-01-17,902.0,927.65,902.0,926.1,319644
2017-01-18,925.0,941.0,915.4,924.65,314072
2017-01-19,924.65,934.9,895.05,901.45,171906
2017-01-22,889.35,890.05,855.0,870.6,571000
2017-01-23,871.8,879.0,855.55,858.1,591694
2017-01-24,866.0,892.45,863.0,886.15,479339
2017-01-26,890.0,915.95,888.9,904.0,371346
2017-01-29,902.0,925.0,895.0,914.15,291107
2017-01-30,913.1,916.65,892.15,897.95,172868
2017-01-31,898.95,904.6,879.0,900.15,458383
2017-02-01,900.0,925.0,895.25,909.55,369679
2017-02-02,914.0,915.5,900.65,908.15,135375
2017-02-05,915.0,915.0,885.1,892.75,481781
2017-02-06,891.95,895.5,882.05,886.55,255999
2017-02-07,889.0,891.95,871.25,874.9,388479
2017-02-08,878.9,885.6,871.7,880.3,162428
2017-02-09,890.0,890.0,870.0,872.4,222219
2017-02-12,878.65,879.45,861.1,869.3,223243
2017-02-13,872.25,873.95,858.0,860.3,204671
2017-02-14,864.9,864.9,842.55,848.5,242446
2017-02-15,854.9,854.9,831.5,849.5,721324
2017-02-16,859.9,864.65,847.7,854.4,757367
2017-02-19,859.0,866.4,855.0,863.1,650341
2017-02-20,863.0,867.5,857.0,859.0,379032
2017-02-21,856.2,859.7,847.8,849.0,289315
2017-02-22,850.0,855.0,842.0,845.7,382669
2017-02-26,846.0,864.75,843.0,861.4,340358
2017-02-27,865.0,874.9,856.8,858.4,572398
2017-02-28,863.0,863.75,850.1,851.6,380739
2017-03-01,856.6,859.4,842.15,844.55,253325
2017-03-02,850.5,853.75,835.95,850.1,368741
2017-03-05,853.8,854.5,842.55,848.7,207499
2017-03-06,850.05,853.0,840.25,841.2,453699
2017-03-07,843.9,845.7,829.5,831.95,360957
2017-03-08,826.2,831.05,821.55,823.25,270479
2017-03-09,825.0,838.0,823.0,828.55,722438
2017-03-13,845.0,845.0,831.0,832.3,564519
2017-03-14,834.9,870.0,831.8,865.4,1536282
2017-03-15,873.0,896.0,872.45,884.9,1061256
2017-03-16,891.0,892.0,870.75,877.75,362043
2017-03-19,880.9,886.0,868.25,874.25,414484
2017-03-20,874.35,874.4,855.15,862.8,264609
2017-03-21,856.0,878.0,848.0,869.0,481439
2017-03-22,873.9,883.25,871.15,881.05,490898
2017-03-23,887.0,894.5,872.0,875.95,674342
2017-03-26,875.95,880.55,859.0,860.6,326554
2017-03-27,863.0,875.35,863.0,871.35,213701
2017-03-28,871.8,881.1,870.7,873.7,286119
2017-03-29,877.5,882.2,867.05,870.3,351284
2017-03-30,871.3,894.0,871.3,890.05,525835
2017-04-02,898.0,915.1,895.0,908.35,861505
2017-04-04,913.0,913.95,894.2,896.05,618386
2017-04-05,890.1,905.9,889.3,902.7,415872
2017-04-06,899.75,905.0,888.05,892.05,175141
2017-04-09,894.8,901.0,883.5,886.2,187644
2017-04-10,888.0,903.0,876.8,880.65,642721
2017-04-11,881.5,889.2,867.0,868.95,564561
2017-04-12,867.45,875.7,863.25,865.75,223856
2017-04-16,862.75,870.0,853.75,855.65,246583
2017-04-17,855.65,870.0,853.0,855.65,424388
2017-04-18,856.0,874.25,848.9,868.85,556790
2017-04-19,875.0,888.0,863.5,867.0,1190084
2017-04-20,872.8,877.4,867.0,874.75,550317
2017-04-23,874.9,880.0,864.05,875.55,362706
2017-04-24,879.9,881.55,873.5,878.15,321294
2017-04-25,883.0,890.0,876.05,883.85,497283
2017-04-26,887.6,893.9,876.0,882.95,332677
2017-04-27,882.9,893.5,879.9,890.1,303683
2017-05-01,897.8,900.95,887.4,893.2,371067
2017-05-02,894.15,898.75,870.55,877.05,444532
2017-05-03,876.9,889.0,876.9,881.45,280130
