,open,high,low,close,volume
2016-12-18,178.7,180.95,176.2,179.05,9178
2016-12-19,179.7,179.7,173.0,174.45,6037
2016-12-20,173.1,174.9,170.0,171.6,7768
2016-12-21,171.25,172.9,170.05,171.55,6732
2016-12-22,171.0,174.6,169.0,172.35,20213
2016-12-25,172.05,172.05,167.45,170.3,1014064
2016-12-26,171.9,186.7,170.25,175.3,1394059
2016-12-27,176.7,182.0,175.2,176.1,472907
2016-12-28,176.15,178.5,175.05,176.9,13275
2016-12-29,177.1,181.95,176.1,177.95,18446
2017-01-01,177.55,179.5,177.0,177.95,5875
2017-01-02,179.8,181.7,178.5,181.25,14585
2017-01-03,180.05,183.0,178.0,179.05,10128
2017-01-04,180.05,185.5,179.0,184.35,24285
2017-01-05,185.25,193.9,183.15,188.45,82342
2017-01-08,193.7,194.7,190.65,192.65,58475
2017-01-09,191.05,195.0,189.0,190.55,37903
2017-01-10,192.0,198.0,191.95,197.2,95415
2017-01-11,198.95,201.0,195.0,198.85,37143
2017-01-12,199.0,203.25,198.0,200.15,35883
2017-01-15,199.1,202.9,199.0,201.45,16280
2017-01-16,201.45,202.8,197.0,198.95,19259
2017-01-17,199.5,200.8,198.05,199.25,7847
2017-01-18,198.3,201.0,198.05,199.95,16224
2017-01-19,200.0,200.0,191.65,194.0,43008
2017-01-22,195.0,197.95,188.0,196.35,15849
2017-01-23,197.95,200.0,196.25,198.75,18399
2017-01-24,198.05,204.0,196.05,202.65,30714
2017-01-26,203.95,205.0,198.4,199.9,22375
2017-01-29,199.9,204.6,194.3,198.45,51694
2017-01-30,197.1,199.5,197.0,198.05,6614
2017-01-31,197.95,202.8,197.0,201.7,17124
2017-02-01,202.8,204.0,200.0,203.1,18079
2017-02-02,203.0,205.9,199.05,201.8,44792
2017-02-05,201.0,205.0,200.5,200.9,34242
2017-02-06,200.05,203.5,200.0,201.7,12413
2017-02-07,203.95,203.95,200.0,201.0,22334
2017-02-08,199.7,204.0,199.7,201.9,11718
2017-02-09,202.65,206.4,201.0,205.65,29367
2017-02-12,206.65,206.9,201.1,201.35,19492
2017-02-13,201.05,205.85,201.0,201.25,11128
2017-02-14,200.5,204.9,198.2,203.05,23846
2017-02-15,202.0,203.9,197.1,202.9,20627
2017-02-16,202.0,203.9,200.0,203.4,41444
2017-02-19,203.95,206.7,201.0,204.95,27339
2017-02-20,204.4,219.4,202.1,214.0,189205
2017-02-21,215.9,224.0,212.0,215.8,66683
2017-02-22,215.95,215.95,212.0,212.7,14940
2017-02-26,211.0,215.25,209.2,210.85,23880
2017-02-27,210.7,212.4,210.0,210.7,9612
2017-02-28,211.95,213.0,210.0,210.1,9851
2017-03-01,210.0,212.95,204.0,205.75,18170
2017-03-02,207.25,210.25,207.0,207.85,15788
2017-03-05,208.9,211.0,205.1,206.9,16296
2017-03-06,208.0,211.0,206.35,208.2,9723
2017-03-07,208.2,212.75,208.0,211.1,29507
2017-03-08,211.1,213.0,208.5,210.35,17953
2017-03-09,209.5,219.0,209.2,213.4,51599
2017-03-13,215.0,218.8,213.05,216.55,50517
2017-03-14,216.55,218.5,213.0,217.5,45824
2017-03-15,217.95,218.75,215.0,215.35,18950
2017-03-16,216.7,216.7,211.2,212.2,19758
2017-03-19,210.1,213.8,209.0,210.95,36982
2017-03-20,209.0,211.0,208.0,210.05,111650
2017-03-21,211.0,212.85,209.05,210.1,38413
2017-03-22,211.95,213.0,210.1,211.6,12190
2017-03-23,210.5,212.9,210.0,211.9,17665
2017-03-26,210.5,212.7,207.0,211.2,33645
2017-03-27,210.5,211.6,207.4,210.45,7881
2017-03-28,209.5,212.75,207.3,209.55,63423
2017-03-29,210.9,212.0,207.4,211.25,181276
2017-03-30,211.95,221.9,209.2,217.5,64464
2017-04-02,219.95,220.0,216.65,219.3,11248
2017-04-04,218.8,231.7,218.45,229.2,1299344
2017-04-05,229.2,229.2,222.75,226.55,20667
2017-04-06,227.0,227.9,223.0,224.75,52808
2017-04-09,225.0,226.8,221.0,222.3,26073
2017-04-10,223.0,229.0,221.0,228.4,26757
2017-04-11,229.0,230.85,223.0,224.95,20666
2017-04-12,224.0,227.0,223.05,224.5,13837
2017-04-16,224.0,225.8,223.05,223.7,11824
2017-04-17,225.95,227.0,217.0,217.75,22005
2017-04-18,218.95,219.9,215.0,216.6,32397
2017-04-19,216.6,221.9,216.1,219.65,22104
2017-04-20,221.0,221.0,216.7,218.05,30888
2017-04-23,217.0,222.95,216.05,221.05,42278
2017-04-24,221.9,224.0,217.0,218.15,21900
2017-04-25,219.0,221.0,214.05,216.1,24789
2017-04-26,216.9,219.9,214.65,216.95,18638
2017-04-27,217.45,217.5,213.0,215.85,20540
2017-05-01,216.95,218.0,215.05,217.65,13949
2017-05-02,216.95,229.4,216.1,226.75,99430
2017-05-03,229.85,229.85,224.15,227.7,116113
2017-05-04,227.7,236.7,226.3,227.4,90305
2017-05-07,226.75,234.85,226.75,233.05,71047
2017-05-08,233.1,236.3,232.5,234.1,56634
2017-05-09,232.2,236.9,230.45,232.25,40624
2017-05-10,238.0,241.4,233.3,240.25,55241
2017-05-11,239.0,239.5,234.0,238.95,57564
2017-05-14,238.5,257.8,236.25,254.75,346050
2017-05-15,258.0,259.0,242.0,244.25,472354
2017-05-16,245.0,251.0,244.1,245.55,50141
2017-05-17,245.0,245.0,236.2,237.2,44787
2017-05-18,238.0,240.75,235.0,239.85,60394
2017-05-21,240.75,244.0,237.65,239.45,54774
2017-05-22,241.4,244.0,237.0,243.15,95064
2017-05-23,242.05,244.0,235.3,240.95,87976
2017-05-24,242.35,245.0,238.0,243.15,51840
2017-05-25,243.85,244.0,240.1,241.9,16866
2017-05-28,240.0,242.0,236.6,240.8,21565
2017-05-29,239.95,241.0,237.0,240.3,20638
2017-05-30,239.0,267.85,238.2,259.55,98692
2017-05-31,266.9,269.4,262.5,265.05,40100
2017-06-01,265.0,268.25,261.55,265.3,18404
2017-06-04,268.0,275.4,264.3,268.6,43230
2017-06-05,267.0,272.4,265.45,269.95,21822
2017-06-06,272.0,273.85,266.65,270.35,14232
2017-06-07,272.0,276.9,266.4,274.05,27469
2017-06-08,276.9,279.8,270.6,272.95,30858
2017-06-11,275.9,275.9,262.5,263.7,26850
2017-06-12,268.0,268.0,257.0,258.6,61576
2017-06-13,258.8,262.5,256.1,256.6,14185
2017-06-14,256.1,258.9,253.1,254.75,26215
2017-06-15,254.0,261.8,251.6,253.8,26898
2017-06-18,257.9,257.9,250.15,251.95,34278
2017-06-19,255.9,255.9,250.0,251.9,64125
2017-06-20,250.05,257.2,250.0,256.95,32483
2017-06-21,260.8,269.35,256.2,258.9,101477
2017-06-22,259.95,259.95,251.1,254.6,33171
2017-06-26,259.0,259.0,241.1,243.1,32219
2017-06-27,243.0,245.4,240.1,243.7,18757
2017-06-28,247.15,247.15,240.0,245.6,12227
2017-06-29,245.95,246.0,241.05,244.9,11033
2017-07-02,247.95,254.0,244.05,250.75,13443
2017-07-03,250.0,260.5,250.0,259.95,50173
2017-07-04,258.6,263.0,248.1,249.4,72327
2017-07-05,251.9,258.65,249.25,252.85,63545
2017-07-06,253.95,255.95,249.0,252.35,23194
2017-07-09,250.05,255.0,249.95,253.65,2659
2017-07-10,253.95,255.7,250.15,252.65,18437
2017-07-11,253.95,255.0,250.6,252.7,5657
2017-07-12,253.95,254.95,251.4,251.85,7210
2017-07-13,253.85,255.9,249.3,254.3,19089
2017-07-16,253.05,255.4,252.4,254.05,19047
2017-07-17,254.0,256.5,252.1,255.45,25801
2017-07-18,254.35,260.0,254.05,259.85,47130
2017-07-19,259.0,274.5,258.0,272.45,94619
2017-07-20,270.05,273.0,265.5,270.75,35496
2017-07-23,270.0,275.0,270.0,271.9,26923
2017-07-24,271.15,273.9,268.5,270.2,16971
2017-07-25,270.2,274.5,268.0,273.45,53608
2017-07-26,275.75,275.75,270.0,272.45,18700
2017-07-27,271.05,278.8,270.15,275.75,28611
2017-07-30,278.55,298.8,275.65,293.2,170658
2017-07-31,293.2,294.6,285.0,287.95,34945
2017-08-01,289.2,289.2,281.0,285.5,17708
2017-08-02,286.0,290.0,282.35,286.6,18136
2017-08-03,286.05,290.0,282.1,287.45,27739
2017-08-06,288.0,298.7,284.0,296.45,20070
2017-08-07,296.45,298.8,285.5,291.45,27258
2017-08-08,294.95,295.95,286.0,289.85,33916
2017-08-09,294.85,294.85,281.1,283.55,65784
2017-08-10,280.05,286.0,275.0,284.2,21462
2017-08-13,282.05,322.85,279.25,300.45,135425
2017-08-15,311.0,311.0,293.0,295.5,39462
