,open,high,low,close,volume
2016-12-18,115.1,117.65,114.7,115.65,137173
2016-12-19,116.0,116.75,112.5,112.85,90204
2016-12-20,113.6,114.65,111.2,111.6,92244
2016-12-21,111.9,113.05,109.2,109.9,94411
2016-12-22,110.75,112.7,109.05,110.6,133209
2016-12-25,111.0,111.25,107.1,108.45,110518
2016-12-26,109.0,109.9,107.55,108.75,70150
2016-12-27,109.75,110.8,108.1,108.35,99876
2016-12-28,108.65,110.55,108.6,109.25,80736
2016-12-29,108.8,111.0,108.8,109.65,87632
2017-01-01,109.95,110.85,109.15,110.45,53792
2017-01-02,111.0,114.3,110.65,113.1,192888
2017-01-03,113.65,114.8,112.45,113.1,96658
2017-01-04,113.5,114.6,113.5,113.9,101232
2017-01-05,113.9,115.7,113.4,113.8,117017
2017-01-08,113.8,118.8,113.3,117.95,318010
2017-01-09,121.0,124.6,120.25,121.85,1125139
2017-01-10,122.8,122.9,120.15,120.8,228939
2017-01-11,121.1,122.6,118.25,119.1,152882
2017-01-12,119.2,119.95,117.05,117.55,97290
2017-01-15,117.55,118.8,116.1,117.15,86535
2017-01-16,118.0,118.4,115.6,116.0,68248
2017-01-17,116.5,117.8,116.2,116.5,112120
2017-01-18,117.0,118.95,117.0,118.05,155406
2017-01-19,118.1,123.35,116.8,122.35,654194
2017-01-22,122.0,124.5,122.0,123.3,447252
2017-01-23,124.65,125.9,123.4,124.75,477128
2017-01-24,125.75,126.0,123.75,124.4,280920
2017-01-26,125.2,125.4,123.4,123.95,248354
2017-01-29,124.0,125.85,117.5,118.55,704957
2017-01-30,118.1,119.9,117.0,118.2,272999
2017-01-31,119.4,120.7,117.5,118.2,358702
2017-02-01,118.85,119.25,113.45,114.05,379922
2017-02-02,114.75,117.5,114.05,115.85,214746
2017-02-05,116.75,118.15,115.5,116.35,523894
2017-02-06,116.8,117.0,114.6,115.1,217858
2017-02-07,115.55,116.0,114.8,115.25,89354
2017-02-08,115.0,115.85,110.75,111.9,645926
2017-02-09,112.7,113.2,111.0,112.5,328365
2017-02-12,112.85,113.2,112.1,112.6,69596
2017-02-13,112.7,113.35,111.6,112.45,72673
2017-02-14,112.9,113.3,109.7,110.4,206249
2017-02-15,110.45,113.5,110.45,113.0,212517
2017-02-16,113.45,113.65,111.7,112.55,70511
2017-02-19,112.55,114.9,111.95,113.0,308829
2017-02-20,113.7,115.8,113.0,115.05,187945
2017-02-21,115.35,116.4,114.0,115.95,208764
