,open,high,low,close,volume
2018-04-10,113.0,118.65,112.0,118.55,530400
2018-04-11,119.0,121.0,115.0,117.25,178800
2018-04-12,114.0,117.6,112.5,112.95,93600
2018-04-15,107.4,114.8,107.4,112.7,18000
2018-04-16,113.0,113.5,111.0,112.65,10800
2018-04-17,112.85,112.85,112.05,112.65,7200
2018-04-18,112.65,117.0,112.25,114.5,31200
2018-04-19,116.0,117.4,114.1,114.5,28800
2018-04-22,117.0,120.2,115.0,120.2,98400
2018-04-23,125.8,126.2,116.05,123.75,62400
2018-04-24,118.0,145.0,117.0,140.45,718800
2018-04-25,145.0,152.0,135.5,150.9,148800
2018-04-26,152.95,156.0,149.5,150.0,50400
2018-04-29,145.0,149.0,140.0,140.95,10800
2018-05-01,143.9,143.9,136.0,137.3,15600
2018-05-02,135.0,135.0,132.2,132.2,4800
2018-05-03,133.0,139.35,129.15,139.35,15600
2018-05-06,135.05,135.05,135.0,135.0,3600
2018-05-07,136.0,136.0,136.0,136.0,1200
2018-05-08,137.75,137.85,134.0,134.0,7200
2018-05-09,128.3,130.0,128.0,128.0,7200
2018-05-10,127.0,133.7,127.0,131.25,4800
2018-05-13,135.0,137.95,126.5,128.0,13200
2018-05-14,122.8,131.0,122.0,125.0,28800
2018-05-16,125.0,125.0,121.65,122.5,7200
2018-05-17,121.0,123.0,119.0,119.0,6000
2018-05-21,114.9,114.9,110.0,110.3,8400
2018-05-21,110.1,112.95,110.1,112.95,3600
2018-05-22,110.0,110.0,107.25,107.85,6000
2018-05-23,107.5,117.5,107.25,117.5,10800
2018-05-24,115.1,115.1,115.1,115.1,2400
2018-05-27,110.0,110.0,110.0,110.0,1200
2018-05-29,113.5,113.95,113.5,113.95,3600
2018-06-03,108.0,108.0,102.0,102.85,55200
2018-06-04,95.15,100.0,95.15,95.35,8400
2018-06-06,110.0,110.0,105.0,105.0,4800
2018-06-10,107.0,109.95,104.05,104.05,39600
2018-06-12,109.95,109.95,109.95,109.95,1200
2018-06-14,106.0,106.0,106.0,106.0,1200
2018-06-17,106.0,106.0,106.0,106.0,1200
2018-06-18,106.0,106.0,98.0,98.0,9600
2018-06-19,102.8,102.85,102.8,102.85,2400
2018-06-21,98.0,98.0,98.0,98.0,1200
