,open,high,low,close,volume
2022-04-07,75.25,78.2,74.25,75.3,1398068
2022-04-10,76.95,79.75,75.25,76.45,680924
2022-04-11,76.7,77.2,75.25,76.15,349208
2022-04-12,77.5,79.45,76.3,76.9,396676
2022-04-17,76.7,77.45,76.1,76.9,305540
2022-04-18,77.5,77.5,75.5,75.7,486408
2022-04-19,76.0,76.3,75.4,75.8,312884
2022-04-20,77.25,77.25,75.4,75.8,270544
2022-04-21,75.75,76.75,75.1,75.3,288368
2022-04-24,75.35,76.25,74.3,75.1,350280
2022-04-25,75.4,76.3,75.0,75.65,380628
2022-04-26,75.7,77.45,75.2,76.25,348232
2022-04-27,76.9,79.9,76.25,77.95,333512
2022-04-28,77.95,79.7,77.5,78.5,224268
2022-05-01,80.25,80.3,78.25,78.7,203324
2022-05-03,80.45,80.45,78.65,79.0,184564
2022-05-04,79.7,82.9,79.2,81.1,309256
2022-05-05,80.0,81.25,75.5,80.25,228744
2022-05-08,80.9,80.9,79.0,79.8,130940
2022-05-09,79.75,81.75,78.8,80.5,192216
2022-05-10,80.5,80.9,76.7,77.5,249288
2022-05-11,77.25,78.5,76.2,76.5,213544
2022-05-12,77.5,78.75,77.25,78.1,154536
2022-05-15,78.1,79.5,78.0,78.55,179796
2022-05-16,78.7,79.5,78.0,79.1,141164
2022-05-17,80.0,80.6,78.75,79.95,199644
2022-05-18,79.4,79.6,78.0,79.0,156164
2022-05-19,79.5,81.85,79.0,81.3,192408
2022-05-22,82.2,96.25,81.65,85.1,297884
2022-05-23,85.0,85.15,81.3,83.8,213164
2022-05-24,87.65,89.0,85.0,85.4,278804
2022-05-25,87.4,87.45,83.7,86.3,185232
2022-05-26,87.5,87.75,86.5,86.55,175152
2022-05-29,86.75,88.3,84.7,85.2,253576
2022-05-30,85.5,86.2,83.2,85.5,312692
2022-05-31,85.1,87.5,85.0,86.8,173264
2022-06-01,87.0,88.35,86.25,86.9,132444
2022-06-02,86.25,87.85,86.25,86.8,117532
2022-06-05,88.5,88.5,86.25,86.5,422856
2022-06-06,86.3,87.65,86.3,86.8,106732
2022-06-07,86.9,87.5,85.65,86.8,173596
2022-06-08,88.25,88.25,86.3,87.45,115760
