,open,high,low,close,volume
2016-12-18,351.39,354.8,344.96,346.14,778718
2016-12-19,347.18,349.44,342.72,343.84,132738
2016-12-20,345.6,352.75,337.78,349.52,2316562
2016-12-21,348.82,354.24,346.46,352.29,450282
2016-12-22,353.92,355.66,350.08,352.7,335986
2016-12-25,352.64,359.04,347.65,349.78,430916
2016-12-26,351.65,353.28,346.88,351.62,301272
2016-12-27,354.72,358.05,346.78,348.72,257678
2016-12-28,349.12,358.4,348.98,354.88,941416
2016-12-29,356.4,358.72,352.66,355.22,207960
2017-01-01,358.13,368.64,352.98,365.14,478022
2017-01-02,368.64,379.52,368.0,376.58,769792
2017-01-03,377.6,379.2,366.11,368.42,239168
2017-01-04,372.45,376.96,370.5,375.78,128200
2017-01-05,377.44,381.68,372.48,373.68,296662
2017-01-08,373.17,396.48,371.2,377.94,699998
2017-01-09,381.41,382.72,372.93,381.49,665820
2017-01-10,383.98,385.6,376.67,378.74,578768
2017-01-11,381.76,391.04,376.99,389.55,601758
2017-01-12,390.34,392.96,384.96,386.0,447618
2017-01-15,386.43,389.76,381.76,383.15,185986
2017-01-16,384.64,390.4,381.82,384.14,435590
2017-01-17,384.14,384.14,377.63,380.58,448626
2017-01-18,383.04,383.04,375.49,377.7,422618
2017-01-19,377.92,379.06,371.7,374.64,525838
2017-01-22,377.12,380.48,371.52,374.53,218810
2017-01-23,377.44,382.83,374.77,381.36,319642
2017-01-24,381.76,383.82,379.52,382.02,630856
2017-01-26,379.52,387.82,379.52,385.02,275018
2017-01-29,381.3,387.84,381.3,385.02,186006
2017-01-30,386.21,386.21,363.52,379.34,3219280
2017-01-31,380.8,385.28,372.42,380.75,707618
2017-02-01,384.32,384.32,374.08,382.82,562540
2017-02-02,383.3,392.0,377.81,389.25,422948
2017-02-05,391.2,415.68,385.94,406.51,3697798
2017-02-06,410.5,412.72,400.03,403.01,1072186
2017-02-07,404.48,414.4,403.52,412.35,607076
2017-02-08,414.4,422.08,411.36,420.19,636560
2017-02-09,422.4,426.24,420.24,424.56,661796
2017-02-12,427.2,427.52,413.07,417.25,781258
2017-02-13,416.0,416.0,395.84,408.56,1778892
2017-02-14,406.08,406.08,392.66,393.49,909182
2017-02-15,392.96,399.63,392.34,394.83,547426
2017-02-16,396.78,397.82,389.76,390.88,441620
2017-02-19,392.64,396.08,391.04,391.89,596380
2017-02-20,391.36,394.42,391.22,391.89,212430
2017-02-21,391.17,391.66,385.06,388.75,416500
2017-02-22,387.2,391.01,378.56,379.68,393452
2017-02-26,380.1,392.32,377.6,389.63,1899778
2017-02-27,390.08,394.46,385.28,389.09,1594910
2017-02-28,392.0,394.24,389.23,391.57,903030
2017-03-01,393.6,395.42,389.22,392.9,851662
2017-03-02,393.6,396.48,392.0,394.7,443186
2017-03-05,398.22,399.04,393.62,396.18,378946
2017-03-06,397.97,401.57,396.34,399.07,492768
2017-03-07,397.15,397.44,384.66,392.85,1237900
2017-03-08,392.64,394.56,388.8,390.38,623466
2017-03-09,390.72,401.33,388.98,397.25,518950
2017-03-13,401.76,405.28,395.87,397.38,1085910
2017-03-14,399.79,404.78,395.84,401.31,569018
2017-03-15,403.04,404.86,391.54,396.82,1234398
2017-03-16,399.68,402.56,394.29,397.25,1211140
2017-03-19,396.91,405.98,396.91,399.15,844008
2017-03-20,401.57,402.85,395.57,396.72,668030
2017-03-21,395.52,398.4,389.6,397.23,3071788
2017-03-22,400.64,402.56,396.94,398.54,399540
2017-03-23,400.26,405.44,399.23,400.13,752272
2017-03-26,403.2,403.55,393.63,395.02,746458
2017-03-27,395.87,399.68,392.0,398.05,1502140
2017-03-28,399.04,403.65,395.07,402.51,1028056
2017-03-29,402.51,410.54,397.15,405.7,1841306
2017-03-30,409.36,412.19,405.95,407.58,852716
2017-04-02,407.62,412.24,399.71,404.48,1919562
2017-04-04,394.4,409.48,393.76,405.12,2972804
2017-04-05,410.0,424.0,409.5,420.72,1912564
2017-04-06,423.42,455.54,419.0,448.5,3970766
2017-04-09,455.98,458.4,441.02,452.52,1281494
2017-04-10,452.12,464.4,451.52,462.04,938240
2017-04-11,464.0,466.0,454.42,458.64,723376
2017-04-12,459.14,475.2,456.42,471.6,883602
2017-04-16,474.0,476.0,461.64,473.5,733206
2017-04-17,470.6,478.8,470.4,476.24,694686
2017-04-18,476.28,491.0,474.0,487.38,900498
2017-04-19,488.0,496.0,464.82,471.18,1896530
2017-04-20,474.0,482.68,470.06,477.74,763772
2017-04-23,479.98,484.1,472.44,481.56,421812
2017-04-24,482.04,487.22,480.68,485.44,695034
2017-04-25,486.0,490.74,483.2,485.44,518230
2017-04-26,485.98,489.74,480.4,484.7,627564
2017-04-27,485.24,488.74,484.64,487.14,693676
2017-05-01,487.2,487.5,477.02,479.84,627986
2017-05-02,479.6,485.98,468.0,469.48,282010
2017-05-03,473.64,480.0,469.4,476.14,349554
2017-05-04,475.98,476.84,470.48,475.98,368510
2017-05-07,475.86,485.2,466.36,472.22,818192
2017-05-08,477.0,480.26,468.8,478.54,397242
2017-05-09,480.0,484.8,475.6,477.56,409416
2017-05-10,483.9,483.9,458.42,465.56,780646
2017-05-11,468.0,474.8,464.74,473.16,484670
2017-05-14,477.16,477.16,470.02,473.02,252646
2017-05-15,475.94,487.08,474.64,479.72,874278
2017-05-16,480.0,483.98,474.1,477.68,260264
2017-05-17,474.0,484.0,470.46,478.18,716902
2017-05-18,482.0,492.0,476.0,479.28,910848
2017-05-21,482.8,487.0,473.2,480.06,548694
2017-05-22,480.4,500.64,467.2,488.4,2259714
2017-05-23,494.12,500.0,469.18,471.88,1467440
2017-05-24,474.54,477.66,458.32,461.94,974662
2017-05-25,475.56,486.4,474.24,483.4,1348364
2017-05-28,485.56,485.56,459.24,472.12,596444
2017-05-29,475.96,475.96,460.94,466.76,263128
2017-05-30,468.0,473.12,462.4,464.08,718922
2017-05-31,466.7,467.98,456.86,464.86,778800
2017-06-01,465.2,470.0,463.18,465.02,488750
2017-06-04,467.96,470.94,464.8,469.08,277706
2017-06-05,471.08,472.0,465.68,468.18,192252
2017-06-06,471.56,472.8,468.18,470.5,506594
2017-06-07,475.2,475.2,464.8,466.34,343906
2017-06-08,467.78,474.54,462.5,472.3,317728
2017-06-11,472.0,474.0,466.74,469.04,128648
2017-06-12,469.04,470.64,465.82,467.62,170064
2017-06-13,469.56,469.56,454.3,459.28,374062
2017-06-14,461.16,464.36,452.44,454.44,195834
2017-06-15,456.8,459.2,450.4,454.28,442500
2017-06-18,454.88,461.06,448.0,453.12,323772
2017-06-19,455.68,479.48,452.08,474.58,1271990
2017-06-20,480.0,482.66,473.64,477.34,1707442
2017-06-21,478.36,485.32,476.84,479.62,944696
2017-06-22,480.4,481.98,462.96,465.68,472078
2017-06-26,468.4,468.4,450.3,453.54,485650
2017-06-27,454.3,473.6,451.24,452.84,601372
