,open,high,low,close,volume
2016-12-18,231.25,231.25,222.4,225.05,65405
2016-12-19,224.45,229.0,222.65,224.65,48714
2016-12-20,225.6,227.0,220.0,220.3,39425
2016-12-21,220.3,222.9,218.0,218.55,34661
2016-12-22,218.95,221.25,215.35,217.1,33992
2016-12-25,216.65,218.65,212.0,215.25,34130
2016-12-26,216.4,220.0,214.55,218.75,29243
2016-12-27,220.1,223.95,216.65,218.25,56109
2016-12-28,218.75,221.95,217.35,218.85,17090
2016-12-29,219.95,224.95,219.25,221.45,62522
2017-01-01,223.35,224.25,219.35,220.85,33767
2017-01-02,222.0,228.0,221.05,224.7,108660
2017-01-03,225.65,232.35,223.75,231.65,105144
2017-01-04,233.35,237.7,232.0,233.2,78791
2017-01-05,233.35,235.7,230.0,230.95,46770
2017-01-08,232.55,233.35,226.65,227.8,45438
2017-01-09,229.15,242.55,226.0,235.3,182522
2017-01-10,237.65,240.0,231.35,238.4,136886
2017-01-11,239.35,243.15,235.35,235.65,59231
2017-01-12,236.25,237.9,232.45,234.85,48527
2017-01-15,240.65,251.0,240.65,246.6,266294
2017-01-16,246.8,252.6,246.8,248.7,113700
2017-01-17,249.75,250.95,248.0,248.5,41027
2017-01-18,249.95,250.65,245.35,247.25,53103
2017-01-19,248.15,248.15,240.0,245.95,51447
2017-01-22,246.65,248.65,243.45,245.95,30417
2017-01-23,246.65,250.5,245.4,248.2,64347
2017-01-24,250.0,251.95,248.0,249.15,56633
2017-01-26,249.35,253.3,247.2,248.8,67287
2017-01-29,247.95,252.35,246.0,247.25,45138
2017-01-30,244.65,249.35,240.1,241.55,51797
2017-01-31,241.6,248.0,240.65,246.65,42681
2017-02-01,246.75,250.0,245.6,247.75,36944
2017-02-02,249.6,253.35,249.35,252.15,88362
2017-02-05,254.0,256.55,248.35,251.2,105975
2017-02-06,252.4,252.4,248.35,249.5,44504
2017-02-07,250.45,252.65,249.65,250.1,65070
2017-02-08,251.8,254.0,246.65,248.15,127503
2017-02-09,243.35,249.35,234.25,247.0,281738
2017-02-12,246.65,252.0,244.05,247.15,77007
2017-02-13,249.2,249.2,243.4,244.35,35984
2017-02-14,243.65,249.95,236.65,239.15,136472
2017-02-15,238.75,240.65,236.65,238.65,53129
2017-02-16,241.2,249.65,238.75,239.7,156746
2017-02-19,240.0,243.65,240.0,241.45,43974
2017-02-20,241.45,245.45,241.45,243.85,42732
2017-02-21,243.85,243.85,238.65,239.15,41658
2017-02-22,240.0,241.75,238.0,240.2,35211
2017-02-26,241.85,241.85,237.35,237.85,43848
2017-02-27,239.15,240.0,231.35,233.3,89910
2017-02-28,234.45,237.4,234.05,236.15,46797
2017-03-01,237.3,241.95,235.35,239.4,149082
2017-03-02,239.4,240.65,235.85,238.45,39267
2017-03-05,236.65,240.85,236.65,238.55,128147
2017-03-06,239.6,240.95,235.35,237.85,35829
2017-03-07,239.15,239.15,235.35,236.5,50183
2017-03-08,233.65,241.35,233.65,239.15,59504
2017-03-09,238.8,242.95,236.0,237.3,34763
2017-03-13,243.25,244.65,240.0,240.35,46248
2017-03-14,241.3,245.6,240.0,244.85,88035
2017-03-15,247.35,255.25,246.65,252.85,249447
2017-03-16,255.15,264.65,254.75,258.95,659244
2017-03-19,259.95,263.35,258.65,261.1,118047
2017-03-20,262.95,263.35,255.35,258.05,76817
2017-03-21,256.85,256.85,250.15,251.35,126290
2017-03-22,251.35,255.25,248.0,252.05,95652
2017-03-23,254.0,260.65,253.35,254.45,222527
2017-03-26,254.55,256.0,249.35,250.6,114749
2017-03-27,252.85,255.5,250.65,251.85,49587
2017-03-28,253.3,255.25,251.6,253.4,64221
2017-03-29,254.65,255.7,251.35,251.85,34214
2017-03-30,253.75,254.0,247.4,248.65,135860
2017-04-02,249.45,254.65,249.45,251.8,81257
2017-04-04,250.2,264.6,250.2,262.4,365097
2017-04-05,262.4,269.8,261.65,262.1,258122
2017-04-06,261.95,270.0,260.0,262.25,197253
2017-04-09,267.05,269.35,263.35,265.35,270765
2017-04-10,265.95,268.65,262.65,264.45,110766
2017-04-11,264.65,266.25,258.0,259.45,127577
2017-04-12,257.5,263.95,257.5,258.6,82401
2017-04-16,259.35,261.05,256.75,258.15,54537
2017-04-17,259.75,264.5,257.35,259.35,162525
2017-04-18,260.45,260.45,256.95,258.55,54746
2017-04-19,258.25,264.0,257.5,258.9,93612
2017-04-20,259.95,265.0,258.0,261.45,135749
2017-04-23,264.65,280.65,261.35,276.65,772757
2017-04-24,279.2,287.95,277.35,286.6,556512
2017-04-25,287.8,307.95,286.65,302.5,915620
2017-04-26,303.05,311.0,303.05,307.25,372134
2017-04-27,309.2,313.25,304.05,306.95,206697
2017-05-01,309.15,311.3,304.0,307.15,158454
2017-05-02,308.45,309.15,303.25,303.85,94124
2017-05-03,305.95,305.95,298.0,299.55,175362
2017-05-04,300.25,302.8,293.55,299.8,145364
2017-05-07,300.85,303.65,295.35,297.15,69752
2017-05-08,298.0,301.25,296.65,298.15,103970
2017-05-09,299.95,300.0,296.0,297.95,70059
2017-05-10,298.65,305.15,296.05,296.9,84453
2017-05-11,297.65,300.0,294.15,295.95,60593
2017-05-14,298.55,301.95,297.35,300.55,104222
2017-05-15,300.65,301.15,296.85,299.95,124524
2017-05-16,300.0,300.75,293.35,294.8,127287
2017-05-17,292.65,292.65,284.35,285.85,266207
2017-05-18,288.55,291.35,276.75,278.8,143057
2017-05-21,280.0,284.75,273.45,274.2,251264
2017-05-22,276.65,276.65,253.7,263.7,192714
2017-05-23,266.65,272.55,263.75,266.05,79703
2017-05-24,270.95,273.95,268.3,273.1,65484
2017-05-25,275.6,278.85,273.35,275.0,45815
2017-05-28,277.25,279.35,268.05,273.2,50405
2017-05-29,271.95,274.7,268.85,273.05,24332
2017-05-30,275.2,277.85,272.3,274.3,37830
2017-05-31,272.75,280.55,272.75,278.8,30342
2017-06-01,283.05,283.05,277.35,278.85,38750
2017-06-04,279.35,286.65,279.25,285.6,69170
2017-06-05,287.6,288.0,278.7,280.45,41591
2017-06-06,282.95,288.0,278.65,283.45,35181
2017-06-07,281.45,285.9,281.0,282.45,40430
2017-06-08,281.0,283.35,276.0,278.05,45956
2017-06-11,278.95,280.65,270.65,273.1,46274
2017-06-12,274.65,285.85,274.65,281.95,144945
2017-06-13,283.25,283.9,277.5,279.65,59121
2017-06-14,280.0,284.65,274.2,280.45,79811
2017-06-15,282.45,287.95,281.15,282.95,95396
2017-06-18,284.35,288.0,283.2,285.35,85919
2017-06-19,286.65,288.35,279.4,284.45,77787
2017-06-20,285.05,289.35,283.35,284.65,66533
2017-06-21,284.65,286.0,281.35,282.55,45719
2017-06-22,282.55,282.55,274.8,276.15,59505
2017-06-26,278.35,279.8,270.0,273.15,66680
2017-06-27,274.45,274.65,270.0,270.7,22475
2017-06-28,272.65,276.65,271.65,273.35,42549
2017-06-29,273.65,278.4,271.5,276.35,41957
2017-07-02,278.45,285.15,276.05,283.7,55572
2017-07-03,284.45,289.2,283.35,284.6,63995
2017-07-04,286.9,288.65,285.2,288.1,37838
2017-07-05,289.85,291.95,286.75,288.8,42966
2017-07-06,287.35,290.85,285.65,288.45,39180
2017-07-09,291.2,291.2,285.45,288.0,14004
2017-07-10,289.15,294.35,284.85,290.1,139805
2017-07-11,288.65,292.6,288.0,290.15,41730
2017-07-12,292.95,296.0,290.25,291.75,70220
2017-07-13,294.25,294.25,290.15,292.65,48351
2017-07-16,293.35,299.65,293.35,296.4,100061
2017-07-17,297.85,297.85,292.0,292.45,71133
