,open,high,low,close,volume
2023-08-20,10.9,11.45,10.9,11.45,1600
2023-08-21,12.0,12.0,12.0,12.0,1760
2023-08-22,12.6,12.6,12.6,12.6,310
2023-08-23,13.25,13.25,13.25,13.25,320
2023-08-24,13.9,13.9,13.9,13.9,130
2023-08-27,14.6,14.6,14.6,14.6,3530
2023-08-28,15.35,15.35,15.35,15.35,330
2023-08-29,16.1,16.1,16.1,16.1,860
2023-08-30,16.9,16.9,16.9,16.9,1080
2023-08-31,17.75,17.75,17.75,17.75,370
2023-09-03,19.5,19.5,19.5,19.5,380
2023-09-04,21.45,21.45,21.45,21.45,440
2023-09-05,23.6,23.6,23.6,23.6,3000
2023-09-06,24.8,24.8,24.8,24.8,640
2023-09-07,26.0,26.0,26.0,26.0,550
2023-09-10,27.3,27.3,27.3,27.3,3850
2023-09-11,28.7,28.7,28.7,28.7,830
2023-09-12,30.1,30.1,30.1,30.1,2610
2023-09-13,31.6,31.6,31.6,31.6,250
2023-09-14,32.25,32.25,32.25,32.25,680
2023-09-17,32.9,32.9,32.9,32.9,660
2023-09-19,33.55,33.55,33.55,33.55,180
2023-09-20,34.2,34.2,34.2,34.2,90
2023-09-21,34.9,34.9,34.9,34.9,100
2023-09-24,35.6,35.6,35.5,35.6,220
2023-09-25,36.3,36.3,36.3,36.3,30
2023-09-26,37.0,37.0,37.0,37.0,80
2023-09-27,37.75,37.75,37.75,37.75,510
2023-09-28,38.5,38.5,38.5,38.5,880
2023-10-02,39.3,39.3,39.3,39.3,180
2023-10-03,40.05,40.05,40.05,40.05,720
2023-10-04,40.85,40.85,40.85,40.85,40
2023-10-05,41.7,41.7,41.7,41.7,320
2023-10-08,42.5,42.5,42.5,42.5,330
2023-10-09,43.35,43.35,43.35,43.35,80
2023-10-10,44.25,44.25,44.25,44.25,140
2023-10-11,44.3,45.1,44.3,45.1,220
2023-10-12,46.0,46.0,46.0,46.0,3970
2023-10-15,46.95,46.95,46.95,46.95,1190
2023-10-16,47.85,47.85,47.8,47.85,350
2023-10-17,48.8,48.8,48.8,48.8,10
2023-10-18,49.8,49.8,49.7,49.7,1220
2023-10-19,50.7,50.7,50.7,50.7,510
2023-10-22,51.7,51.7,51.7,51.7,380
2023-10-24,52.75,52.75,52.75,52.75,30
2023-10-25,53.8,53.8,53.8,53.8,240
2023-10-26,54.85,54.85,54.85,54.85,160
2023-10-29,55.9,55.95,55.9,55.95,300
2023-10-30,57.05,57.05,57.05,57.05,550
2023-10-31,58.2,58.2,58.2,58.2,250
2023-11-01,59.35,59.35,59.35,59.35,270
2023-11-02,60.55,60.55,60.55,60.55,1358830
2023-11-05,61.7,61.75,61.7,61.75,90
2023-11-06,63.0,63.0,63.0,63.0,580
2023-11-07,64.25,64.25,64.25,64.25,150
2023-11-08,65.55,65.55,65.55,65.55,190
2023-11-09,66.85,66.85,66.85,66.85,320
2023-11-11,68.2,68.2,68.2,68.2,300
2023-11-12,69.55,69.55,69.55,69.55,450
2023-11-14,70.95,70.95,70.95,70.95,590
2023-11-15,72.35,72.35,72.35,72.35,70
2023-11-16,73.7,73.7,73.7,73.7,160
2023-11-19,75.15,75.15,75.15,75.15,640
2023-11-20,76.65,76.65,76.65,76.65,20600
2023-11-21,78.2,78.2,78.0,78.2,260
2023-11-22,79.75,79.75,79.75,79.75,90
2023-11-23,81.35,81.35,81.35,81.35,720
2023-11-27,82.95,82.95,82.95,82.95,1460
2023-11-28,84.6,84.6,84.6,84.6,1080
2023-11-29,86.3,86.3,86.3,86.3,1100
2023-11-30,88.05,88.05,88.05,88.05,1370
2023-12-03,89.8,89.8,89.8,89.8,1690
2023-12-04,91.6,91.6,91.6,91.6,1440
2023-12-05,93.4,93.4,93.4,93.4,1380
2023-12-06,95.3,95.3,95.3,95.3,1270
2023-12-07,97.2,97.2,97.2,97.2,1960
2023-12-10,99.15,99.15,99.15,99.15,1260
2023-12-11,101.1,101.1,101.1,101.1,1650
2023-12-12,103.15,103.15,103.15,103.15,17370
2023-12-13,105.2,105.2,105.2,105.2,1190
2023-12-14,107.3,107.3,107.3,107.3,1200
2023-12-17,109.45,109.45,109.45,109.45,1670
2023-12-18,111.6,111.6,111.6,111.6,1150
2023-12-19,113.85,113.85,113.85,113.85,7190
2023-12-20,116.15,116.15,116.15,116.15,220
2023-12-21,118.45,118.45,118.45,118.45,1340
2023-12-25,120.8,120.8,120.8,120.8,160
2023-12-26,123.25,123.25,123.25,123.25,11830
2023-12-27,125.7,125.7,125.7,125.7,180
2023-12-28,127.9,128.2,127.9,128.2,39630
2023-12-31,130.75,130.75,130.75,130.75,1800
2024-01-01,133.4,133.4,133.4,133.4,370
2024-01-02,136.05,136.05,136.05,136.05,240
2024-01-03,138.75,138.75,138.75,138.75,610
2024-01-04,141.55,141.55,141.55,141.55,930
2024-01-07,144.35,144.35,144.35,144.35,390
2024-01-08,147.25,147.25,147.25,147.25,510
2024-01-09,150.2,150.2,150.0,150.2,1710
2024-01-10,153.2,153.2,153.2,153.2,600
2024-01-11,156.25,156.25,156.25,156.25,3940
2024-01-14,159.4,159.4,159.4,159.4,360
2024-01-15,162.55,162.55,162.55,162.55,6750
2024-01-16,165.8,165.8,165.8,165.8,1080
2024-01-17,169.15,169.15,169.15,169.15,520
2024-01-18,172.5,172.5,172.5,172.5,780
2024-01-19,175.95,175.95,175.95,175.95,130
2024-01-22,179.5,179.5,179.5,179.5,340
2024-01-23,183.05,183.05,183.05,183.05,560
2024-01-28,186.7,186.7,186.7,186.7,976
2024-01-29,190.4,190.4,190.4,190.4,294
2024-01-30,194.2,194.2,194.2,194.2,151
2024-01-31,198.05,198.05,198.05,198.05,124
2024-02-01,202.0,202.0,202.0,202.0,196
2024-02-04,206.0,206.0,206.0,206.0,504
2024-02-05,210.1,210.1,210.1,210.1,562
2024-02-06,214.3,214.3,214.3,214.3,142
2024-02-07,218.55,218.55,218.55,218.55,13505
2024-02-08,222.9,222.9,222.9,222.9,680
2024-02-11,227.35,227.35,227.35,227.35,373
2024-02-12,231.85,231.85,231.85,231.85,741
2024-02-13,236.45,236.45,236.45,236.45,165
2024-02-14,241.15,241.15,241.15,241.15,174
2024-02-15,245.95,245.95,245.95,245.95,671
2024-02-18,250.85,250.85,250.85,250.85,523
2024-02-19,255.85,255.85,255.85,255.85,436
2024-02-20,260.95,260.95,260.95,260.95,304
2024-02-21,266.15,266.15,266.15,266.15,203
2024-02-22,271.45,271.45,271.45,271.45,200
2024-02-25,276.85,276.85,276.85,276.85,2291
2024-02-26,282.35,282.35,282.35,282.35,1390
2024-02-27,285.0,287.95,276.7,287.95,18768
2024-02-28,293.7,293.7,293.7,293.7,12881
2024-02-29,299.55,299.55,299.55,299.55,257
2024-03-01,305.5,305.5,305.5,305.5,211
2024-03-03,311.6,311.6,311.6,311.6,359
2024-03-04,317.8,317.8,317.0,317.0,9295
2024-03-05,323.3,323.3,323.3,323.3,4063
2024-03-06,329.75,329.75,329.75,329.75,1763
2024-03-10,336.3,336.3,336.3,336.3,860
2024-03-11,343.0,343.0,343.0,343.0,4752
2024-03-12,349.8,349.8,336.15,336.15,8033
2024-03-13,329.45,329.45,329.45,329.45,3738
2024-03-14,322.9,322.9,322.9,322.9,3531
2024-03-17,316.45,316.45,316.45,316.45,1207
2024-03-18,310.15,310.15,310.15,310.15,639
2024-03-19,303.95,303.95,303.95,303.95,19127
2024-03-20,305.2,310.0,305.2,310.0,6552
2024-03-21,316.2,316.2,316.2,316.2,2139
2024-03-25,309.9,309.9,309.9,309.9,16817
2024-03-26,303.7,303.7,303.7,303.7,4642
2024-03-27,297.65,297.65,297.65,297.65,1611
2024-03-31,282.8,312.5,282.8,312.45,17541
2024-04-01,312.45,317.0,298.9,304.45,9495
2024-04-02,297.0,304.0,292.0,294.75,5396
2024-04-03,304.9,304.9,294.75,303.1,3958
2024-04-04,303.9,303.95,296.0,300.1,10937
2024-04-07,299.0,315.1,298.15,315.1,19920
2024-04-08,329.8,330.85,322.55,330.85,8864
2024-04-09,347.0,347.35,314.5,325.95,60705
2024-04-11,326.0,342.2,326.0,342.2,20444
2024-04-14,342.2,342.2,310.1,316.15,37656
2024-04-15,315.0,347.75,305.5,340.65,30979
2024-04-17,367.75,374.7,347.0,352.9,50001
2024-04-18,352.9,355.0,336.0,352.1,6336
2024-04-21,355.5,369.65,355.0,359.9,11626
2024-04-22,370.0,370.0,351.0,369.85,7353
2024-04-23,377.25,377.25,360.0,375.75,7412
2024-04-24,385.95,394.5,375.0,394.5,6475
2024-04-25,414.2,414.2,414.2,414.2,2832
2024-04-28,434.9,434.9,434.9,434.9,1581
2024-04-29,456.6,456.6,456.6,456.6,1712
2024-05-01,479.4,479.4,479.4,479.4,717
2024-05-02,503.35,503.35,503.35,503.35,1289
