,open,high,low,close,volume
2016-12-18,926.65,939.95,908.9,935.25,681690
2016-12-19,930.0,939.2,927.35,929.65,411998
2016-12-20,929.05,932.55,916.65,918.6,11873
2016-12-21,921.4,923.3,894.25,901.6,41573
2016-12-22,906.6,907.3,893.35,896.9,45483
2016-12-25,909.35,916.65,893.35,901.4,9863
2016-12-26,916.6,916.6,899.35,905.55,23814
2016-12-27,914.15,921.15,904.05,909.85,9674
2016-12-28,914.45,932.65,910.0,930.75,7815
2016-12-29,933.35,949.35,930.0,933.35,15267
2017-01-01,942.55,949.35,932.65,944.45,12789
2017-01-02,946.6,946.6,928.35,931.7,35433
2017-01-03,946.0,946.65,932.65,944.1,46223
2017-01-04,946.65,957.35,946.65,951.0,33135
2017-01-05,948.65,966.65,937.0,943.45,22745
2017-01-08,946.7,952.65,937.45,946.05,6039
2017-01-09,952.7,958.95,945.45,948.5,6731
2017-01-10,944.65,963.35,944.65,961.25,17006
2017-01-11,961.35,961.35,952.65,954.85,11648
2017-01-12,950.2,961.35,945.35,951.6,9852
2017-01-15,951.0,960.3,951.0,956.3,6749
2017-01-16,959.0,966.55,952.95,954.35,11828
2017-01-17,954.1,976.0,953.35,971.15,19694
2017-01-18,972.45,989.65,970.0,987.55,70955
2017-01-19,994.65,995.35,987.55,993.05,63776
2017-01-22,993.35,1003.15,986.7,999.65,23789
2017-01-23,1002.25,1004.15,998.4,1000.25,10062
2017-01-24,1003.3,1009.35,996.8,1005.85,9920
2017-01-26,1005.85,1006.0,996.75,1001.85,7916
2017-01-29,1003.35,1013.35,986.7,1011.9,16536
2017-01-30,990.05,1012.65,990.05,1007.65,12621
2017-01-31,1013.35,1013.35,994.35,1000.15,38079
2017-02-01,1000.3,1032.65,1000.0,1013.3,13572
2017-02-02,1025.35,1025.35,991.95,993.45,61919
2017-02-05,1006.65,1006.65,994.05,1003.35,11178
2017-02-06,1003.35,1003.35,986.65,991.05,38933
2017-02-07,1006.65,1006.65,973.35,979.7,36786
2017-02-08,972.0,981.85,933.35,942.15,78570
2017-02-09,950.0,952.9,933.35,941.55,23624
2017-02-12,943.35,947.3,930.05,939.45,39462
2017-02-13,942.65,942.65,920.95,929.2,57774
2017-02-14,932.65,935.95,923.35,932.95,28260
2017-02-15,932.95,934.9,907.0,909.75,26817
2017-02-16,916.65,919.15,913.7,916.25,18479
2017-02-19,922.0,925.8,903.35,922.65,9486
2017-02-20,917.35,930.0,917.35,924.65,4824
2017-02-21,918.15,927.0,906.7,910.1,21150
2017-02-22,903.35,911.95,893.35,900.05,79919
2017-02-26,900.05,916.0,900.05,907.75,23129
2017-02-27,909.5,915.75,895.35,898.7,28311
2017-02-28,897.55,908.7,896.65,900.35,18215
2017-03-01,903.9,907.35,873.35,882.6,53028
2017-03-02,882.65,886.7,877.4,884.15,23451
2017-03-05,888.4,888.4,874.0,883.05,86429
2017-03-06,890.65,898.75,881.35,886.05,43992
2017-03-07,893.25,907.35,878.65,897.55,81267
2017-03-08,892.15,942.65,892.15,924.85,76605
2017-03-09,925.35,929.35,917.35,920.15,26301
2017-03-13,926.0,929.35,900.65,929.15,41999
2017-03-14,928.55,932.65,901.3,920.0,91817
2017-03-15,926.65,930.0,915.65,927.05,74970
2017-03-16,926.55,938.5,923.1,936.0,48089
2017-03-19,925.35,938.85,923.35,928.25,11184
2017-03-20,935.25,936.0,925.85,935.05,17315
2017-03-21,931.45,933.4,913.65,916.3,173472
2017-03-22,924.7,934.95,916.75,933.4,7956
2017-03-23,936.0,936.0,913.65,916.1,17802
2017-03-26,906.0,923.35,906.0,910.05,31790
2017-03-27,915.65,922.95,914.65,917.6,6113
2017-03-28,928.0,928.0,913.65,922.95,17820
2017-03-29,924.05,926.5,915.65,918.25,41789
