,open,high,low,close,volume
2016-12-18,89.5,91.45,89.5,91.0,1589392
2016-12-19,91.15,91.2,90.5,90.55,13162
2016-12-20,91.45,91.45,90.5,90.55,28180
2016-12-21,90.5,91.75,90.5,90.65,340306
2016-12-22,91.3,91.8,88.6,88.8,19704
2016-12-25,89.3,89.3,85.05,85.35,16460
2016-12-26,87.95,90.9,85.6,88.95,2839646
2016-12-27,88.5,92.5,87.0,91.5,1107116
2016-12-28,91.0,95.95,90.85,93.35,59132
2016-12-29,93.95,94.4,90.15,91.1,19586
2017-01-01,91.3,92.45,87.65,89.75,31812
2017-01-02,90.5,92.85,90.5,92.5,33624
2017-01-03,93.2,94.0,90.5,91.4,46520
2017-01-04,91.75,92.95,91.3,92.25,13104
2017-01-05,93.0,93.4,92.25,92.8,10050
2017-01-08,91.5,92.95,90.5,91.0,14990
2017-01-09,90.75,92.95,90.75,92.8,22532
2017-01-10,93.45,96.0,92.95,93.7,16942
2017-01-11,93.5,94.95,93.1,94.05,14122
2017-01-12,93.35,96.4,93.35,95.65,123402
2017-01-15,95.0,96.95,94.0,96.45,20442
2017-01-16,95.05,96.95,94.5,95.25,88612
2017-01-17,95.2,97.45,95.05,96.85,19176
2017-01-18,96.55,97.45,96.05,96.6,13994
2017-01-19,96.5,96.9,95.0,96.15,23804
2017-01-22,95.75,96.95,94.5,95.7,13364
2017-01-23,96.2,96.2,94.75,95.05,87438
2017-01-24,96.0,96.9,94.8,96.25,17460
2017-01-26,93.8,97.5,93.8,96.45,82568
2017-01-29,95.4,96.7,95.0,95.6,341418
2017-01-30,95.5,97.4,94.85,95.0,57332
2017-01-31,95.0,97.25,94.0,95.95,6810
2017-02-01,95.75,97.5,94.8,96.65,16604
2017-02-02,96.4,97.4,95.3,97.05,22694
2017-02-05,96.4,99.35,95.25,98.7,53210
2017-02-06,98.55,101.5,97.8,98.9,83310
2017-02-07,99.0,104.0,97.0,98.15,40736
2017-02-08,98.05,101.5,98.0,100.45,52780
2017-02-09,101.05,105.5,100.0,103.85,231666
2017-02-12,103.5,104.95,100.4,100.9,78134
2017-02-13,101.65,104.0,99.5,103.0,29952
2017-02-14,102.5,104.2,101.0,102.7,40604
