,open,high,low,close,volume
2024-09-10,499.45,518.0,493.25,506.05,501918
2024-09-11,507.8,549.25,502.15,535.15,858287
2024-09-12,541.95,548.8,526.7,541.2,436522
2024-09-15,549.0,549.0,530.2,535.4,335569
2024-09-16,538.8,538.9,519.1,524.9,395364
2024-09-17,527.8,534.0,520.9,524.95,399300
2024-09-18,524.15,531.4,512.0,521.0,295391
2024-09-19,527.8,542.0,521.1,538.55,331169
2024-09-22,542.0,573.5,536.05,558.2,600186
2024-09-23,564.85,577.0,556.1,561.2,266921
2024-09-24,565.0,568.8,541.55,556.05,263155
2024-09-25,556.2,559.8,542.5,552.5,163485
2024-09-26,555.0,573.0,546.45,570.25,361885
2024-09-29,570.25,572.0,554.3,568.1,250031
2024-09-30,569.75,580.0,565.55,577.9,354572
2024-10-02,579.8,599.9,560.0,564.95,590824
2024-10-03,561.0,579.95,550.5,563.25,683754
2024-10-06,564.9,567.4,520.3,545.35,441348
2024-10-07,543.0,561.95,536.15,554.6,160618
2024-10-08,558.95,569.0,556.65,561.6,122674
2024-10-09,564.0,584.95,556.05,577.8,516134
2024-10-10,577.8,624.8,571.15,618.5,698777
2024-10-13,619.95,626.45,603.55,609.55,259991
2024-10-14,610.1,632.0,599.6,627.6,250293
2024-10-15,625.0,637.05,611.1,617.65,161752
2024-10-16,617.05,619.85,584.0,591.15,183213
2024-10-17,588.15,602.95,576.0,596.85,117602
2024-10-20,592.0,603.85,569.95,576.2,147802
2024-10-21,581.9,581.9,541.05,548.4,159789
2024-10-22,550.0,563.95,545.05,558.7,169312
2024-10-23,558.7,559.9,541.55,545.0,84911
2024-10-24,545.1,547.95,511.0,530.45,216622
2024-10-27,537.0,542.85,523.25,532.0,88532
2024-10-28,536.95,543.45,529.05,540.05,107152
2024-10-29,534.05,573.45,534.05,567.95,107163
2024-10-30,560.5,572.0,560.0,565.9,51595
2024-10-31,565.9,574.5,562.85,571.1,18970
2024-11-03,573.65,578.6,547.25,554.9,176587
2024-11-04,553.9,580.5,547.4,553.5,346174
2024-11-05,555.9,626.0,554.45,592.45,1110507
2024-11-06,599.4,644.0,596.45,633.9,1922346
2024-11-07,638.0,643.3,593.0,601.6,457280
2024-11-10,603.0,626.4,582.6,595.1,490226
2024-11-11,593.0,608.85,580.0,589.85,221321
2024-11-12,588.95,589.7,555.6,563.2,312937
2024-11-13,563.0,599.95,563.0,594.8,255749
2024-11-17,587.6,598.35,584.6,590.2,150929
2024-11-18,595.0,603.4,555.8,576.3,151741
2024-11-20,580.0,589.0,560.1,567.7,383062
2024-11-21,565.1,570.9,556.25,557.7,220863
2024-11-24,563.1,569.7,556.1,559.4,3278231
2024-11-25,568.0,587.9,558.05,584.6,296464
2024-11-26,585.0,599.0,578.45,593.55,372957
2024-11-27,600.0,612.95,587.5,603.45,409430
2024-11-28,601.1,617.5,596.5,610.5,250495
2024-12-01,615.0,631.8,608.55,617.75,182989
2024-12-02,622.6,629.95,612.8,621.2,161391
2024-12-03,624.85,643.9,620.05,631.7,401196
2024-12-04,638.4,639.0,613.7,621.45,258802
2024-12-05,626.4,648.0,622.0,625.6,595412
2024-12-08,629.9,629.9,602.05,605.9,189133
2024-12-09,606.0,614.0,598.45,605.95,221258
2024-12-10,610.0,637.0,610.0,615.85,306387
2024-12-11,618.2,618.2,602.65,606.15,141009
2024-12-12,602.0,614.0,590.2,598.35,163959
2024-12-15,598.35,603.4,590.0,597.95,99159
