,open,high,low,close,volume
2016-12-18,411.15,411.15,405.2,407.55,11646
2016-12-19,408.9,414.9,408.65,412.4,11705
2016-12-20,413.6,417.95,406.8,408.8,20558
2016-12-21,412.35,414.9,405.0,406.4,24679
2016-12-22,410.0,410.0,400.0,404.15,16424
2016-12-25,404.5,429.9,400.0,420.4,48677
2016-12-26,426.0,426.0,405.7,420.15,26832
2016-12-27,427.95,428.05,414.0,417.1,19837
2016-12-28,420.3,425.9,408.35,412.5,23347
2016-12-29,415.9,419.2,411.0,413.65,15705
2017-01-01,400.0,410.0,400.0,404.4,87824
2017-01-02,404.4,414.0,403.5,411.7,33067
2017-01-03,413.0,420.2,411.6,412.95,44558
2017-01-04,412.95,418.9,410.5,416.4,47733
2017-01-05,419.9,430.0,414.05,421.8,91273
2017-01-08,427.5,427.5,415.5,416.8,19484
2017-01-09,417.9,418.1,410.0,415.4,41232
2017-01-10,416.2,427.0,415.0,417.65,43623
2017-01-11,420.0,423.8,413.1,415.15,43395
2017-01-12,415.0,418.5,411.35,412.5,740789
2017-01-15,409.0,415.95,407.0,412.2,30166
2017-01-16,412.5,417.0,409.0,411.65,54444
2017-01-17,416.8,416.8,411.0,415.25,25726
2017-01-18,419.0,419.0,411.2,413.15,19014
2017-01-19,415.15,415.15,408.3,410.45,199760
2017-01-22,405.15,416.9,405.15,412.0,27698
2017-01-23,414.9,439.0,412.05,423.35,164828
2017-01-24,429.0,433.0,424.15,430.45,68159
2017-01-26,426.0,442.0,426.0,438.75,59837
2017-01-29,434.7,440.0,432.35,437.5,30771
2017-01-30,440.95,452.9,431.65,440.2,104352
2017-01-31,440.0,447.95,435.0,445.4,115788
2017-02-01,446.0,447.4,441.85,444.6,45050
2017-02-02,447.0,452.0,442.95,448.45,51499
2017-02-05,451.9,472.95,451.0,463.9,147860
2017-02-06,467.5,467.5,446.5,451.8,48298
2017-02-07,452.75,459.1,451.7,457.65,13820
2017-02-08,461.5,464.75,454.1,462.45,40448
2017-02-09,463.0,465.45,456.3,461.35,27373
2017-02-12,461.75,473.9,456.55,468.45,38878
2017-02-13,469.85,470.05,443.1,449.6,116251
2017-02-14,455.0,455.0,430.55,438.55,83587
2017-02-15,439.0,448.65,435.05,437.45,130595
2017-02-16,447.7,451.0,441.7,443.25,125494
2017-02-19,444.2,448.0,418.3,442.2,46610
2017-02-20,444.9,447.0,439.5,440.75,27105
2017-02-21,442.0,444.9,438.0,441.05,39700
2017-02-22,442.0,445.5,438.05,443.75,23791
2017-02-26,444.9,446.0,437.0,438.05,50278
2017-02-27,439.1,447.7,438.5,445.5,35823
2017-02-28,444.9,448.0,440.0,441.1,26974
2017-03-01,444.9,445.0,438.0,442.1,45757
2017-03-02,442.95,443.8,432.5,439.1,31220
2017-03-05,440.0,445.9,438.0,443.55,22523
2017-03-06,444.9,445.55,435.0,440.5,42202
2017-03-07,439.5,443.8,437.1,441.95,13383
2017-03-08,437.05,445.5,437.05,444.65,31576
2017-03-09,430.0,451.0,430.0,449.15,56493
2017-03-13,454.0,464.2,450.0,461.1,93948
2017-03-14,463.95,464.9,459.0,462.2,195248
2017-03-15,461.3,468.7,458.0,460.2,41054
2017-03-16,463.95,463.95,453.2,460.45,30648
2017-03-19,462.0,462.0,456.1,461.2,24822
2017-03-20,461.0,478.95,458.55,467.0,79924
2017-03-21,463.8,470.75,458.8,466.4,37129
2017-03-22,467.8,467.8,458.0,464.05,166484
2017-03-23,460.1,469.85,460.1,465.3,37817
2017-03-26,467.1,494.5,462.35,491.6,164639
2017-03-27,496.0,520.8,495.0,511.75,235504
2017-03-28,512.9,512.9,498.95,507.55,106590
2017-03-29,508.2,516.0,501.0,514.85,45008
2017-03-30,520.0,522.0,510.5,516.55,55317
2017-04-02,516.95,537.9,516.9,531.45,102711
2017-04-04,531.95,554.0,531.0,549.15,83612
2017-04-05,543.0,544.9,528.5,530.75,76074
2017-04-06,530.0,538.8,512.0,515.3,65100
2017-04-09,518.0,534.9,518.0,529.55,45880
2017-04-10,536.8,555.75,532.55,553.4,107733
2017-04-11,553.5,572.8,538.05,551.7,156501
2017-04-12,553.0,564.4,542.05,546.9,75278
2017-04-16,547.0,552.0,540.55,543.0,27649
2017-04-17,543.3,551.9,532.0,541.6,58014
2017-04-18,545.1,545.45,533.6,538.25,31574
2017-04-19,541.0,542.05,532.4,536.05,21606
2017-04-20,539.5,548.05,536.0,537.95,74787
2017-04-23,538.0,540.45,529.0,530.3,32847
2017-04-24,535.75,539.9,531.25,538.05,63713
2017-04-25,543.0,544.0,530.0,532.75,43579
2017-04-26,532.75,538.25,518.25,525.55,36063
2017-04-27,527.0,532.95,515.05,526.1,45860
2017-05-01,527.0,536.1,521.0,527.35,49790
2017-05-02,527.35,531.9,520.2,528.15,47462
2017-05-03,532.8,532.8,524.9,527.45,43986
2017-05-04,521.0,532.0,521.0,524.2,59571
2017-05-07,528.65,530.0,518.9,525.8,27487
2017-05-08,529.0,529.0,520.1,526.95,22934
2017-05-09,528.0,537.0,526.0,535.65,115968
2017-05-10,538.4,542.0,531.0,533.55,45085
2017-05-11,533.6,543.0,533.6,539.25,51030
2017-05-14,540.0,542.8,536.85,537.95,75074
2017-05-15,540.0,541.95,533.3,536.8,47068
2017-05-16,535.05,545.5,532.4,540.3,62448
2017-05-17,538.0,545.0,536.05,541.5,43646
2017-05-18,545.0,546.9,529.75,538.1,54437
2017-05-21,535.05,539.4,531.0,531.25,16353
2017-05-22,530.0,530.0,505.0,509.95,67334
2017-05-23,511.05,514.9,476.1,491.0,68960
2017-05-24,490.15,501.7,482.15,497.6,50635
2017-05-25,502.0,534.05,502.0,524.4,103046
2017-05-28,519.5,536.65,509.45,512.85,60322
2017-05-29,518.8,520.25,507.2,515.7,25655
2017-05-30,506.0,527.3,496.55,510.55,145192
2017-05-31,504.95,513.0,497.25,500.65,92280
2017-06-01,506.6,520.0,500.65,516.15,60057
2017-06-04,511.05,515.5,501.15,506.7,52333
2017-06-05,509.75,511.95,501.0,504.75,52944
2017-06-06,504.75,515.9,503.55,512.8,22326
2017-06-07,510.0,519.0,506.0,508.8,54174
2017-06-08,513.0,513.0,504.0,506.6,55399
2017-06-11,509.9,509.9,502.0,505.45,60861
2017-06-12,507.35,507.75,497.1,506.3,83881
2017-06-13,508.95,509.0,503.3,508.2,84894
2017-06-14,508.2,510.95,497.6,502.95,61022
2017-06-15,507.9,510.1,485.1,496.25,159818
2017-06-18,493.25,498.95,486.25,496.2,32566
2017-06-19,497.95,503.0,493.0,497.6,43428
2017-06-20,498.35,498.35,483.0,489.0,48674
2017-06-21,493.0,493.0,479.25,482.65,122496
2017-06-22,482.65,484.9,478.1,482.2,26415
2017-06-26,480.0,484.0,467.0,476.85,57762
2017-06-27,474.05,478.45,465.05,467.5,67490
2017-06-28,467.6,473.95,456.55,460.45,110685
2017-06-29,460.45,470.0,451.5,456.3,111169
2017-07-02,463.7,472.25,458.9,464.95,75672
2017-07-03,468.5,484.0,464.1,482.1,63511
2017-07-04,483.0,487.2,475.05,484.85,61934
2017-07-05,480.15,490.3,478.5,485.95,107701
2017-07-06,489.0,494.0,480.1,489.15,35422
2017-07-09,499.9,499.9,481.25,491.85,6241
2017-07-10,491.85,493.95,487.05,490.55,23852
2017-07-11,490.5,493.95,488.0,490.2,13614
2017-07-12,494.65,512.4,490.1,510.05,102385
2017-07-13,515.0,524.4,495.3,501.85,131613
2017-07-16,500.05,512.5,490.05,508.9,46446
2017-07-17,508.9,508.9,500.0,502.05,33999
2017-07-18,504.05,506.0,491.55,497.05,46494
2017-07-19,504.8,509.0,500.4,503.6,88631
2017-07-20,507.95,507.95,488.0,494.05,60917
2017-07-23,494.05,496.0,485.0,487.0,77243
2017-07-24,489.05,489.05,477.0,483.25,39825
2017-07-25,483.8,491.0,482.05,489.7,51431
2017-07-26,493.0,498.55,485.05,488.6,830580
2017-07-27,488.6,489.95,470.05,476.4,219765
2017-07-30,478.0,480.7,461.75,466.8,57536
2017-07-31,467.0,480.0,463.15,477.55,70969
2017-08-01,479.0,484.15,472.55,480.0,39123
2017-08-02,478.0,479.85,472.0,475.65,29127
2017-08-03,475.9,485.2,474.05,482.9,32824
2017-08-06,482.5,497.0,476.15,492.65,42595
2017-08-07,492.65,497.0,481.05,489.2,39763
2017-08-08,493.45,495.4,485.05,490.45,60506
2017-08-09,494.0,508.0,483.0,490.25,239192
2017-08-10,486.0,502.5,465.75,495.05,204116
2017-08-13,506.0,511.8,500.95,510.4,59930
2017-08-15,511.7,533.0,504.1,527.3,235615
2017-08-16,531.95,533.95,526.1,530.05,110830
2017-08-17,525.0,528.75,511.7,524.9,35973
2017-08-20,517.0,536.0,517.0,530.3,122636
2017-08-21,532.0,535.5,521.25,531.25,41743
2017-08-22,531.25,534.4,526.3,531.85,24677
2017-08-23,532.0,534.4,528.3,530.15,22874
2017-08-27,530.1,535.0,525.0,534.2,55341
2017-08-28,533.9,535.9,526.0,528.2,36832
2017-08-29,531.95,534.7,528.1,530.1,38340
2017-08-30,525.05,546.9,525.0,537.85,144255
2017-08-31,541.95,546.5,536.6,543.65,32310
2017-09-03,546.0,548.0,534.0,546.3,33652
2017-09-04,550.0,554.5,535.95,539.2,66703
2017-09-05,535.0,546.8,532.05,545.3,78858
2017-09-06,546.0,553.75,542.0,550.55,90848
2017-09-07,551.05,569.25,548.6,561.35,156219
2017-09-10,565.0,567.75,548.5,550.4,109311
2017-09-11,555.0,555.0,533.3,541.95,150790
2017-09-12,553.9,562.3,539.0,540.4,132972
2017-09-13,542.0,547.4,532.05,537.5,66651
2017-09-14,536.0,547.35,530.25,539.95,102955
2017-09-17,546.9,553.6,535.25,550.8,132483
2017-09-18,553.1,555.0,544.25,552.85,32885
2017-09-19,553.0,556.0,548.1,553.2,41626
2017-09-20,557.9,559.0,539.2,551.55,32253
2017-09-21,551.0,554.95,531.0,533.05,60688
2017-09-24,533.05,537.0,510.15,530.7,49231
2017-09-25,531.0,538.95,521.55,536.15,28970
2017-09-26,538.9,540.0,520.0,530.05,42365
2017-09-27,531.0,538.95,530.0,532.0,16644
2017-09-28,532.05,545.0,530.5,541.95,60463
2017-10-02,541.5,548.0,533.3,544.3,48332
2017-10-03,546.9,548.0,540.0,545.0,35008
2017-10-04,545.0,545.0,535.05,539.15,62365
2017-10-05,539.15,542.3,533.6,534.65,24370
2017-10-08,539.9,540.6,533.1,539.65,56030
2017-10-09,538.1,568.8,538.1,560.75,95697
2017-10-10,567.95,612.0,561.0,579.65,977913
2017-10-11,579.95,600.0,578.25,595.65,210958
2017-10-12,599.1,600.0,581.9,585.95,52956
2017-10-15,590.8,598.9,584.95,594.1,47137
2017-10-16,595.8,603.95,587.0,592.65,61578
2017-10-17,590.0,609.4,585.0,597.5,39380
2017-10-22,591.0,614.0,573.35,598.9,78120
2017-10-23,602.0,610.0,597.0,598.0,27876
2017-10-24,598.0,606.95,576.25,592.5,73398
2017-10-25,596.0,609.95,582.5,586.55,53335
2017-10-26,587.2,606.0,587.1,598.65,44007
2017-10-29,602.0,630.9,598.6,628.2,175598
2017-10-30,627.85,627.85,613.85,615.2,25449
2017-10-31,610.55,623.0,608.2,616.2,25896
2017-11-01,618.0,641.85,618.0,625.6,152926
