,open,high,low,close,volume
2016-12-18,72.5,72.95,69.1,69.7,57920
2016-12-19,70.45,70.45,68.0,68.5,29334
2016-12-20,68.9,69.7,68.1,68.6,28383
2016-12-21,68.35,69.15,66.5,67.15,33593
2016-12-22,67.05,67.9,65.25,65.55,23279
2016-12-25,65.65,65.65,62.8,63.5,30129
2016-12-26,63.7,66.0,62.3,65.2,28542
2016-12-27,66.0,66.5,64.0,64.75,10051
2016-12-28,65.0,65.05,64.0,64.75,11792
2016-12-29,68.9,70.6,67.05,69.75,319397
2017-01-01,74.0,77.95,73.6,74.8,683845
2017-01-02,77.0,78.0,73.2,74.55,193162
2017-01-03,73.7,75.0,70.2,71.65,72893
2017-01-04,72.4,72.7,71.0,71.4,122366
2017-01-05,72.0,73.0,71.0,71.1,30842
2017-01-08,71.95,74.05,71.25,72.55,74937
2017-01-09,73.35,73.55,71.55,73.05,29500
2017-01-10,73.7,73.7,71.5,72.6,26723
2017-01-11,73.0,73.75,71.65,72.3,26574
2017-01-12,73.1,73.1,71.5,71.8,12552
2017-01-15,74.0,76.0,72.95,75.55,523347
2017-01-16,76.3,76.3,73.5,74.2,37644
2017-01-17,74.7,75.5,74.15,74.35,21661
2017-01-18,75.5,76.2,74.5,75.7,56394
2017-01-19,75.9,76.85,73.65,74.85,79578
2017-01-22,76.4,77.0,75.15,76.6,65116
2017-01-23,76.95,78.3,76.5,76.75,76227
2017-01-24,77.2,79.3,76.5,77.85,67193
2017-01-26,80.05,81.9,78.65,79.8,193491
2017-01-29,79.15,80.0,77.35,78.5,43286
2017-01-30,78.35,78.95,75.1,75.9,35528
2017-01-31,76.95,85.65,76.0,83.3,1854016
2017-02-01,83.7,86.4,81.5,84.7,592252
2017-02-02,84.9,85.0,82.85,83.4,136156
2017-02-05,84.5,89.45,83.65,85.6,316581
2017-02-06,86.05,87.8,83.0,83.45,92609
2017-02-07,84.15,85.85,82.4,83.1,85522
2017-02-08,84.2,84.3,81.3,81.7,49911
2017-02-09,82.95,83.6,81.85,82.05,35842
2017-02-12,84.0,84.0,80.5,81.0,72352
2017-02-13,81.65,81.8,78.2,79.2,64317
2017-02-14,79.9,79.95,76.0,77.1,43881
2017-02-15,77.95,78.0,75.9,77.4,70858
2017-02-16,78.25,80.0,77.6,78.5,44722
2017-02-19,78.95,79.6,77.2,77.8,53661
2017-02-20,78.15,84.0,77.1,81.85,170782
