,open,high,low,close,volume
2016-12-18,73.05,73.95,72.0,72.35,34673
2016-12-19,73.0,73.8,72.4,72.55,6809
2016-12-20,73.0,73.45,72.5,72.75,17626
2016-12-21,73.75,73.75,72.0,72.75,20499
2016-12-22,73.7,73.7,72.25,72.85,11857
2016-12-25,73.6,73.6,71.5,71.8,10084
2016-12-26,72.95,72.95,71.7,72.2,15007
2016-12-27,72.65,72.75,72.0,72.15,10939
2016-12-28,72.0,72.95,72.0,72.75,8928
2016-12-29,73.35,74.0,72.85,73.1,15267
2017-01-01,73.0,73.8,72.75,72.95,21354
2017-01-02,73.65,74.0,72.9,73.3,25716
2017-01-03,74.25,74.3,73.0,73.45,23761
2017-01-04,74.3,75.5,73.45,74.5,144737
2017-01-05,74.9,79.4,74.9,78.55,173451
2017-01-08,80.25,94.25,79.5,91.25,2904815
2017-01-09,91.25,94.75,90.5,93.4,1385722
2017-01-10,93.5,96.75,92.1,94.0,948814
2017-01-11,94.0,95.0,87.4,89.3,390856
2017-01-12,90.15,93.85,88.25,92.85,305820
2017-01-15,93.35,94.55,91.2,93.1,188444
2017-01-16,93.0,100.0,91.75,97.5,730328
2017-01-17,96.95,105.8,96.95,101.8,962848
2017-01-18,100.4,107.0,100.4,102.3,549208
2017-01-19,102.0,106.0,97.3,98.4,309975
2017-01-22,97.4,101.65,96.1,97.0,170176
2017-01-23,98.0,102.9,97.2,102.05,396891
2017-01-24,102.5,103.8,99.45,100.25,148722
2017-01-26,100.35,101.9,98.0,98.8,134714
2017-01-29,99.1,99.85,96.55,97.0,80399
2017-01-30,97.25,98.9,93.75,97.85,244020
2017-01-31,98.0,99.9,95.15,99.1,128763
2017-02-01,97.7,98.85,95.4,96.05,75215
2017-02-02,97.0,110.45,96.15,102.1,1457858
2017-02-05,102.0,104.9,101.5,103.1,257351
2017-02-06,103.6,103.9,101.55,103.1,143418
2017-02-07,103.8,104.6,101.05,103.15,97423
2017-02-08,102.9,106.85,102.9,104.65,212924
2017-02-09,106.0,107.45,104.2,104.75,142926
2017-02-12,104.6,105.05,102.2,102.65,55993
2017-02-13,104.9,105.85,98.35,101.35,301742
2017-02-14,101.9,101.9,98.0,98.8,71503
2017-02-15,99.8,100.25,98.25,98.6,21163
2017-02-16,99.35,105.0,99.25,101.45,149651
2017-02-19,101.7,102.4,99.5,100.6,48259
2017-02-20,101.0,101.5,98.55,99.55,107566
2017-02-21,100.0,104.25,99.55,101.45,116891
2017-02-22,100.65,103.6,99.9,102.65,90480
2017-02-26,103.4,103.6,101.0,102.65,88266
2017-02-27,102.0,106.9,101.0,105.05,228511
2017-02-28,108.45,109.0,104.4,105.2,144092
2017-03-01,105.15,107.0,101.0,102.05,149367
2017-03-02,102.5,107.0,100.6,105.7,141158
2017-03-05,106.2,107.9,104.05,104.6,85294
2017-03-06,105.5,111.9,104.0,109.95,1513031
2017-03-07,112.2,113.95,109.55,110.8,957697
2017-03-08,110.75,110.8,107.2,107.55,110331
2017-03-09,108.0,109.25,105.15,108.6,180254
2017-03-13,111.5,112.2,103.5,110.05,439286
2017-03-14,109.9,109.9,106.15,106.75,155577
2017-03-15,107.75,116.4,107.25,114.95,1050144
2017-03-16,115.7,115.8,110.8,112.55,260581
2017-03-19,112.55,113.4,111.0,111.1,157135
2017-03-20,108.0,109.0,106.0,107.35,171790
2017-03-21,106.1,111.0,105.95,110.0,376340
2017-03-22,109.95,111.9,108.7,110.85,213918
2017-03-23,110.85,111.8,110.5,111.0,290961
2017-03-26,111.0,112.9,110.5,111.45,220394
2017-03-27,111.9,113.8,110.3,112.05,219341
2017-03-28,111.2,112.0,109.1,110.05,134064
2017-03-29,110.85,112.0,109.65,111.35,138648
2017-03-30,111.05,113.0,110.65,112.1,255654
2017-04-02,112.0,114.9,112.0,114.1,158939
2017-04-04,113.55,136.9,113.55,134.05,1432759
2017-04-05,133.7,133.7,125.1,126.8,354897
