,open,high,low,close,volume
2016-12-18,318.0,318.0,310.0,310.7,3625
2016-12-19,311.1,312.45,304.45,305.2,7113
2016-12-20,307.15,308.55,300.0,300.05,111537
2016-12-21,300.9,301.0,295.6,297.15,6646
2016-12-22,296.0,299.9,295.0,296.45,7032
2016-12-25,292.15,298.9,285.65,287.35,7755
2016-12-26,288.05,290.0,285.0,288.5,4361
2016-12-27,291.3,296.8,290.25,295.3,13280
2016-12-28,298.0,302.0,293.0,298.7,18977
2016-12-29,298.6,307.3,296.6,298.8,15209
2017-01-01,300.7,301.75,296.6,297.55,8502
2017-01-02,297.6,305.0,297.6,299.9,8365
2017-01-03,300.15,306.65,299.1,303.35,15830
2017-01-04,303.3,305.9,299.65,301.2,8183
2017-01-05,302.2,305.9,296.0,300.05,22343
2017-01-08,301.1,301.1,296.9,297.6,6032
2017-01-09,299.4,310.7,297.7,304.35,50019
2017-01-10,303.1,337.5,303.1,307.0,161275
2017-01-11,307.95,320.0,307.0,314.8,97109
2017-01-12,315.9,318.9,308.0,311.15,27484
2017-01-15,314.3,314.4,307.0,309.4,13175
2017-01-16,311.8,315.75,307.7,310.05,49201
2017-01-17,309.2,328.35,309.2,319.95,198624
2017-01-18,326.75,328.3,318.0,319.9,151871
2017-01-19,320.15,325.65,315.0,315.65,69499
2017-01-22,317.45,319.9,313.5,315.8,36544
2017-01-23,316.1,323.0,316.1,320.6,110252
2017-01-24,320.0,321.45,314.0,315.2,31427
2017-01-26,317.95,322.5,313.15,315.25,75372
2017-01-29,315.55,328.0,308.9,316.15,1168806
2017-01-30,317.9,317.9,306.0,307.05,143254
2017-01-31,307.0,310.75,303.1,308.4,99849
2017-02-01,310.3,311.0,304.25,305.25,107570
2017-02-02,307.9,314.0,306.65,308.3,159393
2017-02-05,319.0,319.0,308.5,309.5,112616
2017-02-06,312.0,313.05,307.0,309.6,94578
2017-02-07,309.0,311.35,306.5,309.65,163364
2017-02-08,310.9,311.0,304.6,305.45,73505
2017-02-09,307.0,307.1,301.8,302.95,65294
2017-02-12,304.5,307.25,299.2,301.5,72913
2017-02-13,302.2,302.2,297.95,299.7,45977
2017-02-14,299.2,300.7,294.3,295.55,35479
2017-02-15,296.8,300.75,292.95,295.15,39049
2017-02-16,299.0,302.0,295.0,296.25,36950
2017-02-19,297.4,302.15,296.3,299.6,39513
2017-02-20,301.5,303.85,297.95,300.0,50728
2017-02-21,298.65,301.15,297.0,299.5,37329
2017-02-22,299.75,307.6,298.0,302.2,113946
2017-02-26,301.75,302.6,298.45,299.6,38425
2017-02-27,299.15,300.35,296.6,298.5,36241
2017-02-28,299.95,300.5,296.2,296.8,33028
2017-03-01,297.0,298.2,292.0,292.8,229640
2017-03-02,295.65,296.5,292.2,293.8,159846
2017-03-05,293.0,294.9,284.1,285.7,91603
2017-03-06,286.45,290.85,277.85,279.05,134586
2017-03-07,279.1,288.9,279.1,287.1,96097
2017-03-08,286.9,290.0,285.0,287.8,31927
2017-03-09,288.95,290.05,284.0,288.45,36458
2017-03-13,294.4,297.9,287.5,295.8,57183
2017-03-14,295.8,303.7,293.8,301.35,117425
2017-03-15,303.7,309.35,300.25,307.2,222474
2017-03-16,308.0,314.95,302.25,313.35,113770
2017-03-19,310.6,316.75,300.05,314.6,83940
2017-03-20,310.3,318.0,310.0,316.8,60463
2017-03-21,314.95,316.0,310.0,312.15,46830
2017-03-22,312.0,321.3,311.95,318.25,106597
2017-03-23,318.55,320.0,312.5,313.3,53792
2017-03-26,316.8,319.2,310.75,316.45,119431
2017-03-27,318.65,319.2,313.1,315.05,129307
2017-03-28,312.35,320.0,310.2,317.7,277257
2017-03-29,319.15,321.35,312.3,313.9,75920
2017-03-30,313.25,341.5,313.15,328.35,661311
2017-04-02,329.8,341.35,327.0,339.6,262704
2017-04-04,336.1,342.0,332.05,334.25,118232
2017-04-05,332.2,341.4,330.1,331.75,64858
2017-04-06,330.8,347.9,330.0,339.25,367215
2017-04-09,340.9,347.0,336.3,344.75,123362
2017-04-10,347.8,354.95,343.75,350.25,364079
2017-04-11,349.9,359.7,341.25,348.1,95916
2017-04-12,348.95,360.0,345.1,354.95,142439
2017-04-16,353.2,357.7,346.0,347.25,53183
2017-04-17,349.75,353.05,335.5,338.5,69867
2017-04-18,341.0,344.0,338.4,342.05,79494
2017-04-19,340.85,342.0,336.0,339.9,36868
2017-04-20,339.3,346.9,337.35,339.3,31689
2017-04-23,339.7,343.55,335.1,336.7,62562
2017-04-24,336.25,346.45,336.2,343.95,50358
2017-04-25,341.55,343.0,338.05,342.0,47572
2017-04-26,342.55,343.95,336.3,337.75,34666
2017-04-27,337.2,349.9,336.35,343.5,63972
2017-05-01,340.4,345.8,333.05,336.45,57162
2017-05-02,338.35,343.85,333.45,342.7,59363
2017-05-03,337.6,344.7,337.55,341.45,67491
2017-05-04,338.25,342.0,333.0,334.55,26273
2017-05-07,336.9,343.05,334.35,341.55,39908
2017-05-08,339.0,375.0,338.4,366.6,612133
2017-05-09,370.0,379.9,355.4,373.6,454676
2017-05-10,374.9,377.2,365.0,366.8,129974
2017-05-11,368.7,368.7,360.0,362.6,174741
2017-05-14,363.05,370.9,362.4,363.95,69638
2017-05-15,364.85,382.4,364.5,375.7,269287
2017-05-16,380.3,384.2,370.3,374.8,169964
2017-05-17,370.0,378.0,368.0,370.15,63066
2017-05-18,373.6,374.85,359.85,364.65,106708
2017-05-21,368.45,373.4,352.0,354.5,38742
2017-05-22,355.85,355.85,332.3,342.25,67593
2017-05-23,338.35,352.0,336.75,340.75,49106
2017-05-24,354.9,364.0,343.0,360.9,133963
2017-05-25,360.3,364.45,355.55,359.95,39570
2017-05-28,359.0,359.1,345.9,347.4,29654
2017-05-29,346.45,347.3,341.2,345.95,30653
2017-05-30,345.45,364.5,341.7,358.55,80261
2017-05-31,357.0,361.7,351.25,357.4,186026
2017-06-01,354.4,356.8,347.0,350.6,44170
2017-06-04,350.75,350.8,344.2,348.35,43554
2017-06-05,345.4,348.0,337.1,339.75,24641
2017-06-06,341.9,342.35,335.0,336.5,32983
2017-06-07,340.9,344.65,336.65,341.35,31905
2017-06-08,341.3,346.1,337.1,345.05,39824
2017-06-11,347.6,347.6,336.05,338.1,15978
2017-06-12,339.85,345.65,339.0,343.55,18313
2017-06-13,340.7,343.45,333.2,334.7,35711
2017-06-14,334.0,338.8,333.0,334.15,31315
2017-06-15,336.0,340.95,333.5,334.55,23238
2017-06-18,338.5,349.0,336.55,344.85,51225
2017-06-19,345.85,348.6,339.3,341.55,29903
2017-06-20,342.6,342.95,339.75,340.8,17962
2017-06-21,341.05,347.5,341.05,343.05,38227
2017-06-22,342.45,345.0,340.0,342.0,21173
2017-06-26,340.05,348.0,328.0,340.6,135354
2017-06-27,340.8,344.45,333.6,337.7,37473
2017-06-28,340.4,346.0,340.0,341.5,15837
2017-06-29,340.0,344.7,337.05,343.0,11169
2017-07-02,341.45,344.65,336.3,337.55,134748
2017-07-03,337.35,343.0,337.05,338.55,24259
2017-07-04,339.0,342.0,337.05,338.45,19577
2017-07-05,338.6,340.5,334.4,335.9,40593
2017-07-06,336.6,339.0,333.0,333.5,40285
2017-07-09,334.85,338.0,333.5,334.95,4316
2017-07-10,335.05,340.0,332.5,333.55,35517
