,open,high,low,close,volume
2016-12-18,266.0,276.95,266.0,267.1,19530
2016-12-19,267.5,270.5,262.5,264.0,10870
2016-12-20,267.0,269.1,260.1,261.45,15490
2016-12-21,260.0,262.25,255.0,257.25,9684
2016-12-22,256.5,262.5,255.0,258.55,10854
2016-12-25,257.0,257.0,243.0,248.2,21304
2016-12-26,247.5,252.1,247.0,250.75,13790
2016-12-27,252.5,256.5,248.5,254.8,8808
2016-12-28,252.8,256.2,252.8,254.5,3446
2016-12-29,255.35,265.5,255.0,263.8,22090
2017-01-01,260.05,268.75,260.05,264.95,14184
2017-01-02,267.5,271.65,262.8,264.3,10926
2017-01-03,261.8,267.05,261.0,262.05,19490
2017-01-04,263.55,266.95,263.55,263.8,12256
2017-01-05,263.55,265.0,258.85,260.45,14162
2017-01-08,263.25,263.35,260.0,261.05,2852
2017-01-09,262.0,269.5,261.1,265.4,5988
2017-01-10,262.5,271.5,262.5,265.65,10506
2017-01-11,266.0,266.0,261.0,262.9,6100
2017-01-12,265.0,265.0,261.5,262.3,6748
2017-01-15,265.1,270.45,261.5,262.95,15866
2017-01-16,264.95,265.0,260.0,260.6,9038
2017-01-17,262.5,272.2,261.5,263.8,15436
2017-01-18,263.65,272.5,263.0,270.6,16884
2017-01-19,269.5,273.0,266.3,268.6,20238
2017-01-22,264.15,269.0,263.05,265.75,21896
2017-01-23,264.5,269.0,264.5,268.3,2790
2017-01-24,269.0,269.0,263.35,266.15,15950
2017-01-26,269.0,270.95,265.75,266.65,5640
2017-01-29,268.5,279.35,268.5,274.3,59082
2017-01-30,274.2,275.95,268.1,269.65,13132
2017-01-31,267.85,274.5,265.0,271.05,27750
2017-02-01,270.75,283.7,267.6,281.85,30014
2017-02-02,283.85,284.0,277.8,278.95,18992
2017-02-05,285.0,292.0,280.5,288.95,35424
2017-02-06,290.05,300.0,290.05,295.55,93912
2017-02-07,302.5,302.55,297.15,299.7,119580
2017-02-08,314.0,318.7,302.5,302.95,409524
2017-02-09,305.0,308.95,302.4,303.65,58138
2017-02-12,308.5,310.95,303.0,305.45,44402
2017-02-13,307.45,307.45,295.0,297.8,44452
2017-02-14,295.3,302.4,288.15,293.05,45952
2017-02-15,292.5,302.35,289.0,290.85,59116
2017-02-16,298.45,310.0,292.45,306.75,75642
2017-02-19,315.0,315.5,308.0,309.3,284312
2017-02-20,311.35,312.5,307.5,308.2,87308
2017-02-21,308.5,311.95,300.5,302.65,60928
2017-02-22,304.5,311.5,304.5,307.6,36940
2017-02-26,310.0,311.95,306.35,309.55,23048
2017-02-27,310.7,311.0,304.15,305.4,27430
2017-02-28,310.95,310.95,304.0,308.85,38976
2017-03-01,310.5,310.5,294.5,296.3,71784
2017-03-02,293.35,309.7,293.35,306.85,39366
2017-03-05,309.95,312.05,306.0,307.85,50258
2017-03-06,311.95,311.95,304.0,306.0,35008
2017-03-07,305.5,307.5,299.95,302.1,22426
2017-03-08,303.45,307.5,301.5,304.25,13092
2017-03-09,304.45,307.45,303.3,305.55,21344
2017-03-13,312.5,312.5,300.0,301.2,25096
2017-03-14,305.0,305.0,295.75,298.9,33796
2017-03-15,298.9,304.4,298.0,302.45,30962
2017-03-16,304.5,307.4,298.05,300.35,44846
2017-03-19,301.0,301.95,295.0,299.35,19124
2017-03-20,296.8,300.0,295.05,297.0,17198
2017-03-21,295.5,296.7,292.0,295.65,8700
2017-03-22,299.0,302.45,296.0,301.1,19666
2017-03-23,301.55,303.5,298.05,299.6,15702
2017-03-26,297.3,297.5,292.0,293.3,26428
2017-03-27,294.5,296.5,290.0,291.3,34028
2017-03-28,294.5,294.95,286.3,287.1,50646
2017-03-29,294.0,294.0,288.55,292.1,23356
2017-03-30,293.95,295.5,290.6,291.4,15762
2017-04-02,295.0,299.75,291.4,295.7,29950
2017-04-04,296.0,302.45,295.0,296.9,31580
2017-04-05,295.0,295.0,291.45,292.5,113404
2017-04-06,295.0,296.2,292.5,292.95,11592
2017-04-09,293.5,299.2,289.0,289.9,34396
2017-04-10,295.0,299.25,289.25,289.6,19682
2017-04-11,289.75,293.95,287.6,289.45,19678
2017-04-12,296.5,296.5,286.65,287.4,19272
2017-04-16,287.45,292.7,279.2,280.7,49072
2017-04-17,282.45,285.9,279.75,280.2,31446
2017-04-18,279.55,282.45,276.5,278.9,14042
2017-04-19,280.75,286.45,279.0,282.5,11792
2017-04-20,283.4,283.4,276.5,280.35,36006
2017-04-23,280.0,280.95,269.8,275.0,83068
2017-04-24,275.05,280.0,274.15,275.15,40522
2017-04-25,282.5,282.5,270.0,272.85,33580
2017-04-26,274.1,278.0,273.0,275.8,9430
2017-04-27,275.95,285.95,275.0,277.05,19312
2017-05-01,276.6,283.45,275.5,276.7,18070
2017-05-02,280.0,280.5,275.0,277.4,20502
2017-05-03,277.8,282.5,276.0,278.7,46058
2017-05-04,278.45,278.5,271.75,274.3,23624
2017-05-07,274.0,277.0,267.55,269.85,77948
2017-05-08,272.0,277.35,270.05,274.05,22622
2017-05-09,275.0,279.0,272.55,274.2,24616
2017-05-10,274.4,276.0,267.35,267.85,46662
2017-05-11,270.5,272.0,264.3,264.85,62148
2017-05-14,266.25,267.8,255.6,259.4,62064
2017-05-15,259.4,263.5,256.0,258.0,79588
2017-05-16,258.0,260.3,253.5,256.6,36676
2017-05-17,255.0,272.45,255.0,264.1,90046
2017-05-18,265.0,266.4,260.0,262.65,23888
2017-05-21,261.0,268.95,260.0,265.55,43354
2017-05-22,268.5,268.5,252.5,265.25,83558
2017-05-23,265.45,267.45,259.7,260.9,42412
2017-05-24,261.05,267.0,258.85,265.25,31570
2017-05-25,266.5,269.5,263.5,267.25,24170
2017-05-28,268.0,270.0,262.45,262.7,38202
2017-05-29,261.5,261.5,253.55,255.15,51874
2017-05-30,253.5,265.95,253.5,262.5,29536
2017-05-31,258.5,293.75,255.05,281.1,247592
2017-06-01,284.4,286.4,279.0,283.8,53160
2017-06-04,283.5,290.45,280.5,282.1,39278
2017-06-05,282.45,284.95,280.05,281.7,17286
2017-06-06,284.85,284.85,280.0,280.45,33518
2017-06-07,281.0,284.35,280.05,282.5,23376
2017-06-08,284.35,285.5,280.65,284.1,26580
2017-06-11,285.35,285.35,280.05,280.55,8490
2017-06-12,284.5,286.2,280.15,282.5,19028
2017-06-13,287.4,287.4,282.75,284.2,11744
2017-06-14,281.75,285.15,281.75,284.05,5130
2017-06-15,281.5,287.2,281.5,285.65,16176
2017-06-18,282.5,292.35,282.5,284.5,20276
2017-06-19,287.8,288.45,280.6,281.1,19164
2017-06-20,283.45,283.45,272.5,274.4,9728
2017-06-21,274.0,282.65,271.5,272.05,12784
2017-06-22,272.5,273.0,267.5,268.9,9980
2017-06-26,267.5,270.45,260.55,262.55,11880
2017-06-27,262.5,263.7,255.9,259.75,15720
2017-06-28,260.0,265.0,256.1,259.85,14844
2017-06-29,261.85,261.9,253.7,258.35,21112
2017-07-02,256.2,266.0,256.2,265.1,11416
2017-07-03,265.15,267.45,262.5,264.3,8748
2017-07-04,266.8,268.5,262.55,263.95,14162
2017-07-05,271.5,271.5,262.8,264.5,16148
2017-07-06,265.0,267.95,261.5,263.5,8586
2017-07-09,265.0,299.45,264.5,266.65,3776
2017-07-10,272.35,273.95,268.05,269.75,24348
2017-07-11,271.0,274.4,266.5,267.95,12644
2017-07-12,263.0,269.95,263.0,268.25,6410
2017-07-13,274.0,274.0,262.55,267.6,20136
2017-07-16,266.1,268.2,262.25,266.25,5546
2017-07-17,263.0,267.0,262.7,264.0,12630
2017-07-18,266.9,266.9,259.5,261.55,28604
2017-07-19,265.0,266.45,260.55,265.1,11836
2017-07-20,266.9,266.9,261.0,261.75,12202
2017-07-23,261.15,264.4,260.25,260.8,19484
2017-07-24,261.25,262.45,260.0,261.25,8334
2017-07-25,260.75,264.35,259.15,260.1,13702
2017-07-26,260.0,264.0,259.0,261.85,18226
2017-07-27,257.55,262.5,257.55,261.6,8066
2017-07-30,260.3,264.95,260.3,261.55,22472
2017-07-31,264.35,279.95,260.75,271.0,40298
2017-08-01,266.5,274.55,265.0,267.25,15472
2017-08-02,265.15,267.45,262.75,263.4,17666
2017-08-03,266.7,266.7,261.05,262.8,9054
2017-08-06,262.8,268.3,262.0,265.25,11742
2017-08-07,265.0,266.3,261.0,262.15,24158
2017-08-08,261.5,264.95,257.95,260.5,10302
2017-08-09,260.5,262.25,254.0,254.4,15656
2017-08-10,252.5,263.0,245.5,259.65,12286
2017-08-13,259.65,262.5,248.5,253.25,48860
2017-08-15,253.5,256.95,248.3,253.05,18320
2017-08-16,253.95,256.95,250.05,253.35,12000
2017-08-17,257.45,257.45,249.0,253.2,13576
2017-08-20,250.05,253.85,249.0,249.95,8120
2017-08-21,251.2,253.7,249.1,249.9,4068
2017-08-22,249.95,249.95,243.3,247.45,19896
2017-08-23,249.9,253.0,247.5,252.45,6474
2017-08-27,253.6,253.95,247.5,249.1,21860
2017-08-28,249.25,251.7,247.5,249.4,8942
2017-08-29,249.5,253.95,245.0,249.05,27218
2017-08-30,247.05,252.0,246.55,251.85,18700
2017-08-31,251.05,253.95,249.75,250.05,18488
2017-09-03,248.6,252.0,248.6,251.2,14692
2017-09-04,250.25,252.95,250.0,250.8,9950
2017-09-05,251.0,252.35,249.8,250.15,28770
2017-09-06,251.0,253.95,247.55,250.55,27926
2017-09-07,251.5,251.5,248.5,249.55,9294
2017-09-10,250.0,251.95,247.3,248.35,11916
2017-09-11,248.4,253.95,247.75,252.35,20152
2017-09-12,251.0,255.0,250.0,250.9,10172
2017-09-13,251.2,251.2,248.25,250.0,21934
2017-09-14,251.0,255.45,251.0,254.3,12482
2017-09-17,258.9,260.0,255.5,257.55,32516
2017-09-18,257.5,260.0,255.5,256.0,31894
2017-09-19,257.5,293.5,255.75,287.25,244548
2017-09-20,285.0,298.2,280.5,281.0,128846
2017-09-21,282.5,282.5,266.0,268.1,27014
2017-09-24,265.0,270.0,260.0,267.15,28180
2017-09-25,265.0,274.45,263.75,272.25,26870
2017-09-26,273.5,280.0,272.0,277.2,337528
2017-09-27,277.4,287.0,272.25,282.7,133544
2017-09-28,284.95,287.45,281.5,286.25,38454
2017-10-02,287.5,292.0,284.25,286.85,23096
2017-10-03,287.5,291.95,285.0,286.7,18928
2017-10-04,286.5,286.5,279.0,279.3,13598
2017-10-05,278.55,285.0,278.55,284.15,13678
2017-10-08,284.25,287.5,280.35,281.35,29642
2017-10-09,281.25,285.6,279.0,281.95,24770
