,open,high,low,close,volume
2016-12-18,169.9,171.9,166.75,167.65,8756828
2016-12-19,167.9,169.25,165.5,166.75,5343942
2016-12-20,166.9,168.1,164.1,166.55,5323215
2016-12-21,166.9,167.15,163.5,164.8,3340857
2016-12-22,164.6,167.75,164.05,165.9,4023538
2016-12-25,165.65,166.15,161.25,162.7,4783284
2016-12-26,162.85,168.25,162.35,167.65,4451007
2016-12-27,167.9,170.95,164.8,165.45,7398086
2016-12-28,165.65,171.7,165.5,169.9,11311990
2016-12-29,170.8,175.95,169.15,175.15,6549856
2017-01-01,176.3,180.15,175.35,179.0,6430197
2017-01-02,179.0,187.2,179.0,185.35,9081842
2017-01-03,184.55,186.9,179.65,183.85,6622402
2017-01-04,183.75,189.85,183.45,189.2,5592262
2017-01-05,187.9,190.95,185.05,186.45,4101748
2017-01-08,186.1,186.95,181.75,184.75,3815292
2017-01-09,187.95,193.25,187.95,192.0,7597767
2017-01-10,193.25,198.55,191.0,197.1,5767275
2017-01-11,196.85,200.85,194.75,198.65,5470322
2017-01-12,199.9,200.05,193.1,196.3,4846514
2017-01-15,198.2,198.45,195.0,196.55,4173309
2017-01-16,196.55,197.65,191.75,193.35,5126692
2017-01-17,193.5,196.45,192.05,195.9,3355510
2017-01-18,197.05,200.35,197.05,199.05,4887772
2017-01-19,198.75,200.1,196.45,198.0,3899852
2017-01-22,197.7,207.15,196.85,206.5,6760422
2017-01-23,206.55,210.85,206.15,209.2,6186456
2017-01-24,209.15,222.45,207.25,220.95,17914818
2017-01-26,220.15,223.65,215.65,216.85,5654600
2017-01-29,216.7,217.9,212.55,213.7,3615096
2017-01-30,213.65,217.85,208.15,210.7,6299842
2017-01-31,211.4,220.35,210.35,218.5,5476568
2017-02-01,218.95,225.65,218.95,224.35,5843433
2017-02-02,223.85,224.25,218.85,220.7,4473534
2017-02-05,222.1,225.45,221.55,223.95,3979088
2017-02-06,224.05,232.25,223.05,227.5,7774698
2017-02-07,228.5,238.1,227.9,233.75,7218486
2017-02-08,234.95,237.65,233.4,235.4,5087438
2017-02-09,235.85,236.0,229.1,233.05,6246268
2017-02-12,234.05,237.65,231.95,236.05,4256936
2017-02-13,236.75,236.75,219.15,221.75,13946426
2017-02-14,221.65,223.35,209.75,212.4,13376426
2017-02-15,213.65,217.45,210.55,214.65,7624830
2017-02-16,216.75,221.45,213.55,220.35,5917864
2017-02-19,221.75,227.35,220.15,226.65,5182992
2017-02-20,227.45,232.15,226.8,228.95,5883210
2017-02-21,230.1,231.65,223.65,225.15,6094952
2017-02-22,225.65,233.9,225.25,232.75,11971240
2017-02-26,232.75,234.55,226.2,227.75,7130294
2017-02-27,228.25,228.35,214.85,218.0,19097062
2017-02-28,210.45,213.0,205.25,209.45,15927430
2017-03-01,211.9,213.2,203.35,204.55,13359960
2017-03-02,205.6,212.05,201.7,211.55,12821544
2017-03-05,212.45,213.65,207.25,210.3,6592694
2017-03-06,210.55,214.25,209.75,213.55,7274376
2017-03-07,213.2,215.0,206.75,207.9,6391436
2017-03-08,210.15,211.7,207.6,208.2,6710385
2017-03-09,210.1,210.1,205.15,207.05,6707169
2017-03-13,210.75,213.15,208.15,209.65,6266840
2017-03-14,210.1,211.25,206.95,208.05,6253636
2017-03-15,209.35,211.25,207.25,210.25,9246384
2017-03-16,211.0,211.25,205.9,207.15,13338405
2017-03-19,208.3,208.3,205.65,206.25,7690626
2017-03-20,206.95,207.9,203.0,203.55,6316478
2017-03-21,201.65,207.45,200.6,206.1,8158810
2017-03-22,210.2,213.15,209.05,210.9,14146536
2017-03-23,209.15,209.75,207.1,209.25,5888402
2017-03-26,209.65,211.0,208.05,209.35,3509446
2017-03-27,209.25,211.0,208.25,209.5,2691634
2017-03-28,209.55,211.6,208.65,210.0,3776400
2017-03-29,209.55,210.85,207.45,208.9,10551315
2017-03-30,210.1,214.25,209.0,212.65,6099213
2017-04-02,211.85,212.65,208.55,209.5,2780374
2017-04-04,210.2,212.35,208.1,211.6,5436927
2017-04-05,209.65,213.05,209.25,212.15,3342010
2017-04-06,211.45,219.8,210.85,217.15,9687900
2017-04-09,218.9,222.05,218.1,219.95,7457354
2017-04-10,220.75,221.35,217.85,218.35,3513874
2017-04-11,218.55,221.85,211.25,220.1,6195848
2017-04-12,220.5,229.65,218.05,227.55,8854878
2017-04-16,230.5,230.85,225.0,226.5,4156068
2017-04-17,228.85,230.55,223.55,224.9,6239794
2017-04-18,223.1,227.25,220.3,225.15,6274638
2017-04-19,226.9,227.25,223.45,224.95,4533435
2017-04-20,225.65,227.65,224.55,226.6,4107603
2017-04-23,226.9,228.75,222.7,226.35,2192332
2017-04-24,227.0,231.9,226.35,227.7,8093462
2017-04-25,227.9,229.35,215.0,217.15,14041416
2017-04-26,218.9,221.85,216.2,220.1,8906782
2017-04-27,221.25,221.95,216.55,217.3,3291078
2017-05-01,218.9,225.15,218.2,224.6,5533914
2017-05-02,226.1,226.9,214.15,214.65,10582078
2017-05-03,216.35,216.55,211.55,215.2,4089540
2017-05-04,218.7,218.7,210.75,211.65,3807579
2017-05-07,211.85,215.85,211.05,215.05,3415036
2017-05-08,216.75,216.75,211.9,213.35,4026200
2017-05-09,214.55,215.65,212.35,214.2,2670021
2017-05-10,213.9,216.3,211.7,213.2,3782164
2017-05-11,213.45,218.7,212.45,217.1,4794060
2017-05-14,218.1,218.45,215.05,217.75,2279384
2017-05-15,216.35,221.2,215.8,219.9,2772338
2017-05-16,220.35,223.4,219.05,220.55,5256981
2017-05-17,220.55,220.55,213.05,216.1,4598780
2017-05-18,215.7,217.4,209.15,210.7,3925839
2017-05-21,211.45,211.7,204.45,205.95,4302909
2017-05-22,206.1,206.95,197.7,201.05,7501738
2017-05-23,199.0,202.1,198.35,201.1,5374754
2017-05-24,201.65,206.45,199.75,205.15,10416806
2017-05-25,204.6,233.65,199.25,231.25,28487853
2017-05-28,232.45,234.45,220.35,222.25,9534432
2017-05-29,221.9,227.45,217.25,225.25,4847130
2017-05-30,225.55,226.5,221.75,225.3,6587014
2017-05-31,225.25,225.25,217.3,219.55,5377724
2017-06-01,220.35,222.25,216.9,217.55,4807096
2017-06-04,218.55,222.85,218.55,219.95,2452508
2017-06-05,219.3,224.55,218.4,221.35,4736136
2017-06-06,223.15,223.15,217.75,219.1,3350570
2017-06-07,221.15,221.25,217.0,218.5,3090272
2017-06-08,218.75,219.5,214.55,218.85,2682952
2017-06-11,219.0,223.3,217.9,221.25,4801998
2017-06-12,221.2,223.6,218.65,219.25,5589417
2017-06-13,217.25,222.85,217.25,221.95,6230811
2017-06-14,222.55,224.05,207.9,209.45,11556738
2017-06-15,210.15,217.4,210.15,214.65,9284778
2017-06-18,216.3,216.3,213.25,214.8,3527136
2017-06-19,214.55,217.4,214.55,216.85,3902391
2017-06-20,217.15,217.65,212.9,214.25,3487185
2017-06-21,212.45,215.45,205.95,206.55,6389955
2017-06-22,207.45,207.9,202.7,204.95,5018565
2017-06-26,205.65,206.1,197.05,202.25,6269470
2017-06-27,203.45,208.35,203.15,206.9,5071156
2017-06-28,205.65,210.05,204.3,204.85,6030480
2017-06-29,204.9,209.55,201.45,205.85,6328210
2017-07-02,206.6,212.35,206.1,208.75,3871956
2017-07-03,209.25,210.85,206.1,206.5,3311184
2017-07-04,207.1,209.65,204.75,208.55,2698455
2017-07-05,208.95,210.55,203.9,205.25,7307559
2017-07-06,203.5,206.45,200.95,201.85,7496726
2017-07-09,207.45,214.45,202.45,206.85,2241958
2017-07-10,205.7,209.0,203.0,205.95,5598926
2017-07-11,207.65,219.3,204.95,218.5,10562526
2017-07-12,223.25,233.65,219.85,229.05,18277224
2017-07-13,229.5,240.35,224.85,237.25,8646729
2017-07-16,234.6,238.3,226.5,230.9,6742028
2017-07-17,229.6,234.85,222.75,224.45,6646084
2017-07-18,227.95,238.65,225.65,234.8,9042860
2017-07-19,225.0,229.95,221.55,224.25,10523282
2017-07-20,224.65,226.65,217.0,224.35,6410655
2017-07-23,226.35,231.35,223.85,225.2,6738638
2017-07-24,225.2,229.0,222.8,228.35,4684581
2017-07-25,228.95,229.3,224.95,226.05,3993398
2017-07-26,225.65,228.85,221.4,223.8,5714268
2017-07-27,224.35,229.2,223.8,228.65,5820166
2017-07-30,229.65,235.15,226.65,234.45,6141528
2017-07-31,234.45,240.25,233.25,236.85,6699744
2017-08-01,237.0,237.65,233.05,235.65,3521140
2017-08-02,237.6,250.65,236.05,243.55,14941090
2017-08-03,243.75,273.65,240.85,267.4,21909400
2017-08-06,264.35,287.25,262.35,284.4,16694877
2017-08-07,280.6,282.65,267.1,269.75,11525643
2017-08-08,263.95,277.15,258.9,265.45,11483370
2017-08-09,261.35,266.6,245.65,253.95,9620840
2017-08-10,251.65,270.8,244.4,265.05,14725588
2017-08-13,268.65,274.1,262.05,271.4,6447579
2017-08-15,269.8,275.0,266.4,269.95,5009496
2017-08-16,271.0,274.75,267.05,268.3,5680911
2017-08-17,267.65,279.55,265.55,273.95,9195718
2017-08-20,277.2,280.65,266.05,268.2,6523320
2017-08-21,268.85,281.75,268.85,278.8,12409968
2017-08-22,282.35,287.4,277.15,284.25,5724184
2017-08-23,283.0,292.95,281.05,289.8,7084710
2017-08-27,291.05,292.25,283.8,287.85,7114874
2017-08-28,290.6,296.0,289.4,290.3,7526348
2017-08-29,293.0,306.55,291.25,302.95,10796385
2017-08-30,303.5,307.55,298.15,304.55,10199178
2017-08-31,306.6,306.6,298.15,300.6,6958470
2017-09-03,300.35,302.45,292.35,296.65,3184790
2017-09-04,297.35,301.0,293.35,300.25,3606330
2017-09-05,298.35,298.35,295.05,296.65,3466270
2017-09-06,298.35,298.8,291.35,291.95,4058595
2017-09-07,290.55,295.2,285.0,286.95,4723082
2017-09-10,290.35,293.15,256.35,289.0,3566558
2017-09-11,291.0,301.6,290.05,300.45,4373596
2017-09-12,301.65,302.6,274.8,284.0,11484099
2017-09-13,295.05,297.65,279.0,285.0,11139879
2017-09-14,285.0,288.25,279.05,281.0,7192302
2017-09-17,284.25,284.7,273.15,278.35,5409686
2017-09-18,278.2,289.0,275.25,286.55,5904278
2017-09-19,287.4,287.4,278.05,280.35,4055478
2017-09-20,280.45,284.35,277.2,280.55,5491824
2017-09-21,279.85,280.35,269.4,271.4,6289964
2017-09-24,270.95,272.05,258.75,262.5,6212062
2017-09-25,261.0,263.95,246.35,256.05,9100196
2017-09-26,258.85,262.95,255.25,257.05,5672800
2017-09-27,256.35,257.6,243.45,256.4,26451636
2017-09-28,258.8,268.65,255.05,263.55,9753344
2017-10-02,269.25,271.2,260.15,268.75,6496740
2017-10-03,277.45,279.9,270.8,275.1,12159908
2017-10-04,275.95,276.35,267.65,269.45,4623453
2017-10-05,269.85,277.85,269.0,275.95,5182806
2017-10-08,275.95,276.85,270.45,272.35,3973101
2017-10-09,273.0,273.6,268.65,270.05,4602225
2017-10-10,271.0,287.45,270.15,282.35,14366040
2017-10-11,284.3,284.95,279.45,283.2,4304626
2017-10-12,283.3,286.25,279.05,285.4,4092717
2017-10-15,286.35,288.85,283.95,285.95,4536032
2017-10-16,285.65,294.95,283.65,292.85,6966159
2017-10-17,292.35,292.35,285.85,287.85,3720062
2017-10-22,285.65,292.35,283.35,285.05,4686416
2017-10-23,286.35,291.75,281.05,289.65,4116038
2017-10-24,291.15,292.8,286.45,287.35,3528638
2017-10-25,288.35,301.9,287.15,299.8,8313279
2017-10-26,299.65,300.35,281.65,283.05,7504398
2017-10-29,284.35,290.25,281.3,282.2,3685272
2017-10-30,283.0,285.3,274.45,277.1,9058170
2017-10-31,280.35,280.35,273.4,274.55,5358735
2017-11-01,277.85,279.6,274.4,275.9,5622546
2017-11-02,277.2,277.5,272.4,276.1,3542805
2017-11-05,274.35,275.6,266.25,268.35,4686180
2017-11-06,267.65,277.25,258.0,275.45,13911352
2017-11-07,278.3,278.8,266.15,268.85,5208868
2017-11-08,272.0,276.65,260.75,266.7,13584944
2017-11-09,267.65,269.25,255.55,256.9,9240855
2017-11-12,257.95,261.95,249.85,259.05,6781686
2017-11-13,260.8,260.8,251.55,253.15,6591432
2017-11-14,254.35,260.85,253.35,254.85,5323305
2017-11-15,257.0,258.65,252.35,254.0,3950950
2017-11-16,257.0,259.55,253.0,255.55,6819309
2017-11-19,256.0,257.55,252.15,256.05,3091718
2017-11-20,257.05,260.85,256.35,258.15,3092919
2017-11-21,258.75,259.55,254.0,258.65,4109126
2017-11-22,258.25,265.05,255.95,262.3,5948316
2017-11-23,263.65,268.6,259.65,265.85,6104793
2017-11-26,264.0,264.65,259.0,261.45,4133361
2017-11-27,261.35,262.05,256.45,257.45,3848998
2017-11-28,258.75,259.4,254.25,256.55,4841946
2017-11-29,255.25,259.35,252.75,256.8,9345882
2017-11-30,257.65,258.95,250.0,252.05,3751500
2017-12-03,252.35,255.0,245.65,253.95,4847391
2017-12-04,254.65,257.65,252.4,253.65,4189222
2017-12-05,253.65,253.65,249.0,249.65,4351611
2017-12-06,251.45,255.0,250.05,254.1,3858753
2017-12-07,256.15,265.65,251.9,264.65,8057448
2017-12-10,267.0,269.85,264.5,267.35,4233474
2017-12-11,265.0,265.85,254.35,255.65,6713584
2017-12-12,255.85,264.0,255.85,261.25,7678749
2017-12-13,263.95,271.35,262.35,270.5,8714426
2017-12-14,274.35,276.75,271.75,274.85,7336392
2017-12-17,272.35,275.65,262.6,270.85,4736259
2017-12-18,272.35,272.85,266.65,269.9,3676342
2017-12-19,269.75,270.25,264.65,266.65,3370586
2017-12-20,267.65,268.3,262.85,263.55,3679376
2017-12-21,263.0,266.85,262.65,265.2,3134572
2017-12-25,265.05,267.45,263.8,266.0,3171213
2017-12-26,264.35,265.4,261.25,262.9,2919280
2017-12-27,262.15,264.65,258.35,260.75,5200028
2017-12-28,260.35,262.35,255.85,258.05,3179734
2017-12-31,258.35,259.8,253.95,254.85,3130578
2018-01-01,255.65,255.8,246.35,249.95,5421162
2018-01-02,251.25,256.95,249.6,252.95,4510430
2018-01-03,253.2,259.65,251.35,258.25,4302084
2018-01-04,259.0,260.25,253.25,255.65,5393860
2018-01-07,257.35,261.4,256.85,259.75,3221578
2018-01-08,259.0,259.25,255.05,257.15,3903998
2018-01-09,255.3,264.25,254.5,262.05,5370945
2018-01-10,261.1,261.35,257.45,259.65,3246182
2018-01-11,259.05,265.0,258.4,262.95,5242832
2018-01-14,263.0,269.0,262.55,263.05,4438422
2018-01-15,263.0,265.35,252.05,252.6,8333223
2018-01-16,251.0,260.35,251.0,259.2,5451824
2018-01-17,261.0,261.0,251.8,253.5,4371584
2018-01-18,254.95,258.95,252.05,256.45,4212366
2018-01-21,249.0,255.45,244.55,246.85,14538862
2018-01-22,248.85,249.65,240.35,242.95,7813974
2018-01-23,243.65,243.9,235.85,238.45,13064598
2018-01-24,239.0,242.9,233.95,235.1,13110020
2018-01-28,235.15,236.05,227.9,229.1,21222934
2018-01-29,227.05,245.0,227.05,241.0,13462154
2018-01-30,242.0,246.1,237.8,244.15,10463500
2018-01-31,243.85,252.2,239.15,240.55,7391547
2018-02-01,237.0,239.65,226.35,228.65,5838256
2018-02-04,225.0,237.55,222.45,234.9,8200666
2018-02-05,225.7,233.35,224.8,230.75,8087403
2018-02-06,235.65,251.6,234.0,243.25,14466638
