,open,high,low,close,volume
2016-12-18,205.05,206.95,203.0,204.3,2980
2016-12-19,208.25,208.25,199.7,200.9,9960
2016-12-20,203.0,213.0,198.25,208.35,13145
2016-12-21,206.05,208.35,200.35,201.4,5381
2016-12-22,201.0,207.0,199.1,204.55,6806
2016-12-25,203.7,203.7,198.55,200.45,4004
2016-12-26,201.15,205.0,200.2,202.3,2779
2016-12-27,208.35,215.0,203.0,213.35,12453
2016-12-28,218.9,218.9,209.0,214.75,2825
2016-12-29,215.0,220.25,214.4,215.25,5857
2017-01-01,216.35,220.55,211.35,215.4,5227
2017-01-02,215.05,220.25,213.05,214.1,4885
2017-01-03,217.4,219.4,210.3,211.6,12760
2017-01-04,216.5,219.4,213.9,218.1,7292
2017-01-05,222.0,222.0,215.1,216.95,3160
2017-01-08,219.75,219.75,213.05,213.75,1370
2017-01-09,217.7,227.0,215.1,225.6,28965
2017-01-10,224.5,228.0,218.1,219.75,16535
2017-01-11,221.95,222.0,215.7,216.7,3979
2017-01-12,219.0,224.7,213.45,217.65,8423
2017-01-15,219.85,219.85,215.7,217.85,3595
2017-01-16,216.5,220.95,215.05,216.65,4159
2017-01-17,215.0,247.6,214.0,231.5,315095
2017-01-18,231.0,235.65,225.0,225.75,37243
2017-01-19,226.85,239.8,223.15,226.1,56458
2017-01-22,226.5,232.95,223.05,226.45,9699
2017-01-23,229.7,229.7,222.3,224.35,6150
2017-01-24,227.45,227.5,218.3,219.4,12089
2017-01-26,223.0,225.6,217.4,218.6,8271
2017-01-29,218.1,224.0,215.6,216.5,11235
2017-01-30,217.55,218.7,210.25,211.7,5463
2017-01-31,214.95,216.8,210.8,213.1,3938
2017-02-01,213.7,222.0,213.7,218.95,6640
2017-02-02,217.05,222.4,216.55,219.55,3428
2017-02-06,221.9,224.05,216.5,218.85,2908
2017-02-06,226.4,226.4,215.6,218.2,13702
2017-02-07,218.7,219.5,204.0,207.2,31628
2017-02-08,205.0,205.0,197.2,201.85,20135
2017-02-09,202.3,213.0,201.05,206.75,13669
2017-02-12,206.95,211.7,205.05,208.9,7181
2017-02-13,211.9,212.0,208.1,209.8,5766
2017-02-14,209.75,210.5,203.2,207.65,8281
2017-02-15,208.0,213.5,206.85,212.65,10878
2017-02-16,214.95,221.05,208.75,211.65,18792
2017-02-19,213.45,215.95,210.7,215.35,5521
2017-02-20,213.05,217.55,211.55,213.1,5998
2017-02-21,217.95,217.95,209.0,211.2,9300
2017-02-22,210.5,215.0,210.5,212.2,1516
2017-02-26,211.55,214.8,208.0,210.0,1624
2017-02-27,211.7,216.0,207.4,209.25,3745
2017-02-28,214.0,214.0,205.0,206.7,7316
