,open,high,low,close,volume
2023-12-28,452.1,542.5,452.1,541.4,15496570
2023-12-31,535.0,548.9,506.0,530.35,3492240
2024-01-01,529.95,588.0,528.3,565.5,2538466
2024-01-02,565.5,579.0,547.05,549.85,931875
2024-01-03,550.05,557.0,533.15,537.5,541015
2024-01-04,538.0,553.25,530.9,537.15,969102
2024-01-07,535.0,538.0,512.0,523.5,758943
2024-01-08,530.05,537.75,518.0,526.85,499482
2024-01-09,520.6,533.0,515.1,520.9,333937
2024-01-10,522.05,528.35,516.4,518.6,293035
2024-01-11,519.0,534.0,514.2,519.15,444380
2024-01-14,520.35,525.0,511.5,513.65,270219
2024-01-15,513.65,515.95,501.0,507.45,185366
2024-01-16,499.9,520.5,496.0,517.75,275306
2024-01-17,523.0,525.0,501.4,519.2,244371
2024-01-18,577.35,583.9,531.4,539.45,1243047
2024-01-19,539.75,542.95,522.6,526.5,124830
2024-01-22,526.95,530.45,510.2,517.4,262425
2024-01-23,515.0,526.3,509.0,523.55,130040
2024-01-24,523.55,530.0,502.8,515.9,287078
2024-01-28,515.05,520.9,503.0,509.0,488479
2024-01-29,510.0,516.0,503.0,513.55,366266
2024-01-30,513.0,520.1,510.9,517.05,100137
2024-01-31,517.0,524.0,513.5,522.0,97115
2024-02-01,522.45,538.3,518.5,533.65,248473
2024-02-04,530.05,546.0,528.0,536.75,171630
2024-02-05,533.0,550.5,528.55,541.0,139265
2024-02-06,542.7,555.55,536.45,546.85,172111
2024-02-07,546.85,554.85,525.85,531.65,84629
2024-02-08,531.9,534.35,513.2,526.7,111548
2024-02-11,539.9,550.0,531.1,545.25,274248
2024-02-12,555.0,570.0,531.0,550.25,204146
2024-02-13,530.95,550.5,526.05,546.35,154700
2024-02-14,555.0,555.0,521.15,533.25,91537
2024-02-15,535.8,543.9,528.25,531.0,70015
2024-02-18,535.95,539.4,521.05,523.75,56036
2024-02-19,524.25,534.6,521.0,526.8,91734
2024-02-20,532.0,533.45,516.0,522.25,88132
2024-02-21,525.95,526.75,517.0,524.05,51432
2024-02-22,521.5,538.0,519.05,531.7,98525
2024-02-25,532.8,548.0,528.6,533.65,59412
2024-02-26,535.0,540.9,534.0,536.15,66868
2024-02-27,543.4,566.7,536.25,544.9,248267
2024-02-28,536.0,536.9,523.15,528.9,75847
2024-02-29,530.05,536.0,527.1,532.75,45924
2024-03-01,531.0,546.35,521.0,532.15,8737
2024-03-03,530.45,536.95,523.6,526.05,63144
2024-03-04,523.0,526.95,523.0,524.95,23577
2024-03-05,523.9,526.55,514.6,524.1,39441
2024-03-06,515.25,528.0,515.25,526.1,233765
2024-03-10,518.05,528.0,516.85,520.2,26688
2024-03-11,520.5,526.0,495.5,512.9,133277
2024-03-12,514.3,514.3,471.5,479.15,96529
2024-03-13,471.95,488.3,462.0,481.95,110232
2024-03-14,477.6,485.7,467.0,479.1,44164
