,open,high,low,close,volume
2023-10-25,477.25,483.7,450.0,473.15,5429213
2023-10-26,478.0,495.95,477.95,482.15,1272674
2023-10-29,485.5,485.8,470.0,472.6,687495
2023-10-30,472.05,476.8,460.25,462.65,552939
2023-10-31,463.5,464.65,443.0,444.1,449088
2023-11-01,446.0,459.75,446.0,453.1,446624
2023-11-02,456.5,456.5,447.8,449.35,173842
2023-11-05,455.0,472.6,455.0,466.25,541066
2023-11-06,467.9,478.3,461.65,471.7,417476
2023-11-07,472.0,474.95,468.0,470.25,205060
2023-11-08,471.0,473.8,455.05,460.7,224601
2023-11-09,459.95,459.95,448.45,449.35,136837
2023-11-11,456.0,460.0,455.05,458.25,56999
2023-11-12,458.95,458.95,451.65,453.5,117007
2023-11-14,454.1,458.25,445.05,446.3,445709
2023-11-15,448.3,456.3,441.05,450.2,549277
2023-11-16,448.35,451.5,444.05,447.1,202678
2023-11-19,447.0,448.6,438.3,441.05,176933
2023-11-20,441.0,444.95,436.0,437.0,136098
2023-11-21,435.05,458.0,435.05,456.05,439152
2023-11-22,451.2,468.2,451.0,465.4,280227
2023-11-23,469.0,472.5,464.1,468.65,203530
2023-11-27,468.0,471.15,458.8,464.7,94064
2023-11-28,463.15,469.0,460.05,465.75,193380
2023-11-29,466.05,470.1,456.0,458.95,276239
2023-11-30,460.1,491.0,456.35,487.15,900544
2023-12-03,497.0,497.0,475.4,478.05,231147
2023-12-04,480.35,481.95,462.9,464.55,170868
2023-12-05,465.0,469.0,457.0,458.0,130060
2023-12-06,458.0,464.8,451.0,459.85,125963
2023-12-07,459.5,463.25,456.0,458.2,113647
2023-12-10,459.95,476.0,459.0,470.2,184189
2023-12-11,471.05,475.0,460.4,462.7,87039
2023-12-12,469.0,469.0,458.0,461.95,105712
2023-12-13,460.05,466.95,455.25,456.95,186893
2023-12-14,462.85,489.4,458.1,479.1,588267
2023-12-17,478.95,485.0,467.45,473.0,291382
2023-12-18,473.0,504.8,473.0,487.0,763506
2023-12-19,490.6,490.6,462.0,467.55,372007
2023-12-20,468.0,486.0,462.1,484.95,186451
2023-12-21,488.7,528.8,483.05,522.7,2020801
2023-12-25,531.0,554.0,512.55,546.6,1783205
2023-12-26,557.85,564.3,543.55,551.3,1134634
2023-12-27,554.0,554.55,541.55,544.5,353725
2023-12-28,549.65,549.65,534.2,538.15,209249
2023-12-31,539.65,540.0,521.0,526.0,227444
2024-01-01,525.8,526.8,509.25,520.6,300810
2024-01-02,520.0,543.0,513.0,534.25,341824
2024-01-03,535.0,546.15,525.0,532.1,231954
2024-01-04,538.0,542.15,527.85,530.4,133377
2024-01-07,530.0,549.7,528.3,542.05,273567
2024-01-08,550.0,554.35,532.1,535.4,221191
2024-01-09,539.8,544.15,528.0,537.9,151704
2024-01-10,540.0,544.95,534.15,537.35,102470
2024-01-11,540.0,547.9,534.0,545.0,286576
2024-01-14,550.0,573.75,540.05,551.9,612379
2024-01-15,552.0,561.85,535.55,540.75,234602
2024-01-16,533.4,539.5,522.45,535.8,206040
2024-01-17,541.0,542.4,522.5,535.75,121606
2024-01-18,541.7,542.7,525.7,527.65,148408
2024-01-19,529.0,537.5,520.0,524.25,68433
2024-01-22,528.0,535.0,500.5,503.75,162316
2024-01-23,509.0,523.0,500.0,512.2,162625
2024-01-24,530.0,533.9,505.25,508.2,186465
2024-01-28,514.9,514.9,505.55,507.9,104203
2024-01-29,507.1,534.65,505.2,525.85,286609
2024-01-30,525.8,540.95,524.5,539.15,192706
2024-01-31,539.15,615.0,537.25,600.2,1487404
2024-02-01,604.9,608.0,578.0,589.2,694523
2024-02-04,591.85,607.0,583.0,589.25,356809
2024-02-05,592.9,594.7,580.0,582.85,169830
2024-02-06,587.0,587.15,559.15,565.4,145032
2024-02-07,566.0,593.9,563.35,588.8,318252
2024-02-08,590.0,600.0,568.0,580.35,212908
2024-02-11,564.1,584.55,512.5,523.55,271864
2024-02-12,530.0,547.65,513.55,534.25,165384
2024-02-13,525.05,569.8,519.55,550.0,183101
2024-02-14,550.0,588.6,548.55,577.15,270268
2024-02-15,581.0,588.4,560.0,564.3,105645
2024-02-18,564.75,579.4,560.25,568.9,111186
2024-02-19,574.0,578.05,562.55,563.45,57768
2024-02-20,568.0,570.95,542.0,543.7,112433
2024-02-21,543.8,552.0,532.95,546.0,92515
2024-02-22,550.0,559.0,539.0,546.25,176287
2024-02-25,550.0,587.7,549.0,573.95,346999
2024-02-26,577.8,597.0,546.6,561.8,224886
2024-02-27,565.7,570.4,545.0,553.15,112330
2024-02-28,546.1,564.65,543.0,559.7,103392
2024-02-29,569.7,569.7,555.0,564.5,46380
2024-03-01,569.0,573.0,547.7,559.55,11355
2024-03-03,555.05,570.75,555.05,565.15,90098
2024-03-04,557.4,563.55,542.8,546.85,61818
2024-03-05,546.85,546.9,505.0,509.55,294194
2024-03-06,514.55,522.0,487.2,518.45,417366
2024-03-10,506.65,517.35,493.0,495.5,93700
2024-03-11,508.3,508.3,465.45,471.75,231844
2024-03-12,476.0,483.75,440.0,445.5,330785
2024-03-13,453.95,482.15,439.7,473.5,155060
2024-03-14,480.0,488.9,461.95,485.4,111521
2024-03-17,489.7,489.9,473.65,486.3,65382
2024-03-18,486.3,486.45,470.6,479.45,47783
2024-03-19,481.0,492.4,468.3,483.05,78966
2024-03-20,492.0,504.0,484.0,497.6,119730
2024-03-21,504.0,504.0,489.15,493.05,28547
2024-03-25,490.0,490.0,456.65,462.55,166946
2024-03-26,463.0,488.25,463.0,480.35,131983
2024-03-27,482.05,494.0,467.0,469.3,168770
2024-03-31,476.35,485.0,473.1,479.9,35915
2024-04-01,479.9,487.8,479.1,483.35,38834
2024-04-02,487.8,499.0,483.35,493.9,83818
2024-04-03,501.05,501.05,485.0,486.65,30401
2024-04-04,486.65,508.8,476.15,500.25,145986
2024-04-07,500.3,505.3,492.35,495.45,58561
2024-04-08,495.5,500.0,478.05,481.25,65030
2024-04-09,482.95,490.0,480.05,486.1,51738
2024-04-11,487.95,487.95,475.6,478.1,51919
2024-04-14,474.2,476.0,458.2,463.9,94831
2024-04-15,469.0,475.8,462.8,465.0,67473
2024-04-17,470.0,475.2,464.0,465.85,54145
2024-04-18,468.0,559.0,465.0,559.0,2125625
2024-04-21,593.0,641.0,581.4,604.45,2771883
2024-04-22,604.95,612.25,573.35,577.3,392170
2024-04-23,585.9,599.8,561.25,590.55,272640
