,open,high,low,close,volume
2016-12-18,148.0,149.65,146.0,148.85,47599
2016-12-19,148.15,149.45,145.15,146.1,31718
2016-12-20,148.0,152.0,142.6,143.9,70169
2016-12-21,143.4,146.9,142.65,144.5,46016
2016-12-22,143.3,144.45,141.2,142.75,49273
2016-12-25,142.0,146.5,142.0,144.05,98485
2016-12-26,146.0,147.0,143.3,144.1,391526
2016-12-27,145.9,146.5,143.1,145.05,49430
2016-12-28,145.3,148.4,144.3,147.0,79644
2016-12-29,149.0,151.9,146.65,149.2,78111
2017-01-01,150.55,179.0,149.5,165.9,712765
2017-01-02,162.4,164.9,158.1,160.3,412227
2017-01-03,162.2,167.9,162.2,163.95,358418
2017-01-04,165.4,169.7,164.55,166.95,211498
2017-01-05,167.25,167.75,162.25,163.45,89729
2017-01-08,163.5,167.75,163.5,165.8,82267
2017-01-09,167.0,167.05,163.25,164.95,64444
2017-01-10,165.3,166.45,163.35,164.75,88090
2017-01-11,164.0,166.0,159.2,162.1,172290
2017-01-12,162.65,163.25,158.1,158.8,81059
2017-01-15,158.0,160.95,157.5,159.8,68628
2017-01-16,160.5,163.3,159.0,160.2,89008
2017-01-17,160.75,163.0,159.4,160.35,99678
2017-01-18,161.25,162.5,158.1,158.7,374301
2017-01-19,158.5,164.8,158.0,162.5,126262
2017-01-22,162.6,169.25,162.6,165.95,181689
2017-01-23,166.4,168.55,165.05,167.4,58990
2017-01-24,168.95,168.95,164.25,165.8,79095
2017-01-26,167.0,167.7,161.95,163.0,96562
2017-01-29,162.6,165.7,160.0,163.25,78107
2017-01-30,162.1,164.85,160.45,161.25,38375
2017-01-31,161.05,168.5,159.2,162.8,185870
2017-02-01,163.0,164.4,159.6,160.8,170510
2017-02-02,160.0,162.95,158.8,159.25,196826
2017-02-05,161.55,166.2,159.5,160.45,294477
2017-02-06,161.0,162.4,155.25,156.95,124007
2017-02-07,158.95,162.9,156.95,162.05,78811
2017-02-08,163.0,165.0,161.7,163.6,151596
2017-02-09,164.9,164.95,158.15,159.15,175661
2017-02-12,161.5,161.5,157.25,159.4,155911
2017-02-13,161.4,161.5,158.7,159.5,55251
2017-02-14,159.5,160.65,155.0,159.4,76179
2017-02-15,159.5,162.0,157.5,159.0,277305
2017-02-16,159.1,165.0,159.1,162.4,138284
2017-02-19,164.05,164.1,160.0,160.0,147306
2017-02-20,161.6,163.9,160.0,160.75,639389
2017-02-21,156.4,156.4,145.0,150.0,1604390
2017-02-22,149.0,157.45,146.85,153.95,530496
2017-02-26,155.1,155.5,151.6,152.35,117653
2017-02-27,153.45,153.45,150.65,151.4,93181
2017-02-28,153.9,153.9,150.1,151.55,98663
2017-03-01,153.0,153.1,149.95,150.9,161314
2017-03-02,149.0,150.7,149.0,149.8,146663
2017-03-05,149.6,152.9,148.5,149.15,78488
2017-03-06,148.5,151.05,147.8,149.25,128418
2017-03-07,151.0,151.0,147.7,148.9,169846
2017-03-08,148.0,154.0,148.0,152.9,87207
2017-03-09,154.4,154.4,150.15,152.95,72495
2017-03-13,157.0,159.2,150.0,150.85,223484
2017-03-14,152.0,161.65,150.1,156.9,383166
2017-03-15,158.1,159.0,154.1,156.25,148066
2017-03-16,157.0,157.0,152.75,154.25,106334
2017-03-19,155.4,155.4,147.7,150.95,219075
2017-03-20,151.2,160.4,151.2,157.6,302892
2017-03-21,155.45,158.65,151.8,157.65,274580
