,open,high,low,close,volume
2016-12-18,73.35,74.7,72.75,73.3,3602958
2016-12-19,73.7,74.15,71.15,71.95,3250919
2016-12-20,72.85,73.0,71.6,71.75,3678700
2016-12-21,71.9,72.25,67.6,68.8,7469817
2016-12-22,68.0,68.9,67.0,68.1,4992239
2016-12-25,67.95,68.0,64.9,65.3,4976457
2016-12-26,65.35,67.05,64.9,66.35,5387338
2016-12-27,67.0,69.25,67.0,67.85,8768918
2016-12-28,68.1,69.8,68.0,69.55,5029660
2016-12-29,69.7,70.9,68.6,69.2,5947692
2017-01-01,69.8,70.8,68.85,70.35,4895204
2017-01-02,70.2,71.45,69.85,70.4,4251904
2017-01-03,70.7,71.8,70.2,71.2,3841755
2017-01-04,72.3,76.45,71.5,75.5,11807159
2017-01-05,75.9,77.2,73.2,73.55,12215743
2017-01-08,74.15,74.6,73.0,74.25,3467157
2017-01-09,74.6,75.5,74.0,74.8,4120512
2017-01-10,75.2,85.7,74.8,81.95,39447565
2017-01-11,81.8,82.5,78.75,80.65,14493302
2017-01-12,80.7,81.45,77.5,78.45,10195083
2017-01-15,78.5,81.8,77.1,78.9,9944179
2017-01-16,79.0,79.85,77.2,77.5,5546995
2017-01-17,77.95,81.8,77.85,80.2,15330406
2017-01-18,80.25,80.7,79.2,80.0,4958019
2017-01-19,79.2,80.6,76.3,77.15,7578833
2017-01-22,77.35,79.4,77.2,78.9,6616751
2017-01-23,79.0,81.5,78.95,81.05,8334067
2017-01-24,81.7,82.7,80.1,82.2,11146331
2017-01-26,82.5,83.9,75.4,79.3,22846929
2017-01-29,79.4,83.6,79.05,81.7,14872645
2017-01-30,81.0,82.4,79.7,80.0,7810228
2017-01-31,80.2,84.2,78.55,83.4,13431034
2017-02-01,83.5,87.2,81.0,86.0,16549990
2017-02-02,86.1,93.25,86.05,91.3,39982971
2017-02-05,93.1,94.25,90.1,90.85,14878725
2017-02-06,91.0,96.25,89.0,89.8,39125532
2017-02-07,90.4,92.45,89.3,91.6,9792612
2017-02-08,92.25,93.4,90.2,91.85,12336141
2017-02-09,92.35,92.7,90.2,91.0,5076013
2017-02-12,91.55,92.4,85.5,88.5,10591156
2017-02-13,88.7,89.5,87.1,88.1,5183856
2017-02-14,89.0,93.75,88.2,89.75,28033955
2017-02-15,90.45,94.7,90.45,92.55,21297456
2017-02-16,93.05,94.5,92.0,93.0,11452382
2017-02-19,93.45,102.7,93.0,100.15,55711331
2017-02-20,101.0,110.15,101.0,109.4,58706739
2017-02-21,109.6,111.5,103.2,110.25,39187776
2017-02-22,110.25,117.9,107.0,116.6,49390545
2017-02-26,115.95,125.5,114.35,124.7,52265713
2017-02-27,126.5,129.55,124.8,125.45,41787690
2017-02-28,125.5,127.35,123.8,126.25,19000271
2017-03-01,127.45,128.5,124.05,125.05,16033684
2017-03-02,124.9,128.25,122.65,126.4,11527055
2017-03-05,128.9,129.7,124.7,125.95,13014483
2017-03-06,127.1,127.85,124.3,124.8,7491482
2017-03-07,125.0,125.4,119.3,122.3,13736101
2017-03-08,121.8,125.65,114.0,118.25,40098048
2017-03-09,120.9,127.25,120.5,125.5,40470789
2017-03-13,129.5,129.7,124.2,124.85,14230799
2017-03-14,124.9,125.8,122.5,122.95,7439745
2017-03-15,125.5,130.6,124.0,128.35,21880452
2017-03-16,129.0,132.0,127.25,129.95,21304782
2017-03-19,130.9,131.0,126.1,128.4,11562259
2017-03-20,129.25,129.4,126.6,127.8,7351249
2017-03-21,125.8,126.95,124.1,124.75,6987236
2017-03-22,125.5,126.4,124.2,125.5,4514928
2017-03-23,125.7,126.9,119.05,119.75,17408161
2017-03-26,121.0,121.85,114.75,116.5,12043717
2017-03-27,117.9,121.45,117.5,120.3,10877034
2017-03-28,120.3,121.25,117.35,118.55,6982412
2017-03-29,119.2,119.85,117.2,119.0,9221124
2017-03-30,121.0,123.95,120.2,121.0,15018988
2017-04-02,121.8,124.0,121.2,123.25,7525240
2017-04-04,123.75,125.25,123.5,124.5,7659784
2017-04-05,125.0,133.9,125.0,132.75,29822172
2017-04-06,133.0,135.25,128.45,129.0,24788660
2017-04-09,128.9,129.75,125.85,127.95,10420341
2017-04-10,128.15,129.15,126.2,127.5,5341442
2017-04-11,127.9,128.35,123.4,126.9,7445796
2017-04-12,125.1,125.95,121.2,122.15,9841952
2017-04-16,122.7,123.75,120.0,121.1,6987386
2017-04-17,122.15,126.35,117.6,118.55,11421261
2017-04-18,119.35,119.7,109.5,112.55,25848445
2017-04-19,111.75,113.35,109.0,111.05,12863603
2017-04-20,112.5,114.25,111.6,112.0,8834432
2017-04-23,112.5,116.4,111.85,114.05,12383537
2017-04-24,114.65,115.2,112.55,113.25,5683547
2017-04-25,113.5,117.2,112.0,112.95,13576696
2017-04-26,113.1,114.3,111.35,113.75,7146821
2017-04-27,114.35,119.9,112.8,114.0,21930708
2017-05-01,114.8,118.1,112.5,113.45,11505382
2017-05-02,114.25,115.25,109.7,112.15,11808836
2017-05-03,113.5,114.55,111.2,112.85,7172727
2017-05-04,112.9,113.1,106.75,108.1,13785392
2017-05-07,108.3,111.35,105.3,111.1,10507088
2017-05-08,111.6,114.8,110.85,113.8,9948611
2017-05-09,113.75,115.55,113.1,114.3,5735471
2017-05-10,114.9,116.75,113.75,114.45,8312179
2017-05-11,114.85,115.05,111.05,112.1,7205164
2017-05-14,112.9,114.85,112.3,114.2,5730419
2017-05-15,115.15,115.75,113.5,114.1,5083003
2017-05-16,114.5,118.2,114.2,116.4,14511700
2017-05-17,114.7,115.8,112.6,113.3,6952070
2017-05-18,113.8,115.5,109.3,112.15,7976703
2017-05-21,113.45,115.8,111.95,113.75,7699472
2017-05-22,114.85,116.4,102.7,108.15,39016051
2017-05-23,109.9,113.9,108.9,111.1,18762989
2017-05-24,112.0,119.5,111.3,118.5,15373769
2017-05-25,119.0,125.75,119.0,125.0,18661412
2017-05-28,127.0,129.4,119.2,120.45,13503169
2017-05-29,120.0,124.45,117.1,123.5,11227909
2017-05-30,123.0,124.3,121.2,121.75,5671848
2017-05-31,121.75,121.9,118.4,120.3,5848472
2017-06-01,121.2,123.45,120.6,121.85,6266169
2017-06-04,121.9,123.7,121.05,121.8,4337415
2017-06-05,121.9,122.4,117.5,118.2,5601738
2017-06-06,118.3,119.75,117.7,119.1,3348433
2017-06-07,120.25,125.45,120.25,121.85,14349883
2017-06-08,122.85,123.6,121.2,123.2,5958974
2017-06-11,123.75,124.8,121.15,122.1,7078435
2017-06-12,122.6,123.9,121.5,122.95,4559238
2017-06-13,122.4,122.9,120.0,122.4,5171829
2017-06-14,121.8,127.35,121.3,125.6,10640828
2017-06-15,126.4,127.15,123.9,124.5,8227650
2017-06-18,125.05,128.75,123.5,127.1,10354191
2017-06-19,127.5,127.8,125.4,126.2,5015100
