,open,high,low,close,volume
2016-12-18,237.0,238.45,232.3,233.9,30094
2016-12-19,232.1,239.0,232.1,238.1,9915
2016-12-20,239.8,240.0,234.1,236.95,195107
2016-12-21,236.05,237.95,222.25,224.55,45723
2016-12-22,224.0,248.95,222.5,241.5,93348
2016-12-25,237.05,240.95,230.0,237.4,40777
2016-12-26,236.25,239.0,232.3,236.35,20857
2016-12-27,234.0,249.95,234.0,244.75,43851
2016-12-28,250.0,256.95,242.05,245.65,2073670
2016-12-29,249.0,251.9,245.5,248.55,135782
2017-01-01,249.95,259.8,246.6,258.1,38435
2017-01-02,257.75,269.95,257.75,265.45,172924
2017-01-03,269.5,275.0,261.65,263.35,112091
2017-01-04,261.3,264.8,256.8,259.95,38232
2017-01-05,261.35,263.05,257.65,259.75,28882
2017-01-08,257.0,264.0,255.15,261.75,272552
2017-01-09,261.0,267.7,261.0,266.35,27164
2017-01-10,265.15,268.75,262.55,266.65,163247
2017-01-11,265.0,274.95,265.0,268.35,66516
2017-01-12,266.5,272.9,265.3,271.3,47389
2017-01-15,274.85,276.0,267.35,274.55,96072
2017-01-16,270.55,275.35,267.1,269.65,21480
2017-01-17,267.7,274.0,267.7,270.5,14204
2017-01-18,270.0,274.0,270.0,272.8,25572
2017-01-19,273.55,279.9,261.65,264.45,84913
2017-01-22,273.0,276.0,268.25,270.2,157425
2017-01-23,270.3,272.9,265.5,271.3,31521
2017-01-24,273.75,276.0,270.0,273.3,34387
2017-01-26,271.4,275.85,268.9,272.8,68244
2017-01-29,270.0,280.0,270.0,276.95,73068
2017-01-30,276.25,281.5,273.25,274.3,25321
2017-01-31,274.1,290.0,263.3,284.75,123148
2017-02-01,284.5,286.8,281.3,284.8,67601
2017-02-02,282.05,294.7,282.05,287.55,85867
2017-02-05,294.0,300.5,286.0,286.95,310807
2017-02-06,288.4,295.0,287.15,291.45,147536
2017-02-07,295.55,295.55,286.0,287.55,46910
2017-02-08,289.95,289.95,282.0,283.3,21312
2017-02-09,285.8,285.85,282.45,284.1,17123
2017-02-12,287.8,291.65,281.0,290.3,53627
2017-02-13,289.95,300.0,284.15,289.0,275957
2017-02-14,287.3,290.15,278.0,281.25,144974
2017-02-15,281.25,285.65,280.0,282.2,100614
2017-02-16,283.4,285.05,280.0,282.0,37631
2017-02-19,282.1,284.65,275.55,279.4,76339
2017-02-20,279.4,286.0,279.05,281.5,56672
2017-02-21,280.1,286.55,280.1,283.2,52422
2017-02-22,284.6,292.0,284.1,288.0,91100
2017-02-26,290.9,290.9,283.0,287.7,21269
2017-02-27,289.75,289.75,284.5,286.5,35819
2017-02-28,289.9,289.9,281.0,282.05,59251
2017-03-01,285.5,286.7,281.05,283.0,80706
2017-03-02,283.9,290.0,280.05,289.35,62519
2017-03-05,290.0,293.5,286.2,288.8,99272
2017-03-06,289.85,290.0,283.6,285.2,55342
2017-03-07,289.35,289.35,276.25,278.75,49518
2017-03-08,281.65,282.2,274.95,276.0,47761
2017-03-09,281.95,282.05,275.0,280.05,56260
2017-03-13,283.15,288.0,281.9,286.8,39386
2017-03-14,284.05,289.85,284.05,288.0,25978
2017-03-15,290.0,292.5,286.55,287.25,34922
2017-03-16,291.95,297.7,289.0,293.1,76478
2017-03-19,291.6,297.05,288.1,290.95,73872
2017-03-20,293.0,293.0,284.1,286.6,103903
2017-03-21,285.0,293.0,282.0,287.95,91165
2017-03-22,288.0,292.7,283.0,285.95,94559
2017-03-23,288.0,291.0,284.2,286.85,76585
2017-03-26,285.15,287.0,279.95,284.7,109835
2017-03-27,285.2,291.9,283.0,289.3,161656
2017-03-28,292.95,315.0,289.55,310.1,750757
2017-03-29,313.2,329.0,307.55,320.85,958322
2017-03-30,323.3,333.4,311.1,322.7,307967
2017-04-02,324.7,329.95,314.35,317.2,195078
2017-04-04,320.3,327.0,318.5,325.45,138332
2017-04-05,329.95,332.65,323.0,328.05,82543
2017-04-06,328.05,335.45,320.05,323.55,167855
2017-04-09,324.0,334.6,324.0,328.95,94347
2017-04-10,330.0,338.9,328.0,334.7,72202
2017-04-11,336.6,344.3,330.05,333.15,120957
2017-04-12,337.9,342.0,331.05,340.15,52491
2017-04-16,340.15,343.65,332.1,334.95,143647
2017-04-17,337.9,344.0,333.95,334.25,66080
2017-04-18,333.6,338.0,332.0,336.65,36985
2017-04-19,339.5,350.7,336.2,345.4,187527
2017-04-20,347.95,354.0,346.1,349.05,165170
2017-04-23,351.05,353.8,344.7,348.5,40291
2017-04-24,351.55,352.5,348.45,349.55,373318
2017-04-25,351.85,358.0,349.0,350.9,97805
2017-04-26,351.9,355.8,349.5,351.3,66639
2017-04-27,355.0,358.0,352.0,352.2,31714
2017-05-01,352.2,361.0,352.0,358.65,146843
2017-05-02,355.05,360.85,352.0,356.4,48110
2017-05-03,355.7,366.0,353.0,362.3,276040
2017-05-04,363.0,363.0,351.5,353.45,47153
2017-05-07,355.0,359.4,353.9,357.9,31392
2017-05-08,359.7,367.9,357.7,363.95,66121
2017-05-09,361.7,364.85,355.9,358.75,34630
2017-05-10,357.0,359.95,355.35,357.75,27513
2017-05-11,363.0,363.0,349.0,351.65,25584
2017-05-14,348.25,352.0,343.0,348.3,37252
2017-05-15,346.3,361.0,346.3,349.95,80549
2017-05-16,354.4,362.75,349.95,355.65,146816
2017-05-17,353.8,354.8,346.0,349.0,48820
2017-05-18,352.95,355.25,337.0,352.25,74953
2017-05-21,355.9,363.0,351.05,356.1,58368
2017-05-22,357.6,357.6,344.75,345.2,183916
2017-05-23,349.75,350.0,340.0,343.35,22304
2017-05-24,345.7,345.7,341.15,344.4,33006
2017-05-25,345.55,348.8,336.8,341.25,54830
2017-05-28,340.2,344.7,334.0,337.95,26895
2017-05-29,337.9,340.8,329.2,338.9,25257
2017-05-30,342.95,360.0,336.05,354.75,129296
2017-05-31,355.0,355.25,346.0,347.65,38946
2017-06-01,346.0,348.85,339.0,340.45,86361
2017-06-04,344.95,353.0,341.6,348.6,36196
2017-06-05,350.95,350.95,344.85,347.5,27178
2017-06-06,345.0,350.55,341.0,345.05,227210
2017-06-07,350.5,350.6,342.35,344.8,416913
2017-06-08,347.95,348.0,341.0,344.1,69356
2017-06-11,343.15,343.85,338.25,339.85,49958
2017-06-12,343.0,349.8,339.8,344.4,82584
2017-06-13,342.45,346.9,340.0,344.75,16274
2017-06-14,339.0,347.0,339.0,343.4,99042
2017-06-15,344.15,346.9,340.0,345.5,19439
2017-06-18,350.0,350.0,343.0,344.85,25698
2017-06-19,342.05,352.3,342.0,342.45,42606
2017-06-20,345.0,345.05,341.0,342.15,59951
2017-06-21,339.1,345.0,335.0,336.9,53074
2017-06-22,339.85,340.7,326.85,331.9,21189
2017-06-26,331.5,336.0,324.2,325.9,20100
2017-06-27,325.0,329.0,324.0,325.8,14823
2017-06-28,325.8,329.95,323.0,325.1,22529
2017-06-29,325.0,332.95,322.0,325.2,31700
2017-07-02,341.4,341.5,333.3,337.55,87875
2017-07-03,339.0,339.0,332.9,334.8,53994
2017-07-04,339.0,339.0,335.0,335.5,22517
2017-07-05,334.05,340.3,334.05,337.0,22087
2017-07-06,339.9,340.0,334.1,338.15,121909
2017-07-09,336.0,340.0,333.1,336.9,1782
2017-07-10,334.25,374.9,334.25,351.2,939838
2017-07-11,352.2,360.0,347.65,350.05,164148
2017-07-12,350.05,360.0,345.35,349.55,84961
2017-07-13,350.1,354.9,346.5,350.05,143389
2017-07-16,345.85,352.8,345.8,347.9,61190
2017-07-17,347.8,348.0,341.2,346.0,82678
2017-07-18,346.0,349.8,344.95,348.25,36216
2017-07-19,346.2,349.7,342.0,343.55,75441
2017-07-20,344.0,347.5,342.0,345.5,29225
2017-07-23,345.8,346.0,343.15,344.75,67786
2017-07-24,347.7,349.9,343.85,347.5,19573
2017-07-25,349.5,359.0,343.8,347.05,55146
2017-07-26,347.45,349.0,329.05,335.45,53387
2017-07-27,341.0,344.8,333.3,342.65,30946
2017-07-30,338.05,350.75,338.05,348.55,25930
2017-07-31,350.0,355.8,347.0,349.95,17742
2017-08-01,350.65,355.8,350.4,354.2,27232
2017-08-02,351.5,362.0,350.35,351.9,134146
2017-08-03,353.0,359.2,353.0,357.95,66646
2017-08-06,355.6,364.7,352.25,353.55,30418
2017-08-07,349.0,359.3,345.0,356.0,29419
2017-08-08,352.0,354.0,347.7,351.25,55160
2017-08-09,346.15,352.4,334.0,339.2,23833
2017-08-10,333.0,346.1,333.0,343.6,282926
2017-08-13,344.0,353.25,341.0,351.45,38592
2017-08-15,354.95,360.0,346.2,351.65,35288
2017-08-16,354.8,362.4,354.0,359.95,89288
2017-08-17,357.05,357.65,348.55,351.75,13433
2017-08-20,351.75,356.3,351.75,353.5,30849
2017-08-21,352.5,354.5,347.0,350.3,28425
2017-08-22,346.05,364.0,346.05,360.15,38809
2017-08-23,364.0,380.0,350.25,354.65,291715
2017-08-27,356.0,356.0,348.0,350.05,43215
2017-08-28,351.4,351.4,341.5,347.4,141705
2017-08-29,369.5,404.6,369.5,376.8,2057417
2017-08-30,379.45,381.9,364.1,367.75,260015
2017-08-31,372.0,374.2,350.1,362.05,272259
2017-09-03,363.0,367.0,353.0,356.35,99495
2017-09-04,358.9,369.45,353.85,356.15,92239
2017-09-05,356.0,356.45,348.65,354.35,77049
2017-09-06,355.1,359.0,349.75,351.6,64916
2017-09-07,350.15,353.7,347.25,349.65,80150
2017-09-10,352.8,354.45,343.55,344.75,70156
2017-09-11,345.25,354.45,342.8,348.65,130700
2017-09-12,360.0,368.0,349.25,350.75,345172
2017-09-13,352.65,355.85,347.65,350.35,72326
2017-09-14,351.0,355.7,345.85,351.55,63588
2017-09-17,355.0,358.4,351.6,355.15,53026
2017-09-18,359.0,373.8,353.15,364.65,332593
2017-09-19,375.7,385.0,360.25,362.5,769212
2017-09-20,364.0,384.9,364.0,376.65,764082
2017-09-21,373.0,377.0,364.0,372.1,186556
2017-09-24,372.5,378.65,356.0,366.6,168600
2017-09-25,370.5,378.0,365.0,366.35,219358
2017-09-26,368.0,371.85,348.1,354.85,117132
2017-09-27,350.0,354.85,343.0,353.25,85010
2017-09-28,358.0,377.8,349.7,368.1,230809
2017-10-02,370.15,378.8,363.0,365.1,140374
2017-10-03,366.0,375.0,361.1,372.85,166668
2017-10-04,377.0,381.0,367.0,368.6,263754
2017-10-05,369.0,372.25,364.1,366.7,99996
2017-10-08,369.9,376.0,354.3,361.75,311197
2017-10-09,367.5,370.85,364.55,369.0,127006
2017-10-10,367.4,370.5,355.0,357.95,83913
2017-10-11,360.0,370.95,360.0,368.85,143983
2017-10-12,369.8,374.0,365.8,371.45,113839
2017-10-15,374.0,374.0,360.35,361.9,103240
2017-10-16,363.8,370.0,361.1,366.95,43864
2017-10-17,368.65,379.0,368.5,370.6,133600
2017-10-22,375.7,377.4,367.0,369.8,115568
2017-10-23,372.0,373.4,362.65,364.1,42394
2017-10-24,366.85,375.0,363.95,370.0,73913
2017-10-25,370.0,374.9,365.25,371.2,109037
2017-10-26,368.0,373.5,367.3,369.8,121338
2017-10-29,379.0,384.55,369.2,374.55,263380
2017-10-30,375.0,376.0,371.6,374.25,46748
2017-10-31,376.7,380.0,370.0,377.95,131487
2017-11-01,379.95,397.05,376.65,389.35,344088
2017-11-02,393.0,396.9,383.5,389.1,183763
2017-11-05,388.0,417.3,384.3,403.85,951463
2017-11-06,407.4,411.7,393.0,399.75,117527
2017-11-07,399.5,411.5,387.0,389.25,229009
2017-11-08,390.1,400.0,385.0,396.15,54507
2017-11-09,396.05,400.7,380.1,384.6,71222
2017-11-12,385.8,385.8,376.0,377.2,43647
2017-11-13,382.6,398.5,380.0,392.75,152958
2017-11-14,390.0,396.7,389.0,391.55,93654
2017-11-15,395.75,397.0,385.0,392.9,29955
2017-11-16,395.65,406.35,391.2,403.0,825354
2017-11-19,404.0,410.0,403.0,405.9,226520
2017-11-20,410.0,435.6,408.9,426.75,590650
2017-11-21,427.6,431.4,416.2,423.15,91227
2017-11-22,428.25,442.0,426.0,437.4,175302
2017-11-23,444.0,449.4,435.0,438.2,206479
2017-11-26,439.0,475.0,438.4,445.75,305845
2017-11-27,452.7,459.95,437.5,443.4,203863
2017-11-28,447.4,457.1,445.25,448.1,112170
2017-11-29,448.1,455.0,429.15,443.8,297064
2017-11-30,447.75,458.0,435.0,439.55,98460
2017-12-03,441.75,448.1,419.7,421.45,84226
2017-12-04,423.15,446.9,418.8,428.05,187918
2017-12-05,427.5,434.55,427.1,430.05,37236
2017-12-06,431.7,444.0,431.15,439.4,64228
2017-12-07,443.0,445.0,432.1,437.55,118782
2017-12-10,442.0,442.8,428.05,431.6,66382
2017-12-11,433.95,447.0,431.75,440.25,120340
2017-12-12,450.0,463.7,445.25,449.05,327554
2017-12-13,450.0,450.0,435.3,444.95,104327
2017-12-14,454.0,454.0,437.05,443.85,72900
2017-12-17,444.4,452.95,431.0,449.55,97235
2017-12-18,456.95,474.0,452.5,467.75,268032
2017-12-19,472.1,476.85,463.05,466.95,170281
2017-12-20,467.0,502.85,467.0,480.55,432880
2017-12-21,486.85,489.05,473.8,475.1,94276
2017-12-25,478.9,499.95,476.0,495.05,105505
2017-12-26,499.65,503.5,483.2,487.3,114245
2017-12-27,485.0,494.0,476.1,486.65,81493
2017-12-28,486.65,490.0,466.35,472.65,92200
2017-12-31,471.5,487.0,468.5,470.8,90537
