,open,high,low,close,volume
2024-03-20,785.0,793.8,703.05,712.85,7473769
2024-03-21,723.0,733.75,701.9,710.75,930366
2024-03-25,709.4,720.0,693.0,706.1,467535
2024-03-26,708.0,716.0,687.6,704.15,612871
2024-03-27,715.0,767.95,706.35,758.45,949750
2024-03-31,770.05,832.0,770.05,799.15,1042287
2024-04-01,814.65,827.0,796.0,816.45,788260
2024-04-02,807.75,838.0,806.1,834.8,497622
2024-04-03,839.7,852.0,817.75,845.75,484249
2024-04-04,842.7,867.05,831.0,857.9,382718
2024-04-07,865.0,905.95,847.0,872.65,1069286
2024-04-08,879.95,888.65,854.1,878.6,518850
2024-04-09,879.9,881.4,839.0,851.65,926958
2024-04-11,860.0,1021.95,860.0,1016.3,4105760
2024-04-14,984.9,997.55,922.0,932.7,1489637
2024-04-15,927.05,993.0,920.2,973.0,1508408
2024-04-17,973.0,975.0,825.0,825.8,2694070
2024-04-18,811.0,847.95,782.0,797.95,1610664
2024-04-21,815.0,820.5,759.45,780.15,1460950
2024-04-22,784.8,796.0,752.7,766.25,926121
2024-04-23,772.85,823.0,757.1,761.25,2209951
2024-04-24,767.4,774.7,756.2,767.15,422826
2024-04-25,768.0,782.2,761.0,765.0,283968
2024-04-28,768.0,770.0,753.0,756.75,90088
2024-04-29,759.0,759.9,735.65,741.05,93224
2024-05-01,740.0,748.0,726.15,730.15,115193
2024-05-02,735.5,765.6,727.15,756.95,215593
2024-05-05,759.85,759.85,731.7,749.9,231706
2024-05-06,749.9,755.55,732.05,743.4,162843
2024-05-07,733.0,746.0,726.55,732.95,63891
2024-05-08,732.4,742.0,725.0,732.05,185430
2024-05-09,730.0,734.6,715.75,727.8,74661
2024-05-12,724.7,724.7,681.1,699.55,44149
2024-05-13,701.95,718.25,696.05,715.75,37308
2024-05-14,718.0,729.5,707.0,710.2,41076
2024-05-15,710.2,715.7,696.5,701.55,37214
2024-05-16,709.95,711.0,697.8,699.5,29388
2024-05-17,709.95,709.95,700.05,705.25,6374
2024-05-20,707.0,708.25,688.55,699.05,105101
2024-05-21,700.0,704.0,688.0,693.8,23400
2024-05-22,699.8,736.15,692.55,712.8,215969
2024-05-23,727.95,737.45,703.0,713.35,268107
