,open,high,low,close,volume
2023-07-16,554.0,582.7,550.5,563.3,417232
2023-07-17,573.9,573.9,531.0,544.3,284708
2023-07-18,564.7,572.0,541.25,566.25,208966
2023-07-19,572.7,572.7,557.0,564.05,108284
2023-07-20,564.5,564.5,550.05,558.7,189224
2023-07-23,567.0,580.0,560.05,575.1,6245467
2023-07-24,578.0,584.7,560.75,574.9,1710743
2023-07-25,572.0,579.7,572.0,574.5,439499
2023-07-26,580.0,580.0,574.0,575.5,374132
2023-07-27,578.0,599.0,573.0,596.9,553490
2023-07-30,599.75,632.2,599.5,629.05,716078
2023-07-31,636.0,652.0,612.85,647.6,758470
2023-08-01,648.7,650.0,599.7,621.5,647800
2023-08-02,628.0,639.8,609.0,635.45,385344
2023-08-03,643.4,646.15,631.75,641.5,195597
2023-08-06,644.85,683.0,634.8,651.6,805742
2023-08-07,644.35,678.0,627.55,667.3,710071
2023-08-08,681.7,686.7,655.2,659.3,366373
2023-08-09,655.0,669.95,580.3,619.1,765173
2023-08-10,621.4,629.0,597.05,625.6,350860
2023-08-13,625.0,625.0,597.5,602.5,278336
2023-08-15,618.8,618.8,590.1,595.35,136791
2023-08-16,595.35,596.15,560.0,568.5,531748
2023-08-17,571.0,592.35,560.55,570.4,313662
2023-08-20,584.0,589.0,523.25,530.4,524212
2023-08-21,529.1,549.5,498.05,537.7,1031761
2023-08-22,543.0,573.95,543.0,561.9,369198
2023-08-23,567.2,578.0,549.5,551.9,201980
2023-08-24,552.95,558.3,537.0,550.15,213461
2023-08-27,557.0,557.7,527.35,541.8,246182
2023-08-28,541.0,550.0,533.1,541.8,161456
2023-08-29,539.05,547.75,535.0,540.05,163498
2023-08-30,540.0,548.0,535.5,536.9,79591
2023-08-31,536.9,556.0,536.0,548.35,174756
2023-09-03,560.0,570.3,543.55,561.15,164871
2023-09-04,563.0,573.6,557.7,564.25,127115
2023-09-05,565.0,569.95,560.55,565.8,141611
2023-09-06,569.0,569.7,556.55,559.65,128778
2023-09-07,560.0,564.8,550.2,555.25,118983
2023-09-10,555.9,590.0,554.3,584.25,335546
2023-09-11,584.9,595.05,556.55,567.2,235340
2023-09-12,568.1,579.0,537.4,575.75,230181
2023-09-13,570.1,587.0,570.1,575.4,106319
2023-09-14,579.35,583.95,556.65,572.95,264812
2023-09-17,562.95,572.3,559.75,561.7,77516
2023-09-19,551.1,565.7,547.3,553.15,80062
2023-09-20,554.9,562.2,544.0,548.2,74635
2023-09-21,548.2,550.7,532.55,536.25,128493
2023-09-24,540.9,542.0,526.7,530.45,99577
2023-09-25,532.9,540.5,529.35,534.6,61708
2023-09-26,531.1,540.0,530.0,535.75,45514
2023-09-27,542.0,542.0,530.05,536.0,73834
2023-09-28,527.0,542.0,527.0,536.1,68600
2023-10-02,558.0,558.0,536.0,549.9,214579
2023-10-03,554.0,565.0,540.3,550.5,2185590
2023-10-04,558.0,565.5,546.0,550.25,154983
2023-10-05,551.05,567.0,551.05,564.25,163189
2023-10-08,555.0,563.7,547.3,550.4,187916
2023-10-09,547.0,583.4,543.0,579.55,292799
2023-10-10,581.0,597.1,576.5,594.15,316475
2023-10-11,599.0,613.0,592.0,602.8,421816
2023-10-12,598.9,605.35,591.0,593.2,224880
2023-10-15,603.8,603.8,574.25,577.1,130303
2023-10-16,602.0,602.0,565.7,571.4,121684
2023-10-17,572.05,579.8,560.0,565.45,93437
2023-10-18,568.9,572.0,560.4,566.1,85627
2023-10-19,570.9,575.0,554.0,555.5,91989
2023-10-22,564.0,564.0,514.3,518.35,542161
2023-10-24,501.05,531.7,500.0,516.45,585161
2023-10-25,516.45,523.7,514.0,515.45,353866
2023-10-26,517.9,535.75,516.0,527.8,141223
2023-10-29,525.05,531.5,516.25,518.7,101159
2023-10-30,516.25,526.5,515.0,515.45,105397
2023-10-31,511.0,528.0,510.0,522.15,92327
2023-11-01,527.9,533.65,521.0,523.6,129204
2023-11-02,528.05,536.5,526.8,529.85,152010
2023-11-05,529.85,549.5,492.0,539.55,172683
2023-11-06,540.0,540.25,530.1,533.65,56489
2023-11-07,536.9,539.9,530.1,530.65,50360
2023-11-08,525.3,537.0,522.25,532.9,70437
2023-11-09,533.0,539.9,518.45,521.8,164701
2023-11-11,520.1,539.0,520.1,536.25,45720
2023-11-12,528.0,536.0,521.25,524.05,95701
2023-11-14,529.4,549.9,517.85,543.85,174830
2023-11-15,544.0,564.7,542.6,557.1,163878
2023-11-16,558.05,573.45,552.85,567.35,226974
2023-11-19,577.8,578.95,557.0,563.45,120202
2023-11-20,563.5,574.8,563.5,572.0,133757
2023-11-21,571.05,577.8,565.0,568.55,163056
2023-11-22,570.9,573.1,545.0,549.4,114346
2023-11-23,553.7,554.1,536.05,539.05,97645
2023-11-27,540.8,545.4,520.0,523.7,169223
2023-11-28,525.0,536.85,523.7,525.9,173957
2023-11-29,526.2,534.0,518.4,524.9,155806
2023-11-30,527.0,537.15,521.45,523.05,76232
2023-12-03,534.4,574.0,530.45,566.3,538272
2023-12-04,570.0,610.0,569.0,602.4,906955
2023-12-05,606.15,611.0,583.5,589.65,416187
2023-12-06,593.0,609.9,585.05,603.4,313916
2023-12-07,612.0,623.5,603.0,612.45,390444
2023-12-10,635.05,656.0,618.05,624.9,812150
2023-12-11,630.4,632.95,607.0,609.8,206135
2023-12-12,618.0,619.0,603.3,613.6,182466
2023-12-13,617.0,627.95,604.0,608.75,196609
2023-12-14,607.9,620.9,604.15,609.65,278276
2023-12-17,613.8,633.5,607.55,623.5,332509
2023-12-18,633.5,640.05,620.0,627.45,299761
2023-12-19,628.15,634.25,585.05,593.5,346570
2023-12-20,593.0,627.0,583.55,606.95,623060
2023-12-21,608.0,631.95,607.0,616.25,287532
2023-12-25,621.7,639.95,615.0,625.65,365093
2023-12-26,625.2,638.05,610.1,615.85,179635
2023-12-27,620.0,620.5,598.8,601.75,222357
2023-12-28,604.8,609.2,593.65,599.8,218340
2023-12-31,601.45,610.1,596.55,603.8,150418
2024-01-01,608.75,617.95,592.2,602.8,383222
2024-01-02,602.0,608.15,595.55,600.8,111882
2024-01-03,604.9,608.35,573.0,588.35,156485
2024-01-04,595.0,604.8,586.1,589.9,329399
2024-01-07,590.5,597.45,573.05,577.65,134014
2024-01-08,583.0,594.3,576.05,580.1,172554
2024-01-09,580.1,585.0,573.15,578.2,126125
2024-01-10,582.0,587.9,573.5,582.75,143451
2024-01-11,580.0,595.0,566.2,580.9,249351
2024-01-14,587.9,592.7,573.2,575.55,205742
2024-01-15,584.2,594.9,578.2,590.45,327805
2024-01-16,587.0,595.95,570.0,577.25,304269
2024-01-17,583.0,587.4,565.0,579.3,204340
2024-01-18,581.9,589.9,578.0,580.25,120187
2024-01-19,586.4,596.0,585.0,592.3,151156
2024-01-22,637.95,637.95,585.05,589.3,828085
2024-01-23,598.0,604.85,581.35,590.0,368241
2024-01-24,590.0,601.0,589.7,596.05,247264
2024-01-28,596.05,599.85,574.0,576.45,339779
2024-01-29,583.5,583.55,565.0,566.05,233920
2024-01-30,565.1,582.7,558.3,566.6,319790
2024-01-31,573.8,573.8,554.45,558.45,151562
2024-02-01,561.8,564.95,539.8,543.25,319082
2024-02-04,543.25,575.0,543.25,550.8,272988
2024-02-05,554.6,574.95,546.3,570.5,259337
2024-02-06,574.4,585.35,570.1,571.25,232661
2024-02-07,572.9,582.85,565.0,569.15,132123
2024-02-08,569.0,571.4,546.0,558.9,159238
2024-02-11,562.8,562.9,530.05,547.05,247504
2024-02-12,547.1,549.6,529.5,531.95,171700
2024-02-13,529.85,540.05,525.9,532.25,196187
2024-02-14,535.9,572.15,530.05,558.05,338914
2024-02-15,562.5,570.9,556.5,560.05,273710
2024-02-18,560.95,579.65,557.25,575.8,329592
2024-02-19,580.0,582.95,573.0,575.2,242125
2024-02-20,575.2,601.15,570.05,573.7,727693
2024-02-21,574.9,590.0,562.05,570.7,362984
2024-02-22,573.6,595.0,573.6,591.75,636134
2024-02-25,603.8,606.5,591.95,595.95,377039
2024-02-26,598.0,598.0,577.15,583.25,175433
2024-02-27,584.05,590.0,557.55,564.0,235776
2024-02-28,566.0,598.0,560.35,595.7,406027
2024-02-29,590.0,600.0,578.75,587.0,286886
2024-03-01,591.4,595.0,577.0,588.8,20762
2024-03-03,589.9,610.0,589.05,607.4,545539
2024-03-04,608.05,610.0,599.45,605.1,256506
2024-03-05,605.05,605.45,575.55,582.95,225595
2024-03-06,588.25,602.5,569.8,593.0,312199
2024-03-10,593.75,595.0,564.05,572.55,483311
2024-03-11,577.0,588.8,556.8,560.65,406575
2024-03-12,561.0,564.95,531.0,540.35,569554
2024-03-13,535.0,578.0,535.0,562.0,760048
2024-03-14,560.0,578.0,548.1,563.85,2826899
2024-03-17,575.0,590.0,559.05,587.9,384280
2024-03-18,593.0,599.0,573.7,578.8,502945
2024-03-19,578.8,589.8,570.1,577.05,104051
2024-03-20,579.9,595.0,579.9,589.05,293940
2024-03-21,590.0,596.95,575.1,579.15,99948
2024-03-25,578.8,583.9,564.5,566.0,188883
2024-03-26,572.0,625.0,568.05,609.8,620894
2024-03-27,612.15,634.25,596.0,602.0,572010
2024-03-31,604.3,612.15,597.35,600.8,137741
2024-04-01,600.8,614.0,600.0,611.35,218450
2024-04-02,609.85,622.0,605.1,609.0,156654
2024-04-03,615.0,648.0,615.0,629.1,474377
2024-04-04,632.0,649.5,630.1,643.05,527508
2024-04-07,649.9,660.0,640.95,653.75,747197
2024-04-08,658.0,658.0,650.05,656.8,272670
2024-04-09,660.0,708.0,655.1,694.55,1668519
2024-04-11,700.0,710.0,693.0,696.75,932224
2024-04-14,684.0,709.95,661.0,694.8,591556
2024-04-15,687.15,705.0,684.4,697.2,259828
2024-04-17,699.75,724.95,699.75,719.3,848277
2024-04-18,700.0,724.95,700.0,722.55,500599
2024-04-21,728.0,734.9,721.25,731.35,377014
2024-04-22,732.65,739.0,712.55,718.6,382737
2024-04-23,720.05,739.0,714.55,731.15,370191
2024-04-24,732.35,749.0,726.8,730.5,479626
2024-04-25,731.65,741.15,725.0,727.25,222522
