,open,high,low,close,volume
2016-12-18,905.0,906.0,894.37,896.63,1148169
2016-12-19,896.67,907.47,896.1,903.67,1177779
2016-12-20,905.47,907.03,893.33,894.67,950225
2016-12-21,893.83,896.0,874.7,876.43,1357563
2016-12-22,877.17,894.67,868.33,891.63,2136648
2016-12-25,890.4,896.67,878.9,891.73,1198728
2016-12-26,893.33,906.33,886.07,903.73,1222356
2016-12-27,904.67,908.83,897.33,899.97,1294265
2016-12-28,894.37,902.67,886.93,892.8,2010627
2016-12-29,896.67,903.67,896.0,899.4,1280979
2017-01-01,904.03,912.67,899.43,906.4,1476812
2017-01-02,906.67,916.67,901.47,911.47,1363398
2017-01-03,916.67,920.9,913.67,917.73,2144739
2017-01-04,921.5,930.0,918.67,928.2,2781498
2017-01-05,930.0,935.8,925.07,927.3,1462913
2017-01-08,928.0,931.97,917.8,920.43,819485
2017-01-09,920.17,930.0,918.37,925.0,1359729
2017-01-10,932.0,945.23,930.0,941.57,1514451
2017-01-11,943.27,969.53,942.67,966.23,2707455
2017-01-12,973.33,973.33,954.8,959.17,1400771
2017-01-15,956.67,966.67,954.87,961.87,1052802
2017-01-16,960.0,973.3,960.0,963.83,1423841
2017-01-17,964.0,979.33,964.0,968.3,1538178
2017-01-18,968.67,975.33,963.37,966.3,1019915
2017-01-19,966.3,969.27,940.67,943.17,2177486
2017-01-22,941.33,942.0,921.27,929.03,3534069
2017-01-23,932.17,949.33,932.0,946.53,1879688
2017-01-24,949.87,969.33,946.93,966.5,2294774
2017-01-26,967.37,980.17,955.57,959.93,1871126
2017-01-29,962.0,978.0,958.67,961.87,2601585
2017-01-30,960.0,970.0,951.33,964.17,1894154
2017-01-31,965.3,996.57,964.2,993.5,3577634
2017-02-01,994.4,996.0,980.2,984.33,2257914
2017-02-02,984.33,992.0,971.33,987.13,1650459
2017-02-05,990.0,1000.0,986.27,989.2,1526715
2017-02-06,986.8,1003.2,981.43,1000.2,2499546
2017-02-07,1003.2,1007.33,992.83,1004.57,1689792
2017-02-08,1005.33,1007.23,984.27,993.8,1529256
2017-02-09,996.83,1005.43,994.83,1001.3,1300986
2017-02-12,1003.7,1006.0,987.7,1000.1,930047
2017-02-13,1003.33,1004.63,990.67,995.07,926546
2017-02-14,995.13,1003.8,984.1,986.67,1952469
2017-02-15,989.27,990.0,974.03,980.17,2071947
2017-02-16,980.7,990.0,976.67,985.33,1028691
2017-02-19,988.57,994.67,983.37,988.43,1105371
2017-02-20,984.0,993.4,984.0,988.87,970616
2017-02-21,988.67,992.5,981.87,984.63,1291317
2017-02-22,986.67,1004.0,978.8,991.07,2175398
2017-02-26,996.47,1000.0,973.4,977.23,1553900
2017-02-27,981.33,991.97,977.43,979.47,1773558
2017-02-28,981.33,989.9,980.77,984.1,1219412
2017-03-01,988.03,996.9,980.0,982.63,1920216
2017-03-02,980.9,985.57,973.33,980.23,1205019
2017-03-05,978.67,992.67,978.67,990.4,821987
2017-03-06,989.33,994.37,986.3,990.93,991566
2017-03-07,989.6,996.33,979.23,984.2,1424363
2017-03-08,981.93,988.53,976.67,984.6,1111050
2017-03-09,987.27,998.33,986.7,994.4,1836264
2017-03-13,1011.33,1045.8,1011.33,1038.73,7224810
2017-03-14,1038.0,1040.0,1026.8,1032.6,2408867
2017-03-15,1039.33,1050.0,1038.67,1047.37,2396147
2017-03-16,1047.37,1048.6,1029.43,1035.03,1927983
2017-03-19,1036.0,1036.93,1023.5,1025.1,1442108
2017-03-20,1033.33,1043.07,1028.67,1032.7,2415213
2017-03-21,1025.23,1034.5,1016.93,1019.9,3371402
2017-03-22,1024.67,1038.93,1012.7,1029.27,2511771
2017-03-23,1032.0,1038.67,1027.67,1034.13,1347656
2017-03-26,1033.27,1036.67,1025.33,1029.27,1583550
2017-03-27,1032.0,1038.53,1027.4,1029.5,2628959
2017-03-28,1036.0,1045.07,1033.33,1037.7,2280357
2017-03-29,1042.0,1046.67,1034.83,1038.3,2288327
2017-03-30,1034.73,1062.43,1034.73,1049.93,3543101
2017-04-02,1054.6,1110.67,1051.07,1107.33,6576885
2017-04-04,1107.33,1133.3,1098.57,1130.97,5179799
2017-04-05,1123.33,1134.9,1112.67,1122.13,2740817
2017-04-06,1116.67,1146.63,1114.07,1123.67,4096640
2017-04-09,1125.33,1139.4,1108.67,1116.03,2406431
2017-04-10,1116.03,1139.33,1114.0,1136.6,1974126
2017-04-11,1130.0,1141.0,1117.53,1135.2,2135064
2017-04-12,1129.67,1129.67,1114.97,1119.03,1975484
2017-04-16,1120.0,1126.4,1113.93,1120.9,1135260
2017-04-17,1122.67,1132.63,1108.8,1113.0,1839489
2017-04-18,1113.33,1116.67,1107.9,1113.7,1158162
2017-04-19,1115.93,1124.4,1108.8,1120.8,1044189
2017-04-20,1130.0,1134.47,1120.0,1125.0,2415932
2017-04-23,1128.67,1157.6,1127.33,1155.13,3238530
2017-04-24,1160.0,1166.67,1157.33,1164.07,2879795
2017-04-25,1164.0,1176.0,1160.0,1167.53,2885723
2017-04-26,1165.23,1182.67,1162.67,1177.83,2126127
2017-04-27,1175.37,1177.17,1160.13,1166.53,1637739
2017-05-01,1166.73,1178.0,1150.0,1154.7,1861142
2017-05-02,1157.33,1163.5,1144.0,1146.8,1296282
2017-05-03,1149.33,1161.3,1148.0,1154.43,1255337
2017-05-04,1153.33,1154.07,1135.47,1149.6,1555142
2017-05-07,1152.0,1159.2,1136.73,1139.73,1246116
2017-05-08,1141.33,1171.3,1136.67,1163.1,1836462
2017-05-09,1169.8,1176.67,1154.07,1159.5,2010128
2017-05-10,1166.67,1169.67,1146.4,1157.9,1270446
2017-05-11,1158.3,1171.33,1151.07,1160.4,1803768
2017-05-14,1165.73,1167.7,1157.67,1161.6,1195701
2017-05-15,1164.67,1165.5,1151.7,1160.47,1654389
2017-05-16,1162.6,1176.0,1153.67,1170.3,2502879
2017-05-17,1159.77,1166.73,1144.27,1148.4,2155830
2017-05-18,1152.67,1156.0,1131.7,1149.7,2268141
2017-05-21,1155.33,1172.67,1152.67,1167.97,2839224
2017-05-22,1170.0,1176.6,1151.6,1160.5,1463805
2017-05-23,1161.4,1171.27,1118.4,1122.97,2173070
2017-05-24,1128.0,1183.33,1128.0,1179.23,5404772
2017-05-25,1180.0,1199.33,1169.23,1191.73,3066081
2017-05-28,1189.27,1206.63,1177.33,1188.27,3033659
2017-05-29,1210.67,1222.63,1169.33,1178.37,6550440
2017-05-30,1181.67,1190.0,1167.13,1173.8,3000732
2017-05-31,1173.33,1198.67,1165.33,1195.2,2898185
2017-06-01,1200.0,1203.33,1185.4,1189.33,1425321
2017-06-04,1196.67,1206.27,1189.0,1203.27,1906419
2017-06-05,1205.13,1205.37,1181.43,1183.43,1431069
2017-06-06,1182.67,1196.33,1182.0,1192.4,1327541
2017-06-07,1192.67,1199.33,1181.0,1182.83,1428980
2017-06-08,1184.67,1189.27,1174.4,1185.47,1632207
2017-06-11,1185.2,1185.33,1139.27,1157.73,4068957
2017-06-12,1163.03,1169.8,1157.7,1159.33,1412274
2017-06-13,1161.33,1180.9,1156.53,1176.3,2079657
2017-06-14,1171.43,1174.6,1153.33,1156.9,1481093
2017-06-15,1156.57,1167.33,1147.13,1151.13,2243153
2017-06-18,1157.33,1173.33,1154.8,1170.53,1781057
2017-06-19,1172.47,1179.3,1160.13,1167.0,1565472
2017-06-20,1172.33,1188.0,1167.33,1169.47,3556928
2017-06-21,1173.33,1177.07,1154.87,1157.6,1761759
2017-06-22,1160.0,1162.17,1146.0,1148.47,1716825
2017-06-26,1145.03,1158.63,1123.93,1134.47,2317046
2017-06-27,1132.57,1138.67,1120.9,1135.5,1578525
2017-06-28,1136.07,1148.77,1130.37,1135.77,2709552
2017-06-29,1132.67,1132.67,1107.53,1125.07,3251535
