,open,high,low,close,volume
2016-12-18,106.03,106.03,103.15,103.25,1712
2016-12-19,110.0,110.0,102.25,103.05,464
2016-12-20,104.95,104.98,101.88,103.43,404
2016-12-21,100.5,106.98,100.5,104.98,744
2016-12-22,104.5,104.5,100.0,100.63,768
2016-12-25,100.0,107.48,98.03,102.98,600
2016-12-26,100.0,101.5,93.53,96.63,4326
2016-12-27,99.28,100.0,92.4,93.43,5554
2016-12-28,93.53,98.95,93.5,98.95,544
2016-12-29,101.93,101.93,96.98,98.13,432
2017-01-01,98.25,101.5,96.5,97.73,2766
2017-01-02,100.0,100.5,96.0,97.25,13386
2017-01-03,99.75,102.0,99.75,99.98,434
2017-01-04,102.25,105.0,96.53,103.8,10534
2017-01-05,100.05,102.38,98.0,98.15,2846
2017-01-08,102.5,102.5,98.63,100.98,838
2017-01-09,99.05,99.05,99.05,99.05,80
2017-01-10,100.0,100.8,98.53,98.55,1106
2017-01-11,102.0,102.0,100.73,100.75,1496
2017-01-12,102.0,102.35,98.0,101.03,630
2017-01-15,103.5,103.5,101.28,101.35,274
2017-01-16,101.08,102.5,101.0,102.5,1556
2017-01-17,100.5,102.5,100.0,102.38,922
2017-01-18,100.28,101.03,100.1,100.95,2394
2017-01-19,103.48,103.48,101.5,101.5,128
2017-01-22,101.25,101.25,98.55,99.33,3114
2017-01-23,99.05,101.25,99.03,100.8,318
2017-01-24,102.03,102.03,100.55,100.68,362
2017-01-26,104.95,105.0,100.0,100.78,5432
2017-01-29,100.15,102.23,100.13,100.28,144
2017-01-30,100.05,100.05,96.23,98.63,3166
2017-01-31,107.25,107.25,97.5,101.93,1500
2017-02-01,104.5,104.5,101.5,101.53,266
2017-02-02,102.05,107.75,102.05,104.1,6250
2017-02-05,104.0,107.95,104.0,105.0,1540
2017-02-06,107.18,107.18,103.13,106.45,824
2017-02-07,106.5,106.5,104.0,104.7,4204
2017-02-08,101.53,110.0,101.5,104.48,1038
2017-02-09,102.5,107.5,102.5,103.35,5660
2017-02-12,107.0,107.5,105.0,106.3,1680
2017-02-13,108.0,108.5,105.0,105.28,3076
2017-02-14,105.25,107.5,104.0,105.1,1112
2017-02-15,107.48,107.48,102.5,103.55,924
2017-02-16,103.0,108.5,103.0,106.0,694
2017-02-19,107.98,107.98,102.5,104.2,1574
2017-02-20,106.48,108.4,103.08,107.15,1688
2017-02-21,106.2,110.0,106.2,108.25,7772
2017-02-22,107.0,109.73,107.0,107.75,222
2017-02-26,106.5,109.4,104.2,107.03,612
2017-02-27,112.48,112.48,108.0,108.05,678
2017-02-28,110.0,114.0,108.98,112.45,5568
2017-03-01,115.48,117.53,110.13,112.45,8680
2017-03-02,108.1,110.03,108.1,110.0,466
2017-03-05,108.0,112.5,105.5,109.53,6618
2017-03-06,111.5,118.25,110.0,112.3,17286
2017-03-07,113.0,117.25,113.0,115.8,10824
2017-03-08,112.53,118.45,111.13,112.5,3080
2017-03-09,112.38,117.0,110.78,112.05,2080
2017-03-13,122.48,134.45,117.5,134.45,666046
2017-03-14,135.0,136.5,127.5,128.33,200908
2017-03-15,130.0,136.98,127.05,130.15,108028
2017-03-16,131.38,131.38,126.0,128.48,59280
2017-03-19,129.5,134.0,127.6,131.08,171544
2017-03-20,131.3,131.88,130.1,130.78,44000
2017-03-21,130.5,131.95,130.08,130.25,36472
2017-03-22,131.95,131.95,130.2,130.58,46064
2017-03-23,130.63,132.5,130.3,130.5,57146
2017-03-26,130.05,130.98,130.0,130.63,52692
2017-03-27,130.0,130.5,129.75,130.0,7050
2017-03-28,130.5,131.98,130.08,131.28,132902
2017-03-29,131.25,132.45,130.4,131.6,13676
2017-03-30,131.5,132.85,130.65,131.25,19414
2017-04-02,132.48,132.48,131.0,131.6,6016
2017-04-04,132.25,135.98,131.3,134.18,21662
2017-04-05,132.53,135.75,131.6,133.38,7802
2017-04-06,133.4,135.0,133.0,133.48,8258
2017-04-09,135.5,135.5,134.03,135.1,11834
2017-04-10,135.5,138.5,132.55,134.38,34196
2017-04-11,134.0,137.53,133.05,137.43,71194
2017-04-12,137.5,137.85,135.65,136.1,19368
2017-04-16,135.0,141.88,135.0,137.35,160292
2017-04-17,137.5,164.8,137.5,146.75,605906
2017-04-18,150.0,167.98,150.0,164.3,667508
