,open,high,low,close,volume
2016-12-18,52387.0,52387.0,51431.0,51561.55,4267
2016-12-19,51434.0,51923.95,49680.0,49825.3,12476
2016-12-20,50188.0,50188.0,48800.0,48855.15,11398
2016-12-21,48797.7,49249.0,48055.2,48234.65,9556
2016-12-22,48370.0,49685.0,47968.15,48996.5,10845
2016-12-25,48998.8,49005.05,48000.0,48319.45,6624
2016-12-26,48556.8,48840.0,47512.3,48692.95,10685
2016-12-27,48998.95,49089.95,48356.45,48485.95,5321
2016-12-28,48350.0,48980.0,48350.0,48893.8,9163
2016-12-29,49100.0,49300.0,48500.0,48905.65,7871
2017-01-01,49000.0,49304.95,48799.75,49084.4,8367
2017-01-02,49388.9,50500.0,49101.25,50391.45,9526
2017-01-03,50679.8,50769.75,50181.6,50386.1,7045
2017-01-04,50698.65,51990.0,50550.05,51710.65,8444
2017-01-05,52000.0,52686.5,51125.0,51579.2,14670
2017-01-08,51579.2,51797.0,50825.7,51349.15,5351
2017-01-09,51649.9,53666.0,49808.7,53025.05,14460
2017-01-10,53699.0,55554.45,53400.05,55400.0,35021
2017-01-11,55530.1,55945.0,54625.05,55011.6,18119
2017-01-12,55098.85,55298.95,52890.0,53359.6,22090
2017-01-15,53299.0,53857.55,52559.85,53092.05,13559
2017-01-16,53050.0,54380.6,53050.0,53678.8,15203
2017-01-17,53800.0,54100.0,52802.0,53006.9,9948
2017-01-18,53000.0,53046.05,51814.5,51992.2,13607
2017-01-19,51890.0,52549.95,51400.0,51668.9,9801
2017-01-22,51668.0,52840.0,51668.0,52351.7,23689
2017-01-23,52679.35,52879.95,52210.05,52466.4,7489
2017-01-24,52699.0,53180.0,52000.0,53066.7,8561
2017-01-26,53080.0,53633.0,53080.0,53339.2,6477
2017-01-29,53440.0,53440.0,51801.15,51929.9,12036
2017-01-30,51998.0,52140.0,51000.0,51659.5,12635
2017-01-31,51401.0,52840.0,51401.0,52585.1,11729
2017-02-01,52600.0,52740.0,51351.0,51590.9,10660
2017-02-02,51681.8,52654.15,50050.15,51059.45,39215
2017-02-05,51684.8,51684.8,50097.3,50240.05,17664
2017-02-06,50690.0,51040.0,49759.65,50434.75,21900
2017-02-07,50666.0,51799.95,50350.0,51604.45,13393
2017-02-08,51750.0,51985.0,51250.0,51685.7,7391
2017-02-09,51850.0,51879.3,51310.0,51472.35,4384
2017-02-12,51551.15,51680.3,50660.05,50827.25,5749
2017-02-13,51020.0,51630.55,50010.0,50195.2,5866
2017-02-14,50200.05,50582.0,49935.6,49997.15,8012
2017-02-15,50180.0,50858.0,49600.0,50538.05,16212
2017-02-16,50780.0,50900.0,50001.05,50102.2,10380
2017-02-19,50100.0,50595.0,49950.0,50414.75,4347
2017-02-20,50451.0,50679.35,50100.0,50195.4,4084
2017-02-21,50399.95,50600.0,49577.0,49767.85,13002
2017-02-22,49900.0,51700.0,49714.75,51499.05,22055
2017-02-26,51650.0,52029.95,50700.0,51437.15,13966
2017-02-27,51437.25,52529.9,51370.05,51835.05,14966
2017-02-28,51999.0,53150.0,51999.0,52819.4,13943
2017-03-01,53185.0,53362.5,51845.0,51951.6,8861
2017-03-02,52300.0,52630.0,51713.45,52072.85,12544
2017-03-05,52398.0,52500.0,51951.05,52375.55,7600
2017-03-06,52282.0,52565.85,51953.2,52167.9,6731
2017-03-07,52260.0,52372.1,51086.7,51527.8,9537
2017-03-08,51500.0,52366.65,51205.0,52031.35,12197
2017-03-09,52366.0,52450.0,51950.0,52220.3,9186
2017-03-13,52750.0,53427.95,52100.0,52983.9,18744
2017-03-14,53381.25,57984.0,53291.25,56836.6,82609
2017-03-15,57300.0,57448.95,56200.0,56425.55,15441
2017-03-16,56400.0,56700.0,54967.65,55427.85,43538
2017-03-19,56305.0,57090.65,55801.0,56019.35,23491
2017-03-20,56500.0,58300.0,55854.3,58045.15,28250
2017-03-21,57600.0,58450.0,57500.0,57849.2,20754
2017-03-22,58000.0,59684.35,57601.0,59507.1,36778
2017-03-23,59499.9,59650.0,59001.0,59308.8,19247
2017-03-26,59499.0,60145.0,59125.2,59888.5,20169
2017-03-27,59855.45,60300.0,57947.4,58315.35,19851
2017-03-28,58499.95,59790.8,57801.0,59578.45,24086
2017-03-29,59125.0,60200.0,59125.0,59823.65,19147
2017-03-30,59550.0,61220.0,59550.0,60954.45,24685
2017-04-02,60935.0,61386.7,60240.0,60993.55,14263
2017-04-04,60993.55,61271.75,60372.0,60685.45,12463
2017-04-05,60552.0,61399.0,60211.0,61104.85,18995
2017-04-06,60655.0,61780.0,60601.1,61036.15,14389
2017-04-09,61195.7,61382.95,60620.0,60767.45,7631
2017-04-10,61179.0,62200.0,60901.0,62063.4,17051
2017-04-11,62010.0,62199.95,60062.4,60527.1,20550
2017-04-12,60530.85,61200.0,60300.0,60566.55,10623
2017-04-16,60720.0,62158.0,60311.4,61948.55,21463
2017-04-17,61950.0,63099.0,61600.05,62596.1,23539
2017-04-18,62350.0,63300.0,62150.05,63089.25,12089
2017-04-19,63005.0,63610.0,62751.1,63500.8,12427
2017-04-20,63325.0,63698.0,63016.85,63283.7,9607
2017-04-23,63120.0,64200.0,63110.0,63995.35,12079
2017-04-24,64200.0,66755.55,63880.0,66566.25,28579
2017-04-25,66500.0,69848.75,66486.95,68850.55,43642
2017-04-26,69200.0,70500.0,68000.0,68495.6,50104
2017-04-27,68858.5,69000.0,67706.0,67909.2,17996
2017-05-01,68050.0,68899.8,67600.05,68372.55,17924
