,open,high,low,close,volume
2016-12-18,92.0,94.85,90.1,92.4,2187
2016-12-19,94.0,94.8,90.05,93.15,8923
2016-12-20,90.2,92.9,90.2,91.85,1937
2016-12-21,92.4,92.4,88.15,88.95,1709
2016-12-22,91.6,94.95,88.2,90.55,4748
2016-12-25,93.9,93.9,87.5,88.05,1079
2016-12-26,86.6,89.95,86.0,89.45,3651
2016-12-27,92.8,93.7,90.15,91.4,6922
2016-12-28,91.5,92.1,91.0,91.55,1181
2016-12-29,92.9,93.0,91.5,92.0,1484
2017-01-01,91.1,93.0,91.1,93.0,100
2017-01-02,92.6,93.4,92.35,92.9,1737
2017-01-03,91.7,93.4,91.55,92.95,5362
2017-01-04,92.6,95.0,92.25,93.6,5606
2017-01-05,93.0,93.9,93.0,93.05,595
2017-01-08,95.0,95.5,92.05,93.6,1200
2017-01-09,90.6,97.9,90.6,94.45,3802
2017-01-10,97.7,97.7,94.05,94.35,1690
2017-01-11,94.5,95.1,94.4,94.75,1764
2017-01-12,95.0,96.0,94.5,94.85,643
2017-01-15,92.0,97.5,92.0,96.4,5981
2017-01-16,98.0,98.0,95.05,97.0,1228
2017-01-17,97.0,100.0,96.4,97.95,9339
2017-01-18,97.55,98.45,97.3,98.0,6645
2017-01-19,99.0,99.0,96.1,97.3,1000
2017-01-22,96.1,101.95,96.05,99.7,6520
2017-01-23,100.0,100.0,98.15,98.5,3447
2017-01-24,99.0,100.0,98.75,99.0,5458
2017-01-26,98.5,104.2,98.5,100.9,12824
2017-01-29,98.6,101.0,98.2,98.65,2914
2017-01-30,99.9,99.9,97.0,98.0,11558
2017-01-31,99.95,103.0,97.0,100.0,10671
2017-02-01,101.95,103.0,100.05,100.85,3776
2017-02-02,100.25,102.95,100.25,101.1,9540
2017-02-05,103.0,103.5,102.0,102.7,3768
2017-02-06,103.0,104.9,101.3,102.7,18676
2017-02-07,104.9,105.0,103.0,103.25,9111
2017-02-08,102.15,103.8,102.05,103.4,5500
2017-02-09,102.1,104.0,102.1,103.65,3101
2017-02-12,104.0,105.0,103.05,103.5,5879
2017-02-13,102.1,104.45,100.05,103.0,10044
2017-02-14,102.5,102.5,97.0,98.55,16513
2017-02-15,98.0,101.0,98.0,101.0,5468
2017-02-16,101.95,101.95,98.4,101.1,1686
2017-02-19,101.0,101.95,100.1,101.5,2064
2017-02-20,103.95,104.9,100.25,102.0,3522
2017-02-21,103.95,103.95,101.05,102.2,6740
2017-02-22,102.5,102.9,101.5,102.45,1925
2017-02-26,101.7,103.95,101.25,102.5,11644
2017-02-27,102.0,103.0,101.1,102.15,3133
2017-02-28,102.0,103.0,102.0,102.5,2051
2017-03-01,101.5,103.0,101.5,102.4,6220
2017-03-02,99.75,102.5,99.7,101.9,392
2017-03-05,102.0,103.0,101.8,101.9,4077
2017-03-06,101.15,102.0,101.15,101.5,8725
2017-03-07,102.9,103.0,100.1,101.55,6374
2017-03-08,100.0,100.85,99.1,99.75,1688
2017-03-09,99.9,100.0,98.2,99.95,2051
2017-03-13,101.0,103.0,99.4,100.25,5033
2017-03-14,100.0,101.9,99.0,101.25,4291
2017-03-15,101.0,102.0,100.0,101.6,2408
2017-03-16,101.5,102.0,100.15,101.0,1824
2017-03-19,100.5,102.0,100.05,101.85,3127
2017-03-20,102.0,102.5,101.0,102.45,6503
2017-03-21,101.0,102.9,101.0,101.35,1461
2017-03-22,101.0,102.5,100.0,101.35,4400
2017-03-23,101.75,102.5,101.0,101.55,5379
2017-03-26,102.6,102.6,100.6,100.8,1302
2017-03-27,101.0,101.45,100.6,101.05,20107
2017-03-28,101.5,101.95,100.2,101.1,9621
2017-03-29,101.0,101.9,100.1,100.85,888
2017-03-30,101.5,103.4,100.6,100.75,18396
2017-04-02,101.8,103.95,100.5,103.5,31965
2017-04-04,103.25,104.9,103.0,104.2,26184
2017-04-05,105.0,105.5,103.25,103.95,21290
2017-04-06,102.35,104.9,102.35,104.1,3092
2017-04-09,105.9,105.9,102.1,103.2,18933
2017-04-10,104.95,105.8,104.15,105.0,2305
2017-04-11,104.6,105.0,103.6,104.95,1789
2017-04-12,105.7,105.9,102.6,103.6,13074
