,open,high,low,close,volume
2016-12-18,84.45,85.5,82.1,83.3,100589
2016-12-19,85.0,86.5,78.9,79.4,352464
2016-12-20,82.0,82.0,79.5,80.45,229705
2016-12-21,81.05,81.05,78.2,78.6,74057
2016-12-22,79.0,80.0,78.1,78.95,36195
2016-12-25,78.5,78.55,75.35,76.05,46250
2016-12-26,76.2,77.3,75.8,76.9,57286
2016-12-27,77.6,79.4,76.95,77.35,69121
2016-12-28,77.5,78.45,77.05,77.3,46291
2016-12-29,77.65,78.85,77.5,77.75,64236
2017-01-01,78.05,79.35,77.6,79.05,84967
2017-01-02,79.05,80.8,78.8,80.15,92038
2017-01-03,80.15,83.2,80.15,82.35,129506
2017-01-04,82.95,84.5,82.6,83.15,136716
2017-01-05,83.5,83.7,81.2,81.5,55160
2017-01-08,82.0,84.5,81.25,84.05,188937
2017-01-09,85.0,86.6,84.2,84.55,145465
2017-01-10,85.0,85.75,84.15,84.65,82060
2017-01-11,84.9,86.1,83.25,83.65,83288
2017-01-12,85.4,85.8,83.75,84.2,159587
2017-01-15,85.0,85.6,84.35,84.85,51165
2017-01-16,84.5,85.8,83.7,84.1,46076
2017-01-17,84.5,85.75,84.25,84.45,65097
2017-01-18,84.9,85.0,83.55,84.0,50415
2017-01-19,84.0,88.5,83.55,85.0,446747
2017-01-22,85.35,85.9,84.6,85.15,65794
2017-01-23,85.7,86.25,84.6,84.9,66879
2017-01-24,85.95,86.5,85.0,85.2,114617
2017-01-26,85.75,86.5,84.65,85.05,111938
2017-01-29,85.1,88.3,85.1,86.7,414144
2017-01-30,87.0,87.4,84.0,84.35,95867
2017-01-31,85.25,86.9,83.8,84.1,134389
2017-02-01,84.5,84.95,83.6,83.95,36861
2017-02-02,84.9,85.8,84.45,84.75,87926
2017-02-05,84.95,85.5,83.6,84.05,39873
2017-02-06,83.95,84.5,83.4,83.6,40445
2017-02-07,84.1,84.2,83.15,83.25,27644
2017-02-08,83.8,84.65,82.5,83.05,64033
2017-02-09,83.8,83.8,82.45,82.7,33360
2017-02-12,82.75,83.0,79.9,80.65,47673
2017-02-13,81.0,81.4,79.45,79.85,41762
2017-02-14,80.0,80.1,77.05,77.45,43774
2017-02-15,77.85,78.3,77.0,77.8,25882
2017-02-16,78.0,78.45,77.2,77.55,30269
2017-02-19,77.55,79.9,77.55,79.5,38824
2017-02-20,78.5,80.9,78.5,80.05,68609
2017-02-21,80.25,82.4,80.05,80.35,56776
2017-02-22,80.9,82.8,80.05,81.8,108346
2017-02-26,81.35,83.2,80.0,80.75,51844
2017-02-27,81.5,82.4,80.5,80.85,40388
2017-02-28,80.95,81.75,80.5,80.9,31102
2017-03-01,81.45,82.4,80.0,80.6,59178
2017-03-02,80.05,81.5,79.0,79.85,49826
2017-03-05,81.3,81.95,79.9,80.8,94133
2017-03-06,81.25,81.8,80.0,80.15,24921
2017-03-07,80.4,80.4,78.05,78.45,32216
2017-03-08,78.5,79.9,77.6,77.9,26649
2017-03-09,78.8,79.45,77.1,77.3,32141
2017-03-13,78.95,79.2,77.65,77.9,24295
2017-03-14,78.85,79.2,76.35,76.8,88610
2017-03-15,77.1,80.2,76.6,78.45,163569
2017-03-16,78.85,79.15,77.5,77.7,47445
2017-03-19,78.0,79.8,77.0,78.5,77959
2017-03-20,78.6,78.9,77.75,78.15,51435
2017-03-21,78.15,78.15,76.5,76.65,27659
2017-03-22,77.25,78.9,77.05,77.75,42097
2017-03-23,77.95,82.3,77.9,80.65,479552
2017-03-26,80.95,80.95,78.3,78.8,86371
2017-03-27,79.0,79.75,76.95,77.5,79771
2017-03-28,77.95,78.2,76.5,76.7,78556
2017-03-29,77.0,78.4,77.0,77.95,41148
2017-03-30,78.3,79.9,77.35,78.75,89045
2017-04-02,79.25,80.0,78.75,79.45,38947
2017-04-04,79.9,81.75,79.3,81.15,126939
2017-04-05,81.45,83.4,80.75,81.9,200576
2017-04-06,81.55,85.5,81.2,82.9,290189
2017-04-09,83.5,85.4,82.5,83.65,123072
2017-04-10,84.0,87.5,83.7,86.55,400284
2017-04-11,89.0,92.0,86.75,89.7,997074
2017-04-12,89.75,91.4,88.15,88.45,193927
