,open,high,low,close,volume
2016-12-18,1018.0,1033.85,1010.2,1027.05,6691
2016-12-19,1030.0,1035.0,1012.5,1015.1,2957
2016-12-20,1034.75,1035.0,981.05,996.75,4475
2016-12-21,997.35,1022.0,961.0,1006.9,10910
2016-12-22,987.1,1009.95,986.0,992.45,4586
2016-12-25,975.0,998.3,961.15,974.2,2256
2016-12-26,976.45,1015.0,976.45,1014.3,18455
2016-12-27,1018.05,1034.0,1000.1,1018.5,18268
2016-12-28,998.15,1036.0,998.1,1019.4,26119
2016-12-29,1016.05,1035.0,1015.0,1032.3,7885
2017-01-01,1040.0,1040.0,985.0,993.55,13004
2017-01-02,1009.95,1020.0,995.0,1012.55,3895
2017-01-03,1004.85,1031.0,1004.85,1029.35,21186
2017-01-04,1036.1,1036.1,1000.1,1008.8,12334
2017-01-05,1000.55,1024.85,1000.55,1012.2,3396
2017-01-08,1003.15,1021.85,1003.1,1012.1,5182
2017-01-09,1011.0,1020.95,997.95,1011.0,16054
2017-01-10,1011.05,1025.0,1006.05,1017.45,4304
2017-01-11,1014.95,1023.35,985.0,990.45,9433
2017-01-12,995.05,1018.3,990.0,1015.8,14664
2017-01-15,1005.55,1013.45,1002.0,1003.3,1073
2017-01-16,1015.3,1015.35,1001.1,1003.1,1168
2017-01-17,1001.25,1017.0,991.15,996.8,2954
2017-01-18,999.0,1015.35,985.1,988.45,13996
2017-01-19,1005.0,1005.0,963.65,968.95,7642
2017-01-22,994.0,994.0,961.0,972.2,1162
2017-01-23,970.05,979.75,965.2,968.45,2265
2017-01-24,982.75,983.0,971.15,975.25,2936
2017-01-26,971.05,988.85,963.95,966.4,4203
2017-01-29,950.1,970.0,932.4,945.7,7248
2017-01-30,973.0,973.0,891.4,899.9,11406
2017-01-31,924.0,975.0,882.05,956.15,25102
2017-02-01,951.4,954.85,905.5,930.3,10267
2017-02-02,957.7,957.7,939.6,950.75,4178
2017-02-05,936.5,976.55,931.05,935.55,5463
2017-02-06,921.5,944.8,920.05,930.5,3796
2017-02-07,958.0,958.0,900.05,906.7,7550
2017-02-08,907.0,940.0,907.0,932.3,7748
2017-02-09,939.7,940.85,881.3,900.85,66269
2017-02-12,901.1,918.9,887.0,913.7,20532
2017-02-13,919.85,919.85,899.5,907.1,5068
2017-02-14,914.45,914.45,895.1,900.75,2437
2017-02-15,896.0,918.8,882.7,915.7,5975
2017-02-16,906.45,911.35,900.0,904.85,5070
2017-02-19,898.0,916.85,897.95,900.2,7282
2017-02-20,899.9,917.8,899.9,912.75,4324
2017-02-21,900.05,940.0,892.0,903.45,11262
2017-02-22,900.05,914.8,900.0,908.15,5319
2017-02-26,910.05,915.0,899.95,907.45,9600
2017-02-27,907.95,916.0,902.0,913.3,4911
2017-02-28,914.95,1095.95,914.95,1095.95,185246
2017-03-01,1119.0,1315.1,1111.0,1217.05,660242
2017-03-02,1248.0,1294.45,1138.0,1191.95,328072
2017-03-05,1194.0,1262.0,1156.4,1182.1,82948
2017-03-06,1195.0,1220.0,1150.6,1168.1,58875
2017-03-07,1182.0,1199.0,1151.8,1162.1,21876
2017-03-08,1162.0,1198.9,1096.05,1127.2,44564
2017-03-09,1159.0,1174.7,1125.1,1133.65,29850
2017-03-13,1146.0,1176.4,1120.7,1135.7,13429
2017-03-14,1135.7,1173.95,1130.0,1142.2,20485
2017-03-15,1144.0,1156.95,1135.0,1135.15,7931
2017-03-16,1137.1,1156.0,1112.5,1128.0,8604
2017-03-19,1115.0,1170.0,1115.0,1154.15,27695
2017-03-20,1148.55,1309.9,1143.4,1272.05,191790
2017-03-21,1250.0,1329.55,1226.0,1240.5,134164
2017-03-22,1252.6,1269.0,1242.85,1250.05,15350
2017-03-23,1264.0,1281.0,1225.0,1250.8,15025
2017-03-26,1252.8,1290.0,1235.0,1266.75,23096
2017-03-27,1266.8,1514.9,1239.8,1489.7,447879
2017-03-28,1495.05,1557.35,1440.15,1460.85,142240
2017-03-29,1420.0,1509.0,1380.1,1474.6,199873
2017-03-30,1489.5,1533.6,1460.0,1495.0,96898
2017-04-02,1502.0,1552.0,1470.0,1498.2,76671
2017-04-04,1640.0,1727.0,1578.0,1601.4,233906
2017-04-05,1609.0,1623.9,1560.0,1588.3,70079
2017-04-06,1565.0,1623.85,1520.1,1536.3,54176
2017-04-09,1491.0,1555.7,1435.25,1522.75,180158
2017-04-10,1516.0,1572.75,1516.0,1523.45,36621
2017-04-11,1541.0,1580.0,1536.85,1557.0,54165
2017-04-12,1550.0,1565.0,1521.1,1530.35,17721
2017-04-16,1511.0,1558.55,1478.7,1490.8,17774
2017-04-17,1500.0,1528.8,1444.05,1459.95,34587
2017-04-18,1458.95,1470.0,1381.6,1392.95,35987
2017-04-19,1400.0,1421.2,1310.4,1339.8,37729
2017-04-20,1348.0,1495.0,1235.6,1425.6,191905
2017-04-23,1422.0,1433.35,1350.0,1362.75,40605
2017-04-24,1370.0,1495.0,1370.0,1416.85,162611
2017-04-25,1411.0,1442.0,1385.0,1411.25,63619
2017-04-26,1423.0,1447.55,1365.95,1433.75,53886
2017-04-27,1443.15,1447.9,1387.1,1398.7,19665
2017-05-01,1414.0,1430.0,1356.6,1364.15,23331
2017-05-02,1388.95,1398.0,1312.9,1320.15,27247
2017-05-03,1326.25,1382.0,1305.0,1354.25,67607
2017-05-04,1355.0,1370.0,1320.0,1326.7,26990
2017-05-07,1330.0,1376.9,1330.0,1343.7,22630
2017-05-08,1350.0,1368.0,1349.0,1354.3,11686
2017-05-09,1358.25,1374.7,1348.95,1357.2,13954
2017-05-10,1355.0,1370.0,1320.0,1350.05,21778
2017-05-11,1354.85,1393.85,1338.05,1374.85,78572
2017-05-14,1380.0,1394.0,1333.25,1349.7,18113
2017-05-15,1349.1,1367.1,1342.0,1350.2,6795
2017-05-16,1351.15,1417.65,1343.8,1406.1,33948
2017-05-17,1380.0,1464.0,1378.1,1442.7,43106
2017-05-18,1462.0,1495.4,1385.55,1413.1,57153
2017-05-21,1414.0,1496.55,1414.0,1471.4,53900
2017-05-22,1484.1,1484.15,1383.05,1446.35,43801
2017-05-23,1458.0,1458.0,1361.0,1376.05,33459
2017-05-24,1380.1,1409.0,1370.0,1393.2,10908
2017-05-25,1404.7,1450.0,1386.0,1389.9,19983
2017-05-28,1395.0,1407.0,1361.3,1374.4,7335
2017-05-29,1350.0,1392.45,1336.0,1377.4,7782
2017-05-30,1371.2,1393.2,1360.0,1369.4,3998
2017-05-31,1350.25,1393.7,1335.0,1348.95,9713
2017-06-01,1364.15,1384.95,1343.0,1350.25,8575
2017-06-04,1333.0,1444.4,1333.0,1418.0,29843
2017-06-05,1419.95,1430.0,1376.5,1380.0,5227
2017-06-06,1378.05,1395.0,1372.05,1386.1,6860
2017-06-07,1371.0,1400.0,1371.0,1397.0,6725
2017-06-08,1424.8,1424.8,1391.1,1395.2,5936
2017-06-11,1400.35,1410.0,1385.25,1395.2,22734
2017-06-12,1417.9,1417.9,1390.05,1395.25,15958
2017-06-13,1406.7,1416.5,1390.1,1395.3,14590
2017-06-14,1372.2,1415.0,1372.2,1396.05,15715
2017-06-15,1385.0,1414.0,1385.0,1399.05,12919
2017-06-18,1400.15,1439.0,1385.0,1393.8,6507
2017-06-19,1395.9,1415.0,1392.85,1405.75,4220
2017-06-20,1397.6,1403.0,1389.95,1399.2,27651
2017-06-21,1410.0,1411.75,1392.55,1395.35,40722
2017-06-22,1392.25,1400.0,1385.0,1397.85,24147
2017-06-26,1399.0,1401.95,1373.8,1390.35,47928
2017-06-27,1382.3,1453.85,1380.15,1423.8,15860
