,open,high,low,close,volume
2016-12-18,2140.0,2173.9,2120.0,2141.3,1467
2016-12-19,2130.0,2203.45,2105.0,2122.95,4778
2016-12-20,2148.0,2153.0,2100.0,2110.15,2091
2016-12-21,2100.05,2118.0,2060.5,2085.6,1882
2016-12-22,2062.0,2168.9,2062.0,2106.6,5133
2016-12-25,2105.5,2135.0,2040.0,2052.2,4871
2016-12-26,2059.9,2166.95,2054.05,2134.3,8809
2016-12-27,2125.0,2187.0,2095.95,2109.7,3635
2016-12-28,2110.0,2135.0,2100.1,2105.9,1381
2016-12-29,2105.0,2159.0,2100.0,2105.8,3093
2017-01-01,2115.0,2330.0,2088.05,2306.95,59563
2017-01-02,2305.2,2349.0,2258.0,2272.35,22641
2017-01-03,2279.0,2339.0,2272.0,2278.65,11468
2017-01-04,2281.0,2329.0,2271.0,2279.45,9058
2017-01-05,2280.0,2469.0,2280.0,2426.6,67963
2017-01-08,2406.0,2480.0,2371.0,2415.05,32295
2017-01-09,2430.0,2496.0,2410.0,2438.5,17789
2017-01-10,2440.0,2500.0,2430.05,2450.45,23776
2017-01-11,2451.15,2489.0,2395.0,2433.25,16654
2017-01-12,2440.2,2458.4,2380.0,2388.6,9911
2017-01-15,2389.75,2444.3,2372.25,2388.05,8610
2017-01-16,2399.95,2424.9,2352.0,2364.2,5052
2017-01-17,2377.0,2419.0,2360.0,2365.55,5170
2017-01-18,2362.05,2384.9,2319.4,2324.95,4403
2017-01-19,2325.05,2333.1,2247.55,2255.3,6318
2017-01-22,2242.55,2287.95,2235.0,2256.65,4074
2017-01-23,2257.55,2399.5,2257.0,2373.5,28214
2017-01-24,2394.3,2450.0,2360.0,2379.9,11015
2017-01-26,2375.0,2404.7,2325.1,2333.05,8348
2017-01-29,2319.85,2345.0,2288.0,2291.85,3813
2017-01-30,2285.05,2322.0,2250.0,2259.3,3853
2017-01-31,2250.0,2330.9,2246.1,2297.6,6432
2017-02-01,2291.0,2349.0,2278.35,2286.1,5234
2017-02-02,2307.95,2318.95,2275.0,2285.45,5193
2017-02-05,2296.55,2374.9,2295.95,2304.8,9183
2017-02-06,2309.9,2319.9,2283.95,2296.8,2881
2017-02-07,2295.05,2314.0,2275.0,2284.8,1587
2017-02-08,2286.4,2298.6,2241.25,2258.1,2380
2017-02-09,2272.95,2294.95,2231.2,2246.35,4300
2017-02-12,2256.5,2292.0,2223.15,2234.65,3400
2017-02-13,2240.05,2259.75,2165.65,2188.25,3849
2017-02-14,2199.85,2203.05,2132.2,2146.55,3325
2017-02-15,2158.9,2212.0,2150.0,2176.3,4142
2017-02-16,2189.85,2259.9,2183.8,2200.6,5619
2017-02-19,2205.0,2219.4,2174.85,2204.6,1957
2017-02-20,2189.25,2268.0,2189.25,2232.75,4218
2017-02-21,2232.75,2244.0,2183.5,2191.85,2736
2017-02-22,2191.9,2211.0,2173.3,2189.6,1475
2017-02-26,2190.05,2220.05,2175.55,2180.3,1911
2017-02-27,2191.05,2209.85,2171.5,2178.1,2479
2017-02-28,2198.95,2255.0,2186.0,2191.5,7442
2017-03-01,2200.1,2219.4,2127.1,2144.9,4530
2017-03-02,2167.2,2190.05,2140.0,2162.95,3379
2017-03-05,2162.0,2194.0,2150.0,2160.65,2188
2017-03-06,2165.05,2188.0,2125.25,2133.3,3789
2017-03-07,2135.05,2159.9,2110.1,2120.4,2042
2017-03-08,2118.1,2134.0,2106.2,2121.05,2205
2017-03-09,2125.05,2140.05,2090.0,2104.3,2662
2017-03-13,2169.9,2170.0,2096.0,2102.2,2636
2017-03-14,2107.65,2250.0,2100.0,2156.15,15647
2017-03-15,2155.95,2297.2,2140.05,2233.75,29560
2017-03-16,2232.0,2267.0,2201.5,2206.0,8548
2017-03-19,2200.0,2259.95,2196.05,2201.55,5711
2017-03-20,2201.55,2224.95,2148.0,2160.3,5113
2017-03-21,2131.0,2160.0,2130.0,2140.15,8590
2017-03-22,2145.0,2198.0,2132.0,2156.05,10471
2017-03-23,2174.9,2175.0,2126.5,2137.95,4900
2017-03-26,2140.0,2163.85,2100.0,2105.55,4649
2017-03-27,2128.95,2139.0,2083.0,2089.15,7284
2017-03-28,2090.05,2109.0,2046.0,2066.1,7821
2017-03-29,2077.25,2110.45,2073.8,2083.1,3726
2017-03-30,2094.95,2127.65,2065.5,2081.5,7624
2017-04-02,2095.0,2165.05,2090.05,2148.3,11114
2017-04-04,2150.05,2214.0,2145.75,2180.9,10370
2017-04-05,2189.9,2220.0,2155.0,2171.35,6396
2017-04-06,2171.0,2199.0,2126.0,2136.4,4104
2017-04-09,2154.85,2166.0,2118.0,2125.3,3828
2017-04-10,2130.1,2278.85,2130.05,2212.35,23926
2017-04-11,2209.9,2232.95,2140.0,2162.95,11412
2017-04-12,2174.9,2225.0,2151.2,2160.9,7937
2017-04-16,2165.0,2175.0,2120.0,2135.4,4874
2017-04-17,2154.0,2195.0,2100.0,2111.65,6939
2017-04-18,2122.25,2146.7,2100.0,2131.95,5196
2017-04-19,2139.85,2164.7,2114.95,2143.25,3756
2017-04-20,2141.05,2180.0,2130.0,2138.1,12116
2017-04-23,2149.85,2169.9,2124.0,2125.75,5398
2017-04-24,2138.95,2188.0,2128.0,2134.5,9256
2017-04-25,2136.05,2154.0,2104.0,2116.45,5197
2017-04-26,2110.0,2149.9,2100.0,2105.85,6309
2017-04-27,2105.05,2149.0,2100.0,2117.8,6042
2017-05-01,2124.0,2143.7,2105.15,2115.15,3135
2017-05-02,2124.9,2174.0,2110.6,2125.5,6446
2017-05-03,2134.85,2140.0,2090.0,2097.65,5912
2017-05-04,2108.0,2128.0,2055.0,2065.15,4227
2017-05-07,2065.0,2100.0,2042.0,2052.9,3139
2017-05-08,2058.0,2119.85,2058.0,2078.75,3379
2017-05-09,2084.9,2145.0,2084.9,2099.4,6671
2017-05-10,2100.0,2126.2,2075.1,2081.4,2598
2017-05-11,2085.0,2098.95,2055.0,2068.5,2726
2017-05-14,2079.9,2090.0,2043.55,2051.8,2631
2017-05-15,2060.0,2070.0,2049.0,2056.5,2625
2017-05-16,2089.9,2089.9,2030.0,2036.4,2568
2017-05-17,2048.9,2059.0,2001.0,2005.3,4828
2017-05-18,2018.85,2028.0,1980.0,1992.15,3074
2017-05-21,2009.9,2009.9,1955.0,1967.1,2531
2017-05-22,1950.0,1989.0,1921.3,1941.1,4114
2017-05-23,1921.15,1945.0,1901.1,1912.05,2360
2017-05-24,1924.5,1949.0,1910.0,1933.15,2462
2017-05-25,1920.05,1967.0,1901.5,1933.85,3302
2017-05-28,1911.3,1940.7,1903.9,1909.2,1511
2017-05-29,1920.0,1967.0,1900.0,1909.1,1473
2017-05-30,1924.9,1933.95,1890.05,1895.55,1812
2017-05-31,1900.0,1940.0,1888.0,1893.25,6132
2017-06-01,1909.9,1925.0,1895.5,1900.0,2558
2017-06-04,1918.85,1919.0,1885.0,1890.9,1993
2017-06-05,1891.0,1903.0,1877.8,1893.6,1402
2017-06-06,1898.8,1933.0,1885.05,1896.6,2441
2017-06-07,1898.8,2064.0,1885.05,1995.4,30903
2017-06-08,1980.1,2043.9,1969.95,1979.5,6890
2017-06-11,1979.5,2020.0,1960.0,2009.15,5245
2017-06-12,1997.05,2025.0,1961.0,1969.25,2910
2017-06-13,1976.9,2000.0,1941.95,1950.75,2180
2017-06-14,1932.0,2019.9,1932.0,1969.15,6306
2017-06-15,1969.15,1995.0,1939.1,1950.05,1928
2017-06-18,1959.0,1978.0,1925.2,1930.8,2307
2017-06-19,1937.0,1947.75,1910.0,1912.4,3345
2017-06-20,1918.0,1935.1,1901.0,1905.8,2155
2017-06-21,1914.0,1942.4,1900.0,1910.5,2499
2017-06-22,1919.0,1921.0,1883.0,1886.35,2373
2017-06-26,1894.9,1895.0,1860.3,1880.85,1944
2017-06-27,1894.9,1900.0,1873.55,1887.7,1134
2017-06-28,1881.0,1902.2,1871.05,1880.7,1177
2017-06-29,1894.95,1900.0,1877.0,1881.25,1224
2017-07-02,1898.0,1928.0,1880.2,1900.85,2705
2017-07-03,1900.0,1989.9,1900.0,1952.0,8791
2017-07-04,1964.9,1983.85,1950.0,1971.3,3681
2017-07-05,1969.0,1995.0,1934.0,1946.55,3496
2017-07-06,1954.9,2055.0,1934.0,1986.05,12995
2017-07-09,2011.7,2011.7,1954.8,1971.35,485
2017-07-10,1975.0,2080.0,1960.0,1991.0,13415
2017-07-11,2009.9,2019.9,1979.3,1986.8,3020
2017-07-12,1999.9,2070.0,1966.0,2013.55,11495
2017-07-13,2024.9,2038.7,1990.0,1995.75,4993
2017-07-16,1980.0,2049.9,1980.0,2025.2,6035
2017-07-17,2027.0,2110.0,2002.0,2031.55,15198
2017-07-18,2043.9,2073.95,2020.1,2031.45,5486
2017-07-19,2015.0,2049.9,2010.0,2016.4,3511
2017-07-20,2024.9,2047.5,1991.0,1998.85,4952
2017-07-23,2009.9,2050.0,1985.0,1988.6,5503
