,open,high,low,close,volume
2016-12-18,88.75,93.85,85.6,89.85,33089
2016-12-19,89.45,91.35,87.2,87.65,25699
2016-12-20,89.05,90.8,87.65,89.05,50152
2016-12-21,86.5,88.8,86.1,87.65,24963
2016-12-22,86.95,88.55,85.35,85.4,31476
2016-12-25,85.45,94.05,83.3,88.65,456841
2016-12-26,87.65,89.0,85.8,87.3,79934
2016-12-27,87.3,90.35,86.25,86.75,39427
2016-12-28,88.2,88.2,85.9,86.35,39093
2016-12-29,87.45,88.35,86.35,87.2,28603
2017-01-01,88.2,88.95,87.2,88.1,25600
2017-01-02,88.5,95.75,88.15,92.0,177632
2017-01-03,92.4,95.55,92.1,94.2,94122
2017-01-04,94.55,95.5,92.85,93.9,28550
2017-01-05,94.3,94.85,92.3,93.1,45308
2017-01-08,93.85,96.55,93.15,93.75,122436
2017-01-09,94.4,95.75,93.7,94.25,49714
2017-01-10,94.7,95.8,93.7,94.25,63380
2017-01-11,93.45,94.5,91.3,92.0,33045
2017-01-12,92.65,93.4,90.85,91.15,22569
2017-01-15,92.15,95.75,90.55,94.0,67194
2017-01-16,94.2,95.85,93.8,94.4,78418
2017-01-17,100.2,112.4,99.55,110.1,3086342
2017-01-18,108.65,109.4,105.2,106.7,629689
2017-01-19,105.8,112.75,104.35,108.65,631094
2017-01-22,108.65,122.25,106.5,118.45,1731713
2017-01-23,117.6,127.45,115.15,123.2,1315705
2017-01-24,123.2,127.7,120.4,125.25,460008
2017-01-26,124.7,132.55,124.7,127.8,536099
2017-01-29,126.65,129.6,119.85,121.7,187442
2017-01-30,121.05,126.8,118.9,121.55,282448
2017-01-31,121.0,125.45,119.5,123.1,125123
2017-02-01,123.0,126.95,122.5,126.6,173051
2017-02-02,126.55,128.2,123.2,124.8,97974
2017-02-05,124.5,126.7,122.65,124.1,112358
2017-02-06,123.3,123.95,119.65,120.65,63143
2017-02-07,120.35,121.0,115.2,115.7,63623
2017-02-08,116.35,119.35,115.2,117.35,60679
2017-02-09,118.3,121.6,117.45,118.45,61571
2017-02-12,118.35,119.5,115.05,115.85,32663
2017-02-13,116.65,116.9,112.25,113.7,24427
2017-02-14,110.55,110.55,94.85,96.3,463865
2017-02-15,96.55,101.4,96.55,100.3,132292
2017-02-16,100.95,101.75,97.7,98.5,59275
2017-02-19,98.5,118.15,98.1,117.55,1161666
2017-02-20,119.05,121.3,115.2,116.5,388731
2017-02-21,116.3,117.95,112.9,113.9,133967
2017-02-22,113.75,118.05,112.85,115.15,81199
2017-02-26,115.65,115.9,112.15,112.8,44587
2017-02-27,112.9,113.1,107.9,109.25,52374
2017-02-28,108.5,128.8,108.5,126.15,1498029
2017-03-01,129.0,131.9,124.8,126.0,687271
2017-03-02,124.7,126.2,122.5,123.05,92705
2017-03-05,122.5,123.9,117.45,118.05,96822
2017-03-06,118.3,125.95,116.8,119.5,378409
2017-03-07,120.05,120.9,116.7,117.2,86092
2017-03-08,116.95,120.9,115.95,116.9,72467
2017-03-09,119.4,120.15,113.25,114.1,65216
2017-03-13,117.6,126.2,114.0,116.75,369585
2017-03-14,117.75,121.6,117.35,118.65,133224
2017-03-15,118.9,121.0,118.15,118.6,56928
2017-03-16,118.75,120.55,114.45,116.3,75821
2017-03-19,116.75,120.1,115.15,116.3,64064
2017-03-20,117.4,118.75,114.7,115.45,48797
2017-03-21,115.0,115.75,113.55,114.7,51552
2017-03-22,116.45,119.75,114.55,115.7,65498
2017-03-23,116.65,118.25,113.35,113.85,72341
2017-03-26,113.55,116.1,112.45,114.15,87791
2017-03-27,115.0,117.2,114.45,115.3,79396
2017-03-28,116.55,123.55,114.4,120.2,504508
2017-03-29,120.25,121.65,116.9,118.5,73812
2017-03-30,119.2,121.6,118.75,119.75,49985
2017-04-02,120.9,127.15,119.95,123.1,172006
2017-04-04,125.45,125.45,118.3,119.15,131794
2017-04-05,119.15,121.65,119.1,120.05,34689
2017-04-06,120.05,123.3,118.05,119.75,71947
2017-04-09,119.7,120.9,118.05,118.5,33490
2017-04-10,119.45,121.0,116.55,117.45,48107
2017-04-11,118.55,118.75,114.5,118.05,176683
2017-04-12,118.7,122.35,117.6,118.6,190998
2017-04-16,119.45,120.2,115.2,116.85,75007
2017-04-17,118.0,119.45,115.2,115.55,42345
2017-04-18,116.0,118.05,114.05,115.55,52502
2017-04-19,115.85,120.9,115.85,118.3,116058
2017-04-20,119.45,129.9,116.7,121.75,939454
2017-04-23,122.95,123.2,118.1,118.7,117831
2017-04-24,117.45,120.7,117.45,118.35,62399
2017-04-25,119.15,119.9,115.95,116.8,62275
2017-04-26,117.1,118.1,114.45,115.15,47143
2017-04-27,116.1,118.45,115.5,116.15,52673
2017-05-01,116.45,118.05,114.3,114.9,42845
2017-05-02,116.05,117.6,114.1,115.75,45432
2017-05-03,116.3,117.2,114.8,115.2,26007
2017-05-04,115.95,116.0,112.05,113.35,38367
2017-05-07,113.75,115.8,112.1,112.7,42335
2017-05-08,113.5,113.7,112.15,112.45,23085
2017-05-09,112.85,115.8,112.45,114.25,54603
2017-05-10,115.75,116.85,113.2,114.15,38889
2017-05-11,114.0,114.6,111.5,112.05,28642
2017-05-14,112.15,114.2,110.9,111.35,27954
2017-05-15,112.1,113.15,110.3,111.05,14466
2017-05-16,110.8,111.6,108.45,109.0,25868
2017-05-17,108.5,108.85,105.5,106.25,19413
2017-05-18,107.65,107.95,100.2,102.2,41723
2017-05-21,103.15,104.4,100.2,101.7,47686
2017-05-22,101.1,101.1,98.0,99.0,19927
2017-05-23,100.15,100.15,95.4,96.85,21828
2017-05-24,97.25,99.05,95.0,96.55,19927
2017-05-25,98.75,114.3,94.4,109.8,473427
2017-05-28,110.6,110.6,103.1,105.25,149787
2017-05-29,105.25,108.95,102.6,104.1,73918
2017-05-30,104.15,106.85,101.7,103.75,46720
2017-05-31,104.65,110.55,103.9,106.75,175987
2017-06-01,106.9,109.05,103.7,104.2,35793
2017-06-04,104.4,106.65,102.6,102.95,29464
2017-06-05,102.9,122.25,102.5,115.25,1155708
2017-06-06,114.7,117.4,111.4,113.4,291674
2017-06-07,114.75,117.2,112.1,112.65,146212
2017-06-08,112.85,114.85,110.15,110.8,113592
2017-06-11,110.6,113.25,110.05,110.65,66034
2017-06-12,111.7,113.9,109.55,109.95,84553
2017-06-13,109.95,113.55,109.95,110.75,77554
2017-06-14,110.75,112.55,106.9,107.45,84684
2017-06-15,108.5,109.85,106.25,106.9,54606
2017-06-18,108.3,108.3,104.05,104.4,50758
2017-06-19,105.2,105.4,103.2,103.3,38734
2017-06-20,103.4,108.1,102.1,106.75,108389
2017-06-21,106.75,106.8,102.15,103.1,39074
2017-06-22,103.55,104.6,98.4,100.05,51060
2017-06-26,101.3,101.3,97.05,97.6,48899
2017-06-27,98.55,102.0,96.35,100.0,46453
2017-06-28,100.35,108.4,100.2,101.7,171944
2017-06-29,102.3,105.2,100.2,101.05,65890
2017-07-02,102.35,104.2,101.3,102.9,50473
2017-07-03,102.8,103.2,100.2,100.85,24843
2017-07-04,102.95,104.6,100.5,100.9,105351
2017-07-05,101.9,108.8,101.7,105.8,290811
2017-07-06,105.45,113.55,104.65,108.4,236969
2017-07-09,107.85,109.85,106.5,107.5,11433
2017-07-10,108.0,108.5,105.8,106.6,47545
2017-07-11,105.95,111.1,105.95,107.35,68320
2017-07-12,108.6,108.65,103.7,104.3,67113
2017-07-13,105.65,106.65,102.6,103.25,41305
2017-07-16,104.45,106.45,103.2,103.65,24644
2017-07-17,103.15,105.0,101.3,102.2,28592
2017-07-18,102.85,105.55,101.7,102.2,53557
2017-07-19,103.5,105.7,102.75,103.05,62223
2017-07-20,103.9,103.9,100.6,101.15,69493
2017-07-23,102.5,103.85,101.2,101.45,26691
2017-07-24,101.7,102.75,99.85,101.05,52878
2017-07-25,101.95,102.05,100.3,100.6,54041
2017-07-26,100.45,102.05,100.3,100.95,52479
2017-07-27,100.35,109.1,100.3,104.25,393979
2017-07-30,105.35,105.95,102.2,103.0,46788
2017-07-31,103.75,107.6,102.45,103.85,299524
2017-08-01,104.25,104.55,102.05,102.5,28483
2017-08-02,101.7,106.7,98.85,105.2,469175
2017-08-03,106.2,108.65,103.4,107.8,443979
2017-08-06,107.65,107.65,104.65,104.85,18463
2017-08-07,103.95,109.1,101.8,107.7,116095
2017-08-08,106.9,110.55,104.2,107.6,100599
2017-08-09,106.9,108.4,100.95,103.15,51874
2017-08-10,99.6,101.6,96.55,99.25,53226
2017-08-13,103.5,108.35,101.45,107.25,66016
2017-08-15,107.65,113.0,105.05,111.35,108113
2017-08-16,113.2,113.2,109.95,111.35,35003
2017-08-17,109.2,117.7,108.4,116.3,141485
2017-08-20,119.3,119.45,111.4,112.5,54765
2017-08-21,114.3,115.0,108.8,111.3,27828
2017-08-22,113.75,113.8,109.85,111.1,17102
2017-08-23,111.35,113.55,108.8,109.4,23445
2017-08-27,110.55,113.95,109.2,111.25,41467
2017-08-28,111.9,113.85,109.25,110.7,31595
2017-08-29,112.25,129.9,111.55,126.55,1479539
2017-08-30,126.95,127.25,120.85,121.75,211572
2017-08-31,122.75,132.15,121.8,129.6,397726
2017-09-03,130.05,135.65,128.05,130.15,259674
2017-09-04,130.1,156.15,128.05,154.75,2158549
2017-09-05,150.95,157.5,147.7,148.85,450589
2017-09-06,149.0,151.0,143.25,146.0,168332
2017-09-07,145.5,169.25,144.0,164.2,1113445
2017-09-10,167.75,188.45,167.0,182.1,1636865
2017-09-11,184.05,197.45,177.8,190.3,1055677
2017-09-12,189.9,191.45,178.25,178.8,316484
2017-09-13,176.6,196.65,160.95,185.45,2001791
2017-09-14,181.85,190.05,179.0,184.85,308627
2017-09-17,184.85,190.05,181.85,182.95,205647
2017-09-18,184.4,190.75,178.4,181.0,260081
2017-09-19,181.1,186.3,174.3,176.2,109291
2017-09-20,176.65,181.35,171.15,173.4,122213
2017-09-21,172.95,174.05,162.55,163.8,107106
2017-09-24,162.65,166.5,152.15,160.7,163543
2017-09-25,161.45,166.15,157.75,159.55,124995
2017-09-26,161.1,162.55,148.7,153.2,84101
2017-09-27,151.45,161.8,151.45,157.2,110011
2017-09-28,157.2,162.55,153.8,154.75,89772
2017-10-02,158.0,158.85,145.7,147.4,138872
2017-10-03,148.45,154.25,146.4,147.9,183393
2017-10-04,148.8,153.45,148.55,150.85,104261
2017-10-05,150.8,154.75,148.45,149.95,134125
2017-10-08,151.35,179.95,150.75,179.65,1503108
2017-10-09,183.65,185.05,168.7,170.75,604929
2017-10-10,172.5,175.7,155.9,160.1,219770
2017-10-11,162.7,166.8,160.35,164.1,117706
2017-10-12,165.4,169.75,164.6,165.6,161600
2017-10-15,166.95,171.45,166.3,168.0,137999
2017-10-16,168.0,189.05,166.3,174.3,1187485
2017-10-17,174.45,176.9,170.35,171.9,127201
