,open,high,low,close,volume
2018-01-03,10.5,10.7,10.2,10.45,117462
2018-01-04,10.95,10.95,10.1,10.7,89168
2018-01-07,11.2,11.2,10.3,10.75,45950
2018-01-08,10.7,10.7,10.2,10.25,54458
2018-01-09,10.5,10.75,9.75,10.7,220556
2018-01-10,10.7,11.2,10.2,10.4,187154
2018-01-11,10.1,10.5,10.0,10.2,51940
2018-01-14,10.15,10.4,10.0,10.15,43474
2018-01-15,10.0,10.0,9.65,9.7,89884
2018-01-16,9.65,10.0,9.5,9.8,25476
2018-01-17,10.0,10.0,9.3,9.35,34128
2018-01-18,9.35,9.5,9.1,9.2,37922
2018-01-21,9.3,9.6,8.8,9.4,48116
2018-01-22,9.2,9.5,9.2,9.4,19546
2018-01-23,9.4,9.4,9.1,9.2,15402
2018-01-24,9.1,9.2,8.85,9.0,56848
2018-01-28,9.0,9.2,8.7,9.0,23036
2018-01-29,9.5,9.5,8.8,8.9,7586
2018-01-30,9.3,9.3,8.5,8.85,61308
2018-01-31,8.65,9.05,8.65,9.0,42352
2018-02-01,8.7,9.0,8.55,8.55,31340
2018-02-04,8.55,8.75,8.3,8.4,45954
2018-02-05,8.4,8.4,8.0,8.0,29054
2018-10-24,3.7,3.8,3.5,3.5,3362
2018-10-25,3.5,3.65,3.3,3.35,8490
2018-10-28,3.3,3.5,3.2,3.4,40094
2018-10-29,3.2,3.5,3.2,3.25,30322
2018-10-30,3.35,3.4,3.1,3.3,19814
2018-10-31,3.3,3.3,3.2,3.2,3404
2018-11-01,3.1,3.4,3.1,3.15,13194
2018-11-04,3.3,3.3,3.1,3.2,4078
2018-11-05,3.2,3.4,3.2,3.3,13786
2018-11-08,3.3,3.6,3.3,3.5,5276
2018-11-11,3.55,3.65,3.3,3.4,10948
2018-11-12,3.5,3.5,3.3,3.3,10824
2018-11-13,3.2,3.45,3.2,3.25,14710
2018-11-14,3.4,3.4,3.2,3.3,6460
2018-11-15,3.4,3.4,3.4,3.4,2838
2018-11-18,3.4,3.4,3.3,3.3,8660
2018-11-19,3.3,3.4,3.1,3.15,18042
2018-11-20,3.1,3.3,3.05,3.25,16942
2018-11-21,3.25,3.4,3.2,3.25,8720
2018-11-25,3.25,3.35,3.1,3.3,3760
2018-11-26,3.25,3.4,3.25,3.35,12594
2018-11-27,3.3,3.5,3.3,3.4,9770
2018-11-28,3.5,3.5,3.3,3.3,16474
2018-11-29,3.4,3.4,3.25,3.25,6690
2019-03-13,3.1,3.1,2.9,2.95,4874
2019-03-14,2.85,3.05,2.85,2.9,7254
2019-03-17,2.8,3.0,2.75,2.75,11340
2019-03-18,2.7,2.8,2.6,2.6,27102
2019-03-19,2.7,2.7,2.55,2.55,10390
2019-03-21,2.5,2.7,2.4,2.6,18290
2019-03-24,2.6,2.7,2.5,2.6,25088
2019-03-25,2.7,2.7,2.55,2.7,49478
2019-03-26,2.75,2.85,2.75,2.85,24054
2019-03-27,2.85,3.0,2.85,2.85,1542
2019-03-28,3.0,3.0,2.8,3.0,63228
2019-03-31,3.0,3.0,2.85,2.85,1350
2019-04-01,3.0,3.0,2.85,3.0,11982
2019-04-02,3.0,3.1,3.0,3.1,17434
2019-04-03,3.0,3.2,3.0,3.2,44166
2019-04-04,3.15,3.3,3.1,3.25,4860
2019-04-07,3.25,3.4,3.1,3.35,27762
2019-04-08,3.4,3.5,3.3,3.35,58412
2019-04-09,3.45,3.5,3.45,3.5,15880
2019-04-10,3.5,3.7,3.5,3.65,29552
2019-04-11,3.65,3.8,3.65,3.8,22712
2019-04-14,3.8,4.0,3.8,3.9,24530
2019-04-15,3.9,4.1,3.8,3.9,5882
2019-04-17,3.7,3.9,3.7,3.75,9966
2019-04-21,3.6,3.9,3.6,3.8,5322
2019-04-22,3.75,3.9,3.65,3.65,3330
2019-04-23,3.65,3.65,3.5,3.6,3924
2019-04-24,3.5,3.8,3.5,3.6,1286
2019-04-25,3.45,3.6,3.45,3.6,2592
2019-04-29,3.4,3.6,3.4,3.5,4652
2019-05-01,3.5,3.6,3.5,3.55,6856
2019-05-02,3.4,3.6,3.4,3.4,3924
2019-05-05,3.5,3.5,3.3,3.5,9332
2019-05-06,3.6,3.6,3.4,3.4,3452
2019-05-07,3.5,3.55,3.35,3.55,7608
2019-05-08,3.4,3.55,3.4,3.55,11384
