,open,high,low,close,volume
2016-12-18,185.99,185.99,180.04,183.2,3115
2016-12-19,183.6,183.6,177.21,177.42,5465
2016-12-20,183.59,183.59,175.6,179.95,8170
2016-12-21,184.79,184.79,178.2,180.31,5575
2016-12-22,181.98,181.98,179.3,180.06,9730
2016-12-25,180.2,184.0,178.1,179.77,21465
2016-12-26,182.4,182.4,179.02,180.01,13620
2016-12-27,187.8,187.8,180.2,182.0,7280
2016-12-28,184.6,184.6,180.5,183.99,16425
2016-12-29,186.59,186.59,181.0,181.26,6995
2017-01-01,183.78,183.97,178.62,181.6,8980
2017-01-02,182.8,184.7,180.0,183.91,11405
2017-01-03,186.0,186.0,181.6,183.39,6640
2017-01-04,187.98,187.98,180.4,182.56,7150
2017-01-05,185.92,185.92,182.0,182.65,4590
2017-01-08,194.2,219.18,194.2,217.84,854565
2017-01-09,218.0,218.0,206.6,208.57,208935
2017-01-10,208.58,211.2,202.23,207.41,100335
2017-01-11,207.99,226.0,203.0,208.71,185525
2017-01-12,212.86,212.86,205.0,205.97,41330
2017-01-15,213.6,236.8,209.02,226.01,746450
2017-01-16,223.6,236.39,223.02,228.65,329880
2017-01-17,233.75,262.8,229.0,242.99,1008995
2017-01-18,244.2,257.6,239.0,252.54,608025
2017-01-19,250.0,253.98,238.02,241.4,145725
2017-01-22,241.6,252.0,236.81,244.05,82305
2017-01-23,245.0,248.8,239.0,240.06,88985
2017-01-24,239.2,243.96,237.0,239.03,65485
2017-01-26,243.79,244.79,236.0,238.03,58970
2017-01-29,239.0,239.0,228.8,229.61,47540
2017-01-30,234.79,241.09,225.2,231.84,86330
2017-01-31,236.78,236.93,229.6,232.72,31475
2017-02-01,231.56,242.8,230.4,238.46,85065
2017-02-02,235.14,237.89,232.01,234.16,31745
2017-02-05,236.8,251.88,236.38,238.44,110415
2017-02-06,238.8,243.6,235.41,238.58,48455
2017-02-07,238.42,238.59,229.78,234.12,20880
2017-02-08,237.79,241.0,232.82,238.12,22125
2017-02-09,238.21,257.6,237.0,244.81,141150
2017-02-12,239.99,239.99,218.41,219.6,275915
2017-02-13,221.87,228.0,221.6,226.78,148770
2017-02-14,226.85,240.0,220.61,222.82,38660
2017-02-15,228.9,228.9,221.3,226.27,23965
2017-02-16,231.79,231.79,218.0,219.51,40420
2017-02-19,212.0,226.0,212.0,217.62,39690
2017-02-20,224.79,224.79,216.0,218.01,17600
2017-02-21,215.8,221.8,212.8,214.46,34690
2017-02-22,213.21,216.98,202.62,211.76,24630
2017-02-26,209.09,213.48,200.0,210.1,55875
2017-02-27,211.82,221.76,211.27,218.01,24475
2017-02-28,220.49,227.59,216.8,224.27,38205
2017-03-01,227.99,227.99,219.63,220.49,37990
2017-03-02,221.41,224.1,219.0,219.93,8300
2017-03-05,226.95,229.39,220.0,221.46,25515
2017-03-06,222.94,222.94,220.0,220.89,4815
2017-03-07,221.01,225.99,214.02,216.63,10855
2017-03-08,210.61,219.6,210.61,218.42,5060
2017-03-09,221.96,227.99,217.61,219.39,22200
2017-03-13,228.88,228.88,216.87,219.47,6620
2017-03-14,218.22,228.3,214.2,223.04,22775
2017-03-15,220.2,223.58,216.0,218.63,11300
2017-03-16,219.98,220.53,214.6,219.07,57065
2017-03-19,219.0,222.38,216.0,218.14,5535
2017-03-20,219.78,219.78,214.3,217.58,8480
2017-03-21,218.0,218.0,213.0,213.39,29750
2017-03-22,215.8,217.6,211.08,212.34,20935
2017-03-23,213.59,215.99,210.56,211.03,8630
2017-03-26,213.48,216.0,206.59,207.43,26740
2017-03-27,208.79,209.0,199.7,201.74,36995
2017-03-28,202.88,204.98,200.49,201.43,22775
2017-03-29,203.03,212.99,197.12,205.84,2198500
2017-03-30,214.0,214.0,205.22,209.0,199465
2017-04-02,210.01,250.78,210.0,247.61,789555
2017-04-04,250.8,254.8,236.21,247.81,389935
2017-04-05,245.23,262.0,242.0,250.39,281710
2017-04-06,249.99,259.0,242.45,247.12,178355
2017-04-09,248.21,254.92,244.22,245.24,86260
2017-04-10,248.49,272.4,245.47,266.21,491020
2017-04-11,263.0,276.0,254.7,255.41,254740
2017-04-12,255.8,277.6,255.8,268.83,301875
2017-04-16,269.2,287.8,267.0,286.07,448580
2017-04-17,286.2,299.98,279.02,281.6,249470
2017-04-18,283.0,286.6,280.43,284.23,58755
2017-04-19,286.0,288.0,280.31,286.59,57385
2017-04-20,287.0,293.0,282.0,284.68,189340
2017-04-23,294.8,294.8,282.6,285.57,64875
2017-04-24,295.6,323.6,292.0,313.28,986615
2017-04-25,314.0,319.8,305.0,306.77,214360
2017-04-26,308.35,310.8,300.0,301.22,81785
2017-04-27,303.8,305.7,295.07,296.79,73145
2017-05-01,297.8,318.6,296.8,305.87,156030
2017-05-02,304.41,312.4,304.41,308.06,70905
2017-05-03,311.4,316.0,307.11,309.27,47130
2017-05-04,313.57,315.0,303.0,306.05,85785
2017-05-07,309.6,320.4,304.2,308.39,98485
2017-05-08,313.8,316.99,302.3,303.27,138970
2017-05-09,307.6,307.6,300.0,303.34,69805
2017-05-10,303.0,308.99,297.74,299.49,60055
2017-05-11,299.1,299.55,286.19,288.54,77620
2017-05-14,303.0,313.97,297.01,303.06,168020
2017-05-15,305.09,309.6,300.2,302.51,83125
2017-05-16,302.11,309.8,302.11,304.44,53695
2017-05-17,302.0,303.83,298.92,299.65,34070
2017-05-18,303.0,304.4,294.0,296.3,45695
2017-05-21,298.0,306.0,296.21,298.02,45185
2017-05-22,300.78,300.8,288.0,294.31,49910
2017-05-23,294.0,299.6,278.47,282.07,57070
2017-05-24,287.4,288.0,269.0,278.31,132035
2017-05-25,286.0,286.0,280.0,281.93,33365
2017-05-28,282.99,284.74,278.0,278.92,44250
2017-05-29,279.98,280.0,278.0,279.05,13155
2017-05-30,279.0,280.0,278.0,279.06,20940
2017-05-31,279.0,293.38,278.51,285.16,32130
2017-06-01,285.66,294.0,284.0,292.93,34630
2017-06-04,294.99,294.99,280.25,281.66,36385
2017-06-05,285.6,286.59,276.46,277.56,41310
2017-06-06,283.0,283.0,277.4,279.15,15400
2017-06-07,283.0,283.0,276.0,277.99,14420
2017-06-08,278.04,280.0,277.01,277.93,9960
2017-06-11,281.4,284.0,277.01,281.2,24525
2017-06-12,280.59,283.0,276.0,278.68,23915
2017-06-13,283.6,283.6,274.8,275.57,32150
2017-06-14,275.57,276.0,274.61,275.51,16030
2017-06-15,277.98,277.98,273.09,275.05,26905
2017-06-18,274.6,277.73,271.0,271.75,18410
2017-06-19,272.87,274.98,265.01,268.49,30145
2017-06-20,272.8,272.8,263.0,264.28,36895
2017-06-21,266.56,279.18,266.0,272.28,44300
2017-06-22,273.0,274.4,262.03,268.79,29335
2017-06-26,270.2,272.24,266.0,266.99,10795
2017-06-27,268.6,271.82,267.0,268.56,12490
2017-06-28,270.01,272.99,267.0,269.41,13505
2017-06-29,279.8,279.8,266.0,269.57,11570
2017-07-02,270.2,286.95,270.2,271.91,52425
2017-07-03,271.01,275.99,271.01,272.61,19390
2017-07-04,272.8,283.0,271.1,276.13,47925
2017-07-05,281.6,282.32,275.2,276.11,21250
2017-07-06,278.0,278.0,272.81,274.7,20275
2017-07-09,275.0,280.0,275.0,278.19,4120
2017-07-10,283.98,283.98,275.2,275.88,24345
2017-07-11,276.27,284.8,276.26,279.89,42715
2017-07-12,278.46,280.0,275.98,277.46,32730
2017-07-13,278.2,287.0,277.4,279.9,46240
2017-07-16,281.0,283.54,276.2,276.46,11935
2017-07-17,277.0,279.6,276.2,277.06,9140
2017-07-18,278.0,278.0,270.42,273.67,15685
2017-07-19,273.0,277.59,272.0,273.02,10890
2017-07-20,274.26,276.4,268.8,272.9,21605
2017-07-23,277.6,277.6,273.0,275.67,10410
2017-07-24,273.0,275.0,269.98,271.48,16245
2017-07-25,279.8,279.8,270.02,274.21,8365
2017-07-26,272.2,276.4,268.0,269.99,24165
2017-07-27,269.62,271.24,262.25,264.67,21700
2017-07-30,269.8,269.8,255.11,258.24,61355
2017-07-31,262.0,264.95,258.0,262.32,20645
2017-08-01,267.8,267.8,257.0,258.79,24055
2017-08-02,260.8,260.8,253.4,256.26,28880
2017-08-03,256.27,262.18,253.0,259.2,14940
2017-08-06,259.78,264.78,257.02,261.55,22010
2017-08-07,263.0,264.6,256.0,258.85,18395
2017-08-08,255.02,257.0,244.8,245.51,77210
2017-08-09,246.41,250.0,242.0,244.12,23505
2017-08-10,245.0,247.19,236.0,237.87,39345
2017-08-13,242.8,249.99,238.21,245.59,29360
2017-08-15,246.8,249.38,245.0,246.38,20545
2017-08-16,247.01,248.8,241.2,245.74,15830
2017-08-17,251.0,251.0,238.4,241.1,23785
2017-08-20,242.0,245.8,233.01,235.83,24205
2017-08-21,238.0,242.39,231.0,233.5,21235
2017-08-22,237.4,243.0,234.6,239.84,24995
2017-08-23,243.58,250.79,241.6,248.27,32560
