,open,high,low,close,volume
2016-12-18,1070.5,1070.5,1051.65,1061.15,74448
2016-12-19,1065.9,1074.4,1052.2,1057.15,57888
2016-12-20,1056.95,1060.2,1029.05,1032.9,152327
2016-12-21,1028.1,1035.9,1016.25,1029.5,230889
2016-12-22,1030.95,1039.3,1016.65,1032.6,206597
2016-12-25,1045.75,1050.65,988.05,1006.65,176740
2016-12-26,1006.65,1046.25,994.05,1034.45,125450
2016-12-27,1043.8,1129.25,1032.35,1087.05,189304
2016-12-28,1087.85,1114.5,1080.45,1104.55,80047
2016-12-29,1106.4,1182.25,1101.75,1128.0,271172
2017-01-01,1127.75,1149.85,1127.2,1134.6,56717
2017-01-02,1141.0,1174.3,1139.05,1149.1,151368
2017-01-03,1151.2,1166.55,1148.45,1152.9,66165
2017-01-04,1160.5,1177.75,1155.75,1164.7,214412
2017-01-05,1164.7,1174.25,1153.8,1158.45,123011
2017-01-08,1161.15,1168.5,1145.95,1161.85,28190
2017-01-09,1163.1,1217.6,1157.35,1197.65,100405
2017-01-10,1211.6,1215.65,1194.3,1203.35,60348
2017-01-11,1211.2,1211.2,1148.85,1156.65,97997
2017-01-12,1157.7,1166.4,1124.4,1148.7,115073
2017-01-15,1153.65,1212.7,1152.35,1204.35,150110
2017-01-16,1202.85,1227.4,1198.0,1222.0,107966
2017-01-17,1210.95,1315.8,1210.95,1280.35,3691651
2017-01-18,1280.45,1298.7,1256.9,1271.45,270523
2017-01-19,1267.7,1301.05,1228.4,1243.75,271420
2017-01-22,1233.5,1270.7,1233.5,1250.0,126690
2017-01-23,1252.0,1279.85,1252.0,1274.15,108758
2017-01-24,1285.35,1295.2,1254.1,1269.0,141286
2017-01-26,1266.65,1286.35,1242.35,1252.65,94977
2017-01-29,1251.8,1255.6,1223.1,1230.75,89701
2017-01-30,1237.2,1248.75,1198.95,1207.6,64896
2017-01-31,1206.8,1230.75,1186.9,1214.25,76788
2017-02-01,1204.85,1227.4,1201.15,1226.45,75638
2017-02-02,1236.25,1286.35,1215.55,1274.65,343961
2017-02-05,1266.7,1280.45,1221.0,1236.3,193500
2017-02-06,1242.15,1255.2,1238.25,1244.6,67206
2017-02-07,1247.0,1270.65,1237.3,1255.95,108320
2017-02-08,1264.7,1265.05,1251.15,1259.75,26797
2017-02-09,1264.8,1292.25,1259.85,1275.0,157754
2017-02-12,1280.35,1295.95,1267.75,1274.75,57203
2017-02-13,1281.35,1282.05,1242.5,1264.7,58557
2017-02-14,1264.7,1265.1,1240.15,1247.95,47175
2017-02-15,1249.05,1261.8,1237.25,1252.2,68628
2017-02-16,1253.45,1271.2,1242.45,1253.75,41687
2017-02-19,1255.9,1257.95,1234.7,1245.55,41298
2017-02-20,1241.2,1260.8,1239.2,1245.1,33430
2017-02-21,1255.9,1258.35,1233.35,1240.55,31563
2017-02-22,1243.15,1255.7,1232.35,1237.35,58646
2017-02-26,1242.15,1267.65,1208.75,1255.0,71635
2017-02-27,1247.05,1285.4,1228.4,1272.15,116405
2017-02-28,1274.55,1291.25,1264.85,1272.85,110079
2017-03-01,1279.4,1285.2,1272.6,1280.1,86739
2017-03-02,1276.5,1289.3,1267.7,1286.4,51978
2017-03-05,1286.4,1314.35,1286.35,1307.85,83666
2017-03-06,1315.8,1327.6,1306.95,1320.3,238703
2017-03-07,1323.65,1333.85,1306.0,1312.65,113965
2017-03-08,1311.6,1333.45,1293.3,1326.3,114760
2017-03-09,1330.5,1409.35,1328.55,1398.35,562532
2017-03-13,1423.8,1427.75,1400.3,1421.6,258836
2017-03-14,1414.95,1418.9,1341.65,1382.3,638286
2017-03-15,1382.3,1398.05,1360.95,1384.4,230070
2017-03-16,1384.55,1396.3,1362.95,1387.8,641480
2017-03-19,1399.25,1403.9,1362.0,1389.1,77235
2017-03-20,1394.35,1399.65,1376.7,1385.35,84110
2017-03-21,1384.4,1399.25,1372.7,1391.15,75625
2017-03-22,1418.9,1422.8,1385.75,1391.75,121801
2017-03-23,1401.2,1417.6,1380.6,1391.25,34210
2017-03-26,1391.4,1407.65,1383.0,1391.35,52168
2017-03-27,1404.1,1409.1,1396.65,1406.1,95688
2017-03-28,1405.15,1443.4,1388.45,1392.1,292138
2017-03-29,1406.15,1414.9,1386.8,1391.45,85028
2017-03-30,1396.3,1413.5,1388.55,1405.4,353547
2017-04-02,1406.9,1421.85,1403.95,1411.45,85543
2017-04-04,1406.15,1545.35,1406.15,1492.55,693476
2017-04-05,1495.5,1514.15,1469.65,1482.85,239652
2017-04-06,1481.55,1531.8,1477.3,1503.25,339689
2017-04-09,1504.8,1528.9,1487.65,1506.75,144737
2017-04-10,1512.2,1549.4,1511.9,1519.2,245213
2017-04-11,1520.05,1533.1,1497.5,1507.0,136627
2017-04-12,1506.3,1541.2,1502.7,1536.4,190367
2017-04-16,1545.55,1571.1,1541.8,1553.15,330481
2017-04-17,1545.55,1563.8,1520.0,1529.8,119496
2017-04-18,1522.0,1546.45,1522.0,1529.85,122217
2017-04-19,1531.55,1542.65,1520.6,1530.8,70942
