,open,high,low,close,volume
2016-12-18,962.0,969.0,940.45,944.95,20997
2016-12-19,945.0,956.0,927.25,935.1,30412
2016-12-20,938.9,942.45,911.5,914.5,17082
2016-12-21,911.0,918.0,885.0,890.35,22863
2016-12-22,887.95,947.0,877.0,918.4,82694
2016-12-25,911.0,914.0,872.65,878.55,26942
2016-12-26,880.0,910.0,874.05,891.95,29709
2016-12-27,903.0,942.4,897.6,903.2,39587
2016-12-28,901.8,923.85,897.55,909.0,17582
2016-12-29,916.0,989.7,915.0,959.0,230139
2017-01-01,970.0,978.0,952.25,968.55,39751
2017-01-02,971.0,994.0,966.0,971.85,55531
2017-01-03,978.05,984.0,961.55,964.95,24403
2017-01-04,969.0,985.0,965.95,975.4,24287
2017-01-05,977.9,984.9,959.0,965.3,23357
2017-01-08,942.5,982.4,942.5,959.65,20150
2017-01-09,959.65,979.0,950.1,952.95,14164
2017-01-10,969.0,1004.0,960.05,981.45,93451
2017-01-11,979.9,988.95,962.0,967.3,27007
2017-01-12,976.0,977.0,955.5,959.4,15335
2017-01-15,978.0,978.0,952.0,955.85,23093
2017-01-16,968.0,968.0,946.0,952.0,21619
2017-01-17,959.9,966.0,940.05,944.8,29696
2017-01-18,945.0,953.5,926.1,935.7,27758
2017-01-19,941.0,979.0,920.0,930.15,95868
2017-01-22,973.0,988.6,945.35,950.95,58446
2017-01-23,957.05,960.0,942.5,948.1,20904
2017-01-24,952.0,960.0,945.0,948.5,16362
2017-01-26,957.0,967.0,949.0,952.6,33080
2017-01-29,960.0,962.95,940.45,948.35,20356
2017-01-30,954.0,954.0,930.25,940.3,14762
2017-01-31,945.6,954.95,926.0,944.05,13587
2017-02-01,959.0,959.05,940.0,943.15,13067
2017-02-02,951.95,955.55,941.2,944.5,10610
2017-02-05,953.45,998.0,945.1,974.75,70378
2017-02-06,975.0,979.0,949.2,952.8,16336
2017-02-07,962.0,987.8,948.5,967.1,39346
2017-02-08,972.95,987.0,956.9,968.9,52165
2017-02-09,974.8,984.8,960.15,964.9,16709
2017-02-12,971.2,973.0,945.0,950.8,12266
2017-02-13,964.0,977.0,930.0,941.8,39182
2017-02-14,948.8,948.8,922.0,925.95,13603
2017-02-15,929.0,945.95,923.0,938.6,15472
2017-02-16,955.6,955.6,939.0,941.6,9397
2017-02-19,940.0,958.6,940.0,942.15,12640
2017-02-20,944.45,947.5,941.3,943.05,5875
2017-02-21,946.55,946.95,925.15,934.15,8687
2017-02-22,933.0,940.95,925.55,929.5,9730
2017-02-26,922.05,963.55,910.0,938.15,24331
2017-02-27,935.9,953.5,935.9,943.05,15783
2017-02-28,949.75,952.2,940.0,946.8,13166
2017-03-01,941.55,952.1,927.15,929.6,10374
2017-03-02,922.05,934.0,911.1,919.4,10094
2017-03-05,903.0,928.45,903.0,913.35,10646
2017-03-06,910.25,920.0,904.0,908.3,8327
2017-03-07,908.0,915.0,890.3,894.05,10636
2017-03-08,892.6,925.05,880.25,899.35,21764
2017-03-09,905.0,909.1,888.1,894.45,8227
2017-03-13,915.2,916.0,903.0,903.6,8674
2017-03-14,913.9,926.7,903.0,912.35,14889
2017-03-15,917.0,947.15,913.0,921.0,24125
2017-03-16,924.75,930.0,913.9,915.65,8506
2017-03-19,924.0,924.0,900.65,902.55,9815
2017-03-20,903.0,925.0,892.55,897.3,16101
2017-03-21,901.0,907.55,890.85,893.5,6341
2017-03-22,895.2,923.0,895.2,911.15,17926
2017-03-23,910.0,924.35,895.0,902.25,15391
2017-03-26,901.85,921.0,895.0,900.15,19974
2017-03-27,897.55,913.0,897.55,902.25,9988
2017-03-28,910.0,910.0,893.05,896.2,10246
2017-03-29,904.0,1053.6,904.0,1010.8,659275
2017-03-30,1008.0,1026.8,984.0,1000.2,148750
2017-04-02,1006.4,1024.9,982.2,998.65,61941
2017-04-04,1003.8,1015.0,998.0,1000.65,44769
2017-04-05,999.3,1012.0,988.0,989.7,23384
2017-04-06,992.0,997.4,965.95,980.65,23577
2017-04-09,971.2,994.9,965.95,976.3,17115
2017-04-10,962.15,999.0,962.15,978.0,20744
2017-04-11,979.95,986.2,960.0,962.9,16904
2017-04-12,964.3,991.0,964.3,981.4,28040
2017-04-16,980.0,999.8,968.0,973.85,20763
2017-04-17,980.0,1034.0,978.0,991.6,124796
2017-04-18,999.0,1006.5,970.0,980.5,18137
2017-04-19,986.35,998.0,978.0,980.05,16154
2017-04-20,984.35,995.0,968.95,974.65,18383
2017-04-23,975.1,994.0,975.1,982.4,14573
2017-04-24,985.05,999.95,981.0,986.55,10959
2017-04-25,994.45,995.5,971.95,975.75,10254
2017-04-26,984.75,989.95,965.0,974.35,8908
2017-04-27,978.1,983.85,968.45,975.85,8432
2017-05-01,984.3,987.05,960.1,962.1,10907
2017-05-02,960.0,994.9,960.0,973.45,29986
2017-05-03,974.85,990.75,971.05,975.4,11555
2017-05-04,972.0,991.0,955.0,962.9,27300
2017-05-07,963.0,980.05,960.05,969.35,10180
2017-05-08,978.95,980.0,955.0,961.6,8898
2017-05-09,970.0,974.0,959.1,963.7,9224
2017-05-10,969.9,1045.0,969.8,991.15,102012
2017-05-11,997.9,997.9,975.0,980.8,15669
2017-05-14,985.0,998.0,980.0,990.5,16173
2017-05-15,993.0,998.0,980.0,983.9,10313
2017-05-16,987.0,1022.0,962.2,1012.05,165280
2017-05-17,1011.0,1074.0,995.5,1006.6,91610
2017-05-18,1020.0,1059.9,1013.0,1036.25,61879
2017-05-21,1044.0,1055.0,1020.6,1043.55,31981
2017-05-22,1059.0,1124.0,1037.0,1072.7,147481
2017-05-23,1082.0,1082.0,1020.0,1038.05,36152
2017-05-24,1042.0,1067.9,1025.15,1055.0,19169
2017-05-25,1030.5,1077.7,1030.5,1050.0,26054
2017-05-28,1050.05,1050.05,1024.0,1039.9,15523
2017-05-29,1036.0,1044.0,1024.0,1027.9,8631
2017-05-30,1031.95,1054.4,1023.05,1043.05,16165
2017-05-31,1045.2,1104.0,1045.2,1081.15,46375
2017-06-01,1075.0,1303.35,1075.0,1303.35,485093
2017-06-04,1274.0,1303.0,1230.0,1246.8,195033
2017-06-05,1244.8,1285.0,1216.75,1242.05,108350
2017-06-06,1248.0,1338.7,1242.5,1292.05,184181
2017-06-07,1291.5,1317.75,1275.0,1283.4,49603
2017-06-08,1289.7,1392.0,1284.0,1330.1,215390
2017-06-11,1326.95,1352.65,1295.05,1312.9,50053
2017-06-12,1320.15,1347.55,1312.9,1317.05,36185
2017-06-13,1328.95,1345.95,1310.0,1317.95,27385
2017-06-14,1327.0,1335.0,1300.0,1306.2,18884
2017-06-15,1318.0,1420.0,1305.0,1346.05,235373
2017-06-18,1357.0,1405.35,1340.0,1363.55,86428
2017-06-19,1364.3,1395.75,1345.0,1351.35,41003
2017-06-20,1357.0,1366.0,1322.0,1331.75,25706
2017-06-21,1345.8,1359.9,1315.0,1322.05,19660
