,open,high,low,close,volume
2016-12-18,488.0,512.7,487.8,505.0,3034299
2016-12-19,503.35,507.55,492.6,498.65,1741739
2016-12-20,501.7,506.5,497.65,500.15,1679567
2016-12-21,496.95,501.3,478.35,482.65,2168779
2016-12-22,482.65,487.7,471.85,477.75,2165907
2016-12-25,477.5,477.5,444.5,446.5,2784748
2016-12-26,446.0,458.2,438.6,456.15,2578420
2016-12-27,457.0,460.9,449.25,450.85,1883788
2016-12-28,451.0,460.6,448.35,459.3,1437108
2016-12-29,462.0,471.45,460.9,467.2,1457090
2017-01-01,474.0,482.15,463.1,478.7,1804542
2017-01-02,480.9,485.45,473.0,478.4,1782361
2017-01-03,478.5,487.0,478.5,483.0,1146232
2017-01-04,487.0,495.7,486.4,490.7,1471544
2017-01-05,491.0,499.4,488.7,492.7,1649903
2017-01-08,494.0,495.2,486.45,492.7,1057530
2017-01-09,494.5,504.9,494.25,501.3,1529032
2017-01-10,503.85,509.7,501.2,506.05,1587994
2017-01-11,508.4,514.6,501.0,509.9,1556624
2017-01-12,512.6,516.5,502.5,505.65,1607191
2017-01-15,504.7,512.7,501.6,510.3,1051823
2017-01-16,511.0,517.35,507.2,512.55,1334107
2017-01-17,515.0,518.8,508.1,510.4,1713543
2017-01-18,511.5,524.4,508.0,520.25,2364884
2017-01-19,517.95,519.2,502.55,505.4,1329321
2017-01-22,504.0,516.7,503.1,515.25,1165156
2017-01-23,515.25,517.9,508.8,515.2,898035
2017-01-24,517.8,522.7,512.8,520.7,1379174
2017-01-26,521.55,533.7,521.55,527.95,1558465
2017-01-29,524.9,526.95,517.5,521.85,931041
2017-01-30,520.55,523.5,512.05,514.7,887998
2017-01-31,515.9,531.9,512.3,529.9,1728843
2017-02-01,532.55,534.5,524.6,528.85,1269128
2017-02-02,530.0,545.8,528.4,538.0,1923096
2017-02-05,541.0,549.15,534.5,539.85,1609158
2017-02-06,539.0,545.5,521.5,525.85,2496731
2017-02-07,528.5,538.95,523.55,537.15,1448535
2017-02-08,539.85,547.25,536.05,543.3,1852024
2017-02-09,545.0,546.4,538.5,543.8,879467
2017-02-12,545.2,545.75,525.05,535.55,1270333
2017-02-13,523.1,568.0,523.1,562.65,4806300
2017-02-14,558.9,563.15,539.35,541.55,2078767
2017-02-15,541.0,552.7,540.0,550.95,1583827
2017-02-16,550.5,565.4,545.8,559.7,2787860
2017-02-19,555.25,566.8,555.25,561.45,1582828
2017-02-20,562.8,566.45,556.05,561.2,1321912
2017-02-21,562.5,581.95,561.6,565.4,3425222
2017-02-22,567.5,567.7,554.2,556.45,1392868
2017-02-26,562.0,578.0,561.5,565.85,2577991
2017-02-27,568.05,572.85,561.6,567.65,1780406
2017-02-28,570.0,575.7,566.15,570.0,1329709
2017-03-01,573.0,575.9,550.2,552.35,1369480
2017-03-02,547.0,570.0,546.95,567.5,1877682
2017-03-05,569.0,589.4,563.7,583.8,3425761
2017-03-06,585.9,589.35,575.15,577.95,2205659
2017-03-07,579.05,580.85,562.45,569.35,1438953
2017-03-08,566.8,578.55,565.0,570.9,1902537
2017-03-09,573.85,577.35,560.4,565.2,1273092
2017-03-13,577.1,583.95,571.2,573.8,2234995
2017-03-14,574.95,584.45,572.85,576.05,1577990
2017-03-15,581.0,598.4,578.7,594.65,3714811
2017-03-16,597.2,598.15,579.35,581.4,3233612
2017-03-19,582.3,585.55,576.15,578.7,1808827
2017-03-20,580.0,580.5,570.25,575.9,1539479
2017-03-21,569.8,573.0,558.65,561.0,1669518
2017-03-22,563.95,577.35,563.25,571.9,2032134
2017-03-23,572.7,581.4,568.5,571.05,2102387
2017-03-26,570.0,570.0,556.1,562.7,1839248
2017-03-27,565.55,573.5,561.1,566.7,1625537
2017-03-28,569.1,573.2,564.05,567.05,1440094
2017-03-29,569.7,571.8,562.0,563.85,2373486
2017-03-30,564.0,576.0,563.8,568.65,1953907
2017-04-02,570.1,579.95,570.1,574.95,2084518
2017-04-04,577.85,582.35,575.2,576.2,2051280
2017-04-05,574.0,588.4,568.05,585.75,2151918
2017-04-06,582.9,589.65,560.0,563.75,2682401
2017-04-09,566.1,569.7,560.6,564.35,1565673
2017-04-10,563.0,573.7,562.6,571.2,1559877
2017-04-11,572.75,575.0,552.05,559.2,1814764
2017-04-12,559.2,564.0,553.3,557.05,1352409
2017-04-16,558.8,569.65,557.1,567.5,2260890
2017-04-17,569.7,598.0,556.05,558.05,6425871
2017-04-18,556.95,566.35,556.1,562.4,1982409
2017-04-19,565.85,577.35,564.05,575.05,1824883
2017-04-20,576.95,584.8,571.25,575.35,2103428
2017-04-23,577.45,588.75,576.55,585.1,1630144
2017-04-24,588.2,596.4,568.0,582.4,3398194
2017-04-25,585.0,590.0,569.1,578.5,2077643
2017-04-26,579.0,589.5,573.4,582.5,2038761
2017-04-27,584.05,603.45,581.0,596.25,4119938
2017-05-01,598.95,608.8,592.05,605.1,3563149
2017-05-02,608.35,613.8,601.15,603.4,2260642
2017-05-03,603.9,607.2,593.65,597.7,1344907
2017-05-04,596.5,596.5,575.0,579.0,1679303
2017-05-07,583.9,586.4,576.05,583.65,1171078
2017-05-08,583.65,596.5,582.3,594.75,1519909
2017-05-09,596.25,599.1,591.5,594.6,1346271
2017-05-10,596.0,602.9,586.2,592.55,1464838
2017-05-11,615.25,620.05,604.0,609.5,6164474
2017-05-14,606.8,609.35,600.3,605.4,1437325
2017-05-15,606.0,614.2,601.0,611.05,1934562
2017-05-16,607.0,614.2,603.5,605.25,1504208
2017-05-17,597.7,601.85,576.15,578.65,1963168
2017-05-18,578.7,586.35,567.4,569.55,1795870
2017-05-21,572.0,575.0,552.75,555.25,1392634
2017-05-22,550.1,553.5,522.4,526.25,3179920
2017-05-23,526.0,529.7,479.2,493.7,4611031
2017-05-24,495.75,502.85,488.55,497.15,2976503
2017-05-25,496.15,513.95,496.05,508.5,2344838
2017-05-28,506.0,506.0,445.6,451.95,5113595
2017-05-29,453.95,470.8,436.2,462.0,4198597
2017-05-30,464.0,484.0,455.25,478.9,5799887
2017-05-31,481.0,487.9,475.2,479.6,2584206
2017-06-01,482.1,490.7,478.65,484.05,2517358
2017-06-04,491.3,498.5,489.25,492.3,2178491
2017-06-05,496.45,496.85,470.9,480.15,2543392
2017-06-06,479.25,491.5,476.05,488.6,2814064
2017-06-07,489.9,491.9,478.2,480.95,1959745
2017-06-08,478.9,478.9,466.6,473.95,2465174
2017-06-11,467.9,477.9,467.0,471.85,1476969
2017-06-12,470.1,479.5,465.5,470.2,1878876
2017-06-13,469.8,476.55,462.75,473.95,2245218
2017-06-14,472.9,479.4,470.75,475.85,1527861
2017-06-15,477.0,485.6,475.0,479.55,1904792
2017-06-18,481.1,486.5,480.5,484.65,1275237
2017-06-19,487.0,489.5,478.0,479.95,1194474
2017-06-20,477.7,493.8,477.5,490.2,2101331
2017-06-21,492.9,506.0,490.5,493.6,2813820
2017-06-22,494.0,509.45,486.25,503.85,3163984
2017-06-26,505.1,508.9,491.1,503.55,2320156
2017-06-27,503.1,508.0,498.1,503.8,1314849
2017-06-28,505.0,507.95,499.1,503.5,1239125
2017-06-29,501.2,501.95,491.7,497.45,1182964
2017-07-02,499.5,511.8,496.35,508.4,1477819
2017-07-03,510.1,510.5,496.6,500.15,1078951
2017-07-04,502.75,509.0,499.0,507.4,1067780
2017-07-05,508.95,516.5,505.75,508.5,1425362
2017-07-06,508.5,519.45,506.25,514.85,1793408
2017-07-09,535.0,535.0,473.0,516.4,323654
2017-07-10,517.0,521.8,507.5,509.45,1089192
2017-07-11,509.6,515.5,508.1,513.4,1237420
2017-07-12,516.0,517.2,510.6,515.4,1137068
2017-07-13,516.0,521.65,513.05,519.4,1360641
2017-07-16,520.0,521.4,513.4,516.35,874243
2017-07-17,514.0,520.9,510.8,514.35,968765
2017-07-18,515.25,517.95,510.1,516.25,860811
2017-07-19,518.0,525.5,513.8,519.6,1160142
2017-07-20,521.95,522.2,499.05,511.3,1124601
2017-07-23,511.0,515.4,505.0,506.75,746981
2017-07-24,508.5,511.0,504.45,507.45,905626
2017-07-25,508.45,512.5,505.25,509.5,825157
2017-07-26,510.0,520.0,505.8,508.55,2356795
2017-07-27,505.7,531.9,502.6,526.0,3611758
2017-07-30,527.0,534.4,524.9,528.65,1725572
2017-07-31,531.5,532.5,523.1,526.6,1296488
2017-08-01,528.95,538.9,527.0,532.35,1818422
2017-08-02,532.05,544.0,523.85,526.25,2532498
2017-08-03,522.0,532.65,520.7,530.45,1308293
2017-08-06,532.0,548.0,528.35,542.2,1504888
2017-08-07,542.0,545.9,520.6,528.3,2040973
2017-08-08,528.3,540.0,507.05,514.4,2291404
2017-08-09,508.0,513.9,452.25,474.45,3722914
2017-08-10,465.65,476.45,450.6,469.2,2364344
2017-08-13,476.5,494.4,472.45,489.55,1772296
2017-08-15,490.4,502.6,482.2,494.35,2104952
2017-08-16,496.6,504.8,489.0,491.4,1485534
2017-08-17,485.45,496.4,481.5,487.8,1573202
2017-08-20,490.0,494.35,465.4,468.7,1862840
2017-08-21,477.75,478.5,458.05,465.65,2491036
2017-08-22,471.7,476.6,468.9,474.8,1655184
2017-08-23,475.5,485.95,472.2,479.9,1598138
2017-08-27,482.0,492.0,481.5,483.8,1710061
2017-08-28,485.95,520.8,485.6,498.2,11154685
2017-08-29,503.9,513.95,503.5,507.0,3291052
2017-08-30,508.5,513.45,501.15,509.25,2549868
2017-08-31,511.8,531.8,511.8,522.1,3698220
2017-09-03,522.15,526.0,498.6,507.9,2536082
2017-09-04,510.55,521.6,508.75,514.3,2128316
2017-09-05,510.55,520.55,506.55,515.25,1800796
2017-09-06,516.0,522.4,514.1,515.5,1418710
2017-09-07,518.0,519.5,498.0,502.2,1874520
2017-09-10,506.75,514.8,506.75,508.6,1299373
2017-09-11,511.0,518.85,506.85,515.3,1455096
2017-09-12,515.0,529.8,511.5,515.65,2900118
2017-09-13,508.0,515.0,504.5,507.55,2121227
2017-09-14,507.0,509.5,496.0,499.6,1745824
2017-09-17,506.8,509.4,500.6,501.6,1702967
2017-09-18,503.2,504.15,493.65,495.7,1713229
2017-09-19,500.2,505.2,493.05,494.15,1683083
2017-09-20,493.7,496.95,481.5,488.55,1478730
2017-09-21,484.8,485.0,466.65,471.25,1885916
2017-09-24,470.1,471.0,455.05,463.85,1533547
2017-09-25,463.85,482.0,462.0,474.0,1977117
2017-09-26,479.0,479.9,460.05,463.4,2257699
2017-09-27,464.4,471.9,460.65,462.6,2197103
2017-09-28,466.1,473.6,463.25,465.05,1234999
2017-10-02,475.9,477.7,455.25,457.4,1894090
2017-10-03,459.7,467.5,456.6,463.05,1375806
2017-10-04,465.5,473.9,463.1,471.1,1669752
2017-10-05,473.4,478.0,467.1,471.6,1251095
2017-10-08,471.3,479.65,468.0,477.25,1851116
2017-10-09,479.95,494.0,474.35,477.75,2964499
2017-10-10,480.2,481.95,461.15,466.1,1567964
2017-10-11,468.8,471.35,459.1,465.4,1583460
2017-10-12,465.75,471.8,461.45,463.3,1666164
2017-10-15,465.0,468.3,458.0,459.8,1544893
2017-10-16,461.75,467.4,459.15,461.4,1684333
2017-10-17,462.2,468.0,460.1,463.1,1959211
2017-10-22,455.0,473.7,452.25,469.3,2441051
2017-10-23,470.2,482.8,470.2,478.1,1979529
2017-10-24,485.0,490.5,477.65,486.8,1892205
2017-10-25,486.0,497.7,481.2,490.8,1920829
2017-10-26,493.45,508.5,491.55,505.85,2581085
2017-10-29,509.0,510.5,501.0,502.85,1782778
2017-10-30,503.0,510.0,501.0,502.75,1181779
2017-10-31,504.2,512.55,494.1,498.7,1587983
2017-11-01,497.0,507.65,492.1,500.25,2282742
2017-11-02,500.25,504.65,488.5,490.3,1453624
2017-11-05,489.5,491.4,475.5,479.95,1568533
2017-11-06,482.95,483.75,455.1,462.45,1739875
2017-11-07,465.5,467.35,446.2,452.35,1662277
2017-11-08,459.9,471.65,454.4,469.8,2670797
2017-11-09,467.85,468.9,458.25,465.2,1116169
2017-11-12,465.0,468.6,455.1,459.3,1116007
2017-11-13,460.0,468.0,456.5,459.45,1270764
2017-11-14,459.0,464.35,390.55,417.95,4536691
2017-11-15,420.0,450.55,411.2,446.0,8332604
2017-11-16,452.1,452.95,434.6,438.65,3021593
2017-11-19,436.0,444.9,428.55,443.35,2606614
2017-11-20,446.0,456.7,445.35,450.65,2173743
2017-11-21,452.95,454.5,440.0,449.4,1470376
2017-11-22,450.0,451.65,441.5,449.0,1272533
2017-11-23,448.9,454.4,446.55,451.45,1079498
2017-11-26,448.0,467.95,447.8,464.95,1658559
2017-11-27,460.0,463.95,452.4,458.3,1653195
2017-11-28,459.3,460.8,450.9,453.5,1024832
2017-11-29,451.0,458.2,436.3,439.95,2665054
2017-11-30,439.95,447.8,434.4,436.6,1915401
2017-12-03,439.0,443.65,433.0,439.3,1343938
