,open,high,low,close,volume
2017-01-04,245.0,250.0,245.0,250.0,2000
2017-02-05,250.0,250.0,250.0,250.0,700
2017-02-09,250.0,250.0,250.0,250.0,200
2017-02-20,250.0,250.0,250.0,250.0,800
2017-03-20,250.0,250.0,250.0,250.0,0
2017-04-02,245.0,251.25,245.0,251.25,440
2017-04-06,253.75,253.75,253.75,253.75,100
2017-04-16,253.5,253.5,253.5,253.5,232
2017-04-17,253.25,253.25,253.25,253.25,28
2017-04-25,252.5,252.5,252.5,252.5,40
2017-05-09,251.25,251.25,251.25,251.25,40
2017-05-23,250.75,250.75,250.75,250.75,80
2017-07-05,251.25,251.25,251.25,251.25,240
2017-08-01,245.0,245.0,245.0,245.0,120
2017-08-07,246.25,246.25,246.25,246.25,200
2017-08-29,250.0,250.0,250.0,250.0,320
2017-09-11,246.5,246.5,246.5,246.5,100
2017-09-18,251.0,251.0,251.0,251.0,96
2017-09-19,248.75,248.75,248.75,248.75,40
2017-09-25,247.5,247.5,247.5,247.5,200
2017-10-16,247.5,247.5,247.5,247.5,12
2017-10-23,247.5,247.5,247.5,247.5,400
2017-10-25,248.75,248.75,248.75,248.75,100
2017-10-29,253.75,253.75,253.75,253.75,80
2017-10-30,255.0,255.0,255.0,255.0,400
2017-11-02,250.0,250.0,250.0,250.0,200
2017-11-07,250.0,250.0,250.0,250.0,100
2017-11-19,250.0,250.0,250.0,250.0,20
2017-11-21,248.75,248.75,248.75,248.75,100
2017-11-28,250.0,250.0,250.0,250.0,600
2017-12-10,251.25,251.25,251.25,251.25,200
2017-12-20,250.0,250.0,250.0,250.0,40
2017-12-25,245.5,245.5,245.5,245.5,400
2017-12-26,250.0,250.0,248.75,248.75,284
2017-12-27,248.5,248.5,248.5,248.5,80
2017-12-28,248.5,248.5,248.1,248.1,200
2017-12-31,248.4,248.75,248.25,248.75,420
2018-01-02,250.0,251.3,250.0,250.0,804
2018-01-09,249.75,249.75,249.75,249.75,4
2018-01-18,248.75,248.75,248.75,248.75,400
2018-01-22,274.5,274.5,245.75,248.75,460
2018-01-23,248.75,248.75,248.75,248.75,88
2018-02-01,248.0,248.0,248.0,248.0,956
2018-02-04,248.0,248.0,248.0,248.0,900
2018-02-21,247.5,247.5,247.5,247.5,180
2018-02-25,246.5,249.0,246.5,249.0,200
2018-03-07,249.0,249.0,249.0,249.0,80
2018-04-13,250.0,250.0,250.0,250.0,4
2022-04-20,116.0,116.0,108.8,112.7,244512
2022-04-21,110.25,114.45,106.25,108.2,142012
2022-04-24,109.25,112.25,105.35,106.5,56168
2022-04-25,110.25,110.25,103.3,104.5,65624
2022-04-26,104.5,107.4,101.25,106.2,63776
2022-04-27,109.95,117.25,106.55,109.15,534344
2022-04-28,111.0,111.7,105.0,105.65,75348
2022-05-01,107.5,109.1,103.9,104.75,64028
2022-05-03,105.0,109.45,102.75,104.3,239976
2022-05-04,105.0,106.65,102.5,103.45,26024
2022-05-05,99.55,108.0,99.3,106.65,135200
2022-05-08,107.5,108.7,103.7,107.55,108680
2022-05-09,108.3,110.45,102.5,103.1,159808
2022-05-10,103.0,105.0,97.6,103.7,98260
2022-05-11,103.75,104.1,99.0,102.1,109444
2022-05-12,104.6,107.25,102.6,103.35,61912
2022-05-15,104.0,109.2,104.0,107.8,137404
2022-05-16,109.05,111.5,108.8,109.35,57164
2022-05-17,109.85,111.85,107.75,108.9,46796
2022-05-18,108.7,121.55,105.2,115.8,825756
