,open,high,low,close,volume
2023-09-06,271.35,275.0,262.2,266.15,190518
2023-09-07,261.7,270.0,257.0,259.3,87216
2023-09-10,260.85,263.15,257.05,261.7,177540
2023-09-11,263.2,263.35,240.0,247.1,168600
2023-09-12,248.0,252.7,240.2,247.5,108858
2023-09-13,249.15,268.45,249.15,261.1,317604
2023-09-14,264.65,276.65,258.35,269.45,279636
2023-09-17,270.0,276.35,262.5,267.0,266778
2023-09-19,263.35,271.05,260.85,264.2,85644
2023-09-20,262.5,265.85,257.0,257.7,67482
2023-09-21,256.65,260.75,251.15,255.15,83880
2023-09-24,255.15,256.65,246.9,248.5,101826
2023-09-25,248.4,248.65,240.2,241.4,150306
2023-09-26,241.4,247.9,238.25,247.1,159048
2023-09-27,248.35,255.8,246.2,251.2,95118
2023-09-28,252.6,255.4,249.85,251.75,78738
2023-10-02,248.5,256.7,248.5,253.35,78186
2023-10-03,255.0,256.6,244.35,246.95,84174
2023-10-04,249.85,255.65,245.85,250.5,100560
2023-10-05,252.45,254.4,247.4,252.4,58752
2023-10-08,243.5,263.2,243.5,257.1,260976
2023-10-09,261.6,270.85,260.2,264.65,312846
2023-10-10,265.85,286.0,263.2,283.2,1296786
2023-10-11,287.35,294.95,277.5,282.15,776484
2023-10-12,282.0,287.4,278.15,280.0,212124
2023-10-15,282.35,284.15,275.0,276.15,119340
2023-10-16,279.9,283.35,271.65,273.2,157824
2023-10-17,274.0,279.5,270.35,274.3,111150
2023-10-18,271.65,279.15,271.0,274.65,117936
2023-10-19,273.35,279.05,267.9,269.0,137874
2023-10-22,272.5,277.4,249.85,251.4,379914
2023-10-24,252.5,258.15,243.35,250.0,242886
2023-10-25,250.0,253.35,243.2,251.0,162762
2023-10-26,252.95,260.8,252.95,254.35,134712
2023-10-29,254.15,257.1,250.85,253.75,64692
2023-10-30,254.85,261.8,253.35,255.4,88800
2023-10-31,256.65,257.9,248.35,250.2,63072
2023-11-01,254.15,255.15,244.5,247.1,149280
2023-11-02,249.65,253.35,246.0,251.8,231252
2023-11-05,254.15,272.3,254.05,269.05,357732
2023-11-06,268.55,271.75,238.95,249.5,565068
2023-11-07,244.85,249.45,240.7,245.25,372366
2023-11-08,240.15,251.7,240.15,250.0,278124
2023-11-09,249.15,251.6,245.0,245.55,104016
2023-11-11,245.55,249.95,245.55,248.25,25134
2023-11-12,249.5,249.95,243.0,244.3,100032
2023-11-14,247.0,266.8,245.7,263.4,458280
2023-11-15,265.35,266.25,257.5,258.85,183894
2023-11-16,260.0,261.0,252.65,253.75,135360
2023-11-19,253.75,259.45,250.5,255.3,155340
2023-11-20,255.3,268.5,254.4,264.2,340758
2023-11-21,266.65,267.9,255.0,258.9,177588
2023-11-22,261.65,266.65,257.2,265.6,144546
2023-11-23,265.0,270.8,258.65,260.5,170526
2023-11-27,258.65,263.4,252.65,254.25,147606
2023-11-28,255.15,268.35,252.0,263.7,487686
2023-11-29,265.15,265.8,255.9,258.0,182652
2023-11-30,260.0,261.65,254.65,256.25,199908
2023-12-03,258.0,264.85,258.0,263.6,275460
2023-12-04,261.65,273.85,260.75,271.05,513426
2023-12-05,272.0,273.0,261.65,272.25,200250
2023-12-06,273.35,314.35,266.35,312.1,3358116
2023-12-07,316.65,323.4,312.0,320.15,1113798
2023-12-10,324.35,377.5,324.15,371.5,3345270
2023-12-11,375.0,376.65,354.35,366.0,1161078
2023-12-12,370.85,381.3,343.55,378.65,618744
2023-12-13,383.65,389.65,368.35,370.95,512004
2023-12-14,373.3,390.8,365.7,385.6,521508
2023-12-17,391.65,424.15,378.65,424.15,1959396
2023-12-18,448.35,466.55,424.15,439.15,3308088
2023-12-19,447.5,449.8,410.0,415.9,806928
2023-12-20,411.0,437.95,409.65,430.05,634332
2023-12-21,441.15,441.15,426.85,430.6,391926
2023-12-25,433.5,437.3,426.85,432.4,460710
2023-12-26,433.5,455.0,430.0,450.8,533454
2023-12-27,454.65,490.45,454.65,481.15,1154166
2023-12-28,486.45,494.95,481.7,484.2,635058
2023-12-31,488.15,491.65,456.5,458.2,642822
2024-01-01,463.35,464.55,438.55,451.1,437922
2024-01-02,454.65,466.5,451.15,464.3,250602
2024-01-03,466.65,470.55,453.35,456.95,264480
2024-01-04,460.8,463.15,451.85,455.4,164514
2024-01-07,463.15,463.15,443.65,445.9,228846
2024-01-08,448.35,454.85,445.9,450.65,179178
2024-01-09,450.0,472.0,446.65,462.6,254208
2024-01-10,466.65,469.15,450.15,452.45,255000
2024-01-11,454.5,458.35,453.5,457.2,71604
2024-01-14,460.65,463.85,452.35,454.75,123270
2024-01-15,458.15,474.15,452.2,463.7,486936
2024-01-16,462.5,472.5,451.65,458.95,237078
2024-01-17,458.35,464.85,434.15,450.7,280326
2024-01-18,459.0,468.0,452.85,465.75,273528
2024-01-19,468.65,504.15,467.0,494.0,715668
2024-01-22,543.0,543.0,501.7,514.0,1119738
2024-01-23,523.65,528.0,500.15,516.3,602472
2024-01-24,524.85,534.85,520.0,533.5,674232
2024-01-28,555.5,572.1,540.3,564.2,1177224
2024-01-29,575.0,582.1,545.85,547.8,754020
2024-01-30,556.5,558.15,508.35,514.35,925956
2024-01-31,523.35,524.0,503.3,512.6,850158
2024-02-01,544.5,563.85,537.55,563.85,311955
2024-02-04,595.0,614.0,564.55,575.35,555035
2024-02-05,577.0,584.95,535.35,558.1,224355
2024-02-06,565.8,575.95,558.0,571.0,121821
2024-02-07,576.5,576.5,542.05,546.25,122878
2024-02-08,491.65,520.0,491.65,492.75,406123
2024-02-11,492.75,499.5,480.6,485.4,143997
2024-02-12,483.0,533.9,478.6,533.9,232183
2024-02-13,515.0,553.2,506.95,542.55,212811
2024-02-14,488.3,519.0,488.3,489.4,526582
2024-02-15,482.0,485.25,448.05,454.3,508090
2024-02-18,456.95,465.1,445.1,454.9,235248
