,open,high,low,close,volume
2016-12-18,789.5,789.5,765.0,777.8,8400
2016-12-19,778.55,785.0,768.0,771.2,5480
2016-12-20,788.0,788.0,767.6,769.45,1290
2016-12-21,765.0,777.95,760.0,761.15,1535
2016-12-22,761.0,776.0,760.2,765.5,6755
2016-12-25,765.6,774.0,764.0,765.25,3160
2016-12-26,775.0,780.0,769.8,770.75,1460
2016-12-27,760.4,778.6,757.05,760.9,3525
2016-12-28,767.75,775.2,755.05,763.1,37075
2016-12-29,770.0,775.0,767.0,772.3,49950
2017-01-01,770.0,786.0,770.0,782.25,4020
2017-01-02,780.0,794.3,774.0,784.15,54460
2017-01-03,789.3,793.4,775.0,780.05,1555
2017-01-04,773.35,789.4,773.35,779.35,97835
2017-01-05,777.4,795.5,774.4,777.75,9925
2017-01-08,777.75,785.0,774.55,776.8,1220
2017-01-09,774.6,784.0,765.4,769.85,17360
2017-01-10,767.0,778.45,767.0,770.05,8755
2017-01-11,766.65,789.5,760.0,778.9,11110
2017-01-12,766.2,774.45,766.2,770.1,15600
2017-01-15,766.2,786.0,765.0,766.9,2145
2017-01-16,761.4,770.85,760.0,763.15,17625
2017-01-17,773.6,779.6,760.4,774.4,64030
2017-01-18,770.4,778.35,761.25,764.3,86810
2017-01-19,760.8,783.2,760.4,777.9,6530
2017-01-22,779.8,786.15,754.75,776.15,7110
2017-01-23,768.5,789.4,768.5,782.55,21885
2017-01-24,782.25,795.0,780.4,790.35,3750
2017-01-26,782.55,798.0,782.55,794.4,29170
2017-01-29,799.5,799.5,783.15,790.6,27400
2017-01-30,785.6,796.0,784.4,793.2,11135
2017-01-31,785.6,799.2,784.25,796.1,7185
2017-02-01,793.0,827.95,793.0,819.6,5025
2017-02-02,815.4,839.0,807.0,832.4,9645
2017-02-05,838.0,855.6,816.45,845.05,5130
2017-02-06,840.3,853.6,832.2,839.85,16830
2017-02-07,854.0,854.0,816.0,835.5,17905
2017-02-08,840.0,848.0,828.2,834.75,2350
2017-02-09,828.05,840.0,824.4,835.0,7630
2017-02-12,835.7,838.05,809.95,813.4,53535
2017-02-13,813.0,819.4,804.0,810.0,5670
2017-02-14,818.0,818.0,792.0,800.45,6165
2017-02-15,803.95,810.0,794.5,806.15,15220
2017-02-16,803.2,810.0,796.8,807.55,2405
2017-02-19,808.95,824.0,796.5,819.5,5660
2017-02-20,820.0,842.0,810.0,834.5,5460
2017-02-21,830.0,839.7,816.2,821.2,5090
2017-02-22,833.8,833.8,815.2,822.25,4195
2017-02-26,812.2,828.0,812.2,821.65,10405
2017-02-27,828.35,854.5,822.4,844.5,11415
2017-02-28,860.0,860.0,827.35,830.8,15955
2017-03-01,834.0,849.6,826.55,832.55,3025
2017-03-02,835.0,840.0,830.6,835.15,2165
2017-03-05,824.0,844.0,824.0,831.55,3410
2017-03-06,831.0,838.1,826.0,830.0,5780
2017-03-07,824.0,842.45,816.4,828.65,5390
2017-03-08,825.6,836.0,816.05,818.65,2370
2017-03-09,820.0,840.0,820.0,823.65,1950
2017-03-13,838.4,838.4,813.4,816.05,4350
2017-03-14,820.2,827.6,814.2,822.0,68255
2017-03-15,830.0,841.8,819.0,837.45,12020
2017-03-16,830.0,842.0,820.6,828.65,12265
2017-03-19,825.0,838.6,808.45,818.8,27225
2017-03-20,826.0,839.0,821.4,828.35,47820
2017-03-21,819.0,839.8,819.0,833.0,5120
2017-03-22,835.0,841.6,822.3,828.5,8075
2017-03-23,826.0,840.0,818.0,839.6,14140
2017-03-26,827.6,878.8,827.6,864.55,38095
2017-03-27,854.0,874.2,850.0,859.95,53060
2017-03-28,853.6,870.0,848.4,856.05,7225
2017-03-29,863.0,930.0,857.4,901.1,92495
2017-03-30,885.5,930.0,885.5,915.8,31810
2017-04-02,915.8,939.4,893.2,911.5,9555
2017-04-04,925.0,925.0,893.2,898.7,26330
2017-04-05,903.75,919.6,896.4,908.75,10190
2017-04-06,900.0,926.4,900.0,911.05,14510
2017-04-09,911.9,918.0,906.0,914.25,1910
2017-04-10,920.2,932.0,917.05,927.45,26450
2017-04-11,929.8,945.0,920.2,934.55,10115
2017-04-12,934.0,942.8,925.6,929.85,16735
2017-04-16,930.0,941.6,930.0,939.5,9295
2017-04-17,941.6,942.2,930.0,937.1,5835
2017-04-18,918.4,942.2,918.4,931.35,13715
2017-04-19,933.6,943.0,925.2,939.9,2880
2017-04-20,945.0,966.35,926.5,956.55,52260
2017-04-23,964.4,994.6,962.4,982.6,24385
2017-04-24,996.8,996.8,972.0,980.0,12700
2017-04-25,981.0,988.0,966.0,979.8,10805
2017-04-26,980.0,982.8,967.6,974.8,3735
2017-04-27,979.4,979.4,954.25,969.65,53345
2017-05-01,975.0,985.0,952.45,978.7,4915
2017-05-02,987.35,987.35,962.45,975.0,16420
2017-05-03,974.0,975.0,957.2,962.55,4625
2017-05-04,963.0,966.4,950.0,960.1,18065
2017-05-07,960.1,960.1,929.0,932.05,23335
2017-05-08,938.05,941.0,926.0,929.25,10715
2017-05-09,938.05,938.35,914.4,932.0,13525
2017-05-10,946.0,946.0,924.8,930.35,7000
2017-05-11,931.0,935.4,920.0,922.6,1835
2017-05-14,927.15,960.0,924.0,932.9,4150
2017-05-15,940.0,944.4,926.05,933.3,9210
2017-05-16,934.0,945.45,930.0,931.6,8955
2017-05-17,937.6,937.6,906.1,923.25,5825
2017-05-18,927.2,930.4,896.0,901.2,75650
2017-05-21,901.3,920.0,901.2,909.5,2450
2017-05-22,909.6,936.0,880.0,893.25,35320
2017-05-23,900.0,912.6,893.0,902.4,2895
2017-05-24,909.6,910.0,897.0,908.35,1495
2017-05-25,910.0,920.0,909.0,918.15,3460
2017-05-28,902.4,947.95,900.0,937.0,6700
2017-05-29,920.2,935.95,900.2,912.55,299480
2017-05-30,912.4,919.95,891.05,900.8,7780
2017-05-31,912.0,912.0,890.75,895.6,5845
2017-06-01,913.0,913.6,899.8,901.1,23690
2017-06-04,901.1,912.95,900.0,900.55,4605
2017-06-05,909.2,914.4,889.0,903.0,25685
2017-06-06,903.2,908.8,890.4,893.1,2560
2017-06-07,902.4,905.0,883.0,900.0,29515
2017-06-08,890.0,911.8,886.6,902.85,13370
2017-06-11,905.0,916.8,905.0,911.65,3105
2017-06-12,920.0,930.0,904.0,911.5,12475
2017-06-13,907.0,925.75,907.0,917.8,8310
2017-06-14,917.8,922.2,905.0,911.95,24895
2017-06-15,917.95,937.95,904.0,931.5,15740
2017-06-18,929.6,948.0,926.2,939.9,6105
2017-06-19,943.2,963.0,940.0,956.05,7405
2017-06-20,956.05,962.8,925.0,934.65,51005
2017-06-21,939.8,944.8,927.0,933.3,4570
2017-06-22,939.8,939.8,920.8,923.1,4350
2017-06-26,936.2,944.6,891.6,901.6,18940
2017-06-27,901.6,908.8,896.6,899.95,13775
2017-06-28,905.0,905.0,894.0,899.6,11455
2017-06-29,911.6,911.6,882.8,889.6,67445
2017-07-02,885.0,944.3,885.0,927.95,10605
2017-07-03,945.8,945.8,922.0,935.25,12535
2017-07-04,939.8,1033.4,932.0,942.95,48610
2017-07-05,949.8,967.9,932.0,935.25,8580
2017-07-06,943.8,947.8,933.0,939.7,5420
2017-07-09,940.0,950.0,922.2,941.6,885
2017-07-10,936.2,959.0,928.0,931.2,2940
2017-07-11,939.75,939.95,924.0,929.9,55405
2017-07-12,930.2,930.2,920.0,921.15,4830
2017-07-13,915.0,940.0,896.9,910.05,29600
2017-07-16,901.2,932.85,901.2,918.7,10040
2017-07-17,912.0,917.6,900.0,905.5,43330
2017-07-18,906.0,919.4,902.4,911.05,54010
2017-07-19,907.05,920.0,907.05,911.8,1610
2017-07-20,904.2,913.5,904.2,910.45,2100
2017-07-23,906.4,923.4,906.4,920.9,3120
2017-07-24,921.0,940.0,906.6,938.7,10470
2017-07-25,938.7,940.15,932.0,935.0,53640
2017-07-26,940.0,940.2,926.0,927.65,5285
2017-07-27,920.0,940.0,916.0,931.25,3775
2017-07-30,922.2,930.0,904.5,908.0,25185
2017-07-31,914.0,914.0,893.1,900.0,25335
2017-08-01,892.2,900.0,888.2,888.2,1580
2017-08-02,887.65,896.8,839.8,850.0,64590
2017-08-03,868.2,876.0,854.0,856.2,3165
2017-08-06,872.0,873.0,856.0,872.0,2005
2017-08-07,870.0,877.8,853.3,871.4,4195
2017-08-08,864.0,870.6,857.8,859.6,4450
2017-08-09,852.0,857.15,830.0,833.3,81290
2017-08-10,830.0,870.0,825.6,864.5,8765
2017-08-13,880.0,906.0,876.0,882.6,40715
2017-08-15,906.0,906.0,865.1,879.2,11175
2017-08-16,884.8,892.65,865.0,878.15,57610
2017-08-17,878.3,887.55,863.0,871.15,2060
2017-08-20,871.15,882.8,860.0,863.55,8575
2017-08-21,873.0,878.0,847.0,850.0,2480
2017-08-22,850.0,854.0,836.15,848.2,23810
2017-08-23,850.0,850.0,840.75,845.1,3425
2017-08-27,863.8,863.8,840.2,849.3,59035
2017-08-28,850.0,850.0,828.0,829.8,20065
2017-08-29,846.0,856.2,838.2,851.5,88450
2017-08-30,958.0,1021.8,952.0,989.95,413145
2017-08-31,1000.0,1029.8,970.55,997.2,113985
2017-09-03,1017.8,1017.8,985.0,996.45,16055
2017-09-04,998.0,1000.0,980.0,984.35,13540
2017-09-05,990.0,990.0,960.0,976.1,96855
2017-09-06,976.0,988.8,976.0,976.65,17810
2017-09-07,980.0,982.0,972.8,979.75,28995
2017-09-10,980.0,982.0,972.0,979.9,29505
2017-09-11,960.0,1001.2,960.0,989.25,46905
2017-09-12,977.0,986.0,968.0,969.55,4925
2017-09-13,979.2,983.0,965.0,978.05,47080
2017-09-14,974.0,989.8,964.05,981.3,10140
2017-09-17,982.0,984.0,966.5,970.55,6895
2017-09-18,972.0,974.8,955.6,962.55,7180
2017-09-19,968.0,978.4,955.0,959.3,11150
2017-09-20,964.0,980.0,957.45,977.6,4255
2017-09-21,979.8,986.0,954.0,970.7,11000
2017-09-24,980.0,980.0,944.2,961.2,5925
2017-09-25,980.0,980.0,950.25,965.45,7535
2017-09-26,974.4,980.0,960.0,971.6,5275
2017-09-27,985.0,985.0,954.0,958.3,6945
2017-09-28,966.2,983.0,941.2,978.0,192610
2017-10-02,986.0,986.0,965.0,968.1,6995
2017-10-03,976.0,980.0,960.2,975.55,5135
2017-10-04,975.2,982.4,971.0,979.6,28555
2017-10-05,980.0,1012.2,979.75,1003.45,16610
2017-10-08,1002.0,1010.0,986.2,991.1,10015
2017-10-09,1010.0,1010.0,974.0,986.8,5210
2017-10-10,994.0,998.4,970.6,979.2,4415
2017-10-11,980.0,980.0,961.1,972.1,3310
2017-10-12,962.2,989.6,962.2,968.75,3670
2017-10-15,970.0,979.8,952.25,958.65,42160
2017-10-16,960.35,979.3,960.35,973.15,44080
2017-10-17,992.0,992.0,957.0,973.3,5360
2017-10-22,980.0,984.0,964.0,981.1,6810
2017-10-23,969.0,987.55,969.0,979.6,3580
2017-10-24,980.0,1009.95,970.0,1000.6,9650
2017-10-25,989.25,1010.0,989.25,999.05,79450
2017-10-26,990.2,999.2,990.0,995.15,3325
2017-10-29,1000.0,1003.2,976.0,986.45,7430
2017-10-30,988.0,1045.0,983.2,1031.55,17595
2017-10-31,1030.2,1048.6,998.0,1005.6,12050
2017-11-01,1013.8,1030.0,995.2,1025.8,43840
2017-11-02,1033.2,1040.0,1010.0,1033.0,25200
2017-11-05,1033.4,1044.0,1012.5,1038.85,69380
2017-11-06,1038.85,1048.6,1036.0,1042.5,28635
2017-11-07,1042.4,1052.8,1036.3,1040.15,89915
2017-11-08,1047.95,1047.95,1020.0,1027.2,15200
2017-11-09,1024.6,1051.4,1023.2,1040.2,57255
2017-11-12,1050.0,1050.0,1035.6,1035.9,3535
2017-11-13,1021.2,1037.55,1021.2,1032.1,4390
2017-11-14,1012.2,1038.0,1012.2,1036.45,2845
2017-11-15,1045.6,1045.6,1022.25,1035.7,4475
2017-11-16,1038.45,1042.4,1030.2,1039.95,16490
2017-11-19,1047.0,1047.0,1026.4,1029.35,3805
2017-11-20,1040.0,1050.0,1030.0,1034.85,4190
2017-11-21,1035.75,1040.0,1030.2,1034.8,8845
2017-11-22,1030.8,1038.0,1028.2,1028.35,28330
2017-11-23,1028.4,1046.0,1028.2,1036.25,88265
2017-11-26,1036.0,1058.6,1032.0,1047.8,8295
2017-11-27,1054.8,1058.25,1031.2,1035.75,44050
2017-11-28,1034.0,1047.95,1030.0,1043.85,47590
2017-11-29,1040.0,1051.7,1030.0,1042.75,33635
2017-11-30,1042.0,1049.8,1030.0,1035.35,3710
2017-12-03,1036.0,1040.0,1026.05,1032.9,13465
2017-12-04,1040.0,1040.0,1006.0,1025.3,80805
2017-12-05,1035.9,1035.9,1020.0,1021.85,6040
2017-12-06,1016.2,1026.95,1011.6,1023.25,19630
2017-12-07,1020.65,1039.0,1011.2,1017.85,13350
2017-12-10,1017.85,1034.35,1014.0,1019.3,11760
2017-12-11,1012.0,1020.0,995.0,1008.1,12065
2017-12-12,1019.75,1020.0,1001.8,1017.8,8965
2017-12-13,1024.0,1024.0,1007.2,1019.05,9530
2017-12-14,1029.35,1042.5,1016.0,1040.15,33430
2017-12-17,1024.2,1045.0,1020.0,1040.9,151780
2017-12-18,1040.0,1050.0,1026.35,1042.85,15450
2017-12-19,1047.8,1068.6,1040.0,1066.85,7830
2017-12-20,1070.0,1105.8,1068.6,1090.7,131090
2017-12-21,1102.0,1129.8,1102.0,1122.4,8895
2017-12-25,1138.25,1162.0,1130.45,1139.45,126460
2017-12-26,1141.0,1184.0,1140.2,1162.85,39660
2017-12-27,1180.0,1197.75,1132.0,1165.1,293520
2017-12-28,1183.0,1193.0,1162.0,1172.6,12455
2017-12-31,1160.6,1181.8,1160.6,1168.2,4515
2018-01-01,1179.0,1181.7,1146.4,1149.95,40430
2018-01-02,1150.2,1165.0,1141.2,1149.5,10585
2018-01-03,1171.5,1171.65,1150.0,1161.25,3390
2018-01-04,1178.8,1178.8,1150.0,1159.9,5425
2018-01-07,1172.0,1172.0,1147.0,1150.0,56625
2018-01-08,1165.0,1169.4,1145.0,1155.25,4510
2018-01-09,1150.2,1159.9,1130.6,1140.55,5875
2018-01-10,1132.6,1169.55,1132.6,1158.4,61700
2018-01-11,1146.8,1172.0,1144.4,1160.5,2755
2018-01-14,1160.5,1175.0,1140.0,1146.55,9560
2018-01-15,1158.95,1159.8,1136.2,1140.1,20530
2018-01-16,1162.0,1162.0,1125.4,1140.55,4680
2018-01-17,1140.0,1149.0,1130.0,1136.2,69935
2018-01-18,1130.0,1137.6,1105.05,1123.6,24730
2018-01-21,1125.3,1174.8,1125.3,1168.7,14250
2018-01-22,1187.55,1187.55,1155.6,1169.0,59270
2018-01-23,1169.0,1177.95,1150.0,1153.9,2675
2018-01-24,1168.2,1186.4,1133.1,1144.9,5250
2018-01-28,1128.8,1144.0,1117.2,1119.95,61105
2018-01-29,1120.0,1125.0,1097.25,1101.6,75585
2018-01-30,1099.05,1117.1,1083.25,1097.75,33350
2018-01-31,1083.45,1109.75,1080.05,1095.85,23700
2018-02-01,1110.0,1110.0,1075.0,1083.0,12240
2018-02-04,1075.0,1090.0,1027.0,1075.15,12105
2018-02-05,1079.6,1089.0,1040.0,1082.5,14410
2018-02-06,1099.25,1099.25,1046.1,1057.15,20230
2018-02-07,1079.8,1086.0,1064.0,1080.6,59455
2018-02-08,1079.55,1079.7,1058.0,1069.1,5545
2018-02-11,1062.45,1088.75,1062.45,1076.6,23410
2018-02-13,1099.8,1099.8,1075.0,1078.35,6030
2018-02-14,1080.0,1088.0,1072.7,1076.1,24820
2018-02-15,1080.0,1080.0,1072.0,1078.6,5690
2018-02-18,1073.0,1080.0,1062.25,1067.15,5025
2018-02-19,1063.05,1083.4,1063.05,1078.9,14975
2018-02-20,1091.8,1091.8,1074.0,1079.4,4780
2018-02-21,1088.0,1088.0,1067.2,1072.35,3990
2018-02-22,1070.0,1086.65,1064.2,1069.8,2885
2018-02-25,1083.0,1083.0,1050.6,1059.85,90810
2018-02-26,1076.85,1076.9,1052.0,1059.95,62385
2018-02-27,1050.0,1108.0,1039.0,1089.5,29295
2018-02-28,1089.4,1109.8,1068.15,1100.15,32995
2018-03-04,1072.4,1088.0,1061.0,1071.8,3140
2018-03-05,1084.9,1089.0,1051.2,1061.3,2385
2018-03-06,1068.1,1078.15,1040.4,1046.5,4185
2018-03-07,1046.5,1065.4,1033.0,1058.95,8450
2018-03-08,1059.9,1076.45,1045.2,1066.1,99470
2018-03-11,1066.0,1066.0,1051.0,1058.7,10095
2018-03-12,1052.6,1154.4,1052.6,1124.2,50900
2018-03-13,1104.0,1110.0,1077.75,1094.1,23145
2018-03-14,1100.0,1100.0,1075.2,1079.9,14465
2018-03-15,1096.8,1096.8,1066.0,1077.9,25455
2018-03-18,1074.15,1080.0,1060.0,1068.6,8565
2018-03-19,1070.0,1070.0,1037.6,1056.05,18990
2018-03-20,1060.0,1060.0,1043.4,1057.9,30090
2018-03-21,1075.0,1075.0,1043.4,1058.9,8995
2018-03-22,1063.0,1063.0,1031.0,1041.7,8330
2018-03-25,1042.2,1059.0,1035.0,1040.0,11230
2018-03-26,1069.6,1069.6,1024.2,1028.85,35995
2018-03-27,1028.85,1046.0,1025.0,1040.25,6665
2018-04-01,1072.0,1118.35,1052.0,1101.7,7575
2018-04-02,1100.0,1100.0,1081.3,1089.9,8765
