,open,high,low,close,volume
2023-07-13,430.0,444.0,401.2,405.3,15116071
2023-07-16,406.0,412.5,385.0,400.55,2950938
2023-07-17,398.0,406.65,387.0,390.3,1009490
2023-07-18,392.0,394.9,384.35,385.2,562170
2023-07-19,383.0,385.0,361.45,364.15,1070866
2023-07-20,361.95,381.8,358.45,375.0,1403914
2023-07-23,375.3,381.95,365.0,371.5,984757
2023-07-24,374.8,379.3,370.05,377.55,507408
2023-07-25,379.05,391.9,378.4,383.4,851208
2023-07-26,384.5,386.95,380.5,384.6,285520
2023-07-27,384.6,418.0,384.0,413.95,2148512
2023-07-30,418.4,426.0,413.0,415.15,1099238
2023-07-31,416.0,419.75,405.0,406.75,514688
2023-08-01,404.9,408.35,387.8,391.1,745830
2023-08-02,396.85,396.85,384.2,387.0,350305
2023-08-03,390.7,399.65,390.05,393.95,268414
2023-08-06,397.7,402.95,391.5,394.0,196911
2023-08-07,395.95,397.8,388.55,393.05,263569
2023-08-08,392.4,406.8,387.75,400.55,386178
2023-08-09,398.4,415.7,386.0,389.7,849561
2023-08-10,391.9,403.2,388.1,397.15,541297
2023-08-13,399.9,410.4,391.15,405.95,475199
2023-08-15,409.8,413.45,396.0,398.0,549980
2023-08-16,402.95,408.0,396.15,405.5,422092
2023-08-17,410.0,424.25,405.5,407.0,1009667
2023-08-20,415.0,419.7,401.1,412.15,668891
2023-08-21,412.95,418.7,410.15,413.45,399493
2023-08-22,416.5,432.3,412.45,418.4,1082995
2023-08-23,420.85,426.95,419.05,422.6,427529
2023-08-24,420.6,422.85,411.15,415.15,399966
2023-08-27,419.75,423.65,411.1,413.6,232957
2023-08-28,417.9,418.35,403.5,404.55,269295
2023-08-29,408.45,410.2,400.05,405.55,229322
2023-08-30,408.0,414.45,400.0,407.1,364771
2023-08-31,408.95,412.5,404.3,408.1,193452
2023-09-03,410.0,412.45,403.0,404.4,233757
2023-09-04,408.0,408.0,389.05,390.0,633437
2023-09-05,394.0,404.7,392.0,398.55,462105
2023-09-06,398.0,402.0,394.05,396.15,209782
2023-09-07,398.0,405.0,397.0,402.0,377851
2023-09-10,401.0,404.65,396.15,397.95,238975
2023-09-11,397.95,401.35,380.0,394.95,435268
2023-09-12,396.5,408.0,390.3,401.3,410116
2023-09-13,404.9,420.0,401.9,416.55,602639
2023-09-14,418.95,489.0,418.9,478.75,6545306
2023-09-17,471.85,481.7,461.15,473.35,1403875
2023-09-19,471.65,494.7,464.3,468.55,840300
2023-09-20,468.0,509.0,467.75,487.9,2087523
2023-09-21,488.5,506.4,480.0,499.8,870416
2023-09-24,512.45,535.0,512.0,524.65,1639480
2023-09-25,530.0,539.65,520.0,532.6,710333
2023-09-26,533.0,626.45,530.8,608.6,5018879
2023-09-27,614.0,674.0,613.75,628.5,5616682
2023-09-28,634.1,634.65,597.5,616.55,972085
2023-10-02,611.05,657.8,602.0,642.2,937570
2023-10-03,644.0,674.9,630.05,654.45,958289
2023-10-04,660.0,666.8,631.0,638.0,495240
2023-10-05,638.0,651.7,638.0,644.6,271551
2023-10-08,640.8,644.6,601.25,607.95,460524
2023-10-09,615.0,641.0,612.2,616.1,616072
2023-10-10,622.7,660.0,620.05,650.85,760111
2023-10-11,653.0,686.0,648.9,656.7,1032576
2023-10-12,657.5,668.4,639.1,650.7,360506
2023-10-15,652.95,667.0,639.1,661.45,474334
2023-10-16,670.0,695.8,662.7,669.0,652845
2023-10-17,673.65,682.95,665.15,679.75,302492
2023-10-18,683.35,690.0,670.0,686.85,291663
2023-10-19,686.4,724.0,685.05,697.3,504727
2023-10-22,699.65,710.2,627.6,634.9,751128
2023-10-24,643.0,654.0,610.0,618.25,343679
2023-10-25,620.75,625.0,582.0,613.95,381411
2023-10-26,620.1,645.0,620.1,625.8,208978
2023-10-29,630.3,665.95,630.0,660.95,262726
2023-10-30,672.95,678.0,660.05,673.15,248998
2023-10-31,679.0,692.05,655.05,665.65,301699
2023-11-01,678.05,689.0,667.35,679.05,299158
2023-11-02,683.4,746.95,682.05,746.95,1790560
2023-11-05,782.0,782.85,718.05,723.85,1153815
2023-11-06,728.0,738.7,691.35,710.3,620118
2023-11-07,715.0,726.0,691.1,695.35,402040
2023-11-08,699.1,713.8,690.25,701.8,380309
2023-11-09,698.0,698.0,632.0,657.4,912216
2023-11-11,682.0,688.45,665.7,683.95,185382
2023-11-12,690.0,715.0,673.05,695.9,576012
2023-11-14,707.0,707.0,677.0,694.85,400596
2023-11-15,698.0,702.85,686.0,688.25,266293
2023-11-16,688.0,688.9,667.9,676.75,245695
2023-11-19,682.0,718.0,681.4,700.65,519316
2023-11-20,707.0,713.45,693.0,707.85,219936
2023-11-21,710.7,744.0,695.0,702.85,733029
2023-11-22,706.9,757.95,705.0,741.4,979884
2023-11-23,745.0,764.8,726.3,731.3,443373
2023-11-27,734.45,741.9,722.1,727.6,199602
2023-11-28,731.0,734.6,710.0,721.45,201098
2023-11-29,722.05,746.95,716.65,719.1,257212
2023-11-30,720.55,743.9,720.55,734.8,306743
2023-12-03,755.0,785.0,740.6,772.65,704755
2023-12-04,776.65,776.65,735.0,752.1,416773
2023-12-05,754.8,768.0,735.5,740.65,193476
2023-12-06,742.4,747.95,720.0,727.95,261030
2023-12-07,730.2,737.35,708.0,721.05,245904
2023-12-10,723.3,735.0,718.8,725.75,178992
2023-12-11,729.0,762.5,727.4,757.15,560686
2023-12-12,755.75,772.0,740.15,744.9,292462
2023-12-13,751.0,823.25,745.0,760.45,1875821
2023-12-14,766.85,777.45,740.0,748.8,454340
2023-12-17,751.0,760.0,728.2,749.3,327783
2023-12-18,749.85,754.0,739.0,745.9,226676
2023-12-19,747.0,770.65,715.0,720.7,647007
