,open,high,low,close,volume
2016-12-18,438.75,455.0,438.75,446.95,9852
2016-12-19,440.05,454.8,440.0,447.05,20208
2016-12-20,442.15,450.0,440.0,440.55,10824
2016-12-21,441.15,449.8,431.0,439.8,10914
2016-12-22,431.0,450.9,427.0,446.9,39587
2016-12-25,444.0,447.0,435.0,436.7,11826
2016-12-26,443.95,458.05,430.0,434.45,54229
2016-12-27,438.95,446.9,435.1,440.55,15677
2016-12-28,443.05,446.2,434.25,444.2,12515
2016-12-29,451.9,461.9,442.1,444.2,30670
2017-01-01,453.6,455.0,445.0,452.4,9372
2017-01-02,450.1,500.0,450.1,481.8,170735
2017-01-03,483.0,497.85,480.0,484.1,103786
2017-01-04,490.0,492.0,483.0,484.65,91522
2017-01-05,482.1,510.0,471.5,474.1,170715
2017-01-08,474.9,487.65,474.9,478.25,41977
2017-01-09,484.0,484.7,477.0,483.4,22317
2017-01-10,484.05,488.0,478.3,481.15,29441
2017-01-11,481.8,484.5,479.4,481.25,15944
2017-01-12,477.25,480.0,471.0,472.1,37675
2017-01-15,478.7,479.4,465.0,468.4,16953
2017-01-16,472.3,472.95,465.9,468.2,19182
2017-01-17,468.2,472.0,464.0,465.25,22689
2017-01-18,468.95,470.0,462.5,465.2,22004
2017-01-19,465.3,470.5,458.0,459.7,32654
2017-01-22,461.45,485.0,455.25,477.95,54889
2017-01-23,484.0,485.0,476.5,480.05,17941
2017-01-24,480.7,482.6,476.0,476.8,8768
2017-01-26,476.8,484.85,473.0,475.7,23353
2017-01-29,482.35,484.35,456.35,467.3,134793
2017-01-30,473.0,475.0,456.7,460.0,28739
2017-01-31,468.25,473.9,455.7,472.0,35424
2017-02-01,472.05,476.9,467.0,475.0,12491
2017-02-02,478.15,498.9,475.25,496.45,49580
2017-02-05,509.5,512.4,492.0,509.7,82727
2017-02-06,509.7,512.7,497.65,501.25,46420
2017-02-07,494.0,506.9,494.0,500.95,223941
2017-02-08,509.95,509.95,487.55,490.45,21736
2017-02-09,491.05,496.9,490.0,493.25,10994
2017-02-12,503.0,503.0,489.7,498.05,21455
2017-02-13,499.95,500.0,482.0,485.65,27840
2017-02-14,482.3,493.85,461.4,464.55,33498
2017-02-15,465.05,470.7,459.0,461.55,19869
2017-02-16,462.0,474.8,461.1,468.95,49542
