,open,high,low,close,volume
2016-12-18,168.0,171.5,165.1,166.3,57807
2016-12-19,168.0,168.0,162.8,163.35,49263
2016-12-20,164.35,165.0,160.5,161.35,58027
2016-12-21,161.95,162.45,156.6,158.25,71510
2016-12-22,157.3,166.5,156.95,164.55,71389
2016-12-25,164.0,164.7,158.15,161.75,71421
2016-12-26,161.3,166.5,161.15,166.25,63136
2016-12-27,165.5,170.0,163.0,165.0,84622
2016-12-28,164.15,166.85,163.8,165.35,59095
2016-12-29,165.35,169.8,165.35,166.5,63804
2017-01-01,167.95,174.05,166.1,172.4,110181
2017-01-02,173.95,181.9,170.35,178.9,217623
2017-01-03,179.85,193.2,178.9,186.25,396503
2017-01-04,186.9,193.4,183.35,185.1,394675
2017-01-05,186.65,192.15,183.0,184.9,170426
2017-01-08,186.5,190.1,183.6,188.95,164894
2017-01-09,189.0,193.5,185.95,187.15,135549
2017-01-10,189.0,190.6,184.8,185.55,100265
2017-01-11,186.0,187.5,181.3,182.4,56855
2017-01-12,183.75,192.5,181.1,189.6,346270
2017-01-15,190.4,194.75,188.7,190.85,260726
2017-01-16,189.0,191.5,183.85,185.0,164681
2017-01-17,185.25,190.6,184.25,186.75,153304
2017-01-18,186.2,190.0,185.35,186.45,80218
2017-01-19,186.95,201.15,186.5,196.05,1135296
2017-01-22,196.0,208.7,195.15,204.9,844833
2017-01-23,206.9,211.0,200.25,201.7,467707
2017-01-24,203.3,205.35,197.0,199.7,257800
2017-01-26,201.35,204.5,195.3,196.25,193412
2017-01-29,195.9,198.15,192.05,192.6,131937
2017-01-30,193.7,193.8,188.0,189.3,101507
2017-01-31,190.7,197.0,185.45,195.8,159387
2017-02-01,196.4,196.4,191.0,193.05,103468
2017-02-02,194.5,195.75,192.5,193.75,64557
2017-02-05,193.0,197.9,192.95,195.4,109329
2017-02-06,196.4,196.9,191.1,192.0,84706
2017-02-07,192.35,196.85,192.35,195.2,95157
2017-02-08,196.65,204.8,195.05,198.75,275460
2017-02-09,200.8,203.75,191.0,192.65,171270
2017-02-12,193.0,193.95,185.0,185.6,184840
2017-02-13,185.45,187.3,180.0,180.85,183215
2017-02-14,181.45,181.45,171.6,174.3,209871
2017-02-15,175.0,178.85,174.95,177.5,107612
2017-02-16,178.9,186.0,177.0,183.35,269183
2017-02-19,184.0,184.0,177.7,178.8,138650
2017-02-20,180.5,180.5,175.8,177.3,88315
2017-02-21,178.7,178.7,171.2,172.5,101486
2017-02-22,172.85,177.0,172.05,173.8,106791
2017-02-26,174.9,182.0,174.0,180.15,160821
2017-02-27,180.5,181.05,175.65,178.2,124380
2017-02-28,178.2,183.0,178.2,181.35,113953
2017-03-01,182.7,184.7,180.0,180.5,128160
2017-03-02,182.8,185.3,181.75,183.75,167849
2017-03-05,183.0,184.5,180.05,182.05,90072
2017-03-06,183.0,183.0,179.1,179.65,81645
2017-03-07,180.9,181.9,177.0,181.05,58483
2017-03-08,179.35,181.8,177.6,178.0,64027
2017-03-09,179.45,180.0,175.2,176.55,69185
2017-03-13,180.5,180.55,175.1,176.0,56714
2017-03-14,176.0,178.0,175.0,175.6,53433
2017-03-15,177.0,184.5,176.2,179.5,113562
2017-03-16,180.5,181.0,176.0,176.9,84919
2017-03-19,178.4,183.9,176.0,182.4,105253
2017-03-20,183.0,184.8,181.5,182.3,111188
2017-03-21,176.85,182.0,176.85,178.7,69661
2017-03-22,180.45,186.0,179.9,184.75,139050
2017-03-23,186.65,192.0,185.1,189.95,232271
2017-03-26,190.5,199.7,187.25,196.55,307043
2017-03-27,198.0,201.4,195.0,195.5,153972
2017-03-28,196.5,198.0,192.05,196.55,139335
2017-03-29,195.5,199.0,192.1,196.7,83849
2017-03-30,197.0,205.0,194.25,200.45,239587
2017-04-02,203.4,213.7,203.25,209.5,366727
2017-04-04,211.15,217.8,210.55,212.6,218406
2017-04-05,212.0,215.7,210.0,213.6,179360
2017-04-06,212.95,213.8,203.1,204.5,131235
2017-04-09,211.0,211.7,204.05,209.7,117291
2017-04-10,209.8,210.9,205.1,206.4,53759
2017-04-11,205.1,207.45,197.0,200.5,157524
2017-04-12,199.55,200.95,197.0,197.85,68936
2017-04-16,199.3,203.6,197.0,200.75,98452
2017-04-17,200.0,209.8,198.25,200.1,139780
2017-04-18,199.1,204.4,198.0,201.4,77399
2017-04-19,200.0,204.9,200.0,202.3,74642
2017-04-20,204.8,207.25,200.85,202.55,124383
2017-04-23,204.3,204.3,200.0,202.05,67274
2017-04-24,204.0,205.0,200.5,200.95,55040
2017-04-25,203.5,203.5,195.0,196.7,105731
2017-04-26,197.05,199.85,193.0,195.65,84829
2017-04-27,193.0,197.0,193.0,194.2,49905
2017-05-01,195.0,198.55,193.2,194.35,76651
2017-05-02,197.7,197.7,193.95,195.0,62216
2017-05-03,195.4,213.65,194.5,209.65,276449
2017-05-04,209.5,209.5,200.0,202.35,132734
2017-05-07,201.15,214.7,200.95,211.45,338758
2017-05-08,213.4,213.9,206.7,208.65,112712
2017-05-09,210.3,213.8,205.2,207.15,98161
2017-05-10,208.4,211.0,206.0,207.4,57764
2017-05-11,209.35,209.35,201.0,202.55,78736
2017-05-14,207.0,214.95,204.8,214.1,221528
2017-05-15,215.0,216.8,210.15,211.8,92349
2017-05-16,209.0,222.0,209.0,217.65,236420
2017-05-17,216.0,222.0,203.5,207.25,347812
2017-05-18,209.15,213.55,204.1,207.6,151578
2017-05-21,209.15,211.0,203.0,207.4,341982
2017-05-22,206.0,214.0,202.0,208.55,183138
2017-05-23,211.0,215.0,202.0,203.0,202302
2017-05-24,205.0,209.4,205.0,207.7,173313
2017-05-25,208.95,215.95,206.3,212.35,131849
2017-05-28,221.0,228.0,217.15,224.3,637246
2017-05-29,224.05,228.85,220.85,227.4,334132
2017-05-30,227.75,233.95,225.55,229.45,427298
2017-05-31,229.9,230.9,225.05,228.6,200303
2017-06-01,231.75,231.75,226.2,227.35,85428
2017-06-04,228.9,228.9,220.3,222.1,96243
2017-06-05,221.0,226.0,220.0,221.95,63767
2017-06-06,223.5,225.0,217.7,218.75,60613
2017-06-07,222.5,223.6,219.0,222.0,75673
2017-06-08,223.5,230.0,221.65,228.2,140194
2017-06-11,229.0,232.0,226.95,230.4,94681
2017-06-12,231.9,237.9,228.95,233.35,106250
2017-06-13,230.5,240.0,230.0,237.75,114751
2017-06-14,237.0,244.8,235.8,238.2,117411
2017-06-15,241.0,244.1,237.05,239.15,132908
2017-06-18,241.75,242.0,235.0,236.45,74940
2017-06-19,235.9,237.75,229.5,231.8,65400
2017-06-20,229.0,235.5,225.0,233.0,78023
2017-06-21,234.95,234.95,223.85,228.8,90350
2017-06-22,228.2,231.0,226.0,227.25,48813
2017-06-26,230.0,230.0,221.3,221.95,67897
2017-06-27,220.85,226.6,220.3,223.6,40941
2017-06-28,225.0,233.0,225.0,228.15,44252
2017-06-29,226.9,232.8,226.0,229.6,43472
2017-07-02,229.2,234.95,228.5,230.05,40607
2017-07-03,230.0,232.95,223.0,226.7,56438
2017-07-04,226.7,229.2,224.0,227.25,39625
2017-07-05,231.0,232.05,227.0,228.75,38387
2017-07-06,232.0,232.0,224.0,224.6,41587
2017-07-09,229.0,229.0,223.1,224.25,11244
2017-07-10,227.85,227.85,222.7,223.1,71318
2017-07-11,223.55,228.0,222.1,225.75,46688
2017-07-12,227.7,238.4,222.8,233.7,137054
2017-07-13,237.35,238.4,228.1,232.6,91185
2017-07-16,232.6,232.6,225.5,229.3,43730
2017-07-17,228.7,232.95,225.65,228.05,38345
2017-07-18,228.2,234.4,228.15,232.45,42254
2017-07-19,231.05,236.5,231.0,234.6,83648
2017-07-20,236.0,236.0,228.5,229.7,47013
2017-07-23,230.95,236.5,228.0,228.55,44053
2017-07-24,228.15,235.0,227.0,232.8,34478
2017-07-25,232.95,235.85,229.45,230.45,35033
2017-07-26,228.55,232.5,227.0,227.75,34784
2017-07-27,228.1,231.0,227.1,229.55,28412
2017-07-30,232.8,232.8,225.0,230.0,51241
