,open,high,low,close,volume
2016-12-18,240.5,247.0,240.23,241.02,12675
2016-12-19,244.23,246.0,243.61,245.63,7380
2016-12-20,244.02,248.0,243.61,245.05,14225
2016-12-21,244.6,246.8,236.0,238.63,16280
2016-12-22,238.0,243.8,236.2,242.14,7640
2016-12-25,240.0,242.0,235.0,239.85,11825
2016-12-26,235.44,245.0,235.44,238.83,28035
2016-12-27,238.0,243.36,236.5,242.01,55740
2016-12-28,242.0,247.98,242.0,245.76,84810
2016-12-29,245.2,261.47,245.2,257.57,36495
2017-01-01,255.13,261.4,253.32,260.0,39050
2017-01-02,259.0,268.99,254.12,267.59,34005
2017-01-03,272.0,282.98,264.21,278.68,56820
2017-01-04,279.0,286.0,274.6,280.46,52890
2017-01-05,279.41,286.54,274.0,274.12,17280
2017-01-08,279.99,284.2,275.01,281.86,106900
2017-01-09,276.3,286.0,276.3,281.12,7365
2017-01-10,277.6,283.8,276.49,280.22,4875
2017-01-11,280.0,282.77,279.6,280.0,29830
2017-01-12,279.8,280.86,277.89,279.9,4435
2017-01-15,268.72,281.42,268.72,279.58,4895
2017-01-16,284.4,285.0,274.8,278.86,6665
2017-01-17,283.6,283.6,278.0,279.11,6095
2017-01-18,276.77,285.0,276.77,280.68,16790
2017-01-19,281.2,284.96,276.8,279.31,14140
2017-01-22,285.2,285.2,276.1,280.01,87425
2017-01-23,278.19,283.43,277.0,280.26,6930
2017-01-24,282.79,286.93,281.05,281.77,6085
2017-01-26,280.0,293.62,280.0,287.8,15975
2017-01-29,280.2,286.99,270.8,285.59,21025
2017-01-30,285.0,287.34,279.89,286.3,13995
2017-01-31,281.12,287.4,281.11,286.01,6210
2017-02-01,285.0,292.0,284.26,290.54,9275
2017-02-02,286.2,312.0,286.2,307.95,42520
2017-02-05,302.0,317.6,300.22,315.29,31995
2017-02-06,317.4,329.36,310.01,320.77,46095
2017-02-07,321.52,328.99,317.29,322.5,17460
2017-02-08,320.71,329.4,320.71,327.19,15500
2017-02-09,323.18,331.0,323.0,328.0,12830
2017-02-12,323.61,332.99,323.6,329.36,15035
2017-02-13,334.0,347.03,330.0,340.38,36680
2017-02-14,336.0,340.2,333.0,334.07,28415
2017-02-15,333.33,337.38,330.25,334.86,12485
2017-02-16,331.03,344.0,330.0,331.13,13415
2017-02-19,330.24,354.0,330.24,342.61,59765
2017-02-20,342.8,354.99,339.85,346.47,25555
2017-02-21,345.01,348.52,339.81,342.32,19685
2017-02-22,345.72,345.73,325.0,333.12,48245
2017-02-26,332.4,335.74,330.0,332.13,11900
2017-02-27,332.35,339.7,330.03,337.25,12650
2017-02-28,336.0,343.2,334.51,340.0,91820
2017-03-01,340.0,342.01,335.0,335.26,5970
2017-03-02,331.61,339.23,330.0,338.11,2945
2017-03-05,344.0,345.34,335.0,338.45,30875
2017-03-06,335.84,342.0,335.84,339.37,10355
2017-03-07,339.8,344.8,330.06,334.86,13765
2017-03-08,338.16,339.59,334.0,334.12,3225
2017-03-09,338.42,338.42,332.0,332.31,7325
2017-03-13,339.0,339.99,332.0,335.6,5210
2017-03-14,336.61,340.0,330.4,337.05,7880
2017-03-15,338.04,340.0,332.11,336.45,4460
2017-03-16,338.09,338.8,334.97,336.67,4405
2017-03-19,337.51,337.51,332.01,334.32,3595
2017-03-20,335.11,337.79,331.03,336.34,3835
2017-03-21,335.42,349.18,332.0,344.8,50125
2017-03-22,348.99,348.99,337.11,344.34,24665
2017-03-23,340.51,340.51,327.99,335.36,25180
2017-03-26,339.11,342.0,335.0,339.07,8630
2017-03-27,339.73,341.01,336.2,338.68,19335
2017-03-28,339.91,344.2,337.01,340.43,17545
2017-03-29,344.0,344.0,334.03,339.01,22280
2017-03-30,336.64,342.0,336.01,338.94,14250
2017-04-02,341.32,349.45,337.51,339.6,33095
2017-04-04,349.6,353.8,337.12,340.65,56520
2017-04-05,340.0,346.0,336.1,337.83,25315
2017-04-06,342.99,343.0,335.0,337.9,16695
2017-04-09,340.78,340.78,335.0,337.94,6910
2017-04-10,340.98,344.11,335.09,339.75,15825
2017-04-11,342.99,344.39,333.4,335.24,14050
2017-04-12,333.33,343.07,333.33,340.91,8945
2017-04-16,341.2,344.0,336.0,341.67,9780
2017-04-17,341.98,351.39,340.2,346.12,20975
2017-04-18,349.99,349.99,343.01,343.91,6810
2017-04-19,342.03,347.59,340.0,340.36,29145
2017-04-20,341.0,342.39,339.31,340.32,5825
2017-04-23,338.09,342.2,336.91,341.85,5720
2017-04-24,338.39,340.66,338.39,339.89,9125
2017-04-25,343.4,355.0,338.98,340.03,28255
2017-04-26,346.0,346.0,339.59,340.08,13255
2017-04-27,344.0,344.6,334.0,337.48,18810
2017-05-01,338.11,339.59,336.0,336.04,13335
2017-05-02,338.2,343.68,335.2,338.29,14920
2017-05-03,339.02,344.6,336.0,343.48,8945
2017-05-04,340.0,341.11,332.2,336.69,10095
2017-05-07,339.28,339.28,331.6,338.03,6865
2017-05-08,337.33,343.57,337.2,340.02,10645
2017-05-09,344.0,344.0,334.2,339.27,6120
2017-05-10,339.0,347.0,336.21,343.55,15630
2017-05-11,346.0,348.4,336.7,340.82,4150
2017-05-14,341.0,345.8,333.0,343.03,7280
2017-05-15,343.8,347.2,343.01,345.97,13145
2017-05-16,345.0,365.0,342.0,358.4,51020
2017-05-17,351.4,360.0,346.0,355.85,5725
2017-05-18,354.4,371.0,350.0,363.59,21730
2017-05-21,369.8,370.0,358.21,367.96,7855
2017-05-22,367.0,368.0,346.2,358.62,23580
2017-05-23,362.0,369.94,350.0,352.72,16270
2017-05-24,352.6,360.0,351.59,357.53,4055
2017-05-25,356.71,364.0,353.42,356.16,17040
2017-05-28,364.99,382.6,358.43,375.64,118330
2017-05-29,372.06,380.0,368.4,376.06,11750
2017-05-30,376.06,382.19,368.65,379.28,9060
2017-05-31,379.99,397.36,379.99,392.86,30225
2017-06-01,397.58,410.0,393.6,408.58,24570
2017-06-04,411.6,425.58,411.6,423.67,28230
2017-06-05,426.0,429.14,417.56,420.47,32230
2017-06-06,416.4,439.98,416.4,437.7,27345
2017-06-07,436.78,475.0,436.78,467.06,65855
2017-06-08,469.0,474.0,463.43,464.61,18040
2017-06-11,461.0,466.0,458.01,460.79,18430
2017-06-12,462.8,468.94,461.0,464.91,9130
2017-06-13,467.99,470.0,460.97,463.83,5860
2017-06-14,461.66,463.62,450.01,450.37,5640
2017-06-15,450.49,452.79,445.0,447.12,15970
2017-06-18,456.0,456.0,438.8,441.17,13560
2017-06-19,439.99,440.21,410.0,415.52,31800
2017-06-20,419.99,423.8,400.22,420.24,25955
2017-06-21,430.0,430.0,415.0,418.05,5115
2017-06-22,419.07,420.6,406.82,414.06,16405
2017-06-26,409.83,409.83,396.0,398.5,11510
2017-06-27,395.99,399.99,393.41,397.01,26700
2017-06-28,397.01,405.0,394.1,400.89,15590
2017-06-29,400.81,400.81,395.0,398.32,11955
2017-07-02,400.79,419.6,391.31,409.22,31340
2017-07-03,413.68,433.99,407.95,425.54,20775
2017-07-04,428.21,446.0,410.23,440.13,22450
2017-07-05,449.98,450.01,441.62,444.6,9005
2017-07-06,444.01,446.02,440.0,442.59,5620
2017-07-09,455.86,468.8,396.12,449.33,2565
2017-07-10,462.8,470.0,451.61,457.98,15585
2017-07-11,465.0,468.8,460.0,460.45,5920
2017-07-12,469.4,490.0,463.0,484.6,29955
2017-07-13,490.0,498.0,477.7,478.23,9665
2017-07-16,470.01,500.0,470.01,486.15,231190
2017-07-17,487.0,499.8,484.0,492.4,14490
2017-07-18,498.8,498.8,488.39,489.74,5970
2017-07-19,490.0,492.0,475.82,481.2,6735
2017-07-20,494.0,494.0,473.02,475.95,21620
2017-07-23,485.0,485.0,460.8,464.22,7620
2017-07-24,469.4,469.4,460.67,463.5,4345
2017-07-25,475.0,479.0,458.0,460.99,10350
2017-07-26,462.98,479.0,432.45,440.44,46475
2017-07-27,448.0,448.0,432.24,439.68,11270
2017-07-30,439.59,440.8,411.0,418.71,13395
2017-07-31,420.0,431.19,412.71,414.98,13580
2017-08-01,419.01,424.0,413.71,418.88,10810
2017-08-02,416.84,426.99,415.6,418.1,6520
2017-08-03,418.0,418.0,411.0,413.47,6165
2017-08-06,414.03,414.04,409.33,410.75,6465
2017-08-07,419.59,419.59,404.02,406.66,18475
2017-08-08,411.99,411.99,395.0,400.48,10385
2017-08-09,393.0,403.88,393.0,396.93,6810
2017-08-10,398.0,405.0,376.4,394.29,11560
2017-08-13,412.0,414.99,398.33,409.84,8315
2017-08-15,409.0,412.99,403.56,407.9,4935
2017-08-16,406.0,414.04,403.0,404.9,5595
2017-08-17,400.2,417.18,400.2,402.8,12085
2017-08-20,411.98,412.0,401.6,404.96,10210
2017-08-21,404.24,407.92,390.02,391.91,8900
2017-08-22,397.99,398.0,385.2,389.62,12185
2017-08-23,386.0,397.16,384.7,394.44,4850
2017-08-27,399.6,409.6,392.21,405.37,8350
2017-08-28,405.37,417.5,399.61,415.36,32420
2017-08-29,423.67,440.26,420.0,438.16,20750
2017-08-30,444.0,459.99,444.0,457.42,19680
2017-08-31,459.99,464.0,450.0,452.68,14190
2017-09-03,451.0,453.0,436.6,444.78,6470
2017-09-04,443.0,448.82,438.0,440.42,5015
2017-09-05,444.79,447.98,438.24,441.3,3770
2017-09-06,444.79,453.98,435.0,437.93,20420
2017-09-07,447.63,448.59,436.0,439.76,6015
2017-09-10,448.99,453.99,435.32,450.8,10900
2017-09-11,450.76,477.19,446.8,468.35,24945
2017-09-12,464.03,484.0,454.0,457.6,13350
2017-09-13,462.42,468.34,460.01,466.33,7090
2017-09-14,466.0,475.0,459.6,470.25,6695
2017-09-17,467.84,473.8,458.0,461.08,14620
2017-09-18,462.41,467.0,460.0,462.16,9335
2017-09-19,464.81,464.81,456.01,459.13,11660
2017-09-20,460.0,469.92,458.3,460.82,5705
2017-09-21,460.0,463.19,451.6,457.96,5430
2017-09-24,450.0,452.0,429.99,436.19,12965
2017-09-25,438.39,441.0,426.02,433.11,6525
2017-09-26,428.8,438.0,428.8,434.12,16470
2017-09-27,430.82,434.0,417.1,424.11,3840
2017-09-28,432.94,459.19,432.26,455.47,42330
2017-10-02,446.36,459.97,444.0,448.06,14740
2017-10-03,450.42,461.5,443.61,456.89,24375
2017-10-04,466.0,473.0,457.21,469.33,8795
2017-10-05,472.0,489.0,471.99,485.66,15780
2017-10-08,490.0,525.0,490.0,516.98,39605
2017-10-09,525.0,539.98,524.0,532.69,29630
2017-10-10,539.78,539.8,519.0,520.55,43225
2017-10-11,523.0,542.4,523.0,539.3,27485
2017-10-12,542.0,549.98,532.0,536.0,33605
2017-10-15,536.0,536.4,529.0,532.5,11115
2017-10-16,539.78,544.0,529.18,539.07,14340
2017-10-17,539.07,544.38,530.2,538.62,15585
2017-10-22,547.6,559.98,543.2,552.14,27660
2017-10-23,555.89,559.98,554.0,558.64,15925
2017-10-24,567.9,595.0,562.3,573.15,17832
2017-10-25,578.0,590.0,565.0,586.85,10788
2017-10-26,592.4,626.7,592.4,603.25,27268
2017-10-29,609.35,614.95,595.0,596.25,14364
2017-10-30,600.95,601.0,590.0,592.6,6121
2017-10-31,594.95,603.0,585.0,596.35,10836
2017-11-01,596.0,603.0,592.0,596.25,10566
2017-11-02,600.0,615.0,600.0,605.4,15113
2017-11-05,611.9,617.95,595.0,602.8,11274
2017-11-06,596.1,609.7,595.0,597.45,7605
2017-11-07,606.0,606.0,571.1,580.45,14304
2017-11-08,592.5,604.0,571.1,596.05,13744
2017-11-09,586.7,603.8,586.0,600.85,10412
2017-11-12,604.95,625.0,580.2,588.5,7511
2017-11-13,593.6,594.8,576.0,581.4,5518
2017-11-14,573.5,593.0,557.45,566.45,12922
2017-11-15,565.45,574.9,545.0,555.75,5735
2017-11-16,561.0,575.55,560.55,574.6,6926
2017-11-19,577.4,590.1,574.6,579.6,5169
2017-11-20,593.9,593.9,571.2,584.35,8910
2017-11-21,585.15,589.5,571.15,579.95,7689
2017-11-22,592.9,592.9,576.05,580.1,8777
2017-11-23,587.2,595.0,575.15,591.45,6578
2017-11-26,596.0,628.9,595.05,622.85,28023
2017-11-27,632.95,673.5,623.9,645.5,94094
2017-11-28,657.0,681.2,647.3,664.55,32135
2017-11-29,663.0,669.0,648.65,665.05,12563
2017-11-30,668.5,689.95,668.45,685.05,17808
2017-12-03,695.0,700.0,661.2,692.5,12562
2017-12-04,698.0,747.7,683.0,737.1,57718
2017-12-05,738.8,782.05,678.25,713.55,102979
2017-12-06,724.0,747.9,705.0,713.6,21275
