,open,high,low,close,volume
2016-12-18,1095.0,1102.0,1068.4,1073.3,263152
2016-12-19,1074.0,1076.9,1041.75,1049.1,173526
2016-12-20,1055.7,1070.0,1045.1,1066.6,153657
2016-12-21,1076.8,1076.8,1038.75,1043.65,245284
2016-12-22,1040.0,1050.0,1020.1,1040.35,261733
2016-12-25,1030.0,1041.45,1014.1,1023.55,192933
2016-12-26,1034.7,1046.85,1025.3,1043.25,232732
2016-12-27,1044.3,1058.8,1028.6,1031.4,250533
2016-12-28,1033.85,1069.4,1030.0,1064.35,290512
2016-12-29,1065.0,1071.95,1052.1,1062.2,201259
2017-01-01,1063.4,1073.9,1053.75,1068.45,180831
2017-01-02,1065.0,1069.9,1042.6,1048.5,360347
2017-01-03,1054.0,1082.2,1050.1,1073.5,225206
2017-01-04,1075.5,1099.0,1075.0,1094.8,214765
2017-01-05,1100.0,1108.8,1079.7,1098.85,383550
2017-01-08,1095.0,1162.0,1093.2,1157.4,885203
2017-01-09,1163.0,1173.8,1143.15,1167.35,537509
2017-01-10,1171.95,1182.0,1164.0,1176.0,214357
2017-01-11,1155.0,1175.0,1145.5,1155.35,214740
2017-01-12,1150.0,1158.7,1138.1,1148.85,387673
2017-01-15,1144.0,1152.75,1136.4,1147.65,153348
2017-01-16,1147.0,1151.85,1132.55,1139.6,146741
2017-01-17,1135.0,1140.7,1121.6,1125.85,221810
2017-01-18,1125.0,1137.3,1113.1,1120.95,208248
2017-01-19,1116.0,1132.0,1098.2,1104.95,224480
2017-01-22,1105.0,1110.0,1093.1,1106.05,146608
2017-01-23,1100.0,1138.1,1099.95,1127.25,366840
2017-01-24,1140.95,1145.0,1105.05,1136.25,543536
2017-01-26,1136.0,1152.0,1109.4,1125.05,365155
2017-01-29,1124.85,1134.0,1111.0,1113.25,255854
2017-01-30,1110.0,1114.8,1092.6,1096.05,187568
2017-01-31,1083.15,1106.8,1070.85,1084.15,392836
2017-02-01,1080.0,1097.8,1053.0,1083.95,614198
2017-02-02,1091.0,1274.7,1091.0,1194.65,3461381
2017-02-05,1205.0,1209.9,1162.6,1189.65,754755
2017-02-06,1194.2,1221.45,1177.55,1206.6,426537
2017-02-07,1205.0,1211.4,1185.6,1198.05,190567
2017-02-08,1199.9,1211.0,1193.2,1205.35,369436
2017-02-09,1205.0,1218.1,1180.9,1189.15,178453
2017-02-12,1187.0,1189.85,1166.2,1180.6,160268
2017-02-13,1181.0,1184.55,1166.9,1173.6,124652
2017-02-14,1174.0,1194.9,1158.1,1163.95,204623
2017-02-15,1170.0,1192.55,1158.2,1188.95,165072
