,open,high,low,close,volume
2021-11-22,312.45,312.5,299.9,300.3,1396
2021-11-23,310.0,310.0,299.95,300.0,3417
2021-11-24,309.0,309.0,295.0,299.5,3112
2021-11-25,290.25,300.85,278.05,288.3,1605
2021-11-28,280.05,298.35,269.95,278.5,1730
2021-11-29,278.45,298.0,259.9,293.7,2996
2021-11-30,300.0,316.85,296.15,312.6,43167
2021-12-01,329.9,329.9,305.0,306.7,5926
2021-12-02,314.95,314.95,292.05,294.7,2418
2021-12-05,306.65,308.0,295.15,296.8,9355
2021-12-06,297.2,305.0,292.5,295.3,4041
2021-12-07,305.0,317.25,295.05,308.6,26308
2021-12-08,309.0,314.05,300.0,301.0,2998
2021-12-09,305.0,315.0,300.25,310.85,6748
2021-12-12,320.0,320.0,301.15,312.95,4745
2021-12-13,312.5,315.0,303.3,314.85,651
2021-12-14,291.05,319.95,291.05,309.6,4280
2021-12-15,305.15,314.5,300.0,302.7,1467
2021-12-16,318.35,318.35,288.9,302.15,3952
2021-12-19,329.0,329.0,292.15,293.4,2964
2021-12-20,310.0,316.3,296.6,298.45,4028
2021-12-21,309.0,309.0,297.0,300.4,2518
2021-12-22,308.5,308.5,283.0,290.25,1877
2021-12-23,292.9,299.85,290.3,293.4,1420
2021-12-26,293.95,301.2,290.15,294.25,2303
2021-12-27,296.85,304.0,293.8,299.75,1060
2021-12-28,303.25,304.3,293.0,299.05,1625
2021-12-29,299.45,305.75,290.0,292.4,2143
2021-12-30,297.2,298.75,293.0,294.95,1304
2022-01-02,294.5,299.95,292.8,296.3,4344
2022-01-03,301.0,301.0,285.5,290.75,4987
2022-01-04,293.0,296.95,281.45,284.7,2105
2022-01-05,287.05,289.95,280.0,285.35,8242
2022-01-06,285.95,289.85,282.5,284.55,1132
2022-01-09,283.2,291.95,282.15,290.7,4289
2022-01-10,285.25,303.0,285.2,298.65,5488
2022-01-11,305.0,305.0,293.0,294.9,1554
2022-01-12,285.0,299.25,283.6,291.4,2835
2022-01-13,300.0,331.05,287.9,322.4,59312
2022-01-16,330.0,336.0,322.5,327.85,37260
2022-01-17,330.0,330.2,316.1,316.5,12094
2022-01-18,313.6,328.35,310.0,316.0,741
2022-01-19,311.0,322.4,310.0,311.55,2151
2022-01-20,299.75,308.4,295.0,304.4,3587
2022-01-23,299.05,302.35,280.1,289.8,2228
2022-01-24,288.95,312.0,277.4,283.4,1911
2022-01-26,279.0,324.8,275.05,300.6,2452
2022-01-27,309.05,341.05,298.0,314.5,63161
2022-01-30,312.8,314.0,303.35,310.25,11670
2022-01-31,305.95,313.65,300.35,309.35,5601
2022-02-01,315.45,315.45,305.05,310.4,1256
2022-02-02,308.0,315.0,303.0,304.2,2656
2022-02-03,307.9,311.8,300.0,301.0,6395
2022-02-06,303.45,307.15,293.0,299.0,4715
2022-02-07,289.3,307.05,289.3,303.15,2066
2022-02-08,302.4,315.0,290.2,298.05,2009
2022-02-09,294.4,314.9,291.0,296.15,6893
2022-02-10,296.9,304.0,291.95,295.4,912
2022-02-13,291.5,304.05,268.85,277.35,2110
2022-02-14,276.2,289.9,276.15,280.15,3045
2022-02-15,286.05,303.85,282.9,285.75,999
2022-02-16,285.0,293.9,280.95,289.15,1367
2022-02-17,303.0,303.0,280.1,285.0,1022
2022-02-20,283.7,294.9,280.0,280.15,1941
2022-02-21,238.0,294.0,238.0,291.3,3733
2022-02-22,291.0,291.0,278.05,287.05,1536
2022-02-23,290.0,290.0,270.0,274.85,2785
2022-02-24,281.0,289.0,270.0,274.9,565
2022-02-27,240.6,285.2,240.6,280.25,3449
2022-03-01,276.95,303.0,275.05,288.35,1433
2022-03-02,287.2,293.9,276.2,286.0,1735
2022-03-03,286.55,286.7,279.05,284.85,806
2022-03-06,284.9,285.85,270.0,271.95,1109
