,open,high,low,close,volume
2024-08-28,345.0,349.9,300.05,312.75,28693
2024-08-29,319.1,324.0,313.35,315.55,1611
2024-09-01,349.0,349.0,313.55,320.0,7691
2024-09-02,342.0,342.0,320.05,322.6,3595
2024-09-03,318.25,325.0,311.85,314.3,5082
2024-09-04,322.9,329.0,314.05,316.4,3074
2024-09-05,319.15,319.65,311.05,315.0,959
2024-09-08,315.0,325.95,300.0,310.45,3079
2024-09-09,322.25,338.4,307.2,330.25,12263
2024-09-10,348.0,396.3,331.3,390.15,131587
2024-09-11,430.0,460.0,407.75,432.35,270112
2024-09-12,450.0,478.85,435.85,463.65,172815
2024-09-15,454.0,459.0,437.0,442.05,39592
2024-09-16,421.05,441.0,421.0,428.3,5983
2024-09-17,428.3,437.9,406.9,408.0,8621
2024-09-18,389.05,405.0,389.05,395.05,9912
2024-09-19,395.1,405.0,395.1,403.35,8796
2024-09-22,418.9,418.9,400.0,408.5,1678
2024-09-23,418.0,418.0,393.0,396.1,3121
2024-09-24,404.95,415.9,404.95,415.9,2150
2024-09-25,436.65,436.65,436.65,436.65,1069
2024-09-26,458.0,458.45,458.0,458.45,3102
2024-09-29,463.0,481.35,441.0,455.7,12819
2024-09-30,446.6,446.6,446.6,446.6,1105
2024-10-02,442.1,442.1,437.7,437.7,336
2024-10-03,428.95,428.95,428.95,428.95,1996
2024-10-06,420.4,435.0,420.4,435.0,2845
2024-10-07,435.5,440.0,435.0,435.0,7079
2024-10-08,443.7,443.7,443.65,443.7,2044
2024-10-09,450.0,451.0,450.0,450.0,4424
2024-10-10,449.5,459.0,449.5,459.0,3901
2024-10-13,465.0,465.0,464.95,465.0,5911
2024-10-14,470.0,470.0,470.0,470.0,9982
2024-10-15,460.6,460.6,460.6,460.6,2610
2024-10-16,455.0,469.8,455.0,455.0,5509
2024-10-17,455.0,455.0,455.0,455.0,880
2024-10-20,464.0,464.0,455.0,455.0,1040
2024-10-21,450.0,450.0,445.9,445.9,25
2024-10-22,444.7,454.8,444.7,454.8,4101
2024-10-23,454.0,454.0,445.7,445.7,401
2024-10-24,436.8,437.0,436.8,437.0,318
2024-10-27,430.0,430.0,428.3,428.3,118
2024-10-28,419.8,419.8,419.8,419.8,94
2024-10-29,419.8,428.15,419.8,428.15,408
2024-10-30,434.0,435.1,434.0,435.1,603
2024-10-31,443.0,443.0,443.0,443.0,2000
2024-11-03,450.0,450.0,443.5,443.55,690
2024-11-04,440.0,440.0,440.0,440.0,3160
2024-11-05,448.8,448.8,441.0,441.0,2215
2024-11-06,441.1,441.1,440.9,440.9,655
2024-11-07,440.0,441.05,440.0,440.95,3456
2024-11-10,456.95,462.95,425.6,462.95,8899
2024-11-11,462.0,474.95,441.1,455.3,2276
2024-11-12,454.95,462.0,435.6,455.85,1376
2024-11-13,435.0,475.0,435.0,459.0,703
2024-11-17,470.0,470.0,436.05,436.05,1175
2024-11-18,431.95,457.85,415.0,441.75,2484
2024-11-20,440.0,463.8,419.7,459.0,6897
2024-11-21,436.1,440.0,436.05,436.05,355
2024-11-24,449.95,449.95,414.25,432.85,4658
2024-11-25,413.15,429.95,413.1,425.1,807
2024-11-26,411.0,424.9,411.0,411.65,1370
2024-11-27,411.6,411.9,409.1,411.6,1254
2024-11-28,406.05,411.55,406.05,411.05,985
2024-12-01,407.0,407.0,395.05,406.65,3460
2024-12-02,398.55,412.0,398.55,403.2,1727
2024-12-03,400.0,423.35,400.0,423.35,3978
2024-12-04,433.0,433.0,406.15,417.0,888
2024-12-05,414.0,434.4,414.0,420.1,253
2024-12-08,420.0,441.0,415.1,439.95,3129
2024-12-09,439.95,439.95,424.0,437.0,520
2024-12-10,436.95,455.7,420.0,440.2,1818
2024-12-11,455.5,462.0,425.1,425.1,189
2024-12-12,440.95,440.95,410.0,435.9,2006
2024-12-15,435.9,441.0,435.9,441.0,1376
