,open,high,low,close,volume
2016-12-18,88.5,89.9,88.5,89.0,632
2016-12-19,89.0,89.0,85.6,87.0,1238
2016-12-20,86.0,87.25,82.75,83.6,12082
2016-12-21,86.5,86.5,81.5,82.55,4470
2016-12-22,82.1,85.4,82.1,83.7,3294
2016-12-25,82.0,83.7,81.1,82.0,1008
2016-12-26,80.5,81.4,78.9,80.0,2582
2016-12-27,82.5,82.5,80.1,81.9,2062
2016-12-28,82.4,82.4,81.9,81.9,236
2016-12-29,80.8,81.8,78.5,80.4,2034
2017-01-01,79.5,84.0,79.5,83.6,2122
2017-01-03,85.0,91.75,85.0,90.5,26332
2017-01-03,91.5,94.4,90.0,92.25,9998
2017-01-04,94.0,96.85,91.6,95.6,6836
2017-01-05,94.5,96.4,94.5,96.35,1352
2017-01-08,96.2,96.2,94.3,96.1,2028
2017-01-09,96.25,96.9,92.65,94.05,3162
2017-01-10,97.0,97.0,94.5,96.6,7922
2017-01-11,93.05,96.2,93.05,94.65,878
2017-01-12,97.0,97.0,94.5,94.65,914
2017-01-15,90.5,98.2,90.5,94.6,4968
2017-01-16,98.35,99.45,95.25,96.0,752
2017-01-17,93.5,97.9,93.5,97.9,454
2017-01-18,96.0,96.0,93.5,93.9,3760
2017-01-19,96.45,96.45,93.0,94.9,3026
2017-01-22,95.0,98.55,92.35,97.7,3298
2017-01-23,101.45,107.0,98.1,105.1,80044
2017-01-24,109.2,109.5,101.0,101.7,10508
2017-01-26,99.5,104.95,99.5,101.2,2890
2017-01-29,103.7,103.7,96.75,99.3,7682
2017-01-30,99.5,99.5,97.55,97.6,1064
2017-01-31,99.0,99.0,92.0,93.3,7714
2017-02-01,97.0,99.5,95.0,96.0,3296
2017-02-02,95.25,98.4,95.25,96.8,5748
2017-02-05,97.0,100.0,97.0,99.5,4820
2017-02-06,98.5,99.25,97.6,97.9,1708
2017-02-07,101.8,103.8,97.6,100.1,5348
2017-02-08,97.5,109.35,93.6,105.4,73536
2017-02-09,104.7,105.75,99.0,99.7,10962
2017-02-12,99.25,101.0,95.0,97.2,28442
2017-02-13,98.45,98.45,94.05,94.1,9086
2017-02-14,94.05,94.1,92.5,92.8,3234
2017-02-15,96.35,97.0,93.0,95.35,2842
2017-02-16,91.7,94.7,90.8,91.9,20130
2017-02-19,92.0,92.25,89.05,91.9,12432
2017-02-21,91.65,103.5,91.15,97.45,21150
2017-02-21,100.5,100.5,95.0,96.3,37438
2017-02-22,97.5,100.95,96.35,100.15,12272
2017-02-26,98.1,101.95,98.1,101.0,4838
2017-02-27,99.5,105.0,98.75,103.2,21682
2017-02-28,104.45,106.75,102.7,104.75,5166
2017-03-01,103.0,106.5,103.0,105.0,13240
2017-03-02,105.0,109.0,102.15,107.7,69322
2017-03-05,108.5,108.5,102.0,104.5,16594
2017-03-06,106.0,106.0,100.8,102.5,11484
2017-03-07,104.5,105.05,100.5,104.75,18400
2017-03-08,103.3,105.0,102.6,105.0,3374
2017-03-09,107.0,107.0,101.0,102.3,5048
2017-03-13,107.5,112.2,101.3,104.6,7970
2017-03-14,103.1,105.7,103.1,105.0,2494
2017-03-15,107.5,108.55,105.0,107.3,5416
2017-03-16,108.0,108.0,104.0,105.75,4472
2017-03-19,107.0,112.2,104.0,105.1,4286
2017-03-20,107.45,107.45,104.95,105.5,9110
2017-03-21,106.5,106.5,100.5,104.3,18684
2017-03-22,103.0,113.35,103.0,109.9,28464
2017-03-23,108.0,116.35,108.0,108.7,9724
2017-03-26,111.8,112.4,104.55,107.4,47862
2017-03-27,110.0,112.7,108.1,109.95,116006
2017-03-28,114.75,114.75,106.85,108.1,20458
2017-03-29,107.1,117.0,107.05,112.45,5712
2017-03-30,110.5,122.0,108.0,115.8,29376
2017-04-02,114.1,126.95,114.05,122.15,75172
2017-04-04,127.05,135.0,122.5,129.9,34740
2017-04-05,135.0,135.0,124.75,125.2,10260
2017-04-06,125.5,127.0,117.5,119.4,5696
2017-04-09,121.0,126.5,115.0,121.1,3460
2017-04-10,124.5,128.0,121.5,122.8,11618
2017-04-11,120.5,123.0,116.5,119.2,29482
2017-04-12,120.5,122.5,117.0,117.2,49246
2017-04-16,116.0,122.6,115.05,121.2,10466
2017-04-17,120.0,122.5,118.3,119.8,8324
2017-04-18,118.0,123.4,118.0,121.4,2520
2017-04-19,118.5,125.4,118.5,122.0,16912
2017-04-20,122.0,126.25,122.0,125.15,13966
2017-04-23,125.0,133.5,121.5,131.0,46556
2017-04-24,129.0,130.05,125.05,126.0,13552
2017-04-25,125.0,132.7,125.0,127.0,26398
2017-04-26,126.5,128.5,125.5,127.9,3298
2017-04-27,130.0,135.0,126.5,132.7,30192
2017-05-01,136.0,136.0,130.6,132.55,27214
2017-05-03,133.5,133.5,125.0,127.45,28372
2017-05-03,132.0,132.0,124.9,127.8,14852
2017-05-04,125.5,130.1,124.0,129.5,10844
2017-05-07,130.0,130.55,127.5,127.7,1772
2017-05-08,128.5,130.0,127.55,129.2,1950
2017-05-09,128.0,129.75,127.5,129.45,4718
2017-05-10,129.5,130.0,128.5,128.5,726
2017-05-11,128.7,128.7,126.0,127.4,1514
2017-05-14,125.5,127.5,122.9,126.5,2056
2017-05-15,127.5,129.5,126.5,129.1,7496
2017-05-16,126.2,128.9,116.9,125.95,36540
2017-05-17,125.7,133.7,121.5,129.1,110092
2017-05-18,130.0,131.0,122.5,124.9,20854
2017-05-21,129.9,129.9,112.0,115.3,37510
2017-05-22,115.0,115.0,110.0,112.6,11468
2017-05-23,110.0,115.45,107.8,111.75,11552
2017-05-24,110.5,118.8,107.5,117.85,4642
2017-05-25,121.25,121.25,116.5,118.35,1826
2017-05-28,122.5,129.0,120.5,121.5,14340
2017-05-29,122.4,124.0,118.3,122.5,7706
2017-05-30,127.4,128.5,120.5,121.45,4380
2017-05-31,124.15,124.15,122.5,122.6,3000
2017-06-01,122.5,124.9,122.5,122.95,1240
2017-06-04,134.4,134.4,126.0,127.5,108296
2017-06-05,129.45,129.45,118.75,122.1,20002
2017-06-06,124.0,125.5,119.0,119.75,2548
2017-06-07,122.5,122.5,120.55,120.7,1534
2017-06-08,121.5,121.9,119.55,120.4,1324
2017-06-11,120.6,126.3,116.6,119.4,12174
2017-06-12,121.0,124.7,119.0,121.2,5610
2017-06-13,122.5,122.5,117.0,117.7,12096
2017-06-14,119.35,119.95,116.25,116.45,3114
2017-06-15,117.1,120.0,115.65,118.7,1990
2017-06-18,121.5,121.5,119.0,119.1,490
2017-06-19,119.0,122.5,117.55,121.6,7720
2017-06-20,122.0,123.85,120.5,122.05,4484
2017-06-21,121.9,125.9,118.3,124.0,7686
2017-06-22,121.5,121.5,117.75,117.8,5882
2017-06-26,120.5,120.5,116.0,116.65,1712
2017-06-27,116.1,118.7,114.6,118.7,2422
2017-06-28,120.0,121.0,117.7,119.85,3706
2017-06-29,121.0,123.0,117.5,121.6,22862
2017-07-02,125.0,131.0,119.1,129.6,30492
2017-07-03,129.65,129.65,123.7,125.1,4796
2017-07-04,127.5,128.5,125.0,126.0,14022
2017-07-05,128.9,129.9,125.6,128.65,34680
2017-07-06,126.5,126.5,119.35,120.75,32778
2017-07-09,120.0,122.25,117.5,121.6,126
2017-07-10,122.5,125.0,120.35,123.2,19204
2017-07-11,126.9,126.9,120.8,121.4,30864
2017-07-12,122.55,124.0,121.25,123.05,121456
2017-07-13,127.35,127.35,115.0,122.2,30592
2017-07-16,124.35,129.9,122.3,129.65,231258
2017-07-17,127.9,130.5,122.5,129.65,40276
2017-07-18,130.0,137.5,127.5,136.95,45944
2017-07-19,137.5,139.45,135.0,137.9,21538
2017-07-20,136.4,138.0,135.1,136.1,7776
2017-07-23,138.0,145.5,137.5,142.8,50630
2017-07-24,145.6,146.2,141.0,145.05,42486
2017-07-25,147.2,174.05,142.5,154.0,2838010
2017-07-26,154.55,156.0,147.15,148.85,287928
2017-07-27,150.95,158.5,143.6,155.7,292998
2017-07-30,157.45,162.0,152.8,161.3,241636
2017-07-31,162.5,173.7,161.5,169.25,465368
2017-08-01,169.0,172.4,167.0,168.75,97356
2017-08-02,169.6,169.6,161.5,163.8,34010
2017-08-03,162.45,172.95,162.45,166.7,79266
2017-08-06,168.5,169.0,162.35,163.35,22944
2017-08-07,163.3,167.75,158.0,166.2,63476
2017-08-08,162.9,168.5,161.5,164.6,40026
2017-08-09,161.3,166.75,157.4,159.7,30102
2017-08-10,147.5,164.5,147.5,158.1,30832
2017-08-13,160.5,166.2,159.25,162.35,26546
2017-08-15,162.45,188.5,162.45,184.1,228742
2017-08-16,187.0,201.4,187.0,195.6,261574
2017-08-17,196.45,196.45,187.5,190.75,62204
2017-08-20,187.25,189.5,180.0,181.3,57742
2017-08-21,186.0,186.0,174.5,176.6,29856
2017-08-22,175.0,177.0,167.75,172.0,14752
2017-08-23,166.1,172.45,163.4,164.65,25456
2017-08-27,164.7,172.55,157.5,172.5,12862
2017-08-28,165.5,176.0,165.0,170.15,5694
2017-08-29,176.9,176.9,167.5,171.5,14312
2017-08-30,170.0,176.5,168.5,170.65,14482
2017-08-31,177.5,177.5,167.5,173.8,6402
2017-09-03,177.5,177.5,170.0,172.5,5270
2017-09-04,176.3,177.5,171.0,174.6,6302
2017-09-05,171.5,174.75,170.6,174.5,10004
2017-09-06,169.0,179.5,169.0,177.2,14642
2017-09-07,179.95,186.0,178.5,184.3,24358
2017-09-10,186.0,190.0,178.0,178.8,10998
2017-09-11,187.75,187.75,172.5,180.0,8090
2017-09-12,180.0,185.0,177.55,182.5,2174
2017-09-13,175.55,188.0,175.55,184.6,4116
2017-09-14,175.5,185.5,175.5,185.0,2448
2017-09-17,184.5,185.0,180.0,182.5,5852
2017-09-18,180.5,191.0,180.5,187.9,10930
2017-09-19,188.0,194.45,185.0,186.8,12104
2017-09-20,191.5,191.5,182.5,184.2,5366
2017-09-21,178.75,185.0,178.75,180.75,6280
2017-09-24,180.0,180.0,171.75,180.0,5368
2017-09-25,171.5,180.0,171.5,175.0,4352
2017-09-26,180.0,182.5,171.5,177.65,3416
2017-09-27,177.5,180.0,171.5,177.1,2988
2017-09-28,175.0,184.5,174.5,181.5,2048
2017-10-02,182.5,190.5,177.6,188.3,8024
2017-10-03,189.0,197.7,188.0,196.7,11068
2017-10-04,195.0,202.5,188.05,195.0,9170
2017-10-05,200.0,200.85,194.55,197.2,9470
2017-10-08,206.45,207.05,200.7,207.05,25014
2017-10-09,217.4,217.4,217.4,217.4,6058
2017-10-10,228.25,228.25,207.8,220.9,142382
2017-10-11,222.5,225.0,209.9,212.45,43812
2017-10-12,201.85,222.5,201.85,217.75,3898
2017-10-15,227.5,227.5,216.2,220.0,4688
2017-10-16,220.0,225.0,210.0,218.5,9758
2017-10-17,210.8,225.0,210.8,222.5,12718
2017-10-22,220.0,225.0,213.05,219.1,6846
2017-10-23,222.45,224.0,213.55,221.25,6690
2017-10-24,224.0,224.0,210.2,210.2,16334
2017-10-25,205.0,208.5,199.7,205.1,6620
2017-10-26,210.0,210.0,202.7,203.2,826
2017-10-29,210.0,213.3,200.0,204.8,10166
2017-10-30,204.0,208.5,200.75,202.65,3426
2017-10-31,203.5,203.5,196.0,199.0,3696
2017-11-01,207.5,207.5,190.5,205.0,11256
2017-11-02,209.5,215.0,204.0,212.4,7656
2017-11-05,212.4,223.0,204.25,220.85,94898
2017-11-06,231.85,231.85,220.55,221.3,6958
2017-11-07,229.0,229.0,211.0,217.25,5660
2017-11-08,228.0,228.0,207.0,213.8,11234
2017-11-09,222.5,222.5,205.0,210.6,6420
2017-11-12,200.1,210.0,200.1,202.9,28606
2017-11-13,213.05,213.05,200.0,211.95,27018
2017-11-14,211.9,214.9,205.0,210.2,16808
2017-11-15,206.0,217.75,205.0,207.65,1019942
2017-11-16,218.0,218.0,218.0,218.0,19884
2017-11-19,228.9,228.9,228.9,228.9,4388
2017-11-20,240.0,240.35,240.0,240.35,6042
2017-11-21,252.35,252.35,242.75,252.35,159814
2017-11-22,262.7,264.95,258.0,264.2,109030
2017-11-23,275.0,277.4,275.0,277.4,38914
2017-11-26,291.2,291.2,291.2,291.2,8948
2017-11-27,305.8,305.8,284.0,305.8,458672
2017-11-28,310.0,319.5,290.5,290.5,182620
2017-11-29,280.0,285.0,276.0,276.1,71580
2017-11-30,270.1,289.9,270.1,281.4,82208
2017-12-03,291.3,291.3,275.95,285.35,29974
2017-12-04,287.5,293.75,286.6,291.0,35618
2017-12-05,292.5,305.55,291.0,304.9,145894
2017-12-06,307.0,307.95,295.0,302.0,37554
2017-12-07,302.5,317.1,286.9,317.1,185924
2017-12-10,327.5,332.95,319.3,332.95,72388
2017-12-11,340.0,349.6,322.5,348.7,303664
2017-12-12,345.0,347.2,332.5,334.45,75594
2017-12-13,344.0,344.0,317.75,326.7,65582
2017-12-14,332.5,340.0,318.55,324.3,65560
2017-12-17,324.0,340.5,308.25,324.8,261252
2017-12-18,330.5,335.0,322.5,331.8,47146
2017-12-19,334.9,348.35,330.5,334.5,92782
2017-12-20,338.95,339.75,328.5,334.8,30644
2017-12-21,337.9,337.9,318.1,319.4,30458
2017-12-25,322.5,322.5,307.5,310.15,25772
2017-12-26,312.5,315.0,308.5,309.55,23714
2017-12-27,312.4,312.4,303.5,305.0,13250
2017-12-28,302.5,310.0,298.0,302.6,16530
2017-12-31,307.5,307.5,287.5,289.2,45786
2018-01-01,299.7,303.7,288.3,303.7,32640
2018-01-02,318.85,318.85,299.0,310.95,113194
2018-01-03,322.5,322.5,307.5,312.6,38208
2018-01-04,322.5,328.2,312.5,325.0,142996
2018-01-07,332.5,332.5,316.3,322.65,39924
2018-01-08,316.3,336.0,315.0,326.3,33478
2018-01-09,327.5,330.0,320.0,328.2,35656
2018-01-10,332.0,337.5,317.55,323.45,22136
2018-01-11,315.0,327.5,315.0,316.8,9224
2018-01-14,307.5,332.5,307.5,326.0,41332
2018-01-15,330.1,334.35,313.5,314.4,43682
2018-01-16,315.1,318.0,300.8,313.7,15952
2018-01-17,323.5,323.5,308.7,312.4,13184
2018-01-18,307.5,310.8,302.7,305.65,18678
2018-01-21,309.0,310.0,304.25,307.55,7990
2018-01-22,305.0,315.0,305.0,308.1,16816
