,open,high,low,close,volume
2022-10-05,450.0,450.0,427.5,427.5,11935
2022-10-06,406.15,406.15,406.15,406.15,139
2022-10-09,385.85,385.85,385.85,385.85,57
2022-10-10,366.6,366.6,366.6,366.6,133
2022-10-11,348.3,348.3,348.3,348.3,161
2022-10-12,330.9,330.9,330.9,330.9,6223
2022-10-13,317.8,325.0,314.4,315.0,66387
2022-10-16,330.75,330.75,330.75,330.75,5539
2022-10-17,347.25,347.25,347.25,347.25,451
2022-10-18,364.6,364.6,364.6,364.6,359
2022-10-19,424.0,437.5,399.9,437.5,27244
2022-10-20,494.0,525.0,482.4,522.05,322149
2022-10-23,547.0,574.25,545.0,567.1,53243
2022-10-24,594.9,623.8,586.15,623.8,80037
2022-10-26,654.7,680.0,561.45,564.1,191456
2022-10-27,562.0,580.95,507.7,507.7,91729
2022-10-30,500.0,513.45,466.3,500.45,76791
2022-10-31,485.3,550.45,485.3,550.45,25253
2022-11-01,600.0,605.45,535.0,576.8,140742
2022-11-02,563.0,577.45,540.05,549.95,44097
2022-11-03,536.0,575.0,536.0,543.2,28057
2022-11-06,550.0,569.0,500.0,513.8,34651
2022-11-08,497.05,532.7,497.05,508.0,28188
2022-11-09,510.05,518.3,485.0,490.25,14452
2022-11-10,495.4,518.0,475.0,484.05,11286
2022-11-13,532.45,532.45,522.65,532.45,24131
2022-11-14,557.8,579.0,523.95,537.7,42445
2022-11-15,537.7,537.7,506.0,513.95,11570
2022-11-16,514.0,521.95,490.0,503.05,7178
2022-11-17,495.0,520.0,491.2,497.45,6498
2022-11-20,488.0,493.0,464.6,472.1,8749
2022-11-21,453.0,469.85,430.5,433.05,25324
2022-11-22,435.15,476.35,430.55,476.35,10374
2022-11-23,499.0,518.8,480.05,495.0,44100
2022-11-24,487.9,504.85,487.9,495.75,10925
2022-11-27,481.0,543.0,481.0,522.35,28682
2022-11-28,543.5,543.5,504.0,506.7,14989
2022-11-29,518.0,523.95,501.0,504.85,19474
2022-11-30,507.4,516.0,491.05,503.75,10444
2022-12-01,503.75,513.0,495.3,498.55,3199
2022-12-04,502.55,504.05,494.0,495.75,3240
2022-12-05,477.0,493.85,477.0,482.75,3238
2022-12-06,485.2,493.65,468.8,473.95,8462
2022-12-07,478.75,488.9,463.5,466.4,7549
2022-12-08,471.5,481.9,430.7,450.9,14962
2022-12-11,457.0,495.95,451.0,495.95,23981
2022-12-12,520.0,524.9,488.65,496.05,41356
2022-12-13,494.0,496.25,476.65,487.4,10392
2022-12-14,481.0,491.0,476.7,479.6,4626
2022-12-15,478.8,489.9,467.05,479.0,2883
2022-12-18,482.95,488.0,471.1,477.55,2803
2022-12-19,476.75,486.0,467.05,471.9,2508
2022-12-20,475.2,483.05,455.0,462.45,2743
2022-12-21,471.0,474.65,423.4,430.05,14267
2022-12-22,432.25,434.95,400.0,401.6,8439
2022-12-25,401.6,441.0,401.6,438.9,10198
2022-12-26,441.1,468.45,436.6,442.05,4131
