,open,high,low,close,volume
2021-09-13,540.0,648.0,532.5,620.1,22194857
2021-09-14,618.5,658.0,591.2,640.5,7226253
2021-09-15,643.95,672.0,636.0,644.05,1756036
2021-09-16,644.05,649.3,592.5,627.0,1823087
2021-09-19,613.5,617.8,575.55,584.5,873363
2021-09-20,583.5,594.1,535.1,575.4,1333438
2021-09-21,580.0,614.9,574.3,578.7,1007133
2021-09-22,586.0,600.0,577.0,579.35,480924
2021-09-23,585.0,591.0,568.5,579.75,378162
2021-09-26,581.1,585.7,573.4,578.3,428695
2021-09-27,575.0,580.9,570.3,578.15,503432
2021-09-28,575.0,575.0,550.55,565.55,262342
2021-09-29,562.5,571.85,562.5,569.95,170329
2021-09-30,562.2,572.0,550.0,551.3,292272
2021-10-03,552.05,561.15,547.7,551.6,202460
2021-10-04,551.65,585.35,551.65,580.7,498976
2021-10-05,576.1,580.65,576.1,579.35,142636
2021-10-06,578.0,581.65,568.6,572.8,90526
2021-10-07,568.0,586.8,566.15,581.5,542408
2021-10-10,581.0,585.85,564.0,567.4,137082
2021-10-11,561.25,573.4,561.25,564.7,96581
2021-10-12,563.0,569.9,542.0,559.75,235075
2021-10-13,560.0,565.65,560.0,562.4,1003444
2021-10-17,565.0,575.7,565.0,574.95,534218
2021-10-18,574.95,574.95,558.05,561.25,155138
2021-10-19,560.0,630.0,548.65,584.4,973120
2021-10-20,584.4,587.0,571.0,572.35,432567
2021-10-21,573.95,579.5,571.0,573.9,91127
2021-10-24,580.45,600.0,561.0,569.0,218191
2021-10-25,568.5,574.9,553.65,569.1,452600
2021-10-26,563.0,577.0,560.0,568.55,75036
2021-10-27,566.7,575.0,561.15,569.25,293756
2021-10-28,562.15,568.95,550.0,564.5,205433
2021-10-31,560.0,572.35,560.0,569.55,120429
2021-11-01,565.6,574.0,561.25,569.1,84285
2021-11-02,563.1,568.75,562.15,564.9,36302
2021-11-03,537.1,574.0,537.1,559.75,19974
2021-11-07,560.6,582.45,560.6,564.5,216811
2021-11-08,560.1,574.9,543.65,570.0,295703
2021-11-09,563.1,573.4,562.05,564.0,74802
2021-11-10,563.0,570.2,556.0,564.05,66039
2021-11-11,561.0,569.7,561.0,565.55,504239
2021-11-14,565.55,571.0,563.5,568.1,333642
2021-11-15,566.0,591.65,565.15,590.05,339325
2021-11-16,590.0,602.95,578.45,584.2,198114
2021-11-17,580.0,583.25,565.8,571.0,328259
2021-11-21,568.0,578.0,567.95,575.2,86304
2021-11-22,567.25,588.9,567.25,583.8,120040
2021-11-23,577.6,589.1,566.0,568.1,493263
2021-11-24,567.0,579.0,565.0,571.55,50920
2021-11-25,567.0,602.0,567.0,585.0,334525
2021-11-28,576.0,591.85,569.5,572.05,192879
2021-11-29,570.2,582.6,570.2,576.5,93872
2021-11-30,580.0,583.6,573.0,575.75,47242
2021-12-01,573.1,598.6,573.1,590.9,130244
2021-12-02,590.9,599.45,580.35,584.75,72862
2021-12-05,584.0,595.85,580.7,589.65,106346
2021-12-06,590.0,595.0,574.25,579.7,86672
2021-12-07,579.0,581.0,569.15,571.35,80094
2021-12-08,572.0,575.75,567.25,570.75,51355
2021-12-09,568.55,576.45,567.25,573.9,72274
2021-12-12,573.0,576.45,568.0,570.2,97800
2021-12-13,570.0,572.1,567.25,570.8,36515
2021-12-14,576.2,577.0,568.4,570.1,27321
2021-12-15,571.0,581.9,565.25,567.4,73247
2021-12-16,567.0,567.0,540.0,541.25,90386
2021-12-19,526.0,544.05,505.2,510.85,103361
2021-12-20,524.0,559.0,511.4,548.25,72614
2021-12-21,538.1,550.0,538.1,548.05,43692
