,open,high,low,close,volume
2016-12-18,119.1,119.4,117.6,118.55,84364
2016-12-19,118.5,120.05,117.0,118.55,166985
2016-12-20,119.5,119.5,115.55,116.15,61564
2016-12-21,116.5,119.8,112.2,116.7,196961
2016-12-22,116.1,117.95,114.0,115.65,93088
2016-12-25,113.5,115.6,113.2,114.05,141719
2016-12-26,114.4,116.85,113.55,115.95,80804
2016-12-27,115.95,118.25,115.25,116.55,122020
2016-12-28,115.05,117.75,115.05,116.75,43246
2016-12-29,117.0,118.75,116.7,117.25,100416
2017-01-01,117.0,118.8,116.4,118.3,92004
2017-01-02,118.9,123.6,118.1,123.2,287171
2017-01-03,123.55,124.5,121.15,121.6,126786
2017-01-04,122.0,125.9,122.0,124.55,190978
2017-01-05,124.9,124.95,121.6,122.0,81473
2017-01-08,122.25,122.75,119.25,119.95,98643
2017-01-09,121.0,121.75,119.55,119.95,86908
2017-01-10,120.6,122.2,120.25,121.0,113886
2017-01-11,121.3,122.75,119.55,121.15,105883
2017-01-12,120.7,121.7,119.5,120.4,57471
2017-01-15,120.3,127.4,119.4,125.3,374176
2017-01-16,126.0,129.0,126.0,126.9,398601
2017-01-17,127.6,128.3,125.1,125.9,105002
2017-01-18,125.9,127.0,124.15,125.25,143942
2017-01-19,125.1,125.1,122.5,123.4,110488
2017-01-22,123.0,124.8,122.3,123.4,70072
2017-01-23,123.05,124.2,122.1,122.45,79533
2017-01-24,123.55,127.4,122.0,126.5,211713
2017-01-26,127.2,135.65,125.95,132.4,1235401
2017-01-29,130.5,133.5,128.0,131.2,205161
2017-01-30,130.8,132.85,127.6,129.85,339188
2017-01-31,130.95,135.55,128.9,134.15,209035
2017-02-01,134.45,139.0,132.2,136.65,316804
2017-02-02,136.6,138.8,134.9,135.9,335516
2017-02-05,136.05,138.5,134.9,135.45,262879
2017-02-06,135.5,138.0,134.8,135.45,163887
2017-02-07,135.25,138.0,134.8,136.85,84528
2017-02-08,136.5,140.9,135.25,136.0,200354
2017-02-09,136.15,138.55,136.1,137.4,160945
2017-02-12,137.95,139.8,137.05,138.3,146784
2017-02-13,139.0,151.8,138.25,148.15,2465399
2017-02-14,147.5,148.4,143.45,145.05,557252
2017-02-15,145.0,153.8,142.05,149.1,555411
2017-02-16,149.6,155.5,147.5,150.2,756232
2017-02-19,150.4,152.85,149.7,151.65,158355
2017-02-20,152.75,152.75,149.5,150.05,155661
2017-02-21,150.4,151.6,146.4,146.85,130778
2017-02-22,146.05,150.8,145.0,147.0,162730
2017-02-26,147.4,151.85,147.2,148.55,121394
2017-02-27,148.65,153.5,148.2,152.25,230836
2017-02-28,153.9,154.6,151.3,152.4,230644
2017-03-01,153.35,156.4,147.7,148.65,249398
2017-03-02,147.9,149.4,143.6,147.7,213957
2017-03-05,147.3,152.5,146.2,148.55,133248
2017-03-06,149.6,154.45,147.5,153.1,340025
2017-03-07,152.0,156.5,148.2,150.55,283542
2017-03-08,149.85,156.5,149.1,153.7,558193
2017-03-09,155.2,160.9,155.2,158.2,954684
