,open,high,low,close,volume
2016-12-18,201.94,203.99,199.01,199.46,9110
2016-12-19,199.19,201.0,195.46,196.88,11805
2016-12-20,196.8,199.3,193.0,193.96,21150
2016-12-21,193.6,193.8,188.6,190.02,15420
2016-12-22,190.02,191.01,184.21,189.06,1181390
2016-12-25,187.2,188.03,183.0,183.59,33860
2016-12-26,183.4,186.0,183.4,184.68,21505
2016-12-27,184.39,186.4,184.39,185.11,27565
2016-12-28,185.8,191.76,185.39,189.06,46055
2016-12-29,191.2,192.17,186.51,190.0,171315
2017-01-01,190.0,192.68,186.8,188.6,13290
2017-01-02,188.4,192.0,188.4,189.19,35540
2017-01-03,189.0,191.67,187.01,187.64,19515
2017-01-04,188.0,190.0,188.0,189.8,37330
2017-01-05,190.47,190.6,187.2,187.84,52940
2017-01-08,187.64,190.1,185.6,187.18,12570
2017-01-09,187.0,189.0,185.75,186.67,11575
2017-01-10,186.69,187.0,186.0,186.62,27310
2017-01-11,185.01,187.59,185.01,185.69,23945
2017-01-12,187.56,188.03,180.61,183.06,102895
2017-01-15,182.9,184.04,180.0,180.48,37085
2017-01-16,184.0,184.0,180.5,181.61,303470
2017-01-17,182.56,184.8,182.22,183.01,15645
2017-01-18,183.2,183.99,181.99,182.85,39290
2017-01-19,182.8,184.36,182.8,184.01,35595
2017-01-22,183.75,184.26,181.6,182.91,202025
2017-01-23,182.8,184.79,182.4,183.55,23400
2017-01-24,188.99,188.99,182.01,183.23,77745
2017-01-26,183.1,185.39,182.01,182.18,55785
2017-01-29,182.04,184.18,182.01,182.14,39500
2017-01-30,182.14,183.8,176.32,178.54,114340
2017-01-31,176.0,177.99,173.44,176.25,167490
2017-02-01,176.15,179.77,175.61,177.95,32380
2017-02-02,177.6,180.8,176.07,177.23,28325
2017-02-05,177.13,180.8,176.3,179.51,80550
2017-02-06,181.99,181.99,179.41,180.42,35480
2017-02-07,181.14,184.03,179.04,183.24,48510
2017-02-08,181.0,183.0,180.99,182.24,81375
2017-02-09,184.0,184.2,181.89,183.38,43850
2017-02-12,183.59,188.37,182.24,185.47,102095
2017-02-13,185.39,190.8,184.2,189.26,616355
2017-02-14,189.19,191.06,186.2,187.0,60970
2017-02-15,186.61,188.99,184.12,188.37,25450
2017-02-16,188.99,189.59,186.0,187.21,31190
2017-02-19,186.0,188.2,185.03,185.62,35565
2017-02-20,186.0,187.21,184.0,184.65,34185
2017-02-21,183.0,186.8,183.0,186.28,43195
2017-02-22,183.6,188.69,183.6,185.5,19715
2017-02-26,185.39,187.0,182.35,183.78,31930
2017-02-27,182.43,184.99,182.43,183.75,43205
2017-02-28,187.6,187.6,183.01,184.15,14425
2017-03-01,184.2,186.03,183.03,183.9,529885
2017-03-02,183.8,184.61,182.68,183.17,23750
2017-03-05,183.04,185.6,181.2,185.09,23935
2017-03-06,183.51,187.69,182.74,184.08,530090
2017-03-07,184.08,186.22,182.03,183.38,15730
2017-03-08,182.61,185.73,181.02,184.93,874930
2017-03-09,184.82,186.87,183.51,186.37,34810
2017-03-13,186.6,188.0,181.79,182.27,219200
2017-03-14,182.1,185.8,182.1,182.82,16620
2017-03-15,182.72,185.18,182.72,183.11,29325
2017-03-16,183.2,184.0,180.6,182.47,25190
2017-03-19,180.6,181.0,178.0,180.5,91495
2017-03-20,180.39,183.6,179.0,180.16,50605
2017-03-21,180.2,190.5,178.89,184.71,306630
2017-03-22,185.21,186.7,183.0,184.33,43840
2017-03-23,183.98,184.23,182.08,183.21,34815
2017-03-26,183.0,183.08,181.0,181.31,50100
2017-03-27,181.2,183.18,179.19,180.3,56265
2017-03-28,180.2,182.23,179.0,179.96,64715
2017-03-29,179.84,186.0,179.84,184.46,176520
2017-03-30,186.97,187.0,182.04,185.01,89745
2017-04-02,185.6,187.0,181.48,185.01,51605
2017-04-04,184.0,186.36,183.0,185.23,113060
2017-04-05,183.34,185.19,183.34,184.06,48650
2017-04-06,184.06,185.59,184.0,184.8,45910
2017-04-09,185.38,185.38,182.32,184.9,28590
2017-04-10,184.78,186.2,183.0,185.87,75450
2017-04-11,183.27,185.79,183.2,183.93,128380
2017-04-12,183.93,184.2,181.0,181.97,41815
2017-04-16,180.47,184.99,180.0,181.01,36620
2017-04-17,180.91,182.8,180.06,180.65,18910
2017-04-18,181.16,181.8,178.0,180.76,39210
2017-04-19,178.02,182.0,178.02,180.7,18270
2017-04-20,180.6,183.59,180.32,182.13,60570
2017-04-23,181.03,182.7,180.04,181.34,29400
2017-04-24,181.24,185.86,181.24,183.78,109125
2017-04-25,179.18,179.18,163.02,167.73,1411505
2017-04-26,168.0,173.16,165.66,169.7,406610
2017-04-27,169.88,174.39,169.09,173.04,141565
2017-05-01,171.0,175.05,171.0,174.65,108735
2017-05-02,174.0,180.71,172.49,179.17,228610
2017-05-03,180.0,180.47,177.0,177.54,47830
2017-05-04,176.99,178.8,175.7,177.45,33400
2017-05-07,176.17,177.4,175.6,176.97,24660
2017-05-08,176.96,179.6,176.96,179.02,37855
2017-05-09,179.0,180.0,177.2,178.55,28070
2017-05-10,178.1,179.4,177.14,178.72,342925
2017-05-11,178.04,181.0,178.0,180.0,92520
2017-05-14,179.8,180.9,179.4,180.25,30820
2017-05-15,180.58,182.0,178.6,180.32,65150
2017-05-16,180.2,182.0,179.0,180.51,70345
2017-05-17,178.01,184.0,175.26,180.32,170855
2017-05-18,180.3,181.2,178.0,178.77,23050
2017-05-21,178.6,179.4,178.4,178.9,20765
2017-05-22,178.37,179.0,176.49,178.43,33865
2017-05-23,178.31,179.56,178.0,178.92,70445
2017-05-24,178.8,179.69,174.44,177.32,88505
2017-05-25,179.8,180.4,173.96,175.87,31295
2017-05-28,174.8,177.4,173.68,174.33,26060
2017-05-29,174.19,178.01,172.21,174.9,21015
2017-05-30,174.64,177.4,172.4,173.18,1032775
2017-05-31,171.7,175.6,171.69,172.64,725875
2017-06-01,172.46,175.4,172.46,174.3,27295
2017-06-04,173.2,174.2,172.84,173.74,13670
2017-06-05,173.6,176.79,173.6,174.46,24390
2017-06-06,173.62,176.16,172.46,174.42,27205
2017-06-07,176.03,176.05,173.62,174.79,19705
2017-06-08,173.24,174.39,172.7,174.1,20140
2017-06-11,174.0,174.89,172.01,174.46,25955
2017-06-12,174.21,174.96,172.27,174.09,14620
2017-06-13,174.11,174.78,172.97,174.44,22190
2017-06-14,174.46,174.8,173.77,174.38,13295
2017-06-15,174.4,176.2,173.02,174.97,26665
2017-06-18,172.2,174.9,171.8,174.55,35335
2017-06-19,174.26,174.96,173.07,174.54,23795
2017-06-20,175.31,175.46,173.99,174.65,7450
2017-06-21,175.02,175.4,173.6,174.8,23835
2017-06-22,176.19,176.2,172.67,173.88,26320
2017-06-26,172.27,173.36,170.01,171.13,12215
2017-06-27,170.49,172.91,165.59,167.98,26385
2017-06-28,167.8,171.79,167.6,168.05,12840
2017-06-29,167.01,167.03,161.46,162.7,59795
2017-07-02,162.0,164.97,161.02,161.45,42540
2017-07-03,161.4,163.59,161.3,162.1,74025
2017-07-04,162.0,163.9,159.94,160.9,31605
2017-07-05,160.81,162.39,160.4,160.74,25075
2017-07-06,160.6,162.4,160.6,161.36,18140
2017-07-09,162.7,162.7,160.44,161.02,5345
2017-07-10,162.7,162.98,160.81,161.86,33570
2017-07-11,161.86,162.8,159.14,160.39,26370
2017-07-12,160.2,161.82,159.99,160.13,15100
2017-07-13,160.13,160.4,159.0,159.51,20650
2017-07-16,159.12,159.99,157.8,159.52,42350
2017-07-17,159.79,160.01,157.6,158.13,27765
2017-07-18,158.0,160.01,157.0,159.51,50255
2017-07-19,159.6,164.0,159.6,162.56,90975
2017-07-20,163.99,168.0,163.8,165.85,119055
2017-07-23,164.25,167.8,161.86,162.42,541165
2017-07-24,162.4,164.4,160.0,160.6,77805
2017-07-25,160.48,162.59,159.66,162.04,33630
2017-07-26,161.0,161.9,158.4,159.66,37300
2017-07-27,159.6,161.89,158.8,159.65,27480
2017-07-30,161.0,161.59,158.0,160.05,14555
2017-07-31,160.0,160.64,156.78,158.31,20550
2017-08-01,158.31,159.59,157.45,158.14,21975
2017-08-02,157.6,158.0,157.1,157.58,9995
2017-08-03,157.46,159.77,155.6,156.99,87070
2017-08-06,156.83,161.6,156.81,158.3,1058630
2017-08-07,159.88,177.8,158.48,161.63,2198195
2017-08-08,159.6,162.96,159.0,161.87,153875
2017-08-09,161.8,162.6,158.77,161.73,145465
2017-08-10,158.2,160.59,154.0,158.66,72980
2017-08-13,157.99,159.58,156.34,157.43,41295
2017-08-15,157.8,159.79,157.19,158.99,23295
2017-08-16,157.39,161.0,157.39,159.09,34380
2017-08-17,158.36,160.0,158.0,159.13,86830
2017-08-20,158.34,159.51,157.82,158.24,28250
2017-08-21,156.71,158.34,155.0,156.71,23140
2017-08-22,158.4,158.4,156.81,157.88,5665
2017-08-23,157.2,158.09,156.04,156.6,12495
2017-08-27,156.0,157.41,155.8,156.79,13170
2017-08-28,156.25,156.8,156.2,156.53,8840
2017-08-29,155.41,158.17,155.41,156.51,22900
2017-08-30,156.39,159.53,156.39,158.88,13995
2017-08-31,157.2,161.01,157.2,160.09,18505
2017-09-03,159.01,159.81,156.0,156.94,125150
2017-09-04,156.84,158.88,156.84,158.25,9555
2017-09-05,156.61,158.69,155.4,157.16,15830
2017-09-06,157.06,160.99,157.04,159.81,47770
2017-09-07,159.79,160.8,159.0,160.04,21680
2017-09-10,160.0,160.02,157.61,158.84,15030
2017-09-11,158.74,159.89,158.0,158.46,34970
2017-09-12,158.4,161.19,158.26,160.67,52660
2017-09-13,160.56,160.6,158.61,160.04,46815
2017-09-14,159.11,159.79,149.0,150.78,474195
2017-09-17,151.5,153.58,150.24,150.52,60430
2017-09-18,150.21,152.0,149.8,150.26,36095
2017-09-19,150.1,151.2,149.4,149.67,113800
2017-09-20,151.0,151.2,149.6,150.27,84275
2017-09-21,151.94,152.01,147.99,149.88,75755
2017-09-24,150.0,152.94,148.0,150.93,95120
2017-09-25,149.01,152.53,149.0,149.54,40155
2017-09-26,150.0,151.6,148.3,148.97,29910
2017-09-27,148.62,150.8,148.0,148.26,23105
2017-09-28,148.58,150.5,148.02,149.95,22365
2017-10-02,149.76,152.0,149.76,151.02,15275
2017-10-03,149.86,151.98,149.6,151.27,17700
2017-10-04,149.62,151.94,149.0,149.64,26190
2017-10-05,149.52,151.58,148.01,148.74,56215
2017-10-08,150.0,150.96,146.4,147.63,65820
2017-10-09,147.42,149.39,147.02,147.5,26185
2017-10-10,147.5,149.17,147.4,148.01,34705
2017-10-11,147.9,149.69,146.6,148.08,74780
2017-10-12,149.6,155.0,149.0,153.21,76055
2017-10-15,154.4,154.87,151.2,151.93,38475
2017-10-16,152.06,153.74,150.8,151.36,40695
2017-10-17,150.82,152.11,149.68,150.07,15945
2017-10-22,149.22,150.8,149.22,150.5,92010
2017-10-23,150.0,153.59,150.0,152.29,81200
2017-10-24,153.58,154.4,151.6,153.7,61750
2017-10-25,153.7,154.0,152.2,153.11,10465
2017-10-26,152.4,155.2,152.4,154.88,39525
2017-10-29,155.8,160.6,154.88,160.17,103775
2017-10-30,159.6,162.0,156.8,158.31,77610
2017-10-31,158.2,161.2,156.45,157.2,44330
2017-11-01,157.96,159.0,153.62,157.2,52535
2017-11-02,159.0,160.4,155.0,157.31,87170
2017-11-05,159.0,168.48,157.2,166.72,722930
2017-11-06,169.0,173.88,167.69,169.17,253785
2017-11-07,168.0,171.76,168.0,170.81,128725
2017-11-08,171.0,175.6,170.42,172.93,239145
2017-11-09,174.78,175.8,172.0,174.0,66085
2017-11-12,177.56,177.56,172.42,175.04,45480
2017-11-13,175.4,177.0,172.95,174.93,58410
2017-11-14,172.4,174.93,172.4,173.99,70305
