,open,high,low,close,volume
2016-12-19,162.5,162.5,160.0,161.4,19304
2016-12-20,161.7,163.5,161.7,162.35,33404
2016-12-21,162.65,163.2,161.25,162.85,19796
2016-12-22,163.15,163.15,157.5,159.45,37176
2016-12-23,155.0,158.0,149.25,150.8,119412
2016-12-26,150.8,150.8,143.25,144.2,97356
2016-12-27,144.3,151.15,141.35,149.9,74532
2016-12-28,152.2,152.2,146.4,148.9,33064
2016-12-29,149.5,152.0,143.25,151.6,36396
2016-12-30,151.45,152.45,150.05,151.4,17404
2017-01-02,151.7,153.75,149.0,153.0,9848
2017-01-03,154.25,154.75,151.5,153.75,14136
2017-01-04,153.45,155.0,153.45,154.0,12912
2017-01-05,154.5,156.65,154.15,156.3,26096
2017-01-06,155.25,156.9,154.25,156.4,16132
2017-01-09,155.3,156.55,151.5,153.85,13564
2017-01-10,154.0,156.25,152.85,155.0,7340
2017-01-11,153.9,157.0,153.75,155.05,13268
2017-01-12,154.5,157.5,152.5,155.75,64788
2017-01-13,157.4,157.4,154.5,155.0,7596
2017-01-16,152.75,156.5,152.75,155.9,10776
2017-01-17,157.5,157.5,154.55,156.35,22408
2017-01-18,155.95,157.25,154.25,156.6,20432
2017-01-19,155.7,156.5,154.75,155.1,21288
2017-01-20,153.75,155.95,153.75,155.15,22032
2017-01-23,155.0,155.0,152.3,154.3,8072
2017-01-24,154.35,155.85,153.7,155.0,13712
2017-01-25,154.25,155.4,154.25,155.0,17640
2017-01-27,154.55,155.25,153.5,154.85,14796
2017-01-30,155.25,156.25,153.25,155.25,23460
2017-01-31,154.0,155.25,153.75,154.85,33800
2017-02-01,153.75,155.0,150.9,154.95,56888
2017-02-02,154.2,154.85,150.15,153.75,42804
2017-02-03,153.9,154.7,152.15,154.15,26576
2017-02-06,155.0,162.5,152.25,158.3,65884
2017-02-07,159.5,161.25,156.25,157.0,57848
2017-02-08,158.5,159.45,154.75,156.75,67384
2017-02-09,155.0,155.0,152.5,154.2,44376
2017-02-10,155.1,156.15,153.4,154.9,74300
2017-02-13,155.3,155.3,152.65,154.05,48032
2017-02-14,153.4,153.4,150.5,152.7,39952
2017-02-15,153.0,153.0,151.0,151.5,34832
2017-02-16,152.2,153.25,151.45,152.95,31732
2017-02-17,152.75,154.7,151.25,153.65,40528
2017-02-20,154.85,155.85,151.75,153.9,18016
2017-02-21,154.8,155.75,152.0,153.75,27276
2017-02-22,153.4,153.95,151.05,152.85,48732
2017-02-23,153.1,154.9,151.75,152.5,37388
2017-02-27,154.95,154.95,152.0,152.25,8352
2017-02-28,152.25,152.75,148.75,150.1,33612
2017-03-01,150.1,151.2,147.5,147.7,25568
2017-03-02,149.2,149.95,146.5,147.65,16048
2017-03-03,146.35,148.45,142.05,145.5,21800
2017-03-06,147.85,147.85,145.2,145.9,16960
2017-03-07,149.75,149.75,144.05,144.7,28056
2017-03-08,143.0,147.5,143.0,145.1,35340
2017-03-09,143.9,146.95,143.9,145.15,48424
2017-03-10,147.5,147.5,144.0,144.95,30936
2017-03-14,146.25,146.95,141.5,143.9,90792
2017-03-15,143.75,145.0,141.35,144.2,265016
2017-03-16,145.4,148.5,145.0,145.85,53892
2017-03-17,148.0,148.0,144.6,145.15,34948
2017-03-20,145.4,146.25,143.75,144.55,35104
2017-03-21,144.5,145.0,142.5,143.0,23940
2017-03-22,143.0,144.0,141.25,141.8,29244
2017-03-23,140.9,143.75,140.9,142.7,12828
2017-03-24,144.9,144.9,141.5,142.2,25244
2017-03-27,144.9,146.0,142.5,142.8,16112
2017-03-28,142.1,147.75,141.7,146.75,54028
2017-03-29,146.0,148.0,143.9,144.2,159592
2017-03-30,148.75,148.75,142.5,142.7,21332
