,open,high,low,close,volume
2016-12-19,624.85,680.0,624.85,672.5,521463
2016-12-20,684.0,694.0,665.6,678.9,425726
2016-12-21,678.25,680.0,611.9,633.85,382251
2016-12-22,630.0,639.85,610.0,613.05,139835
2016-12-23,613.3,634.2,605.1,616.8,153272
2016-12-26,616.0,616.0,585.2,590.8,69020
2016-12-27,590.0,609.0,584.0,601.45,81032
2016-12-28,610.0,623.95,608.2,611.9,100968
2016-12-29,609.8,628.0,608.0,616.15,57356
2016-12-30,620.5,629.1,616.0,618.55,52867
2017-01-02,607.0,614.4,601.55,611.35,88723
2017-01-03,613.0,632.1,610.6,620.55,111055
2017-01-04,624.55,638.4,618.0,621.2,100530
2017-01-05,625.0,634.7,617.65,620.8,135033
2017-01-06,625.0,625.55,606.3,610.45,67193
2017-01-09,615.7,624.9,608.35,612.3,78082
2017-01-10,614.75,619.6,606.1,608.65,31629
2017-01-11,610.1,625.0,606.2,614.7,82136
2017-01-12,613.5,615.0,603.0,605.55,53940
2017-01-13,607.0,611.45,595.05,599.85,37804
2017-01-16,595.05,600.0,585.5,588.85,40025
2017-01-17,590.2,627.0,590.2,603.65,226711
2017-01-18,605.9,618.5,604.0,607.7,70974
2017-01-19,609.95,613.4,600.0,601.45,32432
2017-01-20,608.8,622.8,601.0,603.75,111652
2017-01-23,606.95,614.95,601.25,604.9,28454
2017-01-24,605.0,622.8,594.55,598.5,129392
2017-01-25,603.0,606.9,588.55,597.9,123239
2017-01-27,605.0,623.25,591.0,596.95,270680
2017-01-30,591.6,595.75,584.0,586.0,46229
2017-01-31,587.8,588.35,561.65,566.25,47919
2017-02-01,569.7,576.85,557.55,569.85,60605
2017-02-02,571.0,580.0,561.1,574.3,43319
2017-02-03,578.8,589.75,565.0,571.2,55797
2017-02-06,579.8,604.0,572.15,592.85,134805
2017-02-07,586.9,603.0,580.8,585.25,60276
2017-02-08,589.8,595.4,584.0,585.75,36296
2017-02-09,581.2,591.5,580.0,582.65,134228
2017-02-10,584.35,589.0,581.0,585.4,23072
2017-02-13,588.35,591.7,583.15,590.35,40516
2017-02-14,590.4,601.4,590.0,594.3,33094
2017-02-15,599.65,599.7,583.0,587.7,21071
2017-02-16,586.0,595.5,585.75,587.5,29259
2017-02-17,594.85,595.4,585.0,585.15,22657
2017-02-20,576.35,591.0,576.35,586.2,19846
2017-02-21,589.3,603.7,587.35,596.25,56501
2017-02-22,597.05,614.7,597.0,600.65,83045
2017-02-23,604.95,604.95,590.0,590.7,18499
2017-02-27,593.95,601.9,589.0,590.4,32003
2017-02-28,592.05,601.4,589.25,592.5,33402
2017-03-01,596.0,596.0,588.05,592.5,19467
2017-03-02,594.9,601.0,585.0,589.55,34203
