,open,high,low,close,volume
2016-12-19,95.0,95.0,92.75,93.4,24226
2016-12-20,93.1,94.7,92.05,92.4,36772
2016-12-21,94.7,94.7,90.5,90.8,69816
2016-12-22,91.5,91.5,89.5,89.8,51660
2016-12-23,89.8,90.95,88.55,90.2,31098
2016-12-26,90.3,90.75,88.5,89.8,28780
2016-12-27,90.7,90.7,88.2,89.75,21338
2016-12-28,91.0,91.5,89.0,90.3,27530
2016-12-29,90.0,91.0,89.0,90.0,25608
2016-12-30,90.6,92.25,89.5,91.7,59064
2017-01-02,91.15,92.0,91.0,92.0,24852
2017-01-03,92.0,97.7,91.8,95.9,99218
2017-01-04,94.8,97.95,94.8,97.55,67626
2017-01-05,97.5,99.5,97.5,99.15,51490
2017-01-06,99.4,99.9,98.5,99.1,63212
2017-01-09,99.0,100.9,99.0,100.3,33150
2017-01-10,100.5,101.2,98.5,100.45,24616
2017-01-11,102.8,105.7,102.8,103.5,137866
2017-01-12,102.5,103.4,100.0,100.4,40674
2017-01-13,101.3,102.9,100.3,101.6,22738
2017-01-16,100.75,102.5,100.7,101.85,43306
2017-01-17,102.3,104.0,101.0,101.55,22282
2017-01-18,101.55,103.5,101.1,102.5,37934
2017-01-19,103.0,105.0,102.15,102.8,374018
2017-01-20,104.5,104.5,100.1,100.3,42176
2017-01-23,100.5,100.5,97.6,97.8,29640
2017-01-24,99.7,99.7,96.6,97.0,39674
2017-01-25,96.55,98.45,96.4,96.7,54550
2017-01-27,97.5,99.0,96.5,97.1,43122
2017-01-30,96.15,98.0,96.0,96.8,33764
2017-01-31,97.0,97.0,95.05,95.3,28858
2017-02-01,97.45,97.9,93.8,97.3,32404
2017-02-02,97.3,98.1,96.05,97.65,29806
2017-02-03,97.1,99.9,96.15,98.95,66498
2017-02-06,100.75,102.5,100.75,101.3,59670
2017-02-07,101.25,101.5,99.2,99.8,28628
2017-02-08,100.2,100.75,99.25,99.7,22610
2017-02-09,101.0,101.35,99.25,99.7,30206
2017-02-10,101.3,102.1,99.0,99.75,139192
2017-02-13,99.2,101.0,98.5,99.1,53010
2017-02-14,100.5,102.0,99.75,101.75,55230
2017-02-15,102.5,103.0,98.5,100.0,34586
2017-02-16,99.55,102.1,99.5,101.8,34466
2017-02-17,102.0,103.0,100.1,102.5,38392
2017-02-20,103.5,103.5,100.8,101.5,24882
2017-02-21,101.6,102.25,100.5,100.8,22346
