,open,high,low,close,volume
2024-11-13,251.0,276.1,248.5,253.15,22939368
2024-11-14,252.0,259.9,227.85,228.85,5351111
2024-11-18,236.0,251.7,228.25,251.7,3943111
2024-11-19,261.05,276.85,256.05,264.15,9862379
2024-11-21,265.45,267.05,237.75,239.0,4049771
2024-11-22,240.0,248.0,235.8,245.65,2397236
2024-11-25,252.05,268.5,248.7,258.0,2911214
2024-11-26,247.0,257.95,238.8,253.0,2487638
2024-11-27,255.0,273.4,253.1,259.45,2311073
2024-11-28,260.95,281.0,259.1,279.1,4759110
2024-11-29,280.15,288.0,265.4,274.3,3263219
2024-12-02,271.0,272.25,258.2,260.5,1913099
2024-12-03,264.0,284.5,262.25,280.9,3866490
2024-12-04,284.9,292.4,273.6,278.4,4710266
2024-12-05,279.0,283.45,271.6,273.35,1833510
2024-12-06,275.0,281.55,268.1,275.6,2428679
2024-12-09,276.05,286.6,271.7,277.9,2584252
2024-12-10,280.05,281.9,268.5,271.1,1320466
2024-12-11,272.0,272.6,262.5,268.15,2765777
2024-12-12,279.0,279.95,269.75,271.6,2381875
2024-12-13,271.45,271.45,263.3,268.0,897115
