,open,high,low,close,volume
2016-12-16,142.85,143.0,141.0,141.45,21452
2016-12-19,141.35,147.0,141.3,145.55,83644
2016-12-20,147.0,147.75,142.05,143.8,39633
2016-12-21,143.0,146.75,142.25,143.1,16889
2016-12-22,143.65,144.55,140.4,140.9,20617
2016-12-23,141.15,142.0,138.25,139.15,22634
2016-12-26,137.1,139.9,127.3,132.2,51889
2016-12-27,131.35,136.9,128.55,130.95,40800
2016-12-28,131.95,133.5,129.55,130.65,31641
2016-12-29,133.65,133.65,130.5,131.55,24163
2016-12-30,131.6,144.25,131.05,140.85,150137
2017-01-02,144.15,151.0,144.15,149.45,229541
2017-01-03,149.3,150.35,145.5,148.2,47831
2017-01-04,149.0,149.0,145.1,146.05,47935
2017-01-05,146.4,148.65,145.6,146.9,28536
2017-01-06,146.2,148.45,143.05,143.7,33440
2017-01-09,145.0,148.0,144.6,146.15,36316
2017-01-10,145.1,146.8,143.35,144.45,13576
2017-01-11,144.7,153.0,144.7,149.9,108987
2017-01-12,150.5,151.0,147.1,148.75,41491
2017-01-13,148.05,155.5,146.55,152.9,158952
2017-01-16,153.8,154.9,151.4,152.65,54735
2017-01-17,152.3,153.65,149.1,151.2,29621
2017-01-18,152.0,157.9,150.75,155.4,133214
2017-01-19,155.95,156.45,151.25,153.8,27226
2017-01-20,154.5,156.8,150.0,151.45,65253
2017-01-23,152.65,155.0,148.1,152.05,25211
2017-01-24,152.7,157.0,151.9,153.8,65822
2017-01-25,153.55,155.6,152.1,154.4,29407
2017-01-27,154.65,155.9,152.45,152.9,33035
2017-01-30,151.2,168.0,151.2,160.9,642606
2017-01-31,160.0,164.25,154.0,157.3,109741
2017-02-01,158.6,164.7,153.15,163.85,186968
2017-02-02,164.0,170.75,161.3,167.8,251032
2017-02-03,169.3,183.7,168.65,177.3,1116612
2017-02-06,178.5,180.5,172.05,173.25,285884
2017-02-07,173.25,179.7,172.65,177.95,285440
2017-02-08,177.0,179.0,170.35,172.95,89634
2017-02-09,173.75,178.8,170.7,175.35,138278
2017-02-10,176.5,180.0,170.2,172.4,129795
