,open,high,low,close,volume
2016-12-16,275.1,275.1,267.75,273.15,1706961
2016-12-19,272.35,276.15,271.65,272.65,1306590
2016-12-20,271.2,275.65,268.1,272.7,1388926
2016-12-21,272.4,275.1,270.55,271.5,823552
2016-12-22,270.7,273.55,267.2,271.9,1113224
2016-12-23,271.9,275.5,269.25,271.7,1786360
2016-12-26,270.4,270.5,261.25,262.15,1359791
2016-12-27,263.6,267.2,257.0,266.2,1443180
2016-12-28,267.85,270.0,263.5,264.5,1324416
2016-12-29,263.2,267.9,262.05,266.9,1275274
2016-12-30,267.45,284.0,266.8,282.35,5012829
2017-01-02,285.45,286.35,280.35,281.7,2168930
2017-01-03,283.2,290.4,282.0,288.2,2735041
2017-01-04,288.8,291.3,285.7,287.0,1768578
2017-01-05,288.5,293.85,288.25,292.55,1785285
2017-01-06,292.55,295.1,287.65,288.7,1494104
2017-01-09,290.1,290.2,285.8,287.55,954858
2017-01-10,288.5,299.05,288.1,289.6,4793564
2017-01-11,290.8,293.75,287.2,289.9,2898974
2017-01-12,290.8,292.6,286.25,287.7,1455409
2017-01-13,289.6,298.3,288.7,295.6,3963210
2017-01-16,295.6,301.0,292.25,299.55,2711029
2017-01-17,300.95,302.05,296.15,297.65,1991365
2017-01-18,298.8,299.7,292.8,295.4,1210315
2017-01-19,295.2,297.9,294.2,296.15,917342
2017-01-20,295.2,299.9,290.0,290.7,1980214
2017-01-23,291.1,293.1,286.4,288.1,1686326
2017-01-24,289.55,294.4,289.2,292.9,1297821
2017-01-25,294.3,301.35,290.65,298.1,5426754
2017-01-27,296.0,299.5,294.95,296.2,1558778
2017-01-30,296.0,305.9,294.95,303.45,2918050
2017-01-31,304.35,304.35,288.4,294.55,2217298
2017-02-01,296.0,302.8,291.15,301.15,1571618
2017-02-02,302.4,306.1,300.05,301.8,1416246
2017-02-03,302.25,308.8,299.4,302.5,2597825
2017-02-06,304.0,306.2,301.3,302.7,1302026
2017-02-07,304.0,304.0,293.4,295.65,2119380
2017-02-08,295.7,305.2,293.85,302.7,1442395
2017-02-09,304.15,307.45,301.3,303.95,1781526
2017-02-10,303.95,310.7,302.4,307.7,3458662
2017-02-13,309.6,310.1,297.4,303.5,1991081
2017-02-14,303.5,306.35,298.1,302.5,1591252
2017-02-15,302.4,303.1,292.95,294.65,1239551
2017-02-16,294.4,301.85,294.1,301.15,1381702
2017-02-17,302.4,303.95,298.0,301.3,1294044
2017-02-20,301.6,305.85,297.8,303.9,1167834
2017-02-21,304.0,309.05,302.5,306.2,2282475
2017-02-22,306.7,308.65,298.1,301.35,2057334
2017-02-23,301.1,303.5,296.0,297.05,1787945
2017-02-27,299.5,304.3,297.1,300.9,1502176
2017-02-28,300.05,305.85,300.05,304.1,1903859
2017-03-01,305.9,306.8,303.1,303.9,931544
2017-03-02,305.9,314.65,303.25,304.8,3770532
2017-03-03,304.75,310.8,301.4,309.75,1596145
2017-03-06,311.6,319.2,310.65,318.15,2939685
2017-03-07,319.2,320.3,315.4,316.3,1452822
2017-03-08,316.0,318.05,310.05,312.75,1105212
2017-03-09,312.0,316.4,310.1,314.4,1343616
2017-03-10,318.4,318.4,311.45,313.15,1172521
2017-03-14,317.6,318.4,312.65,314.8,1592108
2017-03-15,314.75,324.75,314.55,321.55,3320719
2017-03-16,324.2,327.75,323.75,326.7,1988321
2017-03-17,327.35,331.85,320.65,323.65,3217565
2017-03-20,323.65,327.1,322.75,326.1,2092945
2017-03-21,327.4,330.2,319.45,320.25,2859331
2017-03-22,316.05,318.9,308.0,309.4,2582940
2017-03-23,309.6,313.5,305.2,311.65,2115849
2017-03-24,313.2,315.95,311.4,312.35,890730
2017-03-27,312.4,315.5,308.2,311.95,2389369
2017-03-28,312.8,314.9,311.1,312.45,988724
