,open,high,low,close,volume
2024-05-07,132.85,132.85,120.7,122.0,2804
2024-05-08,122.0,122.0,115.9,118.85,12345
2024-05-09,116.95,123.0,112.9,113.5,37592
2024-05-10,118.85,119.15,113.0,116.3,39662
2024-05-13,117.95,118.85,113.9,117.9,20604
2024-05-14,114.0,121.9,114.0,118.85,5042
2024-05-15,119.55,124.75,117.3,119.75,42187
2024-05-16,119.5,125.0,119.5,121.75,18664
2024-05-17,122.95,127.8,120.55,127.75,75319
2024-05-18,125.45,125.5,125.45,125.5,628
2024-05-21,128.35,128.4,121.55,123.05,5601
2024-05-22,122.15,122.25,118.0,120.35,13387
2024-05-23,120.0,126.35,120.0,123.5,36392
2024-05-24,123.95,128.0,122.15,122.25,29623
2024-05-27,122.0,123.95,119.6,121.75,25079
2024-05-28,122.05,122.5,116.65,117.3,5321
2024-05-29,117.45,117.45,115.0,115.55,7096
2024-05-30,114.05,116.5,113.4,114.85,5343
2024-05-31,113.55,117.0,113.4,115.4,6636
2024-06-03,119.9,121.15,112.3,113.8,23300
2024-06-04,112.5,113.95,108.15,109.9,18632
2024-06-05,108.4,110.0,106.35,108.15,9246
2024-06-06,111.9,112.7,105.85,109.35,3275
2024-06-07,110.0,114.9,109.2,113.0,12738
2024-06-10,112.95,114.0,105.0,111.4,9773
2024-06-11,109.05,113.4,108.4,110.6,4646
2024-06-12,111.0,112.1,108.05,110.4,4009
2024-06-13,109.2,112.0,109.15,112.0,4651
2024-06-14,113.0,113.0,106.4,111.6,6012
2024-06-18,109.15,118.1,108.15,115.5,29998
2024-06-19,115.85,117.05,113.55,116.7,5825
2024-06-20,116.7,116.7,111.7,112.7,1927
2024-06-21,113.95,114.0,110.0,111.95,1957
2024-06-24,118.3,118.4,110.55,111.75,1689
2024-06-25,112.85,120.05,112.85,113.1,24377
2024-06-26,116.45,116.45,114.05,116.1,4121
2024-06-27,116.0,119.0,111.1,116.65,30632
2024-06-28,116.15,118.7,115.0,117.55,12128
2024-07-01,118.0,123.0,117.95,120.1,41988
2024-07-02,120.05,122.0,120.0,120.05,9942
2024-07-03,118.05,125.0,116.45,124.3,53431
2024-07-04,124.15,124.3,120.3,120.55,2293
2024-07-05,120.55,130.0,120.0,127.15,34521
2024-07-08,130.0,132.0,125.2,125.6,14486
2024-07-09,128.3,132.0,125.15,125.75,3775
2024-07-10,122.55,122.55,118.6,118.6,2664
2024-07-11,122.95,124.75,120.0,120.0,388
2024-07-12,131.9,131.9,121.0,121.4,8337
2024-07-15,123.85,125.5,122.0,124.9,2619
2024-07-16,128.95,128.95,120.45,121.1,1963
2024-07-18,121.1,122.0,119.45,120.5,5701
2024-07-19,121.0,121.0,115.0,115.95,6529
2024-07-22,114.45,118.1,114.4,115.75,1656
2024-07-23,117.0,117.0,114.4,114.45,1156
2024-07-24,116.35,125.85,116.3,125.55,31242
2024-07-25,128.7,136.4,125.05,135.0,27164
2024-07-26,136.35,136.4,132.1,132.3,16575
2024-07-29,134.95,136.5,130.1,134.15,6849
2024-07-30,134.15,136.05,132.0,133.45,32802
2024-07-31,135.0,136.5,133.1,135.05,2411
2024-08-01,135.95,142.8,133.5,139.9,20887
2024-08-02,142.45,151.6,140.05,150.8,40533
2024-08-05,151.6,162.35,148.85,161.6,53635
2024-08-06,163.35,177.0,160.5,163.1,47584
2024-08-07,170.0,174.4,165.6,170.9,16771
2024-08-08,174.35,174.35,165.15,167.1,4040
2024-08-09,172.75,172.85,162.1,164.65,3748
2024-08-12,165.0,165.0,160.0,161.15,894
2024-08-13,161.15,163.0,157.0,157.95,1600
2024-08-14,158.1,180.05,158.1,173.25,20060
2024-08-16,178.95,185.0,177.05,181.6,12062
2024-08-19,189.95,198.7,182.1,194.55,93127
2024-08-20,196.95,204.0,196.95,199.3,71792
