,open,high,low,close,volume
2016-12-16,860.9,863.0,848.0,850.8,626459
2016-12-19,853.2,853.2,818.9,822.9,808312
2016-12-20,825.0,829.5,786.3,805.8,2029604
2016-12-21,811.0,814.8,783.05,788.6,1608265
2016-12-22,784.8,784.8,760.5,765.4,1836222
2016-12-23,776.7,827.9,761.3,808.95,3365297
2016-12-26,810.0,821.3,782.05,810.0,2133916
2016-12-27,811.0,827.9,799.35,809.75,3505564
2016-12-28,816.35,840.9,811.0,820.2,2124609
2016-12-29,820.0,839.75,816.25,833.35,1594084
2016-12-30,840.0,854.7,833.0,842.2,842564
2017-01-02,852.0,873.9,842.0,870.05,949967
2017-01-03,870.0,889.0,859.25,884.0,1260264
2017-01-04,887.1,891.0,868.0,871.9,971428
2017-01-05,883.35,903.0,875.05,899.75,1423447
2017-01-06,911.0,914.9,875.9,878.45,4040625
2017-01-09,887.8,893.75,875.1,878.25,615381
2017-01-10,884.7,901.95,880.05,899.75,1147293
2017-01-11,905.0,909.5,891.0,896.15,2005189
2017-01-12,902.5,909.95,886.0,891.2,737750
2017-01-13,893.2,905.5,888.1,900.05,821185
2017-01-16,900.0,920.1,894.45,917.7,1117504
2017-01-17,923.9,924.6,910.5,914.35,849554
2017-01-18,918.7,938.0,915.0,930.35,1525144
2017-01-19,929.8,932.3,916.0,926.3,598997
2017-01-20,924.8,930.0,904.0,907.7,697857
2017-01-23,909.4,931.7,905.15,929.65,829648
2017-01-24,934.95,934.95,921.0,929.75,826288
2017-01-25,931.2,1006.0,931.2,999.85,3874946
2017-01-27,1000.0,1020.0,991.35,995.85,1386916
2017-01-30,990.0,1059.0,989.15,1054.8,4866384
2017-01-31,1058.9,1072.0,1030.75,1036.9,2304584
2017-02-01,1039.0,1069.9,1025.0,1066.15,1860379
2017-02-02,1067.4,1083.95,1050.0,1054.15,1681729
2017-02-03,1055.3,1068.0,1042.3,1047.35,903079
2017-02-06,1056.0,1085.5,1050.1,1073.7,1218063
2017-02-07,1070.0,1075.0,1052.4,1060.95,658786
2017-02-08,1060.0,1069.4,1025.0,1049.45,1046297
2017-02-09,1058.0,1061.65,1026.0,1040.85,916871
2017-02-10,1045.2,1059.0,1038.0,1055.45,643391
2017-02-13,1057.0,1070.0,1043.25,1058.95,484476
2017-02-14,1064.0,1069.0,1055.0,1059.5,438100
2017-02-15,1060.3,1065.0,1029.0,1040.4,679204
2017-02-16,1040.9,1106.0,1035.0,1094.35,1035007
2017-02-17,1110.0,1118.0,1081.1,1089.5,1408853
2017-02-20,1092.95,1109.5,1035.0,1095.9,617565
2017-02-21,1092.2,1105.95,1085.0,1095.9,335482
2017-02-22,1095.0,1104.15,1065.0,1076.25,1000632
2017-02-23,1083.0,1099.0,1066.5,1068.2,1196177
2017-02-27,1070.85,1104.0,1069.0,1091.6,1223440
2017-02-28,1097.75,1119.0,1096.0,1108.2,1257475
2017-03-01,1120.0,1128.9,1070.6,1075.85,2045087
