,open,high,low,close,volume
2016-12-16,392.7,399.9,392.7,395.6,7018
2016-12-19,388.75,395.0,388.0,389.65,6596
2016-12-20,386.5,398.5,385.5,386.65,10156
2016-12-21,388.45,392.35,381.2,383.5,11444
2016-12-22,386.0,388.7,380.5,382.1,8918
2016-12-23,382.5,385.8,380.0,380.6,2664
2016-12-26,378.0,380.0,374.5,375.1,4984
2016-12-27,377.0,381.0,373.8,378.8,3726
2016-12-28,378.0,387.5,378.0,381.65,3708
2016-12-29,380.75,385.45,377.05,380.4,6294
2016-12-30,381.65,388.35,377.75,379.7,9028
2017-01-02,383.0,383.5,377.5,379.6,7942
2017-01-03,381.5,387.5,380.0,385.4,6926
2017-01-04,387.5,392.5,385.6,388.1,11796
2017-01-05,390.6,399.0,390.5,395.5,13056
2017-01-06,398.5,398.5,390.55,393.9,10070
2017-01-09,396.4,398.5,391.2,392.9,4018
2017-01-10,395.0,408.5,392.75,404.2,32628
2017-01-11,408.0,426.5,405.6,420.15,68316
2017-01-12,424.5,425.0,412.5,413.7,17418
2017-01-13,413.5,421.5,410.6,418.9,11474
2017-01-16,424.5,424.5,416.5,417.8,7864
2017-01-17,416.0,422.45,416.0,420.2,11778
2017-01-18,421.0,474.9,420.0,451.15,766078
2017-01-19,451.0,457.0,444.0,451.25,103590
2017-01-20,452.45,462.0,445.0,446.35,130966
2017-01-23,438.0,458.0,438.0,450.8,68140
2017-01-24,454.35,457.5,449.45,454.4,41110
2017-01-25,437.6,441.5,430.8,436.8,94812
2017-01-27,437.5,452.0,432.65,446.4,86828
2017-01-30,446.4,452.5,431.8,435.9,30556
2017-01-31,437.0,442.5,425.25,426.9,17958
2017-02-01,432.5,439.95,427.5,434.0,46416
2017-02-02,434.0,443.9,428.25,431.9,16834
2017-02-03,436.8,457.5,432.9,444.7,80510
2017-02-06,441.0,457.0,441.0,448.0,44932
2017-02-07,445.05,449.95,438.55,439.9,15392
2017-02-08,444.0,446.5,432.5,434.2,17580
2017-02-09,437.5,443.9,436.75,439.5,14060
2017-02-10,436.3,442.35,434.0,436.0,6020
2017-02-13,439.45,439.45,422.5,426.6,16340
2017-02-14,427.0,430.0,415.05,420.0,19042
2017-02-15,423.5,423.5,409.0,410.05,19436
2017-02-16,413.05,416.0,406.75,408.8,10046
2017-02-17,410.3,424.5,410.3,423.0,26220
2017-02-20,425.0,434.5,419.0,433.25,20008
2017-02-21,432.5,437.45,426.6,427.85,12298
2017-02-22,427.55,431.5,423.0,425.7,12412
2017-02-23,423.5,431.0,421.0,426.15,6968
2017-02-27,427.0,436.0,422.0,426.6,14580
2017-02-28,424.0,430.5,424.0,426.7,9362
2017-03-01,424.1,433.0,424.1,431.75,11472
2017-03-02,431.75,446.0,422.6,425.2,39574
2017-03-03,425.0,429.5,423.0,426.2,7094
2017-03-06,426.0,432.45,421.5,423.1,13030
2017-03-07,423.5,428.5,423.5,425.6,13290
2017-03-08,424.0,429.5,414.25,415.85,13984
2017-03-09,419.5,419.5,402.05,411.25,25460
2017-03-10,412.1,421.0,412.1,417.4,14960
2017-03-14,421.0,426.0,413.5,415.5,12594
2017-03-15,416.1,422.2,414.0,416.3,17274
2017-03-16,416.5,432.5,414.1,426.6,46038
2017-03-17,426.0,435.45,420.2,429.75,52342
