,open,high,low,close,volume
2016-12-16,145.5,145.6,144.25,145.0,406
2016-12-19,145.5,149.7,142.0,143.7,1094
2016-12-20,145.0,147.5,140.1,142.0,1748
2016-12-21,146.0,146.0,146.0,146.0,2
2016-12-22,141.6,147.5,136.5,139.2,1850
2016-12-23,138.5,138.5,134.0,134.5,2372
2016-12-26,135.0,138.35,130.8,131.4,1960
2016-12-27,132.5,135.0,132.5,135.0,752
2016-12-28,140.4,140.4,136.5,136.5,54
2016-12-29,142.5,154.5,137.0,147.7,3026
2016-12-30,153.0,153.0,144.0,150.15,5052
2017-01-02,166.5,166.5,150.0,150.4,1084
2017-01-03,148.2,153.0,148.2,150.05,1864
2017-01-04,147.5,149.5,145.8,148.0,410
2017-01-05,147.0,147.0,141.05,142.4,6266
2017-01-06,144.8,146.95,144.75,146.95,3384
2017-01-09,148.0,148.0,143.5,144.0,114
2017-01-10,150.0,150.0,143.5,144.0,392
2017-01-11,147.5,147.5,142.2,144.05,8434
2017-01-12,142.5,142.5,142.05,142.5,1204
2017-01-13,142.5,146.4,142.5,142.8,3252
2017-01-16,147.0,154.0,145.0,150.0,23232
2017-01-17,147.75,150.45,145.0,145.25,898
2017-01-18,147.5,152.25,147.5,151.1,12478
2017-01-19,151.25,151.25,147.65,148.8,344
2017-01-20,149.95,149.95,145.2,145.6,108
2017-01-23,146.0,153.0,141.2,150.0,75000
2017-01-24,147.5,151.2,145.9,150.0,2956
2017-01-25,157.5,158.3,151.5,155.1,4354
2017-01-27,153.9,155.0,148.9,149.9,1756
2017-01-30,151.0,159.5,151.0,154.5,4416
2017-01-31,153.5,155.2,150.0,150.0,1620
2017-02-01,150.5,154.85,150.5,154.6,2646
2017-02-02,158.5,158.5,153.25,154.2,602
2017-02-03,154.95,159.0,152.6,155.4,2626
2017-02-06,159.0,160.0,153.0,153.5,7078
2017-02-07,155.0,157.45,151.5,151.9,626
2017-02-08,151.7,156.75,150.6,155.55,1316
2017-02-09,152.5,154.8,151.5,154.5,3276
2017-02-10,157.5,157.5,152.5,153.2,1192
2017-02-13,150.5,152.5,146.5,152.5,754
2017-02-14,152.5,152.5,150.6,151.9,2818
2017-02-15,151.5,153.95,150.0,152.3,2460
2017-02-16,152.4,152.4,150.5,151.0,1288
2017-02-17,150.5,157.0,150.0,156.7,3424
2017-02-20,157.5,165.5,157.5,162.8,10972
2017-02-21,162.8,170.45,158.0,161.25,4362
2017-02-22,160.5,163.9,158.0,158.85,382
2017-02-23,161.5,169.4,156.5,163.15,2258
2017-02-27,164.25,167.5,157.55,164.8,1990
2017-02-28,165.0,165.0,161.05,162.8,2658
2017-03-01,166.1,166.1,160.5,163.2,3708
2017-03-02,160.0,172.35,160.0,165.5,2102
2017-03-03,164.5,165.0,160.5,164.5,1594
2017-03-06,170.0,170.0,162.5,164.8,350
2017-03-07,167.5,169.4,163.2,167.5,1906
2017-03-08,169.5,173.65,165.55,169.5,812
2017-03-09,165.5,171.95,165.0,167.6,3510
2017-03-10,165.0,168.5,165.0,166.5,6058
2017-03-14,166.5,167.5,163.15,167.5,2180
2017-03-15,168.0,170.0,165.0,165.4,3476
2017-03-16,167.5,167.5,165.3,165.5,2866
2017-03-17,166.0,167.9,161.5,163.9,1062
2017-03-20,164.25,168.5,163.0,168.1,3330
2017-03-21,165.5,170.0,165.0,167.3,4024
2017-03-22,167.0,172.8,165.6,169.3,3330
2017-03-23,167.5,169.0,166.6,166.6,3202
2017-03-24,165.8,169.0,165.1,165.6,1498
2017-03-27,165.0,167.2,162.4,165.0,4362
2017-03-28,163.1,170.0,163.0,167.8,6576
2017-03-29,165.15,169.85,165.15,166.65,3136
2017-03-30,170.5,175.3,167.8,170.95,4154
2017-03-31,170.95,177.5,168.3,176.2,514
2017-04-03,171.0,179.5,170.5,174.9,2262
2017-04-05,171.1,177.5,171.1,177.0,3312
2017-04-06,175.0,180.0,173.25,173.6,10554
2017-04-07,171.0,180.0,170.2,175.9,11856
2017-04-10,175.0,182.15,172.5,174.2,8638
2017-04-11,172.65,178.5,172.6,176.7,4970
2017-04-12,183.8,199.5,174.2,175.6,4038
2017-04-13,175.0,180.0,175.0,175.6,882
2017-04-17,172.7,177.5,172.6,177.45,4040
2017-04-18,177.5,192.2,177.5,181.0,20470
2017-04-19,183.45,193.5,183.45,185.1,17154
2017-04-20,185.0,187.5,185.0,185.7,7066
2017-04-21,190.5,190.5,185.5,185.9,5526
2017-04-24,185.0,186.95,182.5,184.1,6336
2017-04-25,185.2,187.3,183.9,185.1,3736
2017-04-26,188.5,189.0,183.5,184.1,13456
2017-04-27,187.5,187.5,181.7,183.55,5866
2017-04-28,184.0,185.0,181.7,184.2,5262
2017-05-02,182.8,187.5,182.75,185.1,1472
2017-05-03,187.5,187.5,184.0,185.75,4564
2017-05-04,185.0,186.0,183.3,185.7,1288
2017-05-05,184.0,187.45,182.1,184.2,4816
2017-05-08,182.8,186.5,182.8,186.5,978
2017-05-09,185.0,189.4,185.0,185.7,6090
2017-05-10,185.25,187.0,185.25,185.8,3358
2017-05-11,187.5,187.5,181.5,184.1,9702
2017-05-12,185.0,186.0,182.5,182.5,5676
2017-05-15,189.7,190.0,185.0,187.5,6490
2017-05-16,185.7,196.5,185.7,195.1,9502
2017-05-17,197.5,204.6,193.0,200.9,14340
2017-05-18,200.0,202.5,197.5,199.05,1648
2017-05-19,197.5,202.2,191.2,198.8,10472
2017-05-22,196.0,206.5,196.0,198.0,4172
2017-05-23,196.5,198.95,190.3,196.45,2490
2017-05-24,200.0,202.5,193.0,193.0,1300
2017-05-25,195.0,200.0,195.0,196.1,5612
2017-05-26,196.5,199.95,196.5,197.65,3378
2017-05-29,196.0,202.5,190.0,192.3,3484
2017-05-30,187.5,194.5,184.0,191.7,8474
2017-05-31,192.5,192.5,183.0,187.4,2914
2017-06-01,187.4,192.5,186.7,186.95,704
2017-06-02,189.0,192.3,187.0,187.9,924
2017-06-05,187.7,192.0,187.0,187.5,948
2017-06-06,190.4,190.4,185.5,186.3,2138
2017-06-07,185.5,190.0,185.5,186.1,2644
2017-06-08,190.0,190.0,184.0,184.6,1748
2017-06-09,185.0,185.0,181.5,182.4,2748
2017-06-12,182.7,182.7,175.25,175.6,5348
2017-06-13,175.5,179.5,170.85,174.5,2432
2017-06-14,180.0,180.0,173.5,173.5,1678
2017-06-15,175.0,175.1,170.5,172.7,3712
2017-06-16,171.5,177.5,171.5,177.3,1082
2017-06-19,184.35,192.5,177.25,182.1,8410
2017-06-20,183.0,187.5,182.5,183.0,9620
2017-06-21,185.5,185.5,172.2,181.1,11512
2017-06-22,178.1,183.0,177.7,180.3,5756
2017-06-23,179.0,179.0,173.3,175.4,4034
2017-06-27,179.7,179.7,171.0,171.7,1222
2017-06-28,178.55,178.55,171.6,176.55,3840
2017-06-29,179.3,179.3,176.0,176.0,4812
2017-06-30,173.0,179.0,170.0,175.9,2260
2017-07-03,182.5,185.0,172.5,183.2,3446
2017-07-04,180.5,182.55,174.0,175.2,7900
2017-07-05,175.3,178.0,175.3,175.9,810
2017-07-06,178.0,178.0,176.0,176.0,658
2017-07-07,174.5,177.2,174.0,175.5,1606
2017-07-10,171.5,181.5,170.0,173.4,118
2017-07-11,173.5,178.55,173.2,173.8,1754
2017-07-12,177.4,177.4,176.8,177.0,234
2017-07-13,172.7,177.0,172.7,176.95,1214
2017-07-14,177.0,177.0,172.75,173.1,2870
2017-07-17,174.0,175.0,171.35,171.5,3702
2017-07-18,176.45,176.5,171.5,171.5,664
2017-07-19,171.65,177.0,170.6,174.5,1750
2017-07-20,172.5,180.0,171.0,178.6,5646
2017-07-21,175.05,179.0,172.5,173.1,3472
2017-07-24,177.1,177.1,167.5,168.0,18482
2017-07-25,172.0,173.25,168.5,171.65,4586
2017-07-26,171.95,171.95,165.5,170.55,2312
2017-07-27,170.5,179.0,170.5,173.1,13090
2017-07-28,174.95,174.95,172.75,173.15,282
2017-07-31,172.5,173.5,170.0,171.3,1536
2017-08-01,171.3,173.45,170.25,170.25,1982
2017-08-02,173.4,173.4,168.55,171.1,5120
2017-08-03,172.5,172.5,165.5,169.45,3240
2017-08-04,170.0,176.0,163.3,166.15,10702
2017-08-07,168.0,172.45,167.5,168.2,4446
2017-08-08,167.5,170.45,167.5,168.5,982
2017-08-09,168.5,170.9,166.5,168.75,5510
2017-08-10,165.5,168.5,162.5,163.7,8084
2017-08-11,162.5,167.4,158.5,160.75,880
2017-08-14,156.5,164.0,156.5,160.0,128
2017-08-16,160.5,160.5,156.5,157.05,4276
2017-08-17,157.3,160.0,157.1,157.25,616
2017-08-18,162.5,164.35,157.5,158.9,2386
2017-08-21,160.0,160.0,156.1,157.5,888
2017-08-22,160.0,162.45,155.25,155.65,1350
2017-08-23,157.5,160.85,157.5,160.0,1012
2017-08-24,159.5,165.0,157.5,164.55,2406
2017-08-28,164.5,164.5,160.05,163.8,1194
2017-08-29,161.0,169.25,159.0,169.1,7646
2017-08-30,169.1,169.6,162.8,168.5,1532
2017-08-31,167.5,170.0,167.5,167.5,2056
2017-09-01,165.1,171.05,165.1,171.05,1060
2017-09-04,168.0,173.5,165.5,171.6,3458
2017-09-05,173.5,177.0,168.0,174.0,1506
2017-09-06,168.55,176.5,168.55,174.3,552
2017-09-07,171.65,177.75,171.65,175.0,3192
2017-09-08,177.5,179.5,171.7,177.9,2970
2017-09-11,177.5,180.0,177.5,177.85,2792
2017-09-12,177.5,179.9,177.5,177.9,2652
2017-09-13,177.5,181.45,175.05,177.5,2416
2017-09-14,175.6,177.5,174.1,174.1,1026
2017-09-15,172.6,174.5,172.25,172.4,5774
2017-09-18,172.5,177.45,172.5,175.0,1772
2017-09-19,172.7,176.45,172.2,176.45,3116
2017-09-20,176.0,181.95,175.5,176.95,8188
2017-09-21,175.0,192.0,175.0,182.8,24388
2017-09-22,180.75,180.75,175.5,176.3,2052
2017-09-25,172.5,172.5,165.85,169.6,3326
2017-09-26,171.0,174.5,171.0,171.5,596
2017-09-27,170.5,173.7,167.5,168.1,2748
2017-09-28,165.5,170.9,165.5,166.9,1768
2017-09-29,165.0,174.0,165.0,172.65,1878
2017-10-03,172.05,174.9,172.05,174.5,524
2017-10-04,175.0,179.5,170.5,173.95,724
2017-10-05,170.0,194.8,167.6,185.5,4652
2017-10-06,185.5,185.5,176.5,184.3,4616
2017-10-09,184.3,187.3,179.75,180.5,1048
2017-10-10,178.3,182.0,175.5,176.7,628
2017-10-11,177.0,185.25,176.6,181.8,12416
2017-10-12,182.2,184.85,180.0,181.8,1532
2017-10-13,183.3,184.7,176.25,177.65,470
2017-10-16,177.65,184.7,173.8,174.4,212
2017-10-17,174.0,180.0,173.0,177.5,2664
2017-10-23,179.0,185.0,179.0,183.75,454
2017-10-24,185.0,185.0,181.0,184.8,1620
2017-10-25,181.7,189.0,181.6,185.6,2138
2017-10-26,185.0,189.5,181.65,189.45,1412
2017-10-27,192.5,192.5,185.0,189.8,4728
2017-10-30,192.5,200.0,190.1,196.2,12296
2017-10-31,197.7,198.0,178.55,184.35,18358
2017-11-01,180.1,185.0,179.5,182.9,5504
2017-11-02,187.45,187.45,177.6,178.1,2176
2017-11-03,182.0,182.0,178.1,180.85,3544
2017-11-06,182.5,184.5,178.3,182.9,2246
2017-11-07,183.0,184.0,177.4,178.8,5070
2017-11-08,183.5,183.5,176.25,178.0,3450
2017-11-09,183.0,183.0,175.75,176.2,1112
2017-11-10,175.6,177.4,170.9,175.2,1210
2017-11-13,175.5,182.3,175.5,176.6,2328
2017-11-14,174.25,190.0,174.25,176.8,42688
2017-11-15,175.6,187.45,174.25,178.2,6368
2017-11-16,178.5,184.7,175.2,177.2,1302
2017-11-17,185.0,188.5,175.0,178.25,716
2017-11-20,182.0,182.0,176.6,180.0,3668
2017-11-21,181.7,181.7,176.0,177.9,1620
2017-11-22,180.0,182.0,177.5,181.25,4202
2017-11-23,178.25,182.6,178.25,182.1,1114
2017-11-24,182.1,192.0,181.0,190.1,7894
2017-11-27,189.0,195.0,187.5,192.8,4094
2017-11-28,191.3,194.75,190.0,190.0,3928
2017-11-29,195.0,205.0,177.5,190.3,6122
2017-11-30,195.0,195.0,190.0,192.4,1140
2017-12-01,194.1,199.0,185.5,193.0,7930
2017-12-04,190.0,194.9,186.1,186.15,1286
2017-12-05,183.5,187.5,181.1,183.05,4416
2017-12-06,183.0,184.0,182.55,183.55,298
2017-12-07,180.5,191.0,180.1,190.4,7846
2017-12-08,194.75,194.95,187.85,191.65,1116
2017-12-11,194.5,202.5,190.15,190.6,2512
2017-12-12,199.75,203.5,192.6,198.9,20408
2017-12-13,200.5,201.5,190.5,194.7,3122
2017-12-14,200.0,200.0,190.5,190.85,2628
2017-12-15,191.5,197.2,191.5,192.55,1090
2017-12-18,192.55,197.2,189.6,193.5,1132
2017-12-19,196.5,197.5,195.0,195.0,1052
2017-12-20,192.55,198.0,190.0,192.6,2050
2017-12-21,195.0,195.0,188.55,191.6,4552
2017-12-22,199.25,199.95,192.5,196.1,4576
2017-12-26,199.95,199.95,191.75,195.9,3532
2017-12-27,196.0,199.9,192.6,193.4,4146
2017-12-28,195.0,200.0,192.55,192.95,1022
2017-12-29,195.0,196.1,190.85,191.95,3162
2018-01-01,188.0,197.5,186.0,192.25,4122
2018-01-02,190.3,200.0,190.3,198.7,9514
2018-01-03,200.0,221.0,200.0,215.8,23564
2018-01-04,219.95,221.0,210.2,214.95,7860
2018-01-05,218.75,219.9,211.35,212.8,4628
